Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,115.06,14984.1703,14.7937,1.4912
2014-01-03,115.21,15003.7046,14.813,1.4932
2014-01-06,114.85,14956.8221,14.7667,1.4885
2014-01-07,115.48,15038.8665,14.8477,1.4967
2014-01-08,115.8,15080.5399,14.8889,1.5008
2014-01-09,116.52,15174.3049,14.9815,1.5101
2014-01-10,116.0,15106.5857,14.9146,1.5034
2014-01-13,114.35,14891.7075,14.7025,1.482
2014-01-14,114.8,14950.3107,14.7603,1.4879
2014-01-15,115.02,14978.9611,14.7886,1.4907
2014-01-16,114.67,14933.3809,14.7436,1.4862
2014-01-17,111.99,14584.3667,14.399,1.4514
2014-01-21,111.77,14555.7162,14.3707,1.4486
2014-01-22,112.6,14663.8065,14.4775,1.4593
2014-01-23,111.85,14566.1346,14.381,1.4496
2014-01-24,111.27,14527.8558,14.3065,1.4421
2014-01-27,110.66,14448.2117,14.228,1.4342
2014-01-28,111.25,14525.2445,14.3039,1.4418
2014-01-29,111.69,14582.6926,14.3605,1.4475
2014-01-30,112.8,14727.6187,14.5032,1.4619
2014-01-31,111.51,14559.1911,14.3373,1.4452
2014-02-03,109.3,14270.6447,14.0532,1.4166
2014-02-04,110.84,14471.7132,14.2512,1.4365
2014-02-05,111.35,14538.3009,14.3167,1.4431
2014-02-06,112.42,14678.0044,14.4543,1.457
2014-02-07,113.0,14753.7315,14.5289,1.4645
2014-02-10,112.94,14745.8976,14.5212,1.4637
2014-02-11,113.99,14882.9898,14.6562,1.4774
2014-02-12,113.19,14778.5386,14.5533,1.467
2014-02-13,113.36,14800.7345,14.5752,1.4692
2014-02-14,114.06,14892.1293,14.6652,1.4783
2014-02-18,113.73,14849.0432,14.6227,1.474
2014-02-19,112.24,14654.5028,14.4312,1.4547
2014-02-20,112.43,14679.31,14.4556,1.4571
2014-02-21,113.51,14873.4126,14.5945,1.4711
2014-02-24,114.9,15055.5467,14.7732,1.4892
2014-02-25,114.49,15001.8237,14.7205,1.4838
2014-02-26,115.72,15162.9928,14.8786,1.4998
2014-02-27,115.68,15157.7515,14.8735,1.4993
2014-02-28,116.59,15276.9904,14.9905,1.5111
2014-03-03,115.68,15157.7515,14.8735,1.4993
2014-03-04,117.84,15440.78,15.1512,1.5273
2014-03-05,117.36,15377.8848,15.0895,1.521
2014-03-06,118.91,15596.2179,15.2888,1.5411
2014-03-07,119.38,15657.863,15.3492,1.5472
2014-03-10,119.35,15653.9282,15.3453,1.5468
2014-03-11,118.19,15501.7828,15.1962,1.5318
2014-03-12,118.36,15524.08,15.218,1.534
2014-03-13,117.3,15385.0505,15.0818,1.5203
2014-03-14,117.43,15402.1013,15.0985,1.5219
2014-03-17,117.71,15438.8261,15.1345,1.5256
2014-03-18,118.02,15479.4856,15.1743,1.5296
2014-03-19,118.27,15512.2756,15.2065,1.5328
2014-03-20,120.96,15865.0956,15.5523,1.5677
2014-03-21,121.13,15887.3928,15.5742,1.5699
2014-03-24,121.05,15876.9,15.5639,1.5689
2014-03-25,121.17,15892.6392,15.5793,1.5704
2014-03-26,120.98,15867.7188,15.5549,1.568
2014-03-27,119.56,15681.4718,15.3723,1.5495
2014-03-28,120.44,15796.8925,15.4855,1.561
2014-03-31,121.3,15909.6899,16.4246,1.4962
2014-04-01,121.77,15971.3351,16.4882,1.502
2014-04-02,121.24,15901.8203,16.4165,1.4955
2014-04-03,121.84,15980.5163,16.4977,1.5029
2014-04-04,120.55,15811.32,16.3231,1.4869
2014-04-07,119.9,15726.0661,16.235,1.4789
2014-04-08,120.97,15866.4072,16.3799,1.4921
2014-04-09,121.35,15916.2479,16.4314,1.4968
2014-04-10,118.46,15537.196,16.0401,1.4612
2014-04-11,118.22,15505.7176,16.0076,1.4582
2014-04-14,120.85,15850.668,16.3637,1.4906
2014-04-15,120.39,15790.3345,16.3014,1.485
2014-04-16,121.64,15954.2843,16.4706,1.5004
2014-04-17,121.54,15941.1683,16.4571,1.4992
2014-04-21,121.17,15892.6392,16.407,1.4946
2014-04-22,121.95,15994.9438,16.5126,1.5042
2014-04-23,122.99,16131.3501,16.6534,1.517
2014-04-24,122.91,16120.8573,16.6426,1.5161
2014-04-25,122.24,16032.9802,16.5519,1.5078
2014-04-28,121.89,15987.0742,16.5045,1.5035
2014-04-29,121.61,15950.3495,16.4666,1.5
2014-04-30,122.01,16002.8134,16.5207,1.505
2014-05-01,121.49,15934.6103,16.4503,1.4985
2014-05-02,121.8,15975.2699,16.4923,1.5024
2014-05-05,121.45,15929.3639,16.4449,1.498
2014-05-06,119.41,15661.7978,16.1687,1.4729
