Date,Price,Market Cap,PE Ratio,PB Ratio
2020-07-01,105.67,27363.8944,49.6103,
2020-07-02,98.92,25615.9405,46.4413,
2020-07-06,94.78,24543.8621,44.4977,
2020-07-07,92.0,23823.9641,43.1925,
2020-07-08,94.2,24393.6675,44.2254,
2020-07-09,96.32,24942.6545,45.2207,
2020-07-10,100.39,25996.606,47.1315,
2020-07-13,96.92,25098.0282,45.5023,
2020-07-14,97.93,25359.5739,45.9765,
2020-07-15,96.43,24971.1397,45.2723,
2020-07-16,94.46,24460.9961,44.3474,
2020-07-17,91.75,23759.225,43.0751,
2020-07-20,97.17,25162.7672,45.6197,
2020-07-21,93.93,24323.7494,44.0986,
2020-07-22,93.37,24178.734,43.8357,
2020-07-23,91.15,23603.8513,42.7934,
2020-07-24,90.36,23399.276,42.4225,
2020-07-27,91.77,23764.4041,43.0845,
2020-07-28,98.44,25491.6415,46.216,
2020-07-29,102.79,26618.1007,48.2582,
2020-07-30,102.35,26504.16,48.0516,
2020-07-31,102.7,26594.7947,48.216,
2020-08-03,110.405,28590.0516,51.8333,
2020-08-04,107.57,27855.911,50.5023,
2020-08-05,120.71,31258.5946,56.6714,
2020-08-06,113.97,29513.2303,53.507,
2020-08-07,115.88,30007.8365,54.4038,
2020-08-10,115.65,30070.8532,54.2958,
2020-08-11,115.5,30031.8508,54.2254,
2020-08-12,115.92,30141.0575,54.4225,
2020-08-13,117.44,30536.2819,55.1362,
2020-08-14,118.8,30889.9037,55.7746,
2020-08-17,114.105,29669.1284,53.5704,
2020-08-18,115.21,29956.4461,54.0892,
2020-08-19,114.15,29680.8291,53.5915,
2020-08-20,113.08,29402.612,53.0892,
2020-08-21,112.55,29264.8035,52.8404,
2020-08-24,111.9,29095.7931,52.5352,
2020-08-25,112.28,29194.5992,52.7136,
2020-08-26,112.53,29259.6032,52.831,
2020-08-27,111.53,28999.5872,52.3615,
2020-08-28,111.5,28991.7867,52.3474,
2020-08-31,111.68,29038.5896,52.4319,
2020-09-01,113.41,29488.4173,53.2441,
2020-09-02,117.49,30549.2827,55.1596,
2020-09-03,110.54,28742.1713,51.8967,
2020-09-04,105.94,27546.0976,49.7371,
2020-09-08,102.06,26537.2354,47.9155,
2020-09-09,105.56,27447.2915,49.5587,
2020-09-10,105.46,27421.2899,49.5117,
2020-09-11,103.65,26950.6609,48.662,
2020-09-14,108.26,28149.3348,50.8263,
2020-09-15,110.98,28856.5783,52.1033,
2020-09-16,108.3,28159.7354,50.8451,
2020-09-17,107.56,27967.3235,50.4977,
2020-09-18,108.41,28188.3372,50.8967,
2020-09-21,106.85,27782.7122,50.1643,
2020-09-22,106.51,27694.3067,50.0047,
2020-09-23,102.89,26753.0487,48.3052,
2020-09-24,103.43,26893.4574,48.5587,
2020-09-25,105.75,27496.6945,49.6479,
2020-09-28,108.59,28235.14,50.9812,
2020-09-29,109.12,28372.9485,51.23,
2020-09-30,110.65,28770.7731,53.1971,
2020-10-01,116.21,30216.4621,55.8702,
2020-10-02,111.94,29106.1937,53.8173,
2020-10-05,114.05,29654.8275,54.8317,
2020-10-06,114.21,29696.4301,54.9087,
2020-10-07,114.5,29771.8347,55.0481,
2020-10-08,113.45,29498.8179,54.5433,
2020-10-09,112.38,29220.6008,54.0288,
2020-10-12,110.3,28679.7674,53.0288,
2020-10-13,111.16,28903.3812,53.4423,
2020-10-14,109.77,28541.959,52.774,
2020-10-15,111.17,28905.9814,53.4471,
2020-10-16,112.21,29176.3981,53.9471,
2020-10-19,113.0,29381.8107,54.3269,
2020-10-20,114.86,29865.4405,55.2212,
2020-10-21,118.06,30697.4918,56.7596,
2020-10-22,116.72,30349.0703,56.1154,
2020-10-23,120.3,31279.9277,57.8365,
2020-10-26,119.26,31009.511,57.3365,
2020-10-27,125.78,32704.8155,60.4712,
2020-10-28,118.52,30817.0992,56.9808,
2020-10-29,122.12,31753.1569,58.7115,
2020-10-30,116.78,30364.6713,56.1442,
2020-11-02,118.98,30936.7065,57.2019,
2020-11-03,121.63,31625.749,58.476,
2020-11-04,128.69,33461.4621,61.8702,
2020-11-05,134.97,35094.3628,64.8894,
2020-11-06,132.56,35258.7388,63.7308,
2020-11-09,137.22,36498.2207,65.9712,
2020-11-10,132.22,35168.3045,63.5673,
2020-11-11,133.41,35484.8246,64.1394,
2020-11-12,131.26,34912.9606,63.1058,
2020-11-13,131.6,35003.3949,63.2692,
2020-11-16,134.83,35862.5208,64.8221,
2020-11-17,131.35,34936.8991,63.149,
2020-11-18,131.35,34936.8991,63.149,
2020-11-19,132.31,35192.243,63.6106,
2020-11-20,130.57,34729.4322,62.774,
2020-11-23,138.23,36766.8638,66.4567,
2020-11-24,138.67,36883.8964,66.6683,
2020-11-25,139.01,36974.3307,66.8317,
2020-11-27,139.63,37139.2404,67.1298,
2020-11-30,139.21,37027.5274,66.9279,
2020-12-01,143.31,38118.0587,68.899,
2020-12-02,138.93,36953.0521,66.7933,
2020-12-03,140.14,37274.8918,67.375,
2020-12-04,145.39,38671.3038,69.899,
2020-12-07,146.07,38852.1725,70.226,
2020-12-08,145.42,38679.2833,69.9135,
2020-12-09,143.52,38173.9152,69.0,
2020-12-10,147.32,39184.6515,70.8269,
2020-12-11,148.11,39394.7783,71.2067,
2020-12-14,144.81,38517.0336,69.6202,
2020-12-15,150.84,40120.9125,72.5192,
2020-12-16,153.9,40934.8213,73.9904,
2020-12-17,148.75,39565.0075,71.5144,
2020-12-18,155.07,41246.0216,74.5529,
2020-12-21,154.15,41001.3171,74.1106,
2020-12-22,156.12,41525.3041,75.0577,
2020-12-23,153.39,40799.1698,73.7452,
2020-12-24,152.08,40450.7317,73.1154,
2020-12-28,150.08,39918.7653,72.1538,
2020-12-29,150.22,39956.0029,72.2212,
2020-12-30,152.0,40429.4531,73.0769,
2020-12-31,151.19,40214.0067,71.316,
2021-01-04,149.92,39876.2079,70.717,
2021-01-05,150.29,39974.6217,70.8915,
2021-01-06,148.81,39580.9665,70.1934,
2021-01-07,152.86,40658.1987,72.1038,
2021-01-08,151.79,40373.5966,71.5991,
2021-01-11,151.9,40402.8548,71.6509,
2021-01-12,153.57,40847.0468,72.4387,
2021-01-13,155.02,41232.7225,73.1226,
2021-01-14,149.05,39644.8025,70.3066,
2021-01-15,150.85,40123.5724,71.1557,
2021-01-19,146.14,38870.7913,68.934,
2021-01-20,147.63,39267.1063,69.6368,
2021-01-21,144.49,38431.9189,68.1557,
2021-01-22,141.0,37503.6374,66.5094,
2021-01-25,139.42,37083.3839,65.7642,
2021-01-26,138.42,36817.4006,65.2925,
2021-01-27,131.55,34990.0957,62.0519,
2021-01-28,141.52,37641.9487,66.7547,
