Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,21.66,22904.3157,37.6291,2.4858
2014-01-03,20.97,22174.6768,36.4304,2.4066
2014-01-06,20.67,21857.4426,35.9092,2.3722
2014-01-07,21.73,23052.9119,37.7507,2.4938
2014-01-08,23.87,25323.1941,41.4685,2.7394
2014-01-09,23.24,24654.84,40.374,2.6671
2014-01-10,23.71,25153.4533,41.1905,2.721
2014-01-13,23.33,24750.3191,40.5304,2.6774
2014-01-14,23.67,25111.0182,41.121,2.7164
2014-01-15,23.33,24750.3191,40.5304,2.6774
2014-01-16,23.13,24538.1432,40.1829,2.6545
2014-01-17,22.38,23742.4836,38.88,2.5684
2014-01-21,23.12,24527.5344,40.1655,2.6533
2014-01-22,23.65,25089.8006,41.0863,2.7141
2014-01-23,23.64,25079.1918,41.0689,2.713
2014-01-24,22.92,24315.3585,39.8181,2.6304
2014-01-27,22.9,24294.1409,39.7833,2.6281
2014-01-28,23.05,24453.2729,40.0439,2.6453
2014-01-29,22.71,24092.5738,39.4532,2.6063
2014-01-30,23.45,24877.6247,40.7388,2.6912
2014-01-31,23.04,24442.6641,40.0265,2.6441
2014-02-03,22.81,24198.6618,39.627,2.6177
2014-02-04,23.0,24400.2289,39.9571,2.6395
2014-02-05,23.31,24729.1015,40.4956,2.6751
2014-02-06,24.11,25577.8051,41.8854,2.7669
2014-02-07,24.51,26002.157,42.5803,2.8128
2014-02-10,24.87,26384.0736,43.2057,2.8542
2014-02-11,24.71,26214.3329,42.9278,2.8358
2014-02-12,24.89,26405.2912,43.2405,2.8565
2014-02-13,24.91,26426.5088,43.2752,2.8587
2014-02-14,25.08,26606.8583,43.5706,2.8783
2014-02-18,25.42,26967.5573,44.1612,2.9173
2014-02-19,25.42,26967.5573,44.1612,2.9173
2014-02-20,25.49,27041.8189,44.2828,2.9253
2014-02-21,25.08,26606.8583,43.5706,2.8783
2014-02-24,24.75,26256.768,42.9973,2.8404
2014-02-25,24.255,25731.6327,42.1373,2.7836
2014-02-26,24.22,25694.5019,42.0765,2.7796
2014-02-27,24.19,25662.6755,16.3062,2.7879
2014-02-28,24.19,25662.6755,16.3062,2.7879
2014-03-03,24.48,25970.3306,16.5017,2.8214
2014-03-04,25.11,26638.6847,16.9263,2.894
2014-03-05,24.83,26341.6384,16.7376,2.8617
2014-03-06,24.77,26277.9856,16.6972,2.8548
2014-03-07,24.42,25906.6778,16.4612,2.8145
2014-03-10,24.85,26362.856,16.7511,2.864
2014-03-11,24.67,26171.8977,16.6297,2.8433
2014-03-12,24.84,26352.2472,16.7443,2.8629
2014-03-13,24.11,25577.8051,16.2523,2.7787
2014-03-14,23.96,25418.6732,16.1511,2.7614
2014-03-17,23.93,25386.8468,16.1309,2.758
2014-03-18,24.49,25980.9394,16.5084,2.8225
2014-03-19,23.98,25439.8908,16.1646,2.7637
2014-03-20,24.01,25471.7172,16.1849,2.7672
2014-03-21,23.66,25100.4094,15.9489,2.7269
2014-03-24,23.48,24909.451,15.8276,2.7061
2014-03-25,23.53,24962.495,15.8613,2.7119
2014-03-26,22.83,24219.8794,15.3894,2.6312
2014-03-27,22.24,23593.9604,14.9917,2.5632
2014-03-28,21.91,23243.8702,14.7693,2.5252
2014-03-31,23.66,25100.4094,15.9489,2.7269
