Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,34.64,7104.0775,35.4734,2.724
2014-01-03,34.64,7104.0775,35.4734,2.724
2014-01-06,33.96,6964.621,34.777,2.6706
2014-01-07,33.88,6948.2144,34.6951,2.6643
2014-01-08,34.32,7038.4509,35.1457,2.6989
2014-01-09,34.72,7120.4842,35.5553,2.7303
2014-01-10,35.25,7229.1782,36.0981,2.772
2014-01-13,34.84,7145.0941,35.6782,2.7398
2014-01-14,35.85,7352.228,36.7125,2.8192
2014-01-15,36.89,7565.5144,37.7775,2.901
2014-01-16,36.91,7569.6161,37.798,2.9025
2014-01-17,36.54,7493.7353,37.4191,2.8734
2014-01-21,36.22,7428.1088,37.0914,2.8483
2014-01-22,36.7,7526.5486,37.5829,2.886
2014-01-23,36.04,7391.1938,36.9071,2.8341
2014-01-24,35.26,7231.229,36.1083,2.7728
2014-01-27,34.74,7124.5858,35.5758,2.7319
2014-01-28,34.88,7153.2974,35.7191,2.7429
2014-01-29,34.44,7063.0609,35.2686,2.7083
2014-01-30,35.06,7190.2124,35.9035,2.7571
2014-01-31,35.02,7182.0091,35.8625,2.7539
2014-02-03,34.4,7054.8576,35.2276,2.7052
2014-02-04,34.21,7015.8918,35.033,2.6902
2014-02-05,34.43,7061.0101,35.2583,2.7075
2014-02-06,35.08,7194.3141,35.924,2.7586
2014-02-07,35.21,7220.9749,36.0571,2.7689
2014-02-10,35.62,7305.0589,36.477,2.8011
2014-02-11,36.25,7434.2612,37.1221,2.8506
2014-02-12,35.89,7360.4313,36.7534,2.8223
2014-02-13,34.7,7116.3825,35.5348,2.7288
2014-02-14,35.17,7212.7715,36.0161,2.7657
2014-02-18,33.56,6882.5878,34.3674,2.6391
2014-02-19,33.35,6839.5203,34.1523,2.6226
2014-02-20,33.79,6929.7569,34.6029,2.6572
2014-02-21,34.27,7031.0901,35.0945,2.6949
2014-02-24,34.11,6998.2633,34.9306,2.6824
2014-02-25,33.63,6899.7829,34.4391,2.6446
2014-02-26,32.83,6735.6489,33.6198,2.5817
2014-02-27,33.34,6840.2843,34.1421,2.6218
2014-02-28,34.27,7031.0901,35.0945,2.6949
2014-03-03,33.68,6910.0413,34.4903,2.6485
2014-03-04,33.83,6940.8164,34.6439,2.6603
2014-03-05,32.91,6752.0623,33.7018,2.588
2014-03-06,33.18,6807.4575,33.9783,2.6092
2014-03-07,33.37,6846.4393,34.1728,2.6242
2014-03-10,32.91,6752.0623,33.7018,2.588
2014-03-11,33.07,6784.8891,33.8656,2.6006
2014-03-12,32.83,6735.6489,33.6198,2.5817
