Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,13.0667,6568.98,15.0581,1.0735
2014-01-03,13.26,6666.174,15.2809,1.0894
2014-01-06,13.2933,6682.9316,15.3193,1.0922
2014-01-07,13.3567,6714.7711,15.3923,1.0974
2014-01-08,13.3933,6733.2045,15.4346,1.1004
2014-01-09,13.4133,6743.259,15.4576,1.102
2014-01-10,13.3067,6689.6347,15.3347,1.0933
2014-01-13,13.05,6560.6012,15.0389,1.0722
2014-01-14,13.2467,6659.471,15.2655,1.0883
2014-01-15,13.1733,6622.6043,15.181,1.0823
2014-01-16,13.3267,6699.6893,15.3577,1.0949
2014-01-17,13.24,6656.1195,15.2579,1.0878
2014-01-21,13.1333,6602.4952,15.1349,1.079
2014-01-22,13.1667,6619.2528,15.1733,1.0818
2014-01-23,12.9,6485.1919,14.866,1.0599
2014-01-24,12.5333,6300.8583,14.4435,1.0297
2014-01-27,12.44,6253.937,14.3359,1.0221
2014-01-28,12.55,6309.2371,14.4627,1.0311
2014-01-29,12.4,6233.8279,14.2898,1.0188
2014-01-30,12.8033,6436.5949,14.7546,1.0519
2014-01-31,12.7167,6393.0251,14.6548,1.0448
2014-02-03,12.3767,6222.0976,14.2629,1.0169
2014-02-04,12.5967,6332.6978,14.5165,1.0349
2014-02-05,12.7167,6393.0251,14.6548,1.0448
2014-02-06,12.6167,6342.7523,14.5395,1.0366
2014-02-07,12.5133,6290.8038,14.4204,1.0281
2014-02-10,12.5033,6285.7765,14.4089,1.0273
2014-02-11,12.79,6429.8919,14.7393,1.0508
2014-02-12,12.8633,6466.7586,14.8238,1.0568
2014-02-13,12.8967,6483.5162,14.8622,1.0596
2014-02-14,12.9067,6488.5435,14.8737,1.0604
2014-02-18,13.0367,6553.8981,15.0235,1.0711
2014-02-19,13.19,6630.9831,15.2002,1.0837
2014-02-20,13.16,6615.9012,15.1657,1.0812
2014-02-21,12.9767,6523.7344,14.9544,1.0661
2014-02-24,13.04,6628.0124,15.0274,1.0714
2014-02-25,13.0233,6619.541,15.0082,1.07
2014-02-26,12.7833,6497.553,14.7316,1.0503
2014-02-27,12.8067,6509.413,14.7585,1.0522
2014-02-28,12.7967,6504.3301,14.747,1.0514
