Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,73.55,4726.0594,21.7013,5.3198
2014-01-03,73.77,4740.1958,21.7663,5.3357
2014-01-06,72.5,4658.5902,21.3915,5.2438
2014-01-07,72.24,4641.8835,21.3148,5.225
2014-01-08,71.71,4607.8276,21.1584,5.1867
2014-01-09,71.89,4619.3938,21.2116,5.1997
2014-01-10,72.29,4645.0963,21.3296,5.2286
2014-01-13,70.87,4553.8522,20.9106,5.1259
2014-01-14,71.89,4619.3938,21.2116,5.1997
2014-01-15,72.33,4647.6666,21.3414,5.2315
2014-01-16,72.04,4629.0322,21.2558,5.2106
2014-01-17,72.46,4656.0199,21.3797,5.2409
2014-01-21,72.41,4655.9632,21.365,5.2373
2014-01-22,73.08,4699.0442,21.5627,5.2858
2014-01-23,72.3,4648.8902,21.3325,5.2294
2014-01-24,70.48,4531.8642,20.7955,5.0977
2014-01-27,69.7,4481.7102,20.5654,5.0413
2014-01-28,70.05,4504.2152,20.6686,5.0666
2014-01-29,69.14,4445.7022,20.4001,5.0008
2014-01-30,69.75,4484.9252,20.5801,5.0449
2014-01-31,69.32,4457.2762,21.0356,4.893
2014-02-03,67.98,4371.1142,20.629,4.7984
2014-02-04,69.38,4461.1342,21.0538,4.8972
2014-02-05,68.0,4372.4002,20.635,4.7998
2014-02-06,68.35,4394.9052,20.7413,4.8245
2014-02-07,69.13,4445.0592,20.9779,4.8796
2014-02-10,69.31,4456.6332,21.0326,4.8923
2014-02-11,70.23,4515.7892,21.3118,4.9572
2014-02-12,70.85,4555.6552,21.4999,5.001
2014-02-13,70.68,4544.7242,21.4483,4.989
2014-02-14,70.46,4530.5782,21.3815,4.9735
2014-02-18,70.12,4508.7162,21.2784,4.9495
2014-02-19,69.8,4488.1402,21.1813,4.9269
2014-02-20,70.27,4518.3612,21.3239,4.96
2014-02-21,69.8,4488.1402,21.1813,4.9269
2014-02-24,70.01,4501.6432,21.245,4.9417
2014-02-25,70.88,4557.5842,21.509,5.0031
2014-02-26,71.41,4591.6632,21.6698,5.0405
2014-02-27,72.44,4657.8922,21.9824,5.1132
2014-02-28,73.16,4704.1882,22.2009,5.164
2014-03-03,72.04,4632.1722,21.861,5.085
2014-03-04,72.87,4685.5412,22.1129,5.1436
2014-03-05,72.84,4683.6122,22.1038,5.1415
2014-03-06,72.86,4684.8982,22.1098,5.1429
2014-03-07,73.11,4704.7098,22.1857,5.1605
2014-03-10,72.76,4682.1869,22.0795,5.1358
2014-03-11,71.78,4619.1228,21.7821,5.0666
2014-03-12,71.55,4604.3221,21.7123,5.0504
2014-03-13,70.27,4521.9527,21.3239,4.96
2014-03-14,70.1,4511.013,21.2723,4.948
2014-03-17,71.0,4568.929,21.5454,5.0116
2014-03-18,70.95,4565.7114,21.5302,5.008
2014-03-19,70.83,4557.9893,21.4938,4.9996
2014-03-20,71.08,4574.0771,21.5697,5.0172
2014-03-21,71.83,4622.3404,21.7973,5.0702
2014-03-24,70.36,4527.7443,21.3512,4.9664
2014-03-25,70.31,4524.5267,21.336,4.9629
2014-03-26,69.13,4448.5924,20.9779,4.8796
2014-03-27,68.83,4429.2871,20.8869,4.8584
2014-03-28,69.08,4445.3748,20.9628,4.8761
2014-03-31,70.49,4536.1099,21.3907,4.9756
2014-04-01,71.07,4573.4336,21.5667,5.0165
2014-04-02,71.55,4604.3221,21.7123,5.0504
2014-04-03,71.76,4617.8358,21.776,5.0652
2014-04-04,71.51,4601.748,21.7002,5.0476
2014-04-07,70.48,4535.4664,21.3876,4.9749
2014-04-08,71.27,4586.3038,21.6273,5.0306
2014-04-09,72.5,4665.4556,22.0006,5.1175
2014-04-10,71.36,4592.0954,21.6547,5.037
2014-04-11,70.5,4536.7534,21.3937,4.9763
2014-04-14,70.53,4538.684,21.4028,4.9784
2014-04-15,71.76,4617.8358,21.776,5.0652
2014-04-16,73.0,4697.6312,22.1523,5.1527
2014-04-17,73.78,4747.8251,22.389,5.2078
2014-04-21,73.72,4743.964,22.3708,5.2036
2014-04-22,73.7,4742.677,22.3647,5.2022
2014-04-23,73.9,4755.5472,22.4254,5.2163
2014-04-24,74.54,4796.7319,22.6196,5.2614
2014-04-25,74.04,4764.5564,22.4679,5.2262
2014-04-28,74.32,4782.5747,22.5529,5.2459
2014-04-29,74.37,4785.7922,22.5681,5.2494
2014-04-30,74.35,4784.5052,21.7132,5.1271
2014-05-01,74.49,4793.5144,21.7541,5.1367
2014-05-02,74.61,4801.2365,21.7891,5.145
2014-05-05,74.35,4784.5052,21.7132,5.1271
2014-05-06,74.47,4792.2273,21.7482,5.1354
2014-05-07,74.82,4814.7502,21.8505,5.1595
2014-05-08,75.1,4832.7685,21.9322,5.1788
2014-05-09,74.94,4822.4724,21.8855,5.1678
2014-05-12,75.77,4875.8838,22.1279,5.225
2014-05-13,75.45,4855.2914,22.0344,5.2029
2014-05-14,75.08,4831.4815,21.9264,5.1774
2014-05-15,74.54,4796.7319,21.7687,5.1402
2014-05-16,75.06,4830.1945,21.9206,5.1761
2014-05-19,75.5,4858.509,22.049,5.2064
2014-05-20,74.08,4767.1304,21.6344,5.1085
2014-05-21,74.95,4823.1159,21.8884,5.1685
2014-05-22,74.88,4818.6113,21.868,5.1636
2014-05-23,81.86,5267.7821,23.9064,5.645
2014-05-27,83.33,5362.3782,24.3357,5.7463
2014-05-28,82.17,5287.7309,23.997,5.6663
2014-05-29,82.69,5321.1935,24.1488,5.7022
2014-05-30,81.54,5247.1897,23.813,5.6229
2014-06-02,82.4,5302.5317,24.0641,5.6822
2014-06-03,81.55,5247.8332,23.8159,5.6236
2014-06-04,81.6,5195.0155,23.8305,5.627
2014-06-05,82.7,5265.0464,24.1517,5.7029
2014-06-06,83.69,5328.0741,24.4409,5.7712
2014-06-09,84.3,5366.9094,24.619,5.8132
2014-06-10,83.9,5341.4436,24.5022,5.7856
2014-06-11,83.0,5284.1457,24.2394,5.7236
2014-06-12,82.0,5220.4813,23.9473,5.6546
2014-06-13,82.0,5220.4813,23.9473,5.6546
2014-06-16,81.29,5175.2795,23.74,5.6057
2014-06-17,81.92,5215.3881,23.9239,5.6491
2014-06-18,82.21,5233.8508,24.0086,5.6691
2014-06-19,81.89,5213.4782,23.9152,5.647
2014-06-20,79.91,5087.4227,23.3369,5.5105
2014-06-23,80.87,5148.5405,23.6173,5.5767
2014-06-24,79.76,5077.873,23.2931,5.5002
2014-06-25,79.46,5058.7737,23.2055,5.4795
2014-06-26,79.1,5035.8545,23.1004,5.4546
2014-06-27,79.16,5039.6744,23.1179,5.4588
2014-06-30,80.19,5105.2487,23.4187,5.5298
2014-07-01,80.6,5131.3511,23.5385,5.5581
2014-07-02,80.03,5095.0624,23.372,5.5188
2014-07-03,80.68,5136.4443,23.5618,5.5636
2014-07-07,79.01,5030.1247,23.0741,5.4484
2014-07-08,78.61,5004.6589,22.9573,5.4209
2014-07-09,78.31,4985.5596,22.8697,5.4002
2014-07-10,77.1,4908.5257,22.5163,5.3167
2014-07-11,77.06,4905.9791,22.5046,5.314
2014-07-14,78.52,4998.9291,22.931,5.4146
2014-07-15,77.79,4952.4541,22.7178,5.3643
2014-07-16,78.03,4967.7336,22.7879,5.3809
2014-07-17,77.35,4924.4418,22.5893,5.334
2014-07-18,78.71,5011.0254,22.9865,5.4278
2014-07-21,78.36,4988.7428,22.8843,5.4036
2014-07-22,78.84,5019.3018,23.0245,5.4367
2014-07-23,78.32,4986.1963,22.8726,5.4009
2014-07-24,78.37,4989.3795,22.8872,5.4043
2014-07-25,78.21,4979.1932,22.8405,5.3933
2014-07-28,77.89,4958.8206,22.747,5.3712
2014-07-29,77.21,4915.5288,22.5484,5.3243
2014-07-30,77.17,4912.9822,22.5368,5.3216
2014-07-31,75.17,4785.6534,20.646,4.9469
2014-08-01,74.5,4742.9982,20.462,4.9028
2014-08-04,75.0,4774.8304,20.5993,4.9357
2014-08-05,74.86,4765.9174,20.5609,4.9265
2014-08-06,74.28,4728.9921,20.4016,4.8883
2014-08-07,74.5,4742.9982,20.462,4.9028
2014-08-08,75.9,4832.1284,20.8465,4.9949
2014-08-11,76.49,4869.6904,21.0086,5.0338
2014-08-12,76.38,4862.6873,20.9784,5.0265
2014-08-13,77.28,4919.9853,21.2256,5.0858
2014-08-14,77.88,4958.1839,21.3904,5.1252
2014-08-15,77.96,4963.2771,21.4123,5.1305
2014-08-18,79.59,5067.0501,21.86,5.2378
2014-08-19,79.64,5070.2333,21.8738,5.2411
2014-08-20,79.73,5075.9631,21.8985,5.247
2014-08-21,79.8,5080.4196,21.9177,5.2516
2014-08-22,80.365,5116.39,22.0729,5.2888
2014-08-25,81.14,5165.7299,22.2857,5.3398
2014-08-26,81.34,5178.4628,22.3407,5.353
2014-08-27,80.84,5146.6306,22.2034,5.32
2014-08-28,80.73,5139.6275,22.1731,5.3128
2014-08-29,81.06,5160.6367,22.2638,5.3345
2014-09-02,81.34,5178.4628,22.3407,5.353
2014-09-03,81.22,5170.823,22.3077,5.3451
2014-09-04,81.5,5142.371,22.3846,5.3635
2014-09-05,81.23,5125.3349,22.3105,5.3457
2014-09-08,80.92,5105.775,22.2253,5.3253
2014-09-09,80.41,5073.5957,22.0852,5.2917
2014-09-10,80.31,5067.2861,22.0578,5.2852
2014-09-11,79.88,5040.1545,21.9397,5.2569
2014-09-12,79.35,5006.7134,21.7941,5.222
2014-09-15,79.23,4999.1418,21.7612,5.2141
2014-09-16,79.35,5006.7134,21.7941,5.222
2014-09-17,78.96,4982.1057,21.687,5.1963
2014-09-18,79.38,5008.6063,21.8023,5.224
2014-09-19,78.46,4950.5574,21.5497,5.1634
2014-09-22,76.84,4848.341,21.1047,5.0568
2014-09-23,76.25,4811.114,20.9427,5.018
2014-09-24,76.57,4831.3049,21.0306,5.039
2014-09-25,75.63,4771.9941,20.7724,4.9772
2014-09-26,76.55,4830.0429,21.0251,5.0377
2014-09-29,76.86,4849.6029,21.1102,5.0581
2014-09-30,76.07,4799.7566,20.8932,5.0061
2014-10-01,74.64,4709.5285,20.5005,4.912
2014-10-02,74.1,4675.4563,20.3522,4.8765
2014-10-03,74.18,4680.5041,20.3741,4.8818
2014-10-06,74.75,4716.4691,20.5307,4.9193
2014-10-07,73.11,4612.9907,20.0802,4.8113
2014-10-08,74.29,4687.4447,20.4043,4.889
2014-10-09,71.89,4536.0129,19.7452,4.7311
2014-10-10,69.73,4399.7243,19.1519,4.5889
2014-10-13,67.75,4274.7931,18.6081,4.4586
2014-10-14,69.63,4393.4146,19.1244,4.5823
2014-10-15,68.41,4316.4368,18.7894,4.502
2014-10-16,69.61,4392.1527,19.1189,4.581
2014-10-17,70.12,4424.332,19.259,4.6146
2014-10-20,70.39,4441.368,19.3332,4.6323
2014-10-21,72.18,4554.3109,19.8248,4.7501
2014-10-22,71.35,4501.9407,19.5968,4.6955
2014-10-23,73.37,4629.3958,20.1517,4.8284
2014-10-24,73.95,4665.9918,20.311,4.8666
2014-10-27,73.65,4647.0629,20.2286,4.8469
2014-10-28,75.37,4755.589,20.701,4.9601
2014-10-29,75.23,4746.7555,20.6625,4.9509
2014-10-30,75.59,4769.4702,20.7614,4.9745
2014-10-31,76.55,4830.0429,19.8831,5.2823
2014-11-03,76.19,4807.3282,19.7896,5.2574
2014-11-04,75.4,4757.4819,19.5844,5.2029
2014-11-05,76.11,4802.2805,19.7688,5.2519
2014-11-06,77.18,4869.7938,20.0468,5.3258
2014-11-07,77.64,4898.8182,20.1662,5.3575
