Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,23.96,11930.86,19.1348,1.1957
2014-01-03,23.92,11910.942,19.1029,1.1937
2014-01-06,24.08,11990.6139,19.2307,1.2017
2014-01-07,23.95,11925.8805,19.1269,1.1952
2014-01-08,23.4,11652.0085,18.6876,1.1677
2014-01-09,23.2,11552.4187,18.5279,1.1577
2014-01-10,23.8,11851.1881,19.0071,1.1877
2014-01-13,23.88,11891.0241,19.071,1.1917
2014-01-14,23.41,11656.988,18.6956,1.1682
2014-01-15,23.58,11741.6394,18.8314,1.1767
2014-01-16,23.95,11925.8805,19.1269,1.1952
2014-01-17,24.55,12224.65,19.606,1.2251
2014-01-21,24.82,12359.0962,19.8217,1.2386
2014-01-22,24.39,12144.9781,19.4782,1.2171
2014-01-23,25.17,12533.3784,20.1012,1.2561
2014-01-24,24.88,12388.9732,19.8696,1.2416
2014-01-27,24.18,12040.4088,19.3105,1.2066
2014-01-28,24.66,12279.4244,19.6939,1.2306
2014-01-29,24.87,12383.9937,19.8616,1.2411
2014-01-30,24.1,12000.5729,19.2466,1.2027
2014-01-31,21.6,10755.7002,17.2501,1.0779
2014-02-03,21.02,10466.8897,16.7869,1.049
2014-02-04,21.18,10546.5616,16.9147,1.0569
2014-02-05,20.87,10392.1973,16.6671,1.0415
2014-02-06,21.01,10461.9102,16.7789,1.0485
2014-02-07,21.52,10715.8642,17.1862,1.0739
2014-02-10,22.2,11054.4696,17.7293,1.1078
2014-02-11,22.9,11403.034,18.2883,1.1428
2014-02-12,22.51,11208.8338,17.9768,1.1233
2014-02-13,23.53,11716.7419,18.7914,1.1742
2014-02-14,23.83,11866.1266,19.031,1.1892
2014-02-18,24.21,12055.3473,19.3345,1.2081
2014-02-19,23.77,11836.2497,18.9831,1.1862
2014-02-20,24.46,12174.4533,19.5342,1.2206
2014-02-21,23.38,11641.2547,18.6716,1.1667
2014-02-24,23.67,11785.6501,18.9032,1.1812
2014-02-25,23.75,11825.4833,18.9671,1.1852
