Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,51.831,21499.914,171.0149,16.2172
2014-01-03,51.871,21516.5062,171.1468,16.2297
2014-01-06,51.367,21307.3262,169.483,16.0719
2014-01-07,48.5,20118.0222,160.023,15.1748
2014-01-08,48.713,20206.3163,160.7253,15.2414
2014-01-09,48.15,19972.8406,158.8682,15.0653
2014-01-10,47.449,19681.8848,156.5539,14.8459
2014-01-13,48.116,19958.6187,158.7551,15.0546
2014-01-14,48.28,20026.7652,159.2971,15.106
2014-01-15,47.197,19577.5911,155.7243,14.7672
2014-01-16,47.383,19654.6262,156.3371,14.8253
2014-01-17,47.149,19557.4434,155.564,14.752
2014-01-21,46.959,19478.6305,154.9371,14.6926
2014-01-22,47.676,19776.1047,157.3033,14.9169
2014-01-23,55.531,23034.6909,183.2228,17.3749
2014-01-24,55.154,23013.0714,181.9784,17.2569
2014-01-27,54.461,22723.9775,179.6924,17.0401
2014-01-28,58.11,24246.3403,191.7307,18.1817
2014-01-29,57.203,23867.8358,188.7376,17.8978
2014-01-30,57.81,24121.1656,190.7408,18.0878
2014-01-31,58.476,24398.9342,192.9373,18.2961
2014-02-03,57.769,24184.85,190.6041,18.0748
2014-02-04,57.987,24276.3551,191.3253,18.1432
2014-02-05,57.774,24187.2423,190.623,18.0766
2014-02-06,58.273,24395.9695,192.268,18.2326
2014-02-07,61.426,25715.9152,202.6707,19.2191
2014-02-10,61.491,25743.4265,202.8875,19.2396
2014-02-11,61.999,25955.7422,204.5608,19.3983
2014-02-12,61.276,25653.1176,202.1757,19.1721
2014-02-13,62.364,26108.8488,205.7674,19.5127
2014-02-14,62.216,26046.6492,205.2772,19.4663
2014-02-18,62.407,26126.7909,205.9088,19.5262
2014-02-19,61.176,25611.2526,201.8458,19.1409
2014-02-20,62.136,26013.1572,205.0133,19.4412
2014-02-21,61.747,25850.4815,203.7312,19.3197
2014-02-24,63.857,26733.8344,210.693,19.9798
2014-02-25,64.719,27094.472,213.5353,20.2494
2014-02-26,64.113,26840.8893,211.5367,20.0598
