Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,113.23,25135.994,13.3031,2.32
2014-01-03,113.58,25213.6907,13.3442,2.3272
2014-01-06,113.8,25262.5286,13.3701,2.3317
2014-01-07,114.51,25420.1419,13.4535,2.3463
2014-01-08,115.19,25571.0955,13.5334,2.3602
2014-01-09,115.63,25668.7714,13.5851,2.3692
2014-01-10,116.37,25833.0444,13.672,2.3844
2014-01-13,115.63,25668.7714,13.5851,2.3692
2014-01-14,117.11,25997.3174,13.759,2.3995
2014-01-15,117.88,26168.2502,13.8494,2.4153
2014-01-16,118.29,26259.2663,13.8976,2.4237
2014-01-17,118.24,26248.1668,13.8917,2.4227
2014-01-21,119.19,26459.0579,14.0033,2.4422
2014-01-22,120.32,26709.9072,14.1361,2.4653
2014-01-23,117.5,26083.8938,13.8048,2.4075
2014-01-24,113.45,25184.8319,13.329,2.3245
2014-01-27,112.7,25018.339,13.2408,2.3092
2014-01-28,112.01,24865.1655,13.1598,2.295
2014-01-29,112.13,24891.8043,13.1739,2.2975
2014-01-30,113.25,25140.4338,13.3055,2.3204
2014-01-31,115.55,25651.0121,13.5757,2.3676
2014-02-03,113.25,24545.4928,13.3055,2.3204
2014-02-04,110.8,24014.4866,13.0176,2.2702
2014-02-05,111.4,24144.5289,13.0881,2.2825
2014-02-06,112.28,24335.2577,13.1915,2.3006
2014-02-07,114.97,24918.2809,13.5075,2.3557
2014-02-10,114.32,24777.4017,13.4312,2.3424
2014-02-11,116.9,25336.5838,13.7343,2.3952
2014-02-12,118.07,25590.1664,13.8718,2.4192
2014-02-13,118.86,25761.3888,13.9646,2.4354
2014-02-14,120.28,26069.1557,14.1314,2.4645
2014-02-18,120.06,26021.4735,14.1056,2.46
2014-02-19,119.05,25802.5689,13.9869,2.4393
2014-02-20,120.61,26140.679,14.1702,2.4712
2014-02-21,120.47,26110.3357,14.1537,2.4684
2014-02-24,122.12,26467.9522,14.3476,2.5022
2014-02-25,119.68,25939.1133,14.0609,2.4522
2014-02-26,118.72,25731.0456,13.9481,2.4325
2014-02-27,120.02,26012.804,14.1009,2.4592
2014-02-28,121.03,26231.7086,14.2195,2.4799
2014-03-03,121.02,26229.5412,14.2183,2.4796
2014-03-04,124.25,26929.6025,14.5978,2.5458
2014-03-05,123.65,26799.5602,14.5273,2.5335
2014-03-06,123.69,26808.2297,14.532,2.5344
2014-03-07,124.3,26940.4394,14.6037,2.5469
2014-03-10,122.72,26597.9945,14.4181,2.5145
2014-03-11,121.77,26392.0942,14.3065,2.495
2014-03-12,122.42,26532.9734,14.3828,2.5083
2014-03-13,120.94,26212.2022,14.2089,2.478
2014-03-14,121.44,26320.5709,14.2677,2.4883
2014-03-17,122.51,26552.4797,14.3934,2.5102
2014-03-18,123.99,26873.2508,14.5673,2.5405
2014-03-19,122.88,26632.6725,14.4369,2.5178
2014-03-20,122.34,26515.6344,14.3734,2.5067
2014-03-21,121.88,26415.9353,14.3194,2.4973
2014-03-24,121.02,26229.5412,14.2183,2.4796
2014-03-25,122.13,26470.1196,14.3488,2.5024
2014-03-26,121.66,26368.2531,14.2935,2.4928
2014-03-27,119.94,25995.465,14.0915,2.4575
2014-03-28,121.81,26400.7636,14.3112,2.4958
2014-03-31,123.38,26741.0411,13.8939,2.5099
2014-04-01,123.95,26864.5814,13.9581,2.5215
2014-04-02,124.59,27003.2932,14.0302,2.5346
2014-04-03,125.02,27096.4902,14.0786,2.5433
2014-04-04,120.69,26049.5266,13.591,2.4552
2014-04-07,119.29,25747.3529,13.4333,2.4267
2014-04-08,118.87,25656.7008,13.386,2.4182
2014-04-09,120.32,25969.6664,13.5493,2.4477
2014-04-10,117.16,25287.6173,13.1935,2.3834
2014-04-11,116.67,25181.8565,13.1383,2.3734
2014-04-14,118.0,25468.9215,13.2881,2.4005
2014-04-15,118.92,25667.4928,13.3917,2.4192
2014-04-16,120.6,26030.1011,13.5809,2.4534
2014-04-17,122.0,26332.2748,13.7385,2.4819
2014-04-21,122.21,26377.6008,13.7622,2.4861
2014-04-22,119.79,25855.2721,13.4896,2.4369
2014-04-23,121.66,26051.6968,13.7002,2.475
2014-04-24,119.18,25520.6414,13.421,2.4245
2014-04-25,118.99,25479.9557,13.3996,2.4206
2014-04-28,119.11,25505.6519,13.4131,2.4231
2014-04-29,120.46,25794.7345,13.5651,2.4505
2014-04-30,121.51,26019.5766,13.6833,2.4719
2014-05-01,120.61,25826.8548,13.582,2.4536
2014-05-02,120.73,25852.551,13.5955,2.456
2014-05-05,120.95,25899.6608,13.6203,2.4605
2014-05-06,119.62,25614.8609,13.4705,2.4335
2014-05-07,120.92,25893.2367,13.6169,2.4599
2014-05-08,121.23,25959.6187,13.6518,2.4662
2014-05-09,121.06,25923.2157,13.6327,2.4627
2014-05-12,122.44,26218.7224,13.7881,2.4908
2014-05-13,123.07,26353.6276,13.859,2.5036
2014-05-14,121.74,26068.8277,13.7092,2.4766
2014-05-15,119.19,25522.7827,13.4221,2.4247
