Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,55.69,7726.2508,,19.8254
2014-01-03,55.18,7655.495,,19.6439
2014-01-06,55.73,7731.8002,,19.8397
2014-01-07,57.78,8016.2106,,20.5694
2014-01-08,57.89,8031.4717,,20.6086
2014-01-09,57.66,7999.5622,,20.5267
2014-01-10,59.38,8238.1894,,21.139
2014-01-13,57.09,7920.4822,,20.3238
2014-01-14,57.63,7995.4001,,20.516
2014-01-15,60.31,8367.2146,,21.4701
2014-01-16,61.89,8586.4187,,22.0326
2014-01-17,62.05,8608.6166,,22.0895
2014-01-21,60.8,8435.1957,,21.6446
2014-01-22,61.48,8529.5367,,21.8866
2014-01-23,62.46,8665.4987,,22.2355
2014-01-24,58.56,8124.4253,,20.8471
2014-01-27,58.0,8046.7327,,20.6478
2014-01-28,58.96,8179.92,,20.9895
2014-01-29,57.6,7991.238,,20.5054
2014-01-30,65.61,9102.5195,,23.3569
2014-01-31,63.43,8800.0734,,22.5808
2014-02-03,62.96,8734.8671,,22.4135
2014-02-04,64.15,8899.9638,,22.8371
2014-02-05,63.53,8813.947,,22.6164
2014-02-06,62.65,8691.8587,,22.3031
2014-02-07,66.29,9196.8605,,23.599
2014-02-10,65.84,9134.429,,23.4388
2014-02-11,66.13,9174.6626,,23.542
2014-02-12,66.19,9182.9868,,23.5634
2014-02-13,67.65,9385.5425,,24.0831
2014-02-14,67.53,9368.8941,,24.0404
2014-02-18,67.52,9367.5068,,24.0368
2014-02-19,66.75,9260.6794,,23.7627
2014-02-20,67.08,9306.4626,,23.8802
2014-02-21,69.28,9611.6835,,24.6634
2014-02-24,68.9,9558.9635,,24.5281
2014-02-25,68.76,9539.5403,,24.4783
2014-02-26,68.68,9528.4414,,24.4498
2014-02-27,70.12,9728.2224,,24.9624
2014-02-28,68.06,9603.2664,,24.2291
2014-03-03,67.95,9587.7454,,24.1899
2014-03-04,70.81,9991.2914,,25.2081
2014-03-05,70.03,9881.2334,,24.9304
2014-03-06,68.57,9675.2274,,24.4106
2014-03-07,67.14,9473.4544,,23.9016
2014-03-10,66.9,9439.5904,,23.8161
2014-03-11,66.94,9445.2344,,23.8304
2014-03-12,68.82,9710.5024,,24.4996
2014-03-13,67.74,9558.1144,,24.1152
2014-03-14,66.18,9337.9984,,23.5598
2014-03-17,66.99,9452.2894,,23.8482
2014-03-18,68.46,9659.7064,,24.3715
2014-03-19,67.44,9515.7844,,24.0084
2014-03-20,66.6,9397.2604,,23.7093
2014-03-21,62.56,8827.2164,,22.2711
2014-03-24,61.54,8683.2944,,21.908
2014-03-25,59.21,8354.5314,,21.0785
2014-03-26,57.55,8120.3054,,20.4876
2014-03-27,59.01,8326.3114,,21.0073
2014-03-28,57.91,8171.1014,,20.6157
2014-03-31,59.92,8454.7124,,21.2871
2014-04-01,62.53,8822.9834,,22.2144
2014-04-02,61.27,8645.1974,,21.7667
2014-04-03,54.68,7715.3483,,19.4256
2014-04-04,52.32,7382.3523,,18.5872
2014-04-07,50.94,7187.6343,,18.0969
2014-04-08,50.86,7176.3463,,18.0685
2014-04-09,54.88,7743.5683,,19.4966
2014-04-10,50.63,7143.8933,,17.9868
2014-04-11,49.67,7008.4373,,17.6457
2014-04-14,49.65,7005.6153,,17.6386
2014-04-15,51.71,7296.2813,,18.3705
2014-04-16,53.29,7519.2193,,18.9318
2014-04-17,53.26,7514.9863,,18.9211
2014-04-21,53.15,7499.4653,,18.882
2014-04-22,55.23,7792.9533,,19.621
2014-04-23,53.07,7488.1773,,18.8536
2014-04-24,49.88,7038.0683,,17.7203
2014-04-25,47.23,6664.1533,,16.7789
2014-04-28,46.42,6549.8623,,16.4911
2014-04-29,49.17,6937.8873,,17.4681
2014-04-30,49.72,7015.4923,,17.6635
2014-05-01,50.48,7122.7283,,17.9335
2014-05-02,51.18,7221.4983,,18.1822
2014-05-05,52.22,7368.2423,,18.5516
2014-05-06,49.49,6983.0393,,17.5818
2014-05-07,47.06,6748.4037,,16.7185
2014-05-08,46.74,6702.5157,,16.6048
2014-05-09,46.46,6662.3637,,16.5053
2014-05-12,48.51,6956.3337,,17.2336
2014-05-13,47.33,6787.1217,,16.8144
2014-05-14,47.57,6821.5377,,16.8997
2014-05-15,47.82,6857.3877,,16.9885
2014-05-16,47.39,6795.7257,,16.8357
2014-05-19,48.4,6940.5597,,17.1945
2014-05-20,48.49,6953.4657,,17.2265
2014-05-21,48.37,6936.2577,,17.1839
2014-05-22,50.44,7233.0957,,17.9193
2014-05-23,52.53,7532.8017,,18.6618
2014-05-27,54.3,7786.6197,,19.2906
2014-05-28,53.81,7751.8915,,19.1165
2014-05-29,54.39,7835.4465,,19.3226
2014-05-30,52.31,7535.8008,,18.5836
2014-06-02,50.26,7240.477,,17.8553
2014-06-03,50.41,7262.086,,17.9086
2014-06-04,51.39,7403.2652,,18.2568
2014-06-05,53.89,7763.4163,,19.1449
2014-06-06,56.61,8155.2606,,20.1112
2014-06-09,55.94,8058.7402,,19.8732
2014-06-10,55.97,8063.062,,19.8839
2014-06-11,57.8,8326.6926,,20.534
2014-06-12,57.48,8280.5932,,20.4203
2014-06-13,59.2,8528.3771,,21.0314
2014-06-16,59.96,8637.8631,,21.3013
2014-06-17,60.0,8643.6255,,21.3156
2014-06-18,60.52,8718.5369,,21.5003
2014-06-19,60.02,8646.5067,,21.3227
2014-06-20,60.47,8711.3339,,21.4825
2014-06-23,61.23,8820.8198,,21.7525
2014-06-24,61.09,8800.6514,,21.7028
2014-06-25,61.93,8921.6621,,22.0012
2014-06-26,61.63,8878.444,,21.8946
2014-06-27,61.4,8845.3101,,21.8129
2014-06-30,61.96,8925.9839,,22.5938
2014-07-01,63.58,9159.3618,,23.1845
2014-07-02,62.12,8949.0336,,22.6522
2014-07-03,61.6,8874.1222,,22.4625
2014-07-07,59.93,8633.5413,,21.8536
2014-07-08,55.88,8050.0965,,20.3767
2014-07-09,56.64,8159.5825,,20.6539
2014-07-10,57.5,8283.4744,,20.9675
2014-07-11,57.02,8214.3254,,20.7924
2014-07-14,57.55,8290.6774,,20.9857
2014-07-15,56.02,8070.265,,20.4278
2014-07-16,56.32,8113.4831,,20.5372
2014-07-17,56.61,8155.2606,,20.6429
2014-07-18,57.52,8286.3556,,20.9748
2014-07-21,58.88,8482.2778,,21.4707
2014-07-22,58.55,8434.7379,,21.3504
2014-07-23,58.23,8388.6385,,21.2337
2014-07-24,59.43,8561.511,,21.6712
2014-07-25,59.73,8604.7292,,21.7806
2014-07-28,58.33,8403.0446,,21.2701
2014-07-29,59.7,8600.4074,,21.7697
2014-07-30,62.64,9023.945,,22.8418
2014-07-31,58.8,8470.753,,21.4415
2014-08-01,56.67,8163.9043,,20.6648
2014-08-04,57.71,8313.7271,,21.044
2014-08-05,56.63,8158.1419,,20.6502
2014-08-06,55.37,7976.6257,,20.1908
2014-08-07,55.36,8065.9518,,20.1871
2014-08-08,55.0,8013.4998,,20.0558
2014-08-11,55.99,8157.7428,,20.4168
2014-08-12,54.61,7956.6768,,19.9136
2014-08-13,55.31,8058.6668,,20.1689
2014-08-14,54.89,7997.4728,,20.0157
2014-08-15,54.7,7969.7898,,19.9464
2014-08-18,56.0,8159.1998,,20.4205
2014-08-19,57.71,8408.3468,,21.044
2014-08-20,57.53,8382.1208,,20.9784
2014-08-21,56.9,8290.3298,,20.7487
2014-08-22,59.62,8686.6338,,21.7405
2014-08-25,58.82,8570.0738,,21.4488
2014-08-26,59.73,8702.6608,,21.7806
2014-08-27,60.08,8753.6558,,21.9083
2014-08-28,59.53,8673.5208,,21.7077
2014-08-29,61.13,8906.6408,,22.2912
2014-09-02,62.85,9157.2448,,22.9184
2014-09-03,62.74,9141.2178,,22.8782
2014-09-04,61.26,8925.5818,,22.3386
2014-09-05,62.47,9101.8788,,22.7798
2014-09-08,64.31,9369.9668,,23.4507
2014-09-09,62.23,9066.9108,,22.6923
2014-09-10,62.48,9103.3358,,22.7834
2014-09-11,63.36,9231.5518,,23.1043
2014-09-12,61.61,8976.5768,,22.4662
2014-09-15,58.98,8593.3858,,21.5072
2014-09-16,59.91,8728.8868,,21.8463
2014-09-17,61.01,8889.1568,,22.2474
2014-09-18,61.31,8932.8668,,22.3568
2014-09-19,62.34,9082.9378,,22.7324
2014-09-22,60.6,8829.4198,,22.0979
2014-09-23,59.17,8621.0688,,21.5764
2014-09-24,60.07,8752.1988,,21.9046
2014-09-25,58.4,8508.8798,,21.2957
2014-09-26,59.56,8677.8918,,21.7187
2014-09-29,59.79,8711.4028,,21.8025
2014-09-30,58.78,8564.2458,,20.7614
2014-10-01,57.3,8348.6098,,20.2387
2014-10-02,57.92,8438.9438,,20.4576
2014-10-03,60.29,8784.2528,,21.2947
2014-10-06,60.53,8819.2208,,21.3795
2014-10-07,57.82,8424.3738,,20.4223
2014-10-08,59.36,8648.7518,,20.9663
2014-10-09,58.36,8503.0518,,20.6131
2014-10-10,56.47,8227.6788,,19.9455
2014-10-13,54.2,7896.9398,,19.1437
2014-10-14,56.03,8163.5708,,19.7901
2014-10-15,57.4,8363.1798,,20.274
2014-10-16,57.25,8341.3248,,20.221
2014-10-17,60.38,8797.3658,,21.3265
2014-10-20,59.28,8637.0958,,20.938
2014-10-21,60.48,8811.9358,,21.3618
2014-10-22,58.07,8460.7988,,20.5106
2014-10-23,64.54,9403.4778,,22.7959
2014-10-24,65.45,9536.0648,,23.1173
2014-10-27,64.09,9337.9128,,22.6369
2014-10-28,66.97,9757.5288,,23.6541
2014-10-29,65.03,9474.8708,,22.9689
2014-10-30,66.42,9677.3938,,23.4599
2014-10-31,67.93,9897.4008,,23.9932
