Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,91.31,28206.6031,15.6528,2.4983
2014-01-03,91.37,28225.1377,15.6631,2.5
2014-01-06,90.0,27801.9305,15.4282,2.4625
2014-01-07,90.54,27968.7421,15.5208,2.4773
2014-01-08,89.91,27774.1286,15.4128,2.46
2014-01-09,91.31,28206.6031,15.6528,2.4983
2014-01-10,91.59,28293.098,15.7008,2.506
2014-01-13,90.19,27860.6235,15.4608,2.4677
2014-01-14,90.76,28036.7024,15.5585,2.4833
2014-01-15,91.16,28160.2665,15.6271,2.4942
2014-01-16,87.76,27109.9714,15.0442,2.4012
2014-01-17,88.99,27489.9311,15.2551,2.4349
2014-01-21,88.71,27403.4362,15.2071,2.4272
2014-01-22,92.94,28707.1573,15.9322,2.5429
2014-01-23,93.66,28929.5498,16.0556,2.5626
2014-01-24,89.61,27678.5923,15.3614,2.4518
2014-01-27,90.32,27897.896,15.4831,2.4712
2014-01-28,91.26,28188.2416,15.6442,2.497
2014-01-29,89.8,27737.2792,15.3939,2.457
2014-01-30,92.76,28651.5592,15.9013,2.538
2014-01-31,92.59,28599.0499,15.8722,2.5334
2014-02-03,89.58,27669.3259,15.3562,2.451
2014-02-04,91.79,28351.9472,15.7351,2.5115
2014-02-05,91.76,28342.6808,15.7299,2.5106
2014-02-06,93.57,28901.7507,16.0402,2.5602
2014-02-07,94.74,29263.1384,16.2408,2.5922
2014-02-10,92.92,28700.9798,15.9288,2.5424
2014-02-11,93.11,28759.6667,15.9613,2.5476
2014-02-12,93.6,28911.0171,16.0453,2.561
2014-02-13,92.47,28561.9845,15.8516,2.5301
2014-02-14,92.84,28753.9544,15.9151,2.5402
2014-02-18,91.4,28307.9646,15.6682,2.5008
2014-02-19,90.32,27973.4723,15.4831,2.4712
2014-02-20,91.02,28190.2729,15.6031,2.4904
2014-02-21,90.47,28019.9295,15.5088,2.4754
2014-02-24,91.27,28267.7016,15.6459,2.4972
2014-02-25,90.64,28072.5811,15.5379,2.48
2014-02-26,90.69,28088.0669,15.5465,2.4814
2014-02-27,90.61,28063.2896,15.5328,2.4792
2014-02-28,91.91,28465.9193,15.7556,2.5148
2014-03-03,91.76,28419.4621,15.7299,2.5106
2014-03-04,94.15,29159.6813,16.1396,2.576
2014-03-05,93.99,29110.1268,16.1122,2.5717
2014-03-06,94.5,29268.0816,16.1996,2.5856
2014-03-07,94.29,29203.0414,16.1636,2.5799
2014-03-10,94.43,29246.4015,16.1876,2.5837
2014-03-11,95.75,29655.2255,16.4139,2.6198
2014-03-12,96.09,29760.5287,16.4722,2.6291
2014-03-13,95.24,29497.2708,16.3265,2.6059
2014-03-14,94.53,29277.373,16.2048,2.5864
2014-03-17,95.83,29680.0027,16.4276,2.622
2014-03-18,96.66,29937.0663,16.5699,2.6447
2014-03-19,97.3,30135.284,16.6796,2.6622
2014-03-20,96.98,30036.1751,16.6248,2.6535
2014-03-21,96.47,29878.2204,16.5373,2.6395
2014-03-24,96.55,29902.9976,16.551,2.6417
2014-03-25,97.38,30160.0612,16.6933,2.6644
2014-03-26,96.04,29745.0429,16.4636,2.6278
2014-03-27,95.26,29503.4651,16.3299,2.6064
2014-03-28,96.35,29841.0546,16.5168,2.6362
2014-03-31,97.17,30095.021,16.7775,2.5732
2014-04-01,98.08,30376.8618,16.9347,2.5973
2014-04-02,97.68,30252.9757,16.8656,2.5867
2014-04-03,97.47,30187.9356,16.8293,2.5811
2014-04-04,96.64,29930.872,16.686,2.5592
2014-04-07,95.88,29695.4885,16.5548,2.539
2014-04-08,95.27,29506.5622,16.4495,2.5229
2014-04-09,96.28,29819.3745,16.6239,2.5496
2014-04-10,94.5,29268.0816,16.3165,2.5025
2014-04-11,93.15,28849.9661,16.0834,2.4667
2014-04-14,93.8,29051.281,16.1957,2.4839
2014-04-15,94.49,29264.9844,16.3148,2.5022
2014-04-16,95.25,29500.3679,16.446,2.5223
2014-04-17,96.27,29816.2774,16.6221,2.5494
2014-04-21,96.89,30008.3008,16.7292,2.5658
2014-04-22,96.92,30017.5922,16.7344,2.5666
2014-04-23,95.01,29419.4748,16.4046,2.516
2014-04-24,95.11,29450.4394,16.4218,2.5186
2014-04-25,94.03,29116.0216,16.2354,2.49
2014-04-28,94.25,29184.1438,16.2734,2.4959
2014-04-29,94.71,29326.581,16.3528,2.508
2014-04-30,94.53,29270.8447,16.3217,2.5033
2014-05-01,93.58,28976.6809,16.1577,2.4781
2014-05-02,93.57,28973.5844,16.1559,2.4779
2014-05-05,93.64,28995.2596,16.168,2.4797
2014-05-06,93.75,29029.3207,16.187,2.4826
2014-05-07,94.96,29403.9925,16.3959,2.5147
2014-05-08,95.5,29571.2014,16.4892,2.529
2014-05-09,95.3,29509.2722,16.4547,2.5237
2014-05-12,96.76,29961.3554,16.7067,2.5623
2014-05-13,97.58,30215.2652,16.8483,2.584
2014-05-14,97.42,30165.7219,16.8207,2.5798
2014-05-15,96.43,29859.1722,16.6498,2.5536
2014-05-16,97.34,30140.9502,16.8069,2.5777
2014-05-19,97.77,30274.098,16.8811,2.5891
2014-05-20,97.87,30305.0626,16.8984,2.5917
2014-05-21,98.83,30602.3228,17.0641,2.6171
2014-05-22,99.04,30667.3485,17.1004,2.6227
2014-05-23,99.2,30716.8919,17.128,2.6269
2014-05-27,99.81,30905.776,17.2334,2.6431
2014-05-28,100.14,31007.9592,17.2903,2.6518
2014-05-29,101.04,31286.6407,17.4457,2.6757
2014-05-30,100.75,31196.8433,17.3957,2.668
2014-06-02,100.58,31144.2035,17.3663,2.6635
2014-06-03,98.88,30617.8051,17.0728,2.6185
2014-06-04,99.18,30710.699,17.1246,2.6264
2014-06-05,100.49,31116.3353,17.3508,2.6611
2014-06-06,101.76,31509.5859,17.57,2.6947
2014-06-09,102.4,31707.7594,17.6806,2.7117
