Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,40.42,13775.8719,23.4931,3.353
2014-01-03,40.33,13745.1983,23.4408,3.3455
2014-01-06,40.15,13683.851,23.3362,3.3306
2014-01-07,40.815,13910.4951,23.7227,3.3857
2014-01-08,41.05,13990.5874,23.8593,3.4052
2014-01-09,40.65,13854.2601,23.6268,3.372
2014-01-10,40.37,13758.831,23.4641,3.3488
2014-01-13,39.7,13530.4828,23.0746,3.2932
2014-01-14,40.19,13697.4837,23.3594,3.3339
2014-01-15,43.51,14829.0002,25.2891,3.6093
2014-01-16,43.28,14750.612,25.1554,3.5902
2014-01-17,44.49,15163.002,25.8587,3.6906
2014-01-21,44.89,15299.3293,26.0912,3.7238
2014-01-22,45.45,15490.1875,26.4167,3.7702
2014-01-23,45.85,15626.5148,26.6492,3.8034
2014-01-24,43.96,14982.3684,23.9123,3.7405
2014-01-27,43.71,14897.1638,23.7763,3.7192
2014-01-28,43.74,14907.3884,23.7926,3.7218
2014-01-29,42.76,14573.3865,23.2595,3.6384
2014-01-30,43.14,14702.8974,23.4662,3.6707
2014-01-31,42.34,14430.2429,23.0311,3.6027
2014-02-03,41.94,14293.9156,22.8135,3.5686
2014-02-04,42.1,14348.4465,22.9005,3.5822
2014-02-05,41.57,14167.8129,22.6122,3.5371
2014-02-06,41.71,14215.5274,22.6884,3.5491
2014-02-07,42.82,14593.8356,23.2922,3.6435
2014-02-10,43.27,14747.2038,23.537,3.6818
2014-02-11,43.69,14890.3475,23.7654,3.7175
2014-02-12,42.59,14515.4474,23.1671,3.6239
2014-02-13,41.1,14007.6283,22.3566,3.4972
2014-02-14,40.72,13878.1174,22.1499,3.4648
2014-02-18,40.62,13844.0356,22.0955,3.4563
2014-02-19,40.53,13813.3619,22.0465,3.4487
2014-02-20,40.18,13694.0755,21.8561,3.4189
2014-02-21,39.89,13595.2383,21.6984,3.3942
2014-02-24,40.085,13661.6978,21.8045,3.4108
2014-02-25,39.85,13581.6055,21.6766,3.3908
2014-02-26,40.28,13343.7666,21.9105,3.4274
2014-02-27,40.62,13456.4002,22.0955,3.4563
2014-02-28,40.41,13386.8324,21.9812,3.4384
2014-03-03,40.5,13416.6471,22.0302,3.4461
2014-03-04,40.18,13310.6391,21.8561,3.4189
2014-03-05,39.81,13188.0672,21.6549,3.3874
2014-03-06,39.03,12929.6725,21.2306,3.321
2014-03-07,37.9,12555.3315,20.6159,3.2249
2014-03-10,37.81,12525.5168,20.567,3.2172
2014-03-11,37.44,12402.9449,20.3657,3.1857
2014-03-12,37.85,12538.7678,20.5887,3.2206
2014-03-13,37.16,12310.1878,20.2134,3.1619
2014-03-14,36.57,12114.7355,19.8925,3.1117
2014-03-17,37.3,12356.5664,20.2895,3.1738
2014-03-18,37.46,12409.5704,20.3766,3.1874
2014-03-19,37.09,12286.9986,20.1753,3.156
2014-03-20,37.095,12288.655,20.178,3.1564
2014-03-21,37.8,12522.204,20.5615,3.2164
2014-03-24,36.58,12118.0482,19.8979,3.1126
2014-03-25,37.09,12286.9986,20.1753,3.156
2014-03-26,36.69,12154.4885,19.9577,3.1219
2014-03-27,36.26,12012.0401,19.7238,3.0853
2014-03-28,36.18,11985.5381,19.6803,3.0785
2014-03-31,36.9,12224.0563,20.072,3.1398
2014-04-01,37.115,12295.2805,20.1889,3.1581
2014-04-02,37.64,12469.2,20.4745,3.2027
2014-04-03,37.52,12429.4469,20.4092,3.1925
2014-04-04,37.53,12432.7597,20.4147,3.1934
