Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,60.89,14551.7354,20.5681,1.8264
2014-01-03,61.3,14649.7188,20.7066,1.8387
2014-01-06,60.92,14558.9049,20.5782,1.8273
2014-01-07,61.7,14745.3124,20.8417,1.8507
2014-01-08,62.02,14821.7873,20.9498,1.8603
2014-01-09,61.49,14695.1258,20.7708,1.8444
2014-01-10,61.12,14606.7017,20.6458,1.8333
2014-01-13,60.43,14441.8027,20.4127,1.8126
2014-01-14,60.6,14482.43,20.4701,1.8177
2014-01-15,61.2,14625.8204,20.6728,1.8357
2014-01-16,61.05,14589.9728,20.6222,1.8312
2014-01-17,60.71,14508.7182,20.5073,1.821
2014-01-21,60.61,14484.8198,20.4735,1.818
2014-01-22,62.61,14962.7878,21.1491,1.878
2014-01-23,62.6,14960.398,21.1457,1.8777
2014-01-24,61.13,14609.0915,20.6492,1.8336
2014-01-27,60.55,14369.8475,20.4533,1.8162
2014-01-28,60.76,14419.6851,20.5242,1.8225
2014-01-29,60.7,14405.4458,20.5039,1.8207
2014-01-30,61.12,14505.121,20.6458,1.8333
2014-01-31,60.22,14291.5312,20.3418,1.8063
2014-02-03,58.4,13859.6052,19.727,1.7517
2014-02-04,59.78,14187.1095,20.1932,1.7931
2014-02-05,59.16,14039.9699,19.9837,1.7745
2014-02-06,59.75,14179.9899,20.183,1.7922
2014-02-07,60.73,14412.5654,20.5141,1.8216
2014-02-10,60.85,14441.0441,20.5546,1.8252
2014-02-11,61.77,14659.3803,20.8654,1.8528
2014-02-12,61.87,14683.1125,20.8991,1.8558
2014-02-13,62.04,14723.4573,20.9566,1.8609
2014-02-14,62.25,14773.2949,21.0275,1.8672
2014-02-18,62.22,14766.1752,21.0174,1.8663
2014-02-19,61.43,14578.6908,20.7505,1.8426
2014-02-20,61.54,14604.7963,20.7877,1.8459
2014-02-21,61.9,14690.2322,20.9093,1.8567
2014-02-24,62.45,14820.7593,21.0951,1.8732
2014-02-25,61.86,14680.7393,20.8958,1.8555
2014-02-26,61.72,14647.5142,20.8485,1.8513
2014-02-27,62.18,14755.9205,21.0039,1.8651
2014-02-28,61.85,14677.6082,20.8924,1.8552
2014-03-03,61.33,14554.2072,20.7167,1.8396
2014-03-04,62.29,14782.0245,21.041,1.8684
2014-03-05,62.13,14744.055,20.987,1.8636
2014-03-06,62.82,14907.7987,21.22,1.8843
2014-03-07,64.02,15192.5704,21.6254,1.9203
2014-03-10,64.12,15216.3014,21.6592,1.9233
2014-03-11,63.14,14983.7378,21.3281,1.8939
2014-03-12,62.7,14879.3215,21.1795,1.8807
2014-03-13,61.795,14664.5562,20.8738,1.8536
2014-03-14,62.04,14722.6971,20.9566,1.8609
2014-03-17,62.75,14891.187,21.1964,1.8822
2014-03-18,63.08,14969.4992,21.3079,1.8921
2014-03-19,63.92,15168.8394,21.5916,1.9173
2014-03-20,65.58,15562.7736,22.1523,1.9671
2014-03-21,65.77,15607.8625,22.2165,1.9728
2014-03-24,65.65,15579.3853,22.176,1.9692
2014-03-25,65.31,15498.7,22.0611,1.959
2014-03-26,64.67,15346.8218,21.845,1.9398
2014-03-27,64.32,15263.7633,21.7267,1.9293
2014-03-28,64.91,15403.7761,21.926,1.947
2014-03-31,65.56,15558.0274,21.5975,1.9506
2014-04-01,65.75,15603.1163,21.6601,1.9562
2014-04-02,65.64,15577.0122,21.6238,1.9529
2014-04-03,65.47,15536.6696,21.5678,1.9479
2014-04-04,64.16,15225.7938,21.1363,1.9089
2014-04-07,62.83,14910.1718,20.6981,1.8693
2014-04-08,62.58,14850.8444,20.6158,1.8619
2014-04-09,62.78,14898.3063,20.6817,1.8679
2014-04-10,61.56,14608.7884,20.2798,1.8316
2014-04-11,60.59,14378.598,19.9602,1.8027
2014-04-14,61.22,14528.1031,20.1678,1.8214
2014-04-15,59.63,14150.7806,19.644,1.7741
2014-04-16,59.04,14010.7678,19.4496,1.7566
2014-04-17,59.39,14093.8263,19.5649,1.767
2014-04-21,59.91,14217.2273,19.7362,1.7825
2014-04-22,60.29,14307.405,19.8614,1.7938
2014-04-23,60.84,14437.9254,20.0426,1.8101
2014-04-24,60.24,14295.5395,19.8449,1.7923
2014-04-25,59.47,14112.811,19.5913,1.7694
2014-04-28,59.2,13999.6799,19.5023,1.7613
2014-04-29,60.02,14193.5944,19.7724,1.7857
2014-04-30,60.25,14247.985,19.8482,1.7926
2014-05-01,60.06,14203.0536,19.7856,1.7869
2014-05-02,60.49,14304.7405,19.9273,1.7997
2014-05-05,60.15,14224.3369,19.8153,1.7896
2014-05-06,59.44,14056.4353,19.5814,1.7685
2014-05-07,60.64,14340.2126,19.9767,1.8042
2014-05-08,61.04,14434.8051,20.1085,1.8161
2014-05-09,61.11,14451.3587,20.1315,1.8182
2014-05-12,61.76,14605.0714,20.3457,1.8375
2014-05-13,61.72,14595.6122,20.3325,1.8363
2014-05-14,60.88,14396.9681,20.0558,1.8113
2014-05-15,59.62,14099.0019,19.6407,1.7738
2014-05-16,59.81,14143.9333,19.7033,1.7795
2014-05-19,60.08,14207.7832,19.7922,1.7875
2014-05-20,59.57,14087.1779,19.6242,1.7724
2014-05-21,59.88,14160.487,19.7263,1.7816
2014-05-22,60.33,14266.9035,19.8746,1.795
2014-05-23,60.36,14273.9979,19.8844,1.7959
2014-05-27,60.84,14387.5089,20.0426,1.8101
2014-05-28,60.78,14373.32,20.0228,1.8084
2014-05-29,60.49,14304.7405,19.9273,1.7997
2014-05-30,60.4,14283.4572,19.8976,1.797
2014-06-02,60.83,14385.144,20.0393,1.8098
2014-06-03,60.94,14411.157,20.0755,1.8131
2014-06-04,61.29,14493.9253,20.1908,1.8235
2014-06-05,61.63,14574.3289,20.3028,1.8336
2014-06-06,62.21,14711.4879,20.4939,1.8509
2014-06-09,62.64,14813.1748,20.6356,1.8637
2014-06-10,62.69,14824.9988,20.652,1.8652
2014-06-11,62.1,14685.475,20.4577,1.8476
2014-06-12,62.2,14709.1231,20.4906,1.8506
2014-06-13,62.21,14711.4879,20.4939,1.8509
2014-06-16,62.25,14720.9472,20.5071,1.8521
2014-06-17,63.89,15108.7761,21.0473,1.9009
2014-06-18,64.39,15227.0167,21.2121,1.9158
2014-06-19,64.12,15163.1668,21.1231,1.9077
2014-06-20,64.29,15203.3686,21.1791,1.9128
2014-06-23,64.11,15160.802,21.1198,1.9074
2014-06-24,63.88,15106.4113,21.044,1.9006
2014-06-25,64.15,15170.2612,21.133,1.9086
2014-06-26,64.07,15151.3427,21.1066,1.9062
2014-06-27,64.45,15241.2055,21.2318,1.9175
2014-06-30,64.21,15184.4501,20.745,1.8808
2014-07-01,64.5,15253.0296,20.8386,1.8893
2014-07-02,64.06,15148.9779,20.6965,1.8765
2014-07-03,64.89,15345.2572,20.9646,1.9008
