Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,0.3965,9016.9744,20.0602,2.087
2014-01-03,0.3918,8908.9526,19.8198,2.0619
2014-01-06,0.397,9028.3451,20.0855,2.0896
2014-01-07,0.4035,9176.1643,20.4143,2.1238
2014-01-08,0.409,9301.2421,20.6926,2.1527
2014-01-09,0.3938,8954.4354,19.921,2.0725
2014-01-10,0.3933,8943.0647,19.8957,2.0698
2014-01-13,0.384,8732.7066,19.4277,2.0212
2014-01-14,0.396,9005.6036,20.0349,2.0843
2014-01-15,0.4003,9102.2547,20.2499,2.1067
2014-01-16,0.4015,9130.6815,20.3131,2.1133
2014-01-17,0.3998,9090.884,20.2246,2.1041
2014-01-21,0.4013,9124.9961,20.3005,2.112
2014-01-22,0.4008,9113.6254,20.2752,2.1093
2014-01-23,0.3993,9079.5133,20.1993,2.1014
2014-01-24,0.389,8846.4137,20.9966,1.9832
2014-01-27,0.3865,8789.5601,20.8616,1.9705
2014-01-28,0.3903,8874.8405,21.0641,1.9896
2014-01-29,0.3865,8789.5601,20.8616,1.9705
2014-01-30,0.393,8937.3794,21.2125,2.0036
2014-01-31,0.3925,8926.0087,21.1855,2.0011
2014-02-03,0.3873,8806.6162,20.9021,1.9743
2014-02-04,0.3895,8857.7844,21.0236,1.9858
2014-02-05,0.386,8778.1894,20.8347,1.9679
2014-02-06,0.391,8891.8965,21.1045,1.9934
2014-02-07,0.3968,9022.6597,21.4149,2.0227
2014-02-10,0.398,9051.0865,21.4824,2.0291
2014-02-11,0.4063,9238.7032,21.9277,2.0712
2014-02-12,0.4208,9568.4539,22.7103,2.1451
2014-02-13,0.434,9869.7777,23.4255,2.2126
2014-02-14,0.4478,10182.4723,24.1677,2.2827
2014-02-18,0.4475,10176.7869,24.1542,2.2815
2014-02-19,0.4535,10313.2355,24.478,2.3121
2014-02-20,0.4695,10677.0983,25.3416,2.3936
2014-02-21,0.466,10597.5033,25.1527,2.3758
2014-02-24,0.4728,10751.0079,25.5171,2.4102
2014-02-25,0.4685,10654.3568,25.2877,2.3885
2014-02-26,0.4678,10637.3008,25.2472,2.3847
2014-02-27,0.4625,10517.9083,24.9638,2.3579
2014-02-28,0.4595,10449.684,24.8019,2.3427
2014-03-03,0.4573,10398.5158,24.6804,2.3312
2014-03-04,0.462,10506.5376,24.9368,2.3554
2014-03-05,0.466,10597.5033,25.1527,2.3758
2014-03-06,0.4595,10449.684,24.8019,2.3427
2014-03-07,0.459,10438.3133,24.7749,2.3401
2014-03-10,0.4523,10284.8087,24.4106,2.3057
2014-03-11,0.4568,10387.1451,24.6534,2.3286
2014-03-12,0.458,10415.5719,24.7209,2.335
2014-03-13,0.4435,9832.2423,23.9383,2.2611
2014-03-14,0.4455,9876.5816,24.0462,2.2713
2014-03-17,0.4455,9876.5816,24.0462,2.2713
2014-03-18,0.456,10109.363,24.613,2.3248
2014-03-19,0.4639,10283.9491,25.038,2.365
2014-03-20,0.4643,10292.2627,25.0583,2.3669
2014-03-21,0.4635,10275.6354,25.0178,2.363
2014-03-24,0.4613,10225.7537,24.8963,2.3516
2014-03-25,0.4613,10225.7537,24.8963,2.3516
2014-03-26,0.4508,9992.9723,24.3296,2.298
2014-03-27,0.4448,9859.9544,24.0057,2.2675
2014-03-28,0.4475,9920.921,24.1542,2.2815
2014-03-31,0.4478,9926.4634,24.1677,2.2827
2014-04-01,0.4662,10336.602,25.1662,2.3771
2014-04-02,0.4633,10270.093,25.0043,2.3618
2014-04-03,0.4683,10380.9413,25.2742,2.3873
2014-04-04,0.4538,10059.4813,24.4915,2.3133
2014-04-07,0.4553,10092.7358,24.5725,2.321
2014-04-08,0.4715,10452.9927,25.4496,2.4038
2014-04-09,0.471,10441.9079,25.4226,2.4013
2014-04-10,0.4595,10243.2803,24.8019,2.3427
2014-04-11,0.453,10098.3808,24.451,2.3095
2014-04-14,0.458,10209.842,24.7209,2.335
2014-04-15,0.4613,10282.2918,24.8963,2.3516
2014-04-16,0.4622,10304.584,24.9503,2.3567
2014-04-17,0.464,10343.5954,25.0448,2.3656
2014-04-21,0.4678,10427.1913,25.2472,2.3847
2014-04-22,0.4718,10516.3602,25.4631,2.4051
2014-04-23,0.4773,10638.9675,25.7599,2.4331
2014-04-24,0.4815,10733.7094,25.9893,2.4548
2014-04-25,0.4683,10438.3374,22.757,2.508
2014-04-28,0.4662,10393.7529,22.6598,2.4973
2014-04-29,0.4673,10416.0451,22.7084,2.5026
2014-04-30,0.4618,10293.4379,22.4411,2.4732
2014-05-01,0.4643,10349.1684,22.5626,2.4866
2014-05-02,0.4608,10271.1456,22.3925,2.4678
2014-05-05,0.4658,10382.6068,22.6355,2.4946
2014-05-06,0.4563,10170.8306,22.1738,2.4437
2014-05-07,0.4569,10184.7632,22.2042,2.4471
2014-05-08,0.4625,10310.157,22.4776,2.4772
2014-05-09,0.4513,10059.3694,21.9308,2.4169
2014-05-12,0.4645,10354.7415,22.5748,2.4879
2014-05-13,0.457,10187.5498,22.2103,2.4477
2014-05-14,0.4525,10087.2347,21.9916,2.4236
2014-05-15,0.45,10031.5042,21.8701,2.4102
2014-05-16,0.449,10009.2119,21.8215,2.4049
2014-05-19,0.4635,10332.4493,22.5262,2.4825
2014-05-20,0.456,10165.2575,22.1617,2.4424
2014-05-21,0.456,10177.3044,22.1617,2.4424
2014-05-22,0.458,10221.9417,22.2589,2.4531
2014-05-23,0.4622,10316.7959,22.4654,2.4758
2014-05-27,0.4705,10500.9248,22.8664,2.52
2014-05-28,0.4745,10590.1994,23.0608,2.5415
2014-05-29,0.4738,10573.4604,23.0243,2.5374
2014-05-30,0.475,10601.3587,23.0851,2.5441
2014-06-02,0.4735,10567.8807,23.0122,2.5361
2014-06-03,0.4715,10523.2434,22.915,2.5254
2014-06-04,0.472,10534.4028,22.9393,2.5281
2014-06-05,0.474,10579.0401,23.0365,2.5388
2014-06-06,0.4758,10618.0977,23.1215,2.5481
2014-06-09,0.4763,10629.257,23.1458,2.5508
2014-06-10,0.4787,10685.0536,23.2673,2.5642
2014-06-11,0.485,10824.5452,23.5711,2.5977
2014-06-12,0.488,10891.5012,23.7169,2.6138
2014-06-13,0.4885,10902.6605,23.7412,2.6164
2014-06-16,0.487,10869.1825,23.6683,2.6084
2014-06-17,0.4903,10941.7181,23.8262,2.6258
2014-06-18,0.4898,10930.5588,23.8019,2.6231
2014-06-19,0.4785,10678.358,23.2527,2.5626
2014-06-20,0.4733,10562.3011,23.0,2.5348
2014-06-23,0.4678,10439.5485,22.7327,2.5053
2014-06-24,0.4605,10277.7383,22.3804,2.4665
2014-06-25,0.4653,10383.7519,22.6112,2.4919
2014-06-26,0.459,10244.2603,22.3075,2.4584
2014-06-27,0.4595,10255.4196,22.3318,2.4611
2014-06-30,0.4635,10344.6942,22.5262,2.4825
2014-07-01,0.4688,10461.8671,22.7813,2.5107
2014-07-02,0.4671,10424.2044,22.6993,2.5016
2014-07-03,0.4713,10517.6638,22.9028,2.524
2014-07-07,0.4675,10433.9688,22.7206,2.504
2014-07-08,0.4638,10350.2739,22.5383,2.4839
2014-07-09,0.4778,10662.735,23.2187,2.5589
2014-07-10,0.4751,10604.1485,23.0911,2.5448
2014-07-11,0.4763,10629.257,23.1458,2.5508
2014-07-14,0.4823,10763.1689,23.4374,2.583
2014-07-15,0.4843,10807.8062,23.5346,2.5937
