Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,17.95,10377.8734,24.7689,0.8151
2014-01-03,17.82,10297.1314,24.5896,0.8092
2014-01-06,17.58,10170.1853,24.2584,0.7983
2014-01-07,17.4,10056.0109,24.01,0.7901
2014-01-08,17.29,9998.3264,23.8582,0.7851
2014-01-09,17.34,10029.2652,23.9272,0.7874
2014-01-10,17.4,10060.0035,24.01,0.7901
2014-01-13,17.15,9913.2949,23.665,0.7788
2014-01-14,17.3,10002.1186,23.872,0.7856
2014-01-15,17.21,9950.0221,23.7478,0.7815
2014-01-16,17.08,9878.7643,23.5684,0.7756
2014-01-17,17.08,9874.7717,23.5684,0.7756
2014-01-21,16.76,9701.5177,23.1269,0.7611
2014-01-22,16.65,9641.8368,22.9751,0.7561
2014-01-23,16.53,9572.3749,22.8095,0.7506
2014-01-24,16.17,9356.0039,22.3127,0.7343
2014-01-27,16.39,9439.4321,22.6163,0.7443
2014-01-28,16.24,9354.601,22.4093,0.7374
2014-01-29,16.22,9329.0499,22.3817,0.7365
2014-01-30,16.2,9297.5098,22.3541,0.7356
2014-01-31,15.96,9168.5675,22.023,0.7247
2014-02-03,15.52,8893.9107,21.4158,0.7048
2014-02-04,15.52,8893.9107,21.4158,0.7048
2014-02-05,15.61,8975.9517,21.54,0.7088
2014-02-06,16.02,9201.3021,22.1058,0.7275
2014-02-07,17.41,9998.8298,24.0238,0.7906
2014-02-10,17.51,10066.713,24.1618,0.7951
2014-02-11,17.93,10295.9258,24.7413,0.8142
2014-02-12,17.65,10149.7716,24.355,0.8015
2014-02-13,17.66,10145.5803,24.3688,0.8019
2014-02-14,17.68,10145.1828,24.3964,0.8028
2014-02-18,17.75,10185.714,24.493,0.806
2014-02-19,17.59,10117.0269,24.2722,0.7988
2014-02-20,17.5,10054.9339,24.148,0.7947
2014-02-21,17.68,10145.1828,24.3964,0.8028
2014-02-24,17.94,10299.7197,24.7551,0.8146
2014-02-25,17.96,10331.2631,24.7827,0.8156
2014-02-26,18.03,10351.8312,24.8793,0.8187
2014-02-27,18.02,10362.0115,24.8655,0.8183
2014-02-28,18.33,10525.5362,25.2933,0.8324
2014-03-03,18.12,10407.9353,25.0035,0.8228
2014-03-04,18.4,10552.0932,25.3899,0.8355
2014-03-05,18.3,10514.1546,25.2519,0.831
2014-03-06,18.28,10503.987,25.2243,0.8301
2014-03-07,17.91,10299.6634,24.7137,0.8133
2014-03-10,17.76,10230.7497,24.5068,0.8065
2014-03-11,17.71,10189.8117,24.4378,0.8042
2014-03-12,17.83,10261.3124,24.6034,0.8096
2014-03-13,17.34,9989.4807,23.9272,0.7874
