Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,17.41,4500.3936,21.7625,3.6527
2014-01-03,17.5133,4527.1047,21.8917,3.6744
2014-01-06,17.3567,4486.6072,21.6958,3.6415
2014-01-07,17.5767,4543.4761,21.9708,3.6876
2014-01-08,17.62,4554.6775,22.025,3.6967
2014-01-09,17.8967,4626.1944,22.3708,3.7548
2014-01-10,18.4233,4762.335,23.0292,3.8653
2014-01-13,18.3333,4739.0704,22.9167,3.8464
2014-01-14,18.4633,4772.6748,23.0792,3.8737
2014-01-15,18.6033,4808.864,23.2542,3.903
2014-01-16,18.53,4789.9077,23.1625,3.8877
2014-01-17,18.46,4771.8131,23.075,3.873
2014-01-21,18.7133,4837.2984,23.3917,3.9261
2014-01-22,19.0,4911.4003,23.75,3.9863
2014-01-23,18.7867,4856.2547,23.4833,3.9415
2014-01-24,18.3867,4752.8568,22.9833,3.8576
2014-01-27,17.6133,4552.9542,22.0167,3.6953
2014-01-28,17.7733,4594.3134,22.2167,3.7289
2014-01-29,17.8167,4605.5148,22.2708,3.738
2014-01-30,18.1,4678.755,22.625,3.7974
2014-01-31,18.08,4673.5851,22.6,3.7932
2014-02-03,17.34,4482.299,21.675,3.638
2014-02-04,17.57,4541.7528,21.9625,3.6862
2014-02-05,17.5533,4537.4445,21.9417,3.6827
2014-02-06,17.5,4523.6581,21.875,3.6716
2014-02-07,17.5267,4530.5513,21.9083,3.6772
2014-02-10,17.46,4513.3184,21.825,3.6632
2014-02-11,17.6233,4555.5392,22.0292,3.6974
2014-02-12,17.7433,4586.5585,22.1792,3.7226
2014-02-13,17.8033,4602.0682,22.2542,3.7352
2014-02-14,17.9867,4649.4589,22.4833,3.7737
2014-02-18,17.7867,4597.76,22.2333,3.7317
2014-02-19,17.4333,4506.4252,21.7917,3.6576
2014-02-20,17.6467,4561.5707,22.0583,3.7023
2014-02-21,17.6533,4563.294,22.0667,3.7037
2014-02-24,17.6,4549.5076,22.0,3.6925
2014-02-25,17.65,4562.4324,22.0625,3.703
2014-02-26,17.91,4629.641,22.3875,3.7576
2014-02-27,17.6,4549.5076,22.0,3.6925
2014-02-28,17.7467,4587.4202,22.1833,3.7233
2014-03-03,17.6233,4555.5392,22.0292,3.6974
2014-03-04,17.93,4634.8109,22.4125,3.7618
2014-03-05,18.3,4730.4539,22.875,3.8394
2014-03-06,18.6833,4829.5436,23.3542,3.9198
2014-03-07,18.8067,4861.4246,23.5083,3.9457
2014-03-10,18.925,4892.0132,23.6563,3.9705
2014-03-11,18.7467,4845.9149,23.4333,3.9331
2014-03-12,18.8167,4864.0096,23.5208,3.9478
2014-03-13,18.64,4818.3422,23.3,3.9107
2014-03-14,18.87,4877.796,23.5875,3.959
2014-03-17,19.0067,4913.1236,23.7583,3.9877
2014-03-18,19.0033,4912.2619,23.7542,3.987
2014-03-19,18.9967,4910.5386,23.7458,3.9856
2014-03-20,18.8467,4871.7644,23.5583,3.9541
2014-03-21,18.8967,4884.6891,23.6208,3.9646
2014-03-24,18.7167,4838.1601,23.3958,3.9268
2014-03-25,18.6,4808.0024,23.25,3.9023
2014-03-26,18.2233,4710.636,22.7792,3.8233
2014-03-27,18.1467,4690.8181,22.6833,3.8072
2014-03-28,18.47,4774.3981,23.0875,3.8751
2014-03-31,18.9133,4888.9974,23.065,3.8256
2014-04-01,18.9233,4891.5823,23.0772,3.8276
2014-04-02,18.9233,4891.5823,23.0772,3.8276
2014-04-03,18.9267,4892.444,23.0813,3.8283
2014-04-04,18.68,4828.6819,22.7805,3.7784
2014-04-07,18.4167,4760.6117,22.4593,3.7251
2014-04-08,18.2567,4719.2525,22.2642,3.6928
2014-04-09,18.5667,4799.3859,22.6423,3.7555
2014-04-10,18.1767,4698.5729,22.1667,3.6766
2014-04-11,18.16,4694.2647,22.1463,3.6732
2014-04-14,18.1667,4695.988,22.1545,3.6746
2014-04-15,18.0833,4674.4467,22.0528,3.6577
2014-04-16,18.3467,4742.517,22.374,3.711
2014-04-17,18.4333,4764.9199,22.4797,3.7285
2014-04-21,18.6133,4811.449,22.6992,3.7649
2014-04-22,18.9967,4910.5386,23.1667,3.8425
2014-04-23,18.82,4864.8712,22.9512,3.8067
2014-04-24,19.55,5053.5724,23.8415,3.9544
2014-04-25,19.7567,5106.9946,24.0935,3.9962
2014-04-28,19.8333,5126.8126,24.187,4.0117
2014-04-29,19.6733,5085.4534,23.9919,3.9793
2014-04-30,20.21,5224.1789,24.6463,4.0879
2014-05-01,20.1033,5196.6061,24.5163,4.0663
2014-05-02,20.2433,5232.7954,24.687,4.0946
2014-05-05,19.99,5167.3101,24.378,4.0434
2014-05-06,19.9533,5157.8319,24.3333,4.036
2014-05-07,19.9967,5169.0334,24.3862,4.0447
2014-05-08,20.0333,5178.5115,24.4309,4.0521
2014-05-09,19.9267,5150.9387,24.3008,4.0306
2014-05-12,20.3433,5258.6449,24.8089,4.1148
2014-05-13,20.5367,5308.6205,25.0447,4.154
2014-05-14,20.4033,5274.1546,24.8821,4.127
2014-05-15,20.3633,5263.8148,24.8333,4.1189
2014-05-16,20.5033,5300.004,25.0041,4.1472
2014-05-19,20.8,5376.6908,25.3659,4.2072
2014-05-20,20.6233,5331.0234,25.1504,4.1715
2014-05-21,20.7667,5368.0743,25.3252,4.2005
2014-05-22,20.76,5366.351,25.3171,4.1991
2014-05-23,20.8467,5388.7539,25.4228,4.2167
2014-05-27,21.06,5443.8995,25.6829,4.2598
2014-05-28,21.0267,5435.283,25.6423,4.2531
2014-05-29,21.2,5480.0887,25.8537,4.2881
2014-05-30,21.32,5511.1081,26.0,4.3124
2014-06-02,21.2667,5497.3217,25.935,4.3016
2014-06-03,21.01,5430.9747,25.622,4.2497
2014-06-04,21.04,5438.7296,25.6585,4.2558
2014-06-05,21.33,5513.693,26.0122,4.3144
2014-06-06,21.5267,5564.5303,26.252,4.3542
2014-06-09,21.4967,5556.7755,26.2154,4.3481
2014-06-10,21.4933,5555.9138,26.2114,4.3475
2014-06-11,21.5533,5571.4235,26.2846,4.3596
2014-06-12,21.2767,5499.9067,25.9472,4.3036
2014-06-13,21.13,5461.9941,25.7683,4.274
2014-06-16,21.0133,5431.8364,25.626,4.2504
2014-06-17,21.0033,5429.2514,25.6138,4.2483
2014-06-18,21.0767,5448.2077,25.7033,4.2632
2014-06-19,21.1,5454.2392,25.7317,4.2679
2014-06-20,21.2667,5497.3217,25.935,4.3016
2014-06-23,20.9533,5416.3267,25.5528,4.2382
2014-06-24,20.7767,5370.6593,25.3374,4.2025
2014-06-25,20.9167,5406.8485,25.5081,4.2308
2014-06-26,21.0167,5432.698,25.6301,4.251
2014-06-27,20.92,5407.7102,25.5122,4.2315
2014-06-30,21.2267,5486.9819,24.1212,4.059
2014-07-01,21.4567,5546.4357,24.3826,4.1029
2014-07-02,21.41,5534.3726,24.3295,4.094
2014-07-03,21.5233,5563.6687,24.4583,4.1157
2014-07-07,21.1367,5463.7174,24.0189,4.0418
2014-07-08,20.9133,5405.9869,23.7652,3.999
2014-07-09,20.9567,5417.1883,23.8144,4.0073
2014-07-10,20.7233,5356.8729,23.5492,3.9627
2014-07-11,20.55,5312.0671,23.3523,3.9296
2014-07-14,20.71,5353.4263,23.5341,3.9602
2014-07-15,20.7567,5365.4894,23.5871,3.9691
2014-07-16,20.63,5332.7467,23.4432,3.9449
2014-07-17,20.46,5288.8026,23.25,3.9124
2014-07-18,20.6067,5326.7152,23.4167,3.9404
2014-07-21,20.65,5337.9166,23.4659,3.9487
2014-07-22,21.0833,5449.931,23.9583,4.0316
2014-07-23,21.0633,5444.7611,23.9356,4.0277
2014-07-24,21.22,5485.2586,24.1136,4.0577
2014-07-25,21.1,5454.2392,23.9773,4.0347
2014-07-28,20.92,5407.7102,23.7727,4.0003
2014-07-29,20.57,5317.237,23.375,3.9334
2014-07-30,20.9133,5405.9869,23.7652,3.999
2014-07-31,21.1592,5469.5335,24.0445,4.0461
2014-08-01,21.21,5482.6737,24.1023,4.0558
2014-08-04,21.26,5495.5984,24.1591,4.0653
2014-08-05,21.1567,5468.8873,24.0417,4.0456
2014-08-06,21.08,5449.0694,23.9545,4.0309
2014-08-07,21.2,5480.0887,24.0909,4.0539
2014-08-08,21.35,5518.8629,24.2614,4.0825
2014-08-11,21.5267,5564.5303,24.4621,4.1163
2014-08-12,21.545,5569.2694,24.483,4.1198
2014-08-13,21.5733,5576.5934,24.5152,4.1253
2014-08-14,21.77,5627.4307,24.7386,4.1629
2014-08-15,21.6567,5598.1347,24.6098,4.1412
2014-08-18,22.2033,5739.4451,25.2311,4.2457
2014-08-19,22.4567,5804.9305,25.5189,4.2942
2014-08-20,22.3633,5780.8043,25.4129,4.2763
2014-08-21,22.1667,5729.967,25.1894,4.2387
2014-08-22,22.22,5743.7534,25.25,4.2489
2014-08-25,22.4933,5814.4086,25.5606,4.3012
2014-08-26,22.25,5751.5082,25.2841,4.2546
2014-08-27,22.22,5743.7534,25.25,4.2489
2014-08-28,22.1633,5729.1053,25.1856,4.2381
2014-08-29,22.2233,5744.615,25.2538,4.2495
2014-09-02,22.71,5870.4158,25.8068,4.3426
2014-09-03,22.96,5935.0395,26.0909,4.3904
2014-09-04,23.2633,6013.4496,26.4356,4.4484
2014-09-05,23.2483,6009.5721,26.4186,4.4455
2014-09-08,23.3167,6027.2359,26.4962,4.4586
2014-09-09,23.2033,5997.9399,26.3674,4.4369
2014-09-10,23.23,6004.8331,26.3977,4.442
2014-09-11,23.41,6051.3621,26.6023,4.4765
2014-09-12,23.51,6077.2116,26.7159,4.4956
2014-09-15,23.29,6020.3428,26.4659,4.4535
2014-09-16,23.4633,6065.1485,26.6629,4.4867
2014-09-17,23.83,6159.9299,27.0795,4.5568
2014-09-18,24.05,6216.7988,27.3295,4.5988
2014-09-19,23.8433,6163.3765,27.0947,4.5593
2014-09-22,23.4933,6072.9033,26.697,4.4924
2014-09-23,23.3733,6041.884,26.5606,4.4695
2014-09-24,23.36,6038.4374,26.5455,4.4669
2014-09-25,22.9833,5941.071,26.1174,4.3949
2014-09-26,23.5233,6080.6582,26.7311,4.4981
2014-09-29,23.7433,6137.527,26.9811,4.5402
2014-09-30,23.5467,6086.6897,24.8732,4.2572
2014-10-01,22.8167,5897.9886,24.1021,4.1253
2014-10-02,22.9833,5941.071,24.2782,4.1554
2014-10-03,23.2767,6016.8962,24.588,4.2084
2014-10-06,23.1,5971.2287,24.4014,4.1765
2014-10-07,22.6933,5866.1075,23.9718,4.103
2014-10-08,22.86,5909.19,24.1479,4.1331
2014-10-09,22.4133,5793.729,23.6761,4.0523
2014-10-10,21.7,5609.3361,22.9225,3.9234
2014-10-13,20.8533,5390.4772,22.0282,3.7703
2014-10-14,21.34,5516.278,22.5423,3.8583
2014-10-15,21.71,5611.921,22.9331,3.9252
2014-10-16,22.1033,5713.5956,23.3486,3.9963
2014-10-17,22.64,5852.3212,23.9155,4.0933
2014-10-20,22.7167,5872.1391,23.9965,4.1072
2014-10-21,23.55,6087.5514,24.8768,4.2578
2014-10-22,23.05,5958.304,24.3486,4.1674
