Date,Price,Market Cap,PE Ratio,PB Ratio
2020-03-19,45.25,,18.0602,
2020-03-20,45.0,,17.9604,
2020-03-23,40.0,,15.9648,
2020-03-24,40.0,,15.9648,
2020-03-25,41.01,,16.3679,
2020-03-26,45.0,,17.9604,
2020-03-27,45.235,,18.0542,
2020-03-30,50.0,,19.956,
2020-03-31,50.0,,21.4186,
2020-04-01,46.7,,20.005,
2020-04-02,44.0,,18.8484,
2020-04-03,47.32,20493.3198,20.2706,
2020-04-06,45.94,19895.6702,19.6794,
2020-04-07,44.28,19176.7583,18.9683,
2020-04-08,44.09,19094.4732,18.8869,
2020-04-09,49.14,21281.5244,21.0502,
2020-04-13,46.0,19921.6549,19.7051,
2020-04-14,45.89,19874.0162,19.658,
2020-04-15,44.55,19293.6897,19.084,
2020-04-16,45.62,19757.0847,19.5423,
2020-04-17,46.15,19986.6168,19.7694,
2020-04-20,45.39,19657.4765,19.4438,
2020-04-21,45.9,19878.347,19.6623,
2020-04-22,47.05,20376.3884,20.1549,
2020-04-23,47.47,20558.2817,20.3348,
2020-04-24,47.85,20722.8519,20.4976,
2020-04-27,48.22,20883.0913,20.6561,
2020-04-28,49.86,21593.3416,21.3586,
2020-04-29,51.15,22152.0141,21.9112,
2020-04-30,50.91,22048.0751,21.8084,
2020-05-01,49.71,21528.3797,21.2944,
2020-05-04,49.53,21450.4254,21.2173,
2020-05-05,48.09,20826.791,20.6004,
2020-05-06,48.31,20922.0685,20.6947,
2020-05-07,51.81,22437.8466,22.194,
2020-05-08,52.95,22931.5571,22.6823,
2020-05-11,51.81,22437.8466,22.194,
2020-05-12,49.72,21532.7105,21.2987,
2020-05-13,48.21,20878.7605,20.6518,
2020-05-14,48.0,20787.8138,20.5619,
2020-05-15,48.89,21173.2546,20.9431,
2020-05-18,52.13,22576.432,22.331,
2020-05-19,52.31,22654.3863,22.4082,
2020-05-20,53.18,23031.1654,22.7808,
2020-05-21,52.03,22533.124,22.2882,
2020-05-22,51.71,22394.5386,22.1511,
2020-05-26,50.89,22039.4135,21.7999,
2020-05-27,52.38,22684.7019,22.4381,
2020-05-28,50.96,22069.729,21.8299,
2020-05-29,52.65,22801.6333,22.5538,
2020-06-01,54.08,23420.9369,23.1664,
2020-06-02,54.15,23451.2525,23.1964,
2020-06-03,55.47,24022.9174,23.7618,
2020-06-04,55.4,23992.6018,23.7318,
2020-06-05,58.57,25365.4637,25.0898,
2020-06-08,61.26,26530.4474,26.2421,
2020-06-09,60.65,26266.2689,25.9808,
2020-06-10,59.03,25564.6802,25.2868,
2020-06-11,56.25,24360.7193,24.0959,
2020-06-12,56.04,24269.7727,24.006,
2020-06-15,57.67,24975.6922,24.7042,
2020-06-16,57.85,25053.6465,24.7813,
2020-06-17,56.74,24572.9283,24.3058,
2020-06-18,57.49,24897.7379,24.6271,
2020-06-19,57.0,24685.5289,24.4172,
2020-06-22,57.06,24711.5137,24.4429,
2020-06-23,56.8,24598.913,24.3315,
2020-06-24,55.54,24053.2329,23.7918,
2020-06-25,56.2,24339.0654,24.0745,
2020-06-26,55.79,24161.5028,23.8989,
2020-06-29,56.57,24499.3048,24.233,
2020-06-30,56.86,24624.8978,26.8441,
2020-07-01,55.78,24157.172,26.3342,
2020-07-02,56.5,24468.9892,26.6741,
2020-07-06,56.86,24624.8978,26.8441,
2020-07-07,56.82,24607.5746,26.8252,
2020-07-08,56.92,24650.8826,26.8724,
2020-07-09,56.11,24300.0882,26.49,
2020-07-10,56.98,24676.8673,26.9007,
2020-07-13,56.89,24637.8902,26.8582,
2020-07-14,57.37,24845.7683,27.0848,
2020-07-15,58.2,25205.2243,27.4767,
2020-07-16,58.32,25257.1938,27.5333,
2020-07-17,58.55,25356.8021,27.6419,
2020-07-20,58.56,25361.1329,27.6466,
2020-07-21,58.44,25309.1634,27.59,
2020-07-22,58.48,25326.4865,27.6089,
2020-07-23,59.06,25577.6726,27.8827,
2020-07-24,58.13,25174.9087,27.4436,
2020-07-27,58.32,25257.1938,27.5333,
2020-07-28,60.28,26107.268,28.4587,
2020-07-29,64.3,27848.33,30.3566,
2020-07-30,63.39,27454.209,29.9269,
2020-07-31,62.74,27171.405,29.6201,
2020-08-03,63.21,27374.9524,29.842,
2020-08-04,62.61,27115.1047,29.5587,
2020-08-05,63.09,27322.9828,29.7853,
2020-08-06,63.48,27491.8838,29.9694,
2020-08-07,64.41,27894.6477,30.4085,
2020-08-10,65.21,28241.1113,30.7862,
2020-08-11,64.37,27877.3245,30.3896,
2020-08-12,64.9,28106.8566,30.6398,
2020-08-13,64.0,27717.0851,30.2149,
2020-08-14,64.07,27747.4007,30.248,
2020-08-17,63.96,27699.7619,30.196,
2020-08-18,63.45,27478.8914,29.9553,
2020-08-19,62.92,27249.3593,29.705,
2020-08-20,62.97,27271.0133,29.7286,
2020-08-21,63.63,27556.8457,30.0402,
2020-08-24,63.8,27630.4692,30.1205,
2020-08-25,64.29,27842.6782,30.3518,
2020-08-26,64.18,27795.0394,30.2999,
2020-08-27,63.23,27383.6139,29.8514,
2020-08-28,63.59,27539.5225,30.0214,
2020-08-31,62.9,27240.6977,29.6956,
2020-09-01,64.05,27738.7391,30.2385,
2020-09-02,65.34,28297.4116,30.8475,
2020-09-03,61.85,26785.9643,29.1999,
2020-09-04,61.49,26630.0557,29.0299,
2020-09-08,60.63,26257.6074,28.6239,
2020-09-09,62.08,26885.5726,29.3085,
2020-09-10,59.9,25941.4594,28.2793,
2020-09-11,60.14,26045.3984,28.3926,
2020-09-14,59.99,25980.4365,28.3218,
2020-09-15,60.3,26114.6911,28.4681,
2020-09-16,59.79,25893.8206,28.2273,
2020-09-17,61.04,26435.1699,28.8175,
2020-09-18,60.88,26365.8772,28.7419,
2020-09-21,59.41,25729.2504,28.0479,
2020-09-22,60.99,26413.516,28.7939,
2020-09-23,60.41,26162.3299,28.52,
2020-09-24,62.08,26885.5726,29.3085,
2020-09-25,61.55,26656.0405,29.0583,
2020-09-28,62.51,27071.7967,29.5115,
2020-09-29,62.41,27028.4888,29.4643,
2020-09-30,62.42,27032.8196,30.1685,
2020-10-01,62.37,27011.1656,30.1444,
2020-10-02,63.16,27353.2984,30.5262,
2020-10-05,64.54,27950.948,31.1932,
2020-10-06,63.83,27643.4616,30.85,
2020-10-07,65.05,28171.8185,31.4397,
2020-10-08,64.71,28024.5715,31.2753,
2020-10-09,65.35,28301.7424,31.5847,
2020-10-12,65.69,28448.9894,31.749,
2020-10-13,65.13,28206.4649,31.4783,
2020-10-14,65.61,28414.343,31.7103,
2020-10-15,65.2,28236.7805,31.5122,
2020-10-16,65.03,28163.157,31.43,
2020-10-19,64.36,27872.9937,31.1062,
2020-10-20,64.39,27885.9861,31.1207,
2020-10-21,63.72,27595.8229,30.7968,
2020-10-22,63.24,27387.9447,30.5649,
2020-10-23,63.45,27478.8914,30.6664,
2020-10-26,63.21,27382.572,30.5504,
2020-10-27,61.97,26845.404,29.951,
2020-10-28,58.99,25554.1574,28.5108,
2020-10-29,60.79,26333.9079,29.3807,
2020-10-30,61.28,26546.1733,29.6176,
2020-11-02,62.14,26918.7208,30.0332,
2020-11-03,62.71,27165.6418,30.3087,
2020-11-04,62.3,26988.0319,30.1105,
2020-11-05,62.63,27130.9862,30.27,
2020-11-06,63.58,27542.5212,30.7292,
2020-11-09,63.5,27507.8656,30.6905,
2020-11-10,65.74,28478.2218,31.7731,
2020-11-11,66.12,28642.8358,31.9568,
2020-11-12,65.99,28586.5205,31.894,
2020-11-13,65.57,28404.5787,31.691,
2020-11-16,67.39,29192.9931,32.5706,
2020-11-17,67.2,29110.6861,32.4788,
2020-11-18,66.63,28863.7651,32.2033,
2020-11-19,66.16,28660.1636,31.9761,
2020-11-20,66.32,28729.4748,32.0535,
2020-11-23,67.25,29132.3459,32.5029,
2020-11-24,67.4,29197.3251,32.5754,
2020-11-25,67.38,29188.6612,32.5658,
2020-11-27,67.34,29171.3334,32.5464,
2020-11-30,66.94,28998.0555,32.3531,
2020-12-01,66.83,28950.4041,32.3,
2020-12-02,65.69,28456.5621,31.749,
2020-12-03,65.49,28369.9231,31.6523,
2020-12-04,65.16,28226.9689,31.4928,
2020-12-07,64.85,28092.6785,31.343,
2020-12-08,66.11,28638.5039,31.952,
2020-12-09,65.49,28369.9231,31.6523,
2020-12-10,64.0,27724.463,30.9322,
2020-12-11,63.73,27607.5004,30.8017,
2020-12-14,62.78,27195.9654,30.3425,
2020-12-15,64.73,28040.6951,31.285,
2020-12-16,65.24,28261.6244,31.5315,
2020-12-17,65.79,28499.8815,31.7973,
2020-12-18,65.61,28421.9065,31.7103,
2020-12-21,66.15,28655.8317,31.9713,
2020-12-22,65.41,28335.2676,31.6136,
2020-12-23,65.63,28430.5704,31.72,
2020-12-24,65.79,28499.8815,31.7973,
2020-12-28,66.0,28590.8524,31.8988,
2020-12-29,65.69,28456.5621,31.749,
2020-12-30,66.72,28902.7527,32.2468,
2020-12-31,67.55,29262.3043,27.0634,
2021-01-04,65.59,28413.2426,26.2782,
2021-01-05,65.1,28200.9772,26.0818,
2021-01-06,66.91,28985.0597,26.807,
2021-01-07,67.78,29361.9391,27.1556,
2021-01-08,66.83,28950.4041,26.7749,
2021-01-11,66.36,28746.8025,26.5866,
2021-01-12,65.23,28257.2925,26.1339,
2021-01-13,63.97,27711.4671,25.6291,
2021-01-14,64.94,28131.666,26.0177,
2021-01-15,65.53,28387.2509,26.2541,
2021-01-19,65.37,28317.9398,26.19,
2021-01-20,65.19,28239.9647,26.1179,
2021-01-21,63.52,27516.5295,25.4488,
2021-01-22,64.88,28105.6743,25.9937,
2021-01-25,64.22,27819.7658,25.7293,
2021-01-26,63.51,27512.1976,25.4448,
2021-01-27,62.24,26962.0402,24.936,
2021-01-28,63.83,27650.8199,25.573,
2021-01-29,64.65,28006.0396,25.9015,
2021-02-01,64.55,27975.97,25.8615,
2021-02-02,64.64,28014.976,25.8975,
2021-02-03,64.05,27759.27,25.6612,
2021-02-04,63.29,27429.886,25.3567,
2021-02-05,63.93,27724.5873,25.6131,
2021-02-08,63.73,27637.8531,25.533,
2021-02-09,64.36,27911.0659,25.7854,
2021-02-10,65.31,28323.0533,26.166,
2021-02-11,63.43,27507.7518,25.4128,
2021-02-12,63.93,27724.5873,25.6131,
2021-02-16,63.19,27403.6708,25.3166,
2021-02-17,62.69,27186.8353,25.1163,
2021-02-18,63.06,27347.2936,25.2645,
2021-02-19,63.04,27338.6202,25.2565,
2021-02-22,63.23,27421.0176,25.3326,
2021-02-23,63.23,27421.0176,25.3326,
2021-02-24,64.35,27906.7292,25.7814,
2021-02-25,64.46,27954.433,25.8254,
2021-02-26,63.71,27629.1797,25.5249,
2021-03-01,64.93,28158.2584,26.0137,
2021-03-02,65.41,28366.4204,26.206,
2021-03-03,67.0,29055.9573,26.8431,
2021-03-04,63.95,27733.2608,25.6211,
2021-03-05,64.87,28132.2381,25.9897,
2021-03-08,65.22,28284.0229,26.1299,
2021-03-09,64.93,28158.2584,26.0137,
2021-03-10,66.25,28730.7041,26.5426,
2021-03-11,67.3,29186.0586,26.9632,
2021-03-12,66.0,28365.451,26.4424,
2021-03-15,66.61,28627.6165,26.6868,
2021-03-16,67.7,29096.0762,27.1235,
2021-03-17,68.58,29474.2822,27.4761,
2021-03-18,68.15,29289.477,27.3038,
2021-03-19,66.86,28735.0614,26.787,
2021-03-22,66.82,28717.8702,26.7709,
2021-03-23,66.96,28778.0393,26.827,
2021-03-24,67.17,28868.293,26.9112,
2021-03-25,67.86,29164.8409,27.1876,
2021-03-26,69.04,29671.9808,27.6604,
2021-03-29,69.91,30045.889,28.0089,
2021-03-30,69.74,29972.8265,27.9408,
2021-03-31,68.45,29418.4109,25.9196,
2021-04-01,69.26,29766.5323,26.2263,
2021-04-05,69.23,29753.6389,26.2149,
2021-04-06,69.72,29964.2309,26.4005,
2021-04-07,69.63,29925.5508,26.3664,
2021-04-08,69.41,29830.9993,26.2831,
2021-04-09,70.75,30406.9039,26.7905,
2021-04-12,70.65,30363.9259,26.7526,
2021-04-13,71.12,30565.9223,26.9306,
2021-04-14,70.4,30256.481,26.658,
2021-04-15,70.97,30501.4554,26.8738,
2021-04-16,70.58,30333.8413,26.7261,
2021-04-19,71.03,30527.2421,26.8965,
2021-04-20,70.47,30286.5656,26.6845,
2021-04-21,71.04,30531.5399,26.9003,
2021-04-22,70.95,30492.8598,26.8662,
2021-04-23,71.28,30634.687,26.9912,
2021-04-26,76.27,32779.287,28.8807,
2021-04-27,79.0,33952.5852,29.9145,
2021-04-28,78.0,33473.1871,29.5358,
2021-04-29,78.69,33769.296,29.7971,
2021-04-30,77.87,33417.3984,29.4866,
2021-05-03,78.4,33644.8444,29.6873,
2021-05-04,78.72,33782.1703,29.8084,
2021-05-05,78.06,33498.9357,29.5585,
2021-05-06,78.36,33627.6787,29.6721,
2021-05-07,78.19,33554.7243,29.6078,
2021-05-10,78.25,33580.4729,29.6305,
2021-05-11,77.62,33310.1126,29.3919,
2021-05-12,76.13,32670.6889,28.8277,
2021-05-13,77.15,33108.4152,29.2139,
2021-05-14,78.88,33850.8333,29.869,
2021-05-17,79.01,33906.6219,29.9183,
2021-05-18,78.6,33730.6731,29.763,
2021-05-19,77.47,33245.7411,29.3351,
2021-05-20,77.36,33198.5353,29.2935,
2021-05-21,77.57,33288.6554,29.373,
2021-05-24,78.13,33528.9757,29.585,
2021-05-25,77.69,33340.1526,29.4184,
2021-05-26,77.77,33374.4841,29.4487,
2021-05-27,78.71,33777.8789,29.8047,
2021-05-28,78.33,33614.8044,29.6608,
2021-06-01,78.41,33649.1359,29.6911,
2021-06-02,78.27,33589.0558,29.6381,
2021-06-03,79.14,33962.4106,29.9675,
2021-06-04,79.87,34275.6853,30.2439,
2021-06-07,79.61,34164.108,30.1455,
2021-06-08,80.85,34696.2458,30.615,
2021-06-09,80.75,34653.3315,30.5771,
2021-06-10,80.42,34511.7142,30.4522,
2021-06-11,80.54,34563.2114,30.4976,
2021-06-14,80.8,34674.7887,30.5961,
2021-06-15,80.99,34756.3259,30.668,
2021-06-16,80.63,34601.8343,30.5317,
2021-06-17,80.47,34533.1713,30.4711,
2021-06-18,79.5,34116.9022,30.1038,
2021-06-21,81.04,34777.7831,30.6869,
2021-06-22,81.37,34919.4004,30.8119,
2021-06-23,80.82,34683.3715,30.6036,
2021-06-24,81.37,34919.4004,30.8119,
2021-06-25,81.65,35039.5606,30.9179,
2021-06-28,81.66,35043.852,30.9217,
2021-06-29,82.08,35224.0922,31.0808,
2021-06-30,81.77,35091.0578,28.4561,
2021-07-01,82.08,35224.0922,28.564,
2021-07-02,82.66,35472.9954,28.7658,
2021-07-06,82.25,35297.0466,28.6232,
2021-07-07,84.08,36082.3791,29.26,
2021-07-08,83.09,35657.5271,28.9155,
2021-07-09,83.82,35970.8018,29.1695,
2021-07-12,83.82,35970.8018,29.1695,
2021-07-13,83.53,35846.3502,29.0686,
2021-07-14,84.78,36382.7795,29.5036,
2021-07-15,85.23,36575.894,29.6602,
2021-07-16,84.92,36442.8596,29.5523,
2021-07-19,84.06,36073.7962,29.253,
2021-07-20,86.1,36949.2488,29.963,
2021-07-21,86.81,37253.9406,30.2101,
2021-07-22,87.33,37477.0952,30.391,
2021-07-23,88.52,37987.7759,30.8051,
2021-07-26,89.06,38219.5133,30.9931,
2021-07-27,88.22,37859.0329,30.7007,
2021-07-28,87.93,37526.6481,30.5998,
2021-07-29,88.87,37927.82,30.9269,
2021-07-30,89.55,38218.0295,31.1636,
2021-08-02,89.93,38380.2054,31.2958,
2021-08-03,91.28,38956.3566,31.7656,
2021-08-04,90.8,38751.5029,31.5986,
2021-08-05,90.73,38721.6284,31.5742,
2021-08-06,90.14,38469.829,31.3689,
2021-08-09,89.73,38294.8497,31.2262,
2021-08-10,89.87,38354.5987,31.2749,
2021-08-11,90.43,38593.5948,31.4698,
2021-08-12,90.2,38495.4357,31.3898,
2021-08-13,90.66,38691.7539,31.5499,
2021-08-16,91.9,39220.9594,31.9814,
2021-08-17,90.74,38725.8962,31.5777,
2021-08-18,90.5,38623.4693,31.4942,
2021-08-19,90.2,38495.4357,31.3898,
2021-08-20,90.02,38418.6155,31.3271,
2021-08-23,89.92,38375.9376,31.2923,
2021-08-24,90.37,38567.988,31.4489,
2021-08-25,91.13,38892.3398,31.7134,
2021-08-26,91.81,39182.5493,31.9501,
2021-08-27,92.01,39267.9051,32.0197,
2021-08-30,92.37,39421.5454,32.1449,
2021-08-31,92.22,39357.5286,32.0927,
2021-09-01,91.5,39050.2479,31.8422,
2021-09-02,92.06,39289.244,32.0371,
2021-09-03,91.82,39186.8171,31.9535,
2021-09-07,89.38,38145.4772,31.1044,
2021-09-08,90.72,38717.3606,31.5707,
2021-09-09,90.48,38614.9337,31.4872,
2021-09-10,90.55,38644.8082,31.5116,
2021-09-13,89.95,38388.741,31.3028,
2021-09-14,90.36,38563.7203,31.4455,
2021-09-15,90.35,38559.4525,31.442,
2021-09-16,88.2,37641.8783,30.6938,
2021-09-17,85.02,36284.7222,29.5871,
2021-09-20,83.18,35499.4494,28.9468,
2021-09-21,82.0,34995.8506,28.5362,
2021-09-22,84.29,35973.1738,29.3331,
2021-09-23,85.74,36592.0028,29.8377,
2021-09-24,84.86,36216.4376,29.5314,
2021-09-27,84.23,35947.567,29.3122,
2021-09-28,83.71,35725.6421,29.1312,
2021-09-29,83.32,35559.1985,28.9955,
2021-09-30,82.28,35115.3486,27.8401,
2021-10-01,82.5,35209.2399,27.9145,
2021-10-04,81.91,34957.4405,27.7149,
2021-10-05,83.36,35576.2696,28.2055,
2021-10-06,82.87,35367.1481,28.0397,
2021-10-07,84.38,36011.5838,28.5506,
2021-10-08,83.45,35614.6797,28.236,
2021-10-11,81.62,34833.6747,27.6168,
2021-10-12,81.94,34970.2439,27.725,
2021-10-13,81.28,34688.57,27.5017,
2021-10-14,83.41,35597.6085,28.2224,
2021-10-15,84.1,35892.0858,28.4559,
2021-10-18,83.32,35559.1985,28.192,
2021-10-19,84.42,36028.655,28.5642,
2021-10-20,85.46,36472.5048,28.9161,
2021-10-21,85.35,36425.5591,28.8788,
2021-10-22,85.63,36545.0572,28.9736,
2021-10-25,81.86,34936.1016,27.698,
2021-10-26,80.27,34096.2048,27.16,
2021-10-27,79.72,33862.5819,26.9739,
2021-10-28,79.92,33947.5357,27.0415,
2021-10-29,80.31,34113.1956,27.1735,
2021-11-01,80.92,34372.3046,27.3799,
2021-11-02,81.11,34453.0108,27.4442,
2021-11-03,80.61,34240.6263,27.275,
2021-11-04,81.84,34763.0921,27.6912,
2021-11-05,81.71,34707.8721,27.6472,
2021-11-08,82.24,34932.9997,27.8265,
2021-11-09,83.54,35485.1993,28.2664,
2021-11-10,83.36,35408.7409,28.2055,
2021-11-11,83.4,35425.7317,28.219,
2021-11-12,85.63,36372.9665,28.9736,
2021-11-15,84.16,35748.5561,28.4762,
2021-11-16,84.52,35901.4729,28.598,
2021-11-17,85.57,36347.4803,28.9533,
2021-11-18,86.23,36627.8279,29.1766,
2021-11-19,86.26,36640.5709,29.1867,
2021-11-22,84.2,35765.5469,28.4897,
2021-11-23,83.81,35599.887,28.3578,
2021-11-24,84.46,35875.9868,28.5777,
2021-11-26,83.19,35336.5302,28.148,
2021-11-29,83.58,35502.1901,28.2799,
2021-11-30,80.4,34151.4248,27.204,
2021-12-01,80.45,34172.6632,27.2209,
2021-12-02,82.85,35192.1088,28.0329,
2021-12-03,82.8,35170.8703,28.016,
