Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,9.277,4034.857,,13.9223
2014-01-03,9.573,4163.8912,,14.3676
2014-01-06,9.64,4192.8877,,14.4676
2014-01-07,9.998,4348.7436,,15.0054
2014-01-08,10.008,4353.0931,,15.0204
2014-01-09,10.107,4395.8629,,15.168
2014-01-10,10.108,4396.5878,,15.1705
2014-01-13,9.845,4282.0518,,14.7753
2014-01-14,10.103,4394.413,,15.163
2014-01-15,10.483,4559.6928,,15.7333
2014-01-16,10.612,4615.511,,15.9259
2014-01-17,10.48,4558.243,,15.7283
2014-01-21,10.245,4456.0305,,15.3756
2014-01-22,10.337,4495.9006,,15.5132
2014-01-23,10.297,4478.5028,,15.4532
2014-01-24,10.067,4378.465,,15.108
2014-01-27,9.95,4327.7212,,14.9329
2014-01-28,10.24,4453.8558,,15.3681
2014-01-29,9.947,4326.2714,,14.9279
2014-01-30,10.353,4503.1498,,15.5382
2014-01-31,9.908,4309.5984,,15.4659
2014-02-03,9.618,4183.4638,,15.0132
2014-02-04,10.032,4363.2419,,15.6584
2014-02-05,9.992,4345.844,,15.596
2014-02-06,11.157,4852.5571,,17.4144
2014-02-07,10.96,4767.0175,,17.1074
2014-02-10,11.293,4911.9998,,17.6277
2014-02-11,11.482,4993.9148,,17.9217
2014-02-12,11.462,4985.2159,,17.8905
2014-02-13,12.078,5253.4331,,18.853
2014-02-14,12.133,5277.3552,,18.9389
2014-02-18,12.277,5339.6975,,19.1626
2014-02-19,11.983,5212.1131,,18.7048
2014-02-20,12.19,5302.0021,,19.0273
2014-02-21,12.27,5336.7979,,19.1522
2014-02-24,12.797,5686.6998,,19.9743
2014-02-25,12.492,5551.1611,,19.4982
2014-02-26,12.677,5633.3731,,19.787
2014-02-27,12.082,5368.9615,,18.8582
2014-02-28,11.858,5269.7146,,18.5096
2014-03-03,11.3,5021.5973,,17.6381
2014-03-04,11.772,5231.2009,,18.3744
2014-03-05,11.567,5140.1011,,18.0544
2014-03-06,11.575,5143.8044,,18.0674
2014-03-07,12.853,5711.8818,,20.0627
2014-03-10,13.043,5796.3157,,20.3593
2014-03-11,12.86,5714.8444,,20.0731
2014-03-12,12.987,5771.1337,,20.2709
2014-03-13,12.74,5661.5177,,19.8858
2014-03-14,12.798,5687.4404,,19.9769
2014-03-17,13.085,5814.832,,20.4243
2014-03-18,13.303,5911.8569,,20.7651
2014-03-19,13.11,5825.9417,,20.4634
2014-03-20,13.087,5815.5726,,20.4269
2014-03-21,12.76,5670.4055,,19.9171
2014-03-24,12.188,5416.363,,19.0247
2014-03-25,12.115,5383.7745,,18.9103
2014-03-26,11.563,5138.6198,,18.0492
2014-03-27,11.875,5277.1211,,18.5357
2014-03-28,11.627,5166.7645,,18.148
2014-03-31,11.433,5080.8492,,17.8463
2014-04-01,11.827,5255.6423,,18.4602
2014-04-02,11.84,5261.5675,,18.481
2014-04-03,10.88,4834.9539,,16.9826
2014-04-04,10.51,4670.5299,,16.405
2014-04-07,10.038,4460.9264,,15.6688
2014-04-08,10.582,4702.3778,,16.5169
2014-04-09,11.355,5046.0387,,17.724
2014-04-10,10.633,4725.3379,,16.5975
2014-04-11,10.717,4762.3703,,16.7276
2014-04-14,10.99,4883.8367,,17.1543
2014-04-15,11.393,5063.0737,,17.7838
2014-04-16,11.64,5172.6896,,18.1688
2014-04-17,11.66,5181.5774,,18.2001
2014-04-21,11.397,5064.555,,17.789
2014-04-22,11.865,5272.6772,,18.5201
2014-04-23,11.508,5114.1784,,17.9633
2014-04-24,11.335,5037.151,,17.6928
2014-04-25,11.027,4900.131,,17.2115
2014-04-28,10.72,4763.8516,,16.7328
2014-04-29,10.727,4766.8142,,16.7432
2014-04-30,10.597,4709.0436,,18.032
2014-05-01,10.878,4834.2132,,18.5113
2014-05-02,10.847,4820.1409,,18.4574
2014-05-05,11.17,4963.8267,,19.0076
2014-05-06,10.952,4866.8018,,18.636
2014-05-07,9.998,4443.1508,,17.0138
2014-05-08,9.935,4415.0062,,16.906
2014-05-09,9.752,4333.5348,,16.5941
2014-05-12,10.37,4608.3154,,17.6462
2014-05-13,10.313,4583.1334,,17.5498
2014-05-14,10.022,4453.5199,,17.0535
2014-05-15,9.935,4415.0062,,16.906
2014-05-16,10.22,4541.6571,,17.391
2014-05-19,10.447,4642.3853,,17.7767
2014-05-20,10.503,4667.5673,,17.8731
2014-05-21,10.587,4704.5997,,18.0149
2014-05-22,11.107,4935.6821,,18.8998
2014-05-23,11.165,4961.6048,,18.9991
2014-05-27,11.602,5155.6547,,19.7421
2014-05-28,11.585,5148.2482,,19.7138
2014-05-29,12.195,5419.3256,,20.7518
2014-05-30,12.485,5548.1985,,21.2453
2014-06-02,12.282,5457.8393,,20.8993
2014-06-03,12.377,5723.7677,,21.0609
2014-06-04,12.557,5807.0113,,21.3672
2014-06-05,12.833,5934.9598,,21.838
2014-06-06,12.997,6010.4957,,22.116
2014-06-09,12.9,5965.7908,,21.9515
2014-06-10,13.023,6022.8281,,22.1613
2014-06-11,13.033,6027.4527,,22.1783
2014-06-12,13.085,6051.3467,,22.2663
2014-06-13,13.133,6073.6991,,22.3485
2014-06-16,13.438,6214.7508,,22.8675
2014-06-17,13.443,6217.0631,,22.876
2014-06-18,13.417,6204.7307,,22.8306
2014-06-19,13.367,6181.6075,,22.7456
2014-06-20,13.373,6184.6906,,22.7569
