Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,45.06,16411.4081,28.0613,9.3222
2014-01-03,45.22,16469.6821,28.161,9.3553
2014-01-06,44.83,16327.6393,27.9181,9.2746
2014-01-07,45.09,16422.3345,28.08,9.3284
2014-01-08,44.76,16302.1444,27.8745,9.2602
2014-01-09,44.53,16218.3756,27.7313,9.2126
2014-01-10,44.37,16160.1016,27.6316,9.1795
2014-01-13,43.58,15872.3738,27.1396,9.016
2014-01-14,43.76,15937.9321,27.2517,9.0533
2014-01-15,43.64,15894.2266,27.177,9.0285
2014-01-16,43.95,16007.1324,27.3701,9.0926
2014-01-17,44.1,16061.7643,27.4635,9.1236
2014-01-21,43.78,15945.2163,27.2642,9.0574
2014-01-22,43.71,15919.7214,27.2206,9.0429
2014-01-23,43.29,15766.7523,26.959,8.956
2014-01-24,42.08,15326.0553,26.2055,8.7057
2014-01-27,41.88,15253.2129,26.081,8.6643
2014-01-28,42.29,15402.5399,26.3363,8.7492
2014-01-29,42.02,15304.2026,26.1681,8.6933
2014-01-30,42.28,15398.8978,26.3301,8.7471
2014-01-31,41.82,15231.3601,26.0436,8.6519
2014-02-03,40.4,14714.1786,25.1593,8.3581
2014-02-04,40.834,14872.2467,25.4296,8.4479
2014-02-05,40.74,14838.0108,25.371,8.4285
2014-02-06,41.01,14936.3481,25.5392,8.4843
2014-02-07,40.9,14896.2848,25.4707,8.4616
2014-02-10,40.73,14834.3687,25.3648,8.4264
2014-02-11,41.17,14994.6221,25.6388,8.5174
2014-02-12,41.47,15103.8858,25.8256,8.5795
2014-02-13,41.54,15129.3807,25.8692,8.594
2014-02-14,41.59,15147.5913,25.9004,8.6043
2014-02-18,41.52,15122.0964,25.8568,8.5899
2014-02-19,41.51,15118.4543,25.8505,8.5878
2014-02-20,41.27,15031.0433,25.7011,8.5381
2014-02-21,41.35,15060.1803,25.7509,8.5547
2014-02-24,41.53,15125.7385,25.863,8.5919
2014-02-25,41.27,15031.0433,25.7011,8.5381
2014-02-26,41.64,15165.8019,25.9315,8.6147
2014-02-27,41.55,15133.0228,25.8755,8.5961
2014-02-28,41.76,15209.5074,25.329,8.4935
2014-03-03,41.18,14998.2642,24.9772,8.3756
2014-03-04,42.34,15420.7505,25.6808,8.6115
2014-03-05,42.04,15311.4868,25.4988,8.5505
2014-03-06,42.02,15304.2026,25.4867,8.5464
2014-03-07,42.64,15530.0142,25.8628,8.6725
2014-03-10,42.43,15453.5296,25.7354,8.6298
2014-03-11,42.31,15409.8242,25.6626,8.6054
2014-03-12,42.4,15442.6033,25.7172,8.6237
2014-03-13,41.69,15184.0125,25.2865,8.4793
2014-03-14,41.82,15231.3601,25.3654,8.5057
2014-03-17,42.24,15384.3293,25.6201,8.5911
2014-03-18,42.68,15544.5827,25.887,8.6806
2014-03-19,42.57,15504.5194,25.8203,8.6583
2014-03-20,42.92,15631.9937,26.0326,8.7295
2014-03-21,42.84,15602.8567,25.9841,8.7132
2014-03-24,42.35,15424.3927,25.6869,8.6135
2014-03-25,42.47,15468.0981,25.7596,8.6379
2014-03-26,41.92,15267.7813,25.426,8.5261
2014-03-27,42.52,15466.1855,25.79,8.6481
2014-03-28,42.56,15480.735,25.8142,8.6562
2014-03-31,42.6,15495.2846,25.8385,8.6644
2014-04-01,42.5,15458.9107,25.7778,8.644
2014-04-02,42.81,15571.6698,25.9659,8.7071
2014-04-03,42.8,15568.0324,25.9598,8.705
2014-04-04,41.47,15084.2594,25.1531,8.4345
2014-04-07,41.34,15036.9733,25.0743,8.4081
2014-04-08,41.3,15022.4238,25.05,8.4
2014-04-09,41.24,15000.5994,25.0136,8.3878
2014-04-10,40.63,14778.7186,24.6436,8.2637
2014-04-11,39.92,14520.4639,24.213,8.1193
2014-04-14,40.3,14658.6847,24.4435,8.1966
2014-04-15,40.68,14796.9056,24.6739,8.2739
2014-04-16,40.88,14869.6534,24.7952,8.3145
2014-04-17,40.93,14887.8403,24.8256,8.3247
2014-04-21,40.84,14855.1038,24.771,8.3064
2014-04-22,40.99,14909.6647,24.862,8.3369
2014-04-23,40.88,14869.6534,24.7952,8.3145
2014-04-24,40.92,14884.2029,24.8195,8.3227
2014-04-25,40.39,14691.4212,24.498,8.2149
2014-04-28,40.68,14796.9056,24.6739,8.2739
2014-04-29,40.89,14873.2908,24.8013,8.3166
2014-04-30,41.81,15207.9307,25.3593,8.5037
2014-05-01,41.41,15062.4351,25.1167,8.4223
2014-05-02,41.4,15058.7977,25.1106,8.4203
