Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,82.1,125908.5179,18.2152,5.1791
2014-01-03,82.24,126123.2218,18.2463,5.1879
2014-01-06,82.28,126184.5658,18.2552,5.1904
2014-01-07,83.48,128024.8852,18.5214,5.2661
2014-01-08,83.24,127656.8213,18.4682,5.251
2014-01-09,82.85,127058.7175,18.3816,5.2264
2014-01-10,83.5,128055.5572,18.5258,5.2674
2014-01-13,82.37,126322.5898,18.2751,5.1961
2014-01-14,82.37,126322.5898,18.2751,5.1961
2014-01-15,82.89,127120.0615,18.3905,5.2289
2014-01-16,82.86,127074.0535,18.3838,5.227
2014-01-17,82.2,126061.8779,18.2374,5.1854
2014-01-21,82.92,127166.0695,18.3972,5.2308
2014-01-22,82.85,127058.7175,18.3816,5.2264
2014-01-23,82.43,126414.6057,18.2884,5.1999
2014-01-24,81.43,124881.0063,18.0666,5.1368
2014-01-27,82.06,125847.1739,18.2064,5.1766
2014-01-28,82.32,126245.9098,18.264,5.193
2014-01-29,80.22,123025.3509,17.7981,5.0605
2014-01-30,81.08,124344.2464,17.9889,5.1148
2014-01-31,80.36,123240.0548,17.8292,5.0693
2014-02-03,78.57,120494.9117,17.432,4.9564
2014-02-04,78.82,120878.3116,17.4875,4.9722
2014-02-05,79.42,121798.4713,17.6206,5.01
2014-02-06,79.39,121752.4633,17.614,5.0081
2014-02-07,80.22,123025.3509,17.7981,5.0605
2014-02-10,80.6,123608.1187,17.8824,5.0845
2014-02-11,81.25,124604.9583,18.0266,5.1255
2014-02-12,81.49,124973.0222,18.0799,5.1406
2014-02-13,79.69,122212.5431,17.6805,5.0271
2014-02-14,78.09,118889.3559,17.3255,4.9261
2014-02-18,78.18,119026.3778,17.3455,4.9318
2014-02-19,77.1,117382.1147,17.1059,4.8637
2014-02-20,78.01,118767.5586,17.3078,4.9211
2014-02-21,78.22,119087.2765,17.3544,4.9343
2014-02-24,78.88,120092.1039,17.5008,4.976
2014-02-25,79.23,120624.9669,17.5785,4.998
2014-02-26,78.65,119741.9368,17.4498,4.9615
2014-02-27,79.07,120381.3724,17.543,4.988
2014-02-28,80.07,121903.8382,17.7648,5.051
2014-03-03,79.52,121066.482,17.6428,5.0163
2014-03-04,80.85,123091.3616,17.9379,5.1002
2014-03-05,81.11,123487.2027,17.9956,5.1166
2014-03-06,81.33,123822.1452,18.0444,5.1305
2014-03-07,81.56,124172.3123,18.0954,5.145
2014-03-10,81.73,124431.1315,18.1331,5.1558
2014-03-11,82.81,126075.3946,18.3728,5.2239
2014-03-12,82.15,125070.5671,18.2263,5.1822
2014-03-13,81.8,124537.7041,18.1487,5.1602
2014-03-14,81.0,123319.7314,17.9712,5.1097
2014-03-17,82.05,124918.3206,18.2041,5.1759
2014-03-18,81.95,124766.074,18.182,5.1696
2014-03-19,81.37,123883.0438,18.0533,5.133
2014-03-20,81.86,124629.0521,18.162,5.164
2014-03-21,82.14,125055.3425,18.0166,5.4888
2014-03-24,81.89,125794.6757,17.9618,5.4721
2014-03-25,82.4,126578.1082,18.0737,5.5061
2014-03-26,82.87,127300.095,18.1768,5.5375
2014-03-27,82.54,126793.1681,18.1044,5.5155
2014-03-28,82.95,127422.9864,18.1943,5.5429
2014-03-31,83.5,128267.8645,18.3149,5.5796
2014-04-01,82.88,127315.4564,18.179,5.5382
2014-04-02,82.73,127085.0351,18.1461,5.5282
2014-04-03,82.91,127361.5407,18.1855,5.5402
2014-04-04,82.59,126869.9752,18.1153,5.5188
2014-04-07,83.91,128897.6828,18.4049,5.607
2014-04-08,83.47,128221.7802,18.3084,5.5776
2014-04-09,83.91,128897.6828,18.4049,5.607
2014-04-10,83.62,128452.2016,18.3413,5.5877
2014-04-11,83.15,127730.2148,18.2382,5.5563
2014-04-14,83.55,128344.6716,18.3259,5.583
