Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,80.54,218926.3016,20.1919,3.1995
2014-01-03,80.45,218681.6609,20.1693,3.1959
2014-01-06,80.64,219198.1247,20.2169,3.2035
2014-01-07,81.42,221318.3446,20.4125,3.2345
2014-01-08,80.24,218110.8324,20.1166,3.1876
2014-01-09,80.42,218600.1139,20.1618,3.1948
2014-01-10,80.3,218273.9262,20.1317,3.19
2014-01-13,80.01,217485.6393,20.059,3.1785
2014-01-14,80.87,219823.3178,20.2746,3.2126
2014-01-15,80.79,219605.8593,20.2545,3.2095
2014-01-16,80.56,218980.6662,20.1969,3.2003
2014-01-17,79.88,217132.2693,20.0264,3.1733
2014-01-21,80.18,217947.7386,20.1016,3.1852
2014-01-22,79.23,215365.4194,19.8634,3.1475
2014-01-23,78.24,212674.371,19.6152,3.1082
2014-01-24,79.18,214689.3015,19.8509,3.1455
2014-01-27,78.47,212764.2017,19.6729,3.1173
2014-01-28,79.11,214499.5029,19.8333,3.1427
2014-01-29,77.64,210513.7329,19.4648,3.0843
2014-01-30,76.87,208425.9486,19.2718,3.0537
2014-01-31,76.62,207748.0965,19.2091,3.0438
2014-02-03,75.7,205253.601,18.9784,3.0072
2014-02-04,76.09,206311.0502,19.0762,3.0227
2014-02-05,76.45,207287.1571,19.1665,3.037
2014-02-06,76.9,208507.2908,19.2793,3.0549
2014-02-07,77.31,209618.9682,19.3821,3.0712
2014-02-10,78.03,211571.1821,19.5626,3.0998
2014-02-11,78.84,213767.4227,19.7657,3.132
2014-02-12,77.49,210107.0217,19.4272,3.0784
2014-02-13,77.8,210947.5582,19.5049,3.0907
2014-02-14,79.4,215285.8113,19.9061,3.1542
2014-02-18,77.97,211408.4976,19.5475,3.0974
2014-02-19,78.14,211869.437,19.5902,3.1042
2014-02-20,77.92,211272.9272,19.535,3.0954
2014-02-21,77.97,211408.4976,19.5475,3.0974
2014-02-24,77.86,211110.2427,19.52,3.0931
2014-02-25,78.12,211815.2088,19.5851,3.1034
2014-02-26,77.86,211110.2427,19.52,3.0931
2014-02-27,78.19,212005.0074,19.6027,3.1062
2014-02-28,78.66,213279.3693,19.7205,3.1248
2014-03-03,77.48,210079.9076,19.4247,3.078
2014-03-04,78.45,212709.9735,19.6679,3.1165
2014-03-05,77.82,211001.7864,19.5099,3.0915
