Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,20.08,7691.7927,14.778,1.6469
2014-01-03,20.04,7676.4704,14.7485,1.6436
2014-01-06,19.84,7599.8589,14.6013,1.6272
2014-01-07,19.54,7484.9417,14.3806,1.6026
2014-01-08,19.78,7576.8754,14.5572,1.6223
2014-01-09,19.79,7580.706,14.5645,1.6231
2014-01-10,20.16,7722.4373,14.8368,1.6535
2014-01-13,19.4,7431.3136,14.2775,1.5912
2014-01-14,19.52,7477.2805,14.3658,1.601
2014-01-15,19.47,7458.1276,14.329,1.5969
2014-01-16,19.69,7542.4003,14.491,1.6149
2014-01-17,19.36,7415.9913,14.2481,1.5879
2014-01-21,19.2,7354.7021,14.1303,1.5748
2014-01-22,19.63,7519.4168,14.4468,1.61
2014-01-23,19.65,7527.078,14.4615,1.6117
2014-01-24,18.84,7216.8015,13.8654,1.5452
2014-01-27,18.71,7167.004,13.7697,1.5346
2014-01-28,19.45,7450.4665,14.3143,1.5953
2014-01-29,19.43,7442.8054,14.2996,1.5936
2014-01-30,19.77,7573.0449,14.5498,1.6215
2014-01-31,20.32,7783.7264,14.9546,1.6666
2014-02-03,19.69,7542.4003,14.491,1.6149
2014-02-04,19.87,7611.3506,14.6234,1.6297
2014-02-05,19.49,7431.529,14.3438,1.5985
2014-02-06,20.13,7675.5608,14.8148,1.651
2014-02-07,19.8,7549.7319,14.5719,1.624
2014-02-10,19.35,7378.1471,14.2407,1.5871
2014-02-11,19.67,7500.163,14.4762,1.6133
2014-02-12,19.6,7473.472,14.4247,1.6076
2014-02-13,19.82,7557.3579,14.5866,1.6256
2014-02-14,20.02,7633.6178,14.7338,1.642
2014-02-18,19.79,7545.9189,14.5645,1.6231
2014-02-19,19.66,7496.35,14.4689,1.6125
2014-02-20,20.02,7633.6178,14.7338,1.642
2014-02-21,20.37,7767.0727,14.9914,1.6707
2014-02-24,20.42,7786.1376,15.0282,1.6748
2014-02-25,20.68,7885.2755,15.2195,1.6961
2014-02-26,21.25,8102.6163,15.639,1.7429
2014-02-27,21.29,8117.8683,15.6685,1.7462
2014-02-28,20.99,8003.4784,15.4477,1.7216
2014-03-03,20.81,7934.8445,15.3152,1.7068
2014-03-04,20.91,7972.9744,15.3888,1.715
2014-03-05,20.64,7870.0236,15.1901,1.6929
2014-03-06,20.58,7847.1456,15.146,1.6879
2014-03-07,20.31,7744.1947,14.9472,1.6658
2014-03-10,20.0,7625.9918,14.7191,1.6404
2014-03-11,19.93,7599.3008,14.6676,1.6346
2014-03-12,19.67,7500.163,14.4762,1.6133
2014-03-13,19.18,7313.3262,14.1156,1.5731
2014-03-14,19.15,7301.8872,14.0935,1.5707
2014-03-17,19.22,7328.5781,14.1451,1.5764
2014-03-18,19.48,7427.716,14.3364,1.5977
2014-03-19,19.61,7477.285,14.4321,1.6084
2014-03-20,19.4,7397.2121,14.2775,1.5912
2014-03-21,19.11,7286.6352,14.0641,1.5674
2014-03-24,18.84,7183.6843,13.8654,1.5452
2014-03-25,18.8,7168.4323,13.836,1.5419
2014-03-26,18.57,7080.7334,13.6667,1.5231
2014-03-27,18.68,7122.6764,13.7476,1.5321
2014-03-28,19.01,7245.9578,13.9905,1.5592
2014-03-31,19.19,7314.5676,14.1647,1.5601
2014-04-01,19.63,7482.2805,14.4895,1.5959
2014-04-02,19.69,7505.1504,14.5338,1.6008
2014-04-03,19.71,7512.7737,14.5485,1.6024
2014-04-04,19.49,7428.9173,14.3861,1.5845
2014-04-07,19.03,7253.5811,14.0466,1.5471
2014-04-08,19.12,7287.886,14.113,1.5544
2014-04-09,19.15,7299.321,14.1352,1.5569
2014-04-10,18.94,7219.2762,13.9802,1.5398
2014-04-11,18.71,7131.6082,13.8104,1.5211
2014-04-14,18.76,7150.6664,13.8473,1.5252
2014-04-15,18.69,7123.9848,13.7956,1.5195
2014-04-16,18.9,7204.0296,13.9506,1.5365
2014-04-17,18.71,7131.6082,13.8104,1.5211
2014-04-21,18.72,7135.4198,13.8178,1.5219
2014-04-22,18.67,7116.3615,13.7809,1.5178
2014-04-23,18.57,7078.245,13.7071,1.5097
2014-04-24,18.99,7190.5993,14.0171,1.5438
2014-04-25,18.44,6982.3408,13.6111,1.4991
2014-04-28,18.25,6910.3969,13.4709,1.4837
2014-04-29,18.32,6936.9026,13.5225,1.4894
2014-04-30,18.39,6963.4082,13.5742,1.4951
2014-05-01,18.53,7016.4194,13.6775,1.5065
2014-05-02,18.71,7084.5768,13.8104,1.5211
2014-05-05,18.51,7008.8464,13.6628,1.5048
2014-05-06,18.27,6917.97,13.4856,1.4853
2014-05-07,18.2,6891.4643,13.4339,1.4796
2014-05-08,18.16,6876.3182,13.4044,1.4764
2014-05-09,18.32,6936.9026,13.5225,1.4894
2014-05-12,18.84,7133.8015,13.9063,1.5317
2014-05-13,19.1,7232.251,14.0983,1.5528
2014-05-14,18.72,7088.3633,13.8178,1.5219
2014-05-15,18.82,7126.2285,13.8916,1.53
2014-05-16,18.84,7133.8015,13.9063,1.5317
2014-05-19,18.76,7103.5094,13.8473,1.5252
2014-05-20,18.6,7042.9251,13.7292,1.5121
2014-05-21,18.81,7122.442,13.8842,1.5292
2014-05-22,19.22,7277.6892,14.1868,1.5625
2014-05-23,19.7,7459.4422,14.5411,1.6016
2014-05-27,19.8,7497.3073,14.615,1.6097
2014-05-28,19.76,7482.1613,14.5854,1.6064
2014-05-29,19.74,7474.5882,14.5707,1.6048
2014-05-30,19.56,7406.4309,14.4378,1.5902
2014-06-02,19.65,7440.5096,14.5042,1.5975
2014-06-03,19.69,7455.6556,14.5338,1.6008
2014-06-04,19.61,7425.3635,14.4747,1.5943
2014-06-05,19.88,7527.5995,14.674,1.6162
2014-06-06,20.13,7622.2625,14.8585,1.6365
2014-06-09,20.23,7660.1277,14.9323,1.6447
2014-06-10,20.13,7622.2625,14.8585,1.6365
2014-06-11,19.63,7432.9365,14.4895,1.5959
2014-06-12,19.58,7414.0039,14.4526,1.5918
2014-06-13,19.42,7353.4196,14.3345,1.5788
2014-06-16,19.55,7402.6444,14.4304,1.5894
2014-06-17,19.62,7429.15,14.4821,1.5951
2014-06-18,19.52,7391.2848,14.4083,1.5869
2014-06-19,19.67,7448.0826,14.519,1.5991
2014-06-20,19.65,7440.5096,14.5042,1.5975
2014-06-23,19.9,7535.1725,14.6888,1.6178
2014-06-24,19.96,7557.8916,14.7331,1.6227
2014-06-25,19.98,7565.4647,14.7478,1.6243
2014-06-26,19.85,7516.2399,14.6519,1.6138
2014-06-27,20.08,7603.3299,14.8216,1.6325
2014-06-30,20.16,7633.622,15.2523,1.6363
2014-07-01,20.5,7762.3637,15.5095,1.6639
2014-07-02,20.31,7690.4198,15.3658,1.6485
2014-07-03,20.33,7697.9928,15.3809,1.6501
2014-07-07,20.0,7573.0377,15.1312,1.6233
2014-07-08,19.99,7569.2512,15.1237,1.6225
2014-07-09,20.03,7584.3973,15.1539,1.6258
2014-07-10,19.85,7516.2399,15.0177,1.6112
2014-07-11,19.74,7474.5882,14.9345,1.6022
2014-07-14,19.63,7432.9365,14.8513,1.5933
2014-07-15,19.68,7451.8691,14.8891,1.5974
2014-07-16,19.96,7557.8916,15.101,1.6201
2014-07-17,19.49,7379.9253,14.7454,1.5819
2014-07-18,19.49,7379.9253,14.7454,1.5819
2014-07-21,19.23,7281.4758,14.5487,1.5608
2014-07-22,19.45,7364.7792,14.7151,1.5787
2014-07-23,19.84,7512.4534,15.0102,1.6103
2014-07-24,19.24,7233.1943,14.5562,1.5616
2014-07-25,18.73,7041.462,14.1704,1.5202
2014-07-28,18.55,6973.7918,14.0342,1.5056
2014-07-29,18.39,6913.6405,13.9132,1.4926
2014-07-30,18.14,6819.6541,13.724,1.4724
2014-07-31,17.65,6635.4407,13.3533,1.4326
2014-08-01,17.64,6631.6812,13.3457,1.4318
2014-08-04,17.77,6680.5542,13.4441,1.4423
2014-08-05,17.61,6620.4029,13.323,1.4293
2014-08-06,17.6,6616.6434,13.3155,1.4285
2014-08-07,17.54,6594.0867,13.2701,1.4237
2014-08-08,18.07,6793.3379,13.6711,1.4667
2014-08-11,18.02,6774.5406,13.6332,1.4626
2014-08-12,17.86,6714.3893,13.5122,1.4496
2014-08-13,17.99,6763.2622,13.6105,1.4602
2014-08-14,18.35,6898.6026,13.8829,1.4894
2014-08-15,18.27,6868.527,13.8224,1.4829
2014-08-18,18.78,7060.2593,14.2082,1.5243
2014-08-19,19.06,7165.5241,14.4201,1.547
2014-08-20,19.12,7188.0808,14.4655,1.5519
2014-08-21,19.12,7188.0808,14.4655,1.5519
2014-08-22,19.09,7176.8024,14.4428,1.5495
2014-08-25,19.07,7169.2835,14.4276,1.5478
2014-08-26,19.09,7176.8024,14.4428,1.5495
2014-08-27,19.16,7203.1186,14.4957,1.5551
2014-08-28,19.09,7176.8024,14.4428,1.5495
2014-08-29,19.22,7225.6754,14.5411,1.56
2014-09-02,18.9,7105.3728,14.299,1.534
2014-09-03,18.18,6834.6919,13.7543,1.4756
2014-09-04,18.54,6970.0323,14.0266,1.5048
2014-09-05,18.53,6966.2729,14.0191,1.504
2014-09-08,18.6,6992.5891,14.072,1.5097
2014-09-09,18.7,7030.1836,14.1477,1.5178
2014-09-10,19.06,7165.5241,14.4201,1.547
2014-09-11,19.07,7169.2835,14.4276,1.5478
2014-09-12,18.78,7060.2593,14.2082,1.5243
2014-09-15,18.94,7120.4106,14.3293,1.5373
2014-09-16,18.93,7116.6511,14.3217,1.5365
2014-09-17,19.4,7293.3456,14.6773,1.5746
2014-09-18,19.08,7173.043,14.4352,1.5487
2014-09-19,18.82,7075.2971,14.2385,1.5276
2014-09-22,18.33,6891.0837,13.8678,1.4878
2014-09-23,18.41,6921.1594,13.9283,1.4943
2014-09-24,18.33,6891.0837,13.8678,1.4878
2014-09-25,18.03,6778.3,13.6408,1.4634
2014-09-26,17.89,6725.6676,13.5349,1.4521
2014-09-29,17.74,6669.2758,13.4214,1.4399
2014-09-30,17.66,6639.2001,13.796,1.4013
2014-10-01,17.59,6612.884,13.7413,1.3958
2014-10-02,17.78,6684.3136,13.8898,1.4109
2014-10-03,17.96,6751.9838,14.0304,1.4252
2014-10-06,18.19,6838.4513,14.2101,1.4434
2014-10-07,18.12,6812.1351,14.1554,1.4378
2014-10-08,18.31,6883.5648,14.3038,1.4529
2014-10-09,17.9,6729.4271,13.9835,1.4204
2014-10-10,17.04,6406.1138,13.3117,1.3521
2014-10-13,16.66,6263.2545,13.0148,1.322
2014-10-14,16.99,6387.3166,13.2726,1.3482
2014-10-15,17.59,6612.884,13.7413,1.3958
2014-10-16,17.39,6537.6948,13.5851,1.3799
2014-10-17,18.23,6853.4892,14.2413,1.4466
2014-10-20,18.81,7071.5376,14.6944,1.4926
2014-10-21,19.14,7195.5997,14.9522,1.5188
2014-10-22,19.18,7210.6375,14.9835,1.522
2014-10-23,19.51,7233.6754,15.2412,1.5481
2014-10-24,19.54,7244.7985,15.2647,1.5505
2014-10-27,19.37,7181.768,15.1319,1.537
2014-10-28,19.35,7174.3526,15.1163,1.5355
2014-10-29,19.2,7118.7375,14.9991,1.5235
2014-10-30,19.1,7081.6607,14.921,1.5156
2014-10-31,19.19,7115.0298,14.9913,1.5228
2014-11-03,19.4,7192.891,15.1553,1.5394
2014-11-04,19.1,7081.6607,14.921,1.5156
2014-11-05,19.2,7118.7375,14.9991,1.5235
2014-11-06,19.6,7267.0445,15.3116,1.5553
2014-11-07,19.96,7400.5209,15.5928,1.5839
2014-11-10,20.31,7530.2895,15.8662,1.6116
2014-11-11,20.97,7774.9961,16.3818,1.664
2014-11-12,20.69,7671.1812,16.1631,1.6418
2014-11-13,20.81,7715.6733,16.2568,1.6513
2014-11-14,20.92,7756.4577,16.3427,1.66
2014-11-17,20.97,7774.9961,16.3818,1.664
2014-11-18,21.3,7897.3494,16.6396,1.6902
2014-11-19,20.95,7767.5808,16.3662,1.6624
2014-11-20,21.36,7919.5955,16.6865,1.6949
2014-11-21,21.67,8034.5334,16.9286,1.7195
2014-11-24,21.58,8001.1643,16.8583,1.7124
2014-11-25,21.46,7956.6722,16.7646,1.7029
2014-11-26,21.5,7971.5029,16.7958,1.7061
2014-11-28,21.63,8019.7027,16.8974,1.7164
2014-12-01,21.68,8038.2411,16.9365,1.7203
2014-12-02,21.67,8034.5334,16.9286,1.7195
2014-12-03,21.47,7960.3799,16.7724,1.7037
2014-12-04,21.72,8053.0718,16.9677,1.7235
2014-12-05,21.54,7986.3336,16.8271,1.7092
2014-12-08,21.26,7882.5187,16.6083,1.687
2014-12-09,21.22,7867.688,16.5771,1.6838
2014-12-10,20.47,7589.6123,15.9912,1.6243
2014-12-11,20.51,7604.443,16.0224,1.6275
2014-12-12,20.19,7485.7974,15.7725,1.6021
2014-12-15,19.95,7396.8132,15.585,1.5831
2014-12-16,19.79,7337.4904,15.46,1.5704
2014-12-17,20.47,7589.6123,15.9912,1.6243
2014-12-18,20.93,7760.1654,16.3506,1.6608
2014-12-19,20.9,7749.0424,16.3271,1.6584
2014-12-22,20.89,7745.3347,16.3193,1.6577
2014-12-23,20.94,7763.8731,16.3584,1.6616
2014-12-24,20.96,7771.2884,16.374,1.6632
2014-12-26,21.0,7786.1191,16.4052,1.6664
2014-12-29,21.14,7838.0266,16.5146,1.6775
2014-12-30,21.31,7901.0571,16.6474,1.691
2014-12-31,21.46,7956.6722,16.2599,1.6501
2015-01-02,21.26,7882.5187,16.1084,1.6347
2015-01-05,20.95,7767.5808,15.8735,1.6109
2015-01-06,20.7,7674.8889,15.6841,1.5916
2015-01-07,21.72,8053.0718,16.4569,1.6701
2015-01-08,22.39,8301.4861,16.9645,1.7216
2015-01-09,22.64,8394.178,17.154,1.7408
2015-01-12,22.69,8412.7163,17.1918,1.7447
2015-01-13,22.13,8205.0865,16.7675,1.7016
2015-01-14,22.23,8242.1633,16.8433,1.7093
2015-01-15,21.03,7797.2422,15.9341,1.617
2015-01-16,21.57,7997.4567,16.3432,1.6585
2015-01-20,20.8,7711.9656,15.7598,1.5993
2015-01-21,21.01,7789.8268,15.9189,1.6155
2015-01-22,20.93,7760.1654,15.8583,1.6093
2015-01-23,20.69,7671.1812,15.6765,1.5909
2015-01-26,21.21,7863.9803,16.0705,1.6309
2015-01-27,20.96,7771.2884,15.881,1.6116
2015-01-28,20.58,7630.3968,15.5931,1.5824
