Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,36.91,18407.8882,,1.3526
2014-01-03,37.24,18572.4669,,1.3647
2014-01-06,37.4,18652.2627,,1.3706
2014-01-07,37.73,18816.8415,,1.3827
2014-01-08,37.68,18791.9053,,1.3808
2014-01-09,37.2,18552.518,,1.3632
2014-01-10,37.6,18752.0074,,1.3779
2014-01-13,36.75,18328.0924,,1.3468
2014-01-14,37.22,18562.4925,,1.364
2014-01-15,37.51,18707.1223,,1.3746
2014-01-16,37.29,18597.4031,,1.3665
2014-01-17,36.98,18442.7988,,1.3552
2014-01-21,37.34,18622.3393,,1.3684
2014-01-22,37.75,18826.816,,1.3834
2014-01-23,37.42,18662.2372,,1.3713
2014-01-24,36.74,18323.1051,,1.3464
2014-01-27,36.51,18208.3987,,1.338
2014-01-28,37.23,18567.4797,,1.3643
2014-01-29,37.01,18457.7605,,1.3563
2014-01-30,38.81,19355.463,,1.4222
2014-01-31,38.76,19330.5268,,1.4204
2014-02-03,38.17,19036.2799,,1.3988
2014-02-04,38.75,19325.5396,,1.42
2014-02-05,39.12,19510.0673,,1.4336
2014-02-06,39.58,19739.4802,,1.4505
2014-02-07,39.93,19914.0334,,1.4633
2014-02-10,40.34,20118.5101,,1.4783
2014-02-11,40.62,20258.1527,,1.4886
2014-02-12,40.71,20303.0378,,1.4919
2014-02-13,40.83,20362.8847,,1.4963
2014-02-14,40.67,20283.0889,,1.4904
2014-02-18,40.8,20347.923,,1.4952
2014-02-19,40.72,20308.0251,,1.4922
2014-02-20,40.39,20143.4463,,1.4801
2014-02-21,40.61,20253.1655,,1.4882
2014-02-24,40.69,20293.0634,,1.4911
2014-02-25,40.91,20402.7826,,1.4992
2014-02-26,41.02,20494.1543,,1.5032
2014-02-27,40.9,20434.2007,,1.4988
2014-02-28,41.19,20579.0887,,1.5095
2014-03-03,40.93,20449.1891,,1.4999
2014-03-04,41.97,20968.7873,,1.538
2014-03-05,41.76,20863.8685,,1.5304
2014-03-06,41.32,20644.0384,,1.5142
2014-03-07,40.87,20419.2123,,1.4977
2014-03-10,40.32,20144.4247,,1.4776
2014-03-11,40.45,20209.3745,,1.4823
2014-03-12,40.63,20299.305,,1.4889
2014-03-13,40.36,20164.4093,,1.479
2014-03-14,40.19,20080.9786,,1.4728
2014-03-17,40.5,20235.8705,,1.4842
2014-03-18,40.84,20405.7519,,1.4966
2014-03-19,40.02,19996.0379,,1.4666
2014-03-20,40.25,20110.9577,,1.475
2014-03-21,40.59,20280.8391,,1.4875
2014-03-24,40.11,20041.0065,,1.4699
2014-03-25,40.47,20220.8809,,1.4831
2014-03-26,39.91,19941.0763,,1.4626
2014-03-27,40.12,20046.0031,,1.4703
2014-03-28,40.54,20255.8565,,1.4856
2014-03-31,40.83,20400.7554,,1.5144
2014-04-01,40.88,20425.7379,,1.5163
2014-04-02,40.81,20390.7623,,1.5137
2014-04-03,40.88,20425.7379,,1.5163
2014-04-04,41.04,20505.6821,,1.5222
2014-04-07,41.09,20530.6646,,1.5241
2014-04-08,41.16,20565.6402,,1.5267
2014-04-09,41.31,20640.5879,,1.5322
2014-04-10,40.45,20210.8879,,1.5003
2014-04-11,40.05,20011.0275,,1.4855
2014-04-14,40.1,20036.01,,1.4873
2014-04-15,40.71,20340.7972,,1.51
2014-04-16,40.9,20436.0317,,1.517
2014-04-17,41.29,20630.8985,,1.5315
2014-04-21,41.39,20680.8644,,1.5352
2014-04-22,41.23,20600.919,,1.5293
2014-04-23,40.94,20456.0181,,1.5185
2014-04-24,41.23,20600.919,,1.5293
2014-04-25,40.73,20351.0898,,1.5107
2014-04-28,40.94,20456.0181,,1.5185
2014-04-29,40.89,20431.0352,,1.5166
2014-04-30,40.63,20301.124,,1.507
2014-05-01,40.94,20456.0181,,1.5185
2014-05-02,40.79,20381.0693,,1.5129
2014-05-05,41.19,20580.9327,,1.5278
2014-05-06,40.63,20301.124,,1.507
2014-05-07,41.22,20597.1389,,1.5289
2014-05-08,41.38,20677.089,,1.5348
2014-05-09,41.2,20587.1451,,1.5281
2014-05-12,41.41,20692.0796,,1.5359
2014-05-13,41.36,20667.0952,,1.5341
2014-05-14,41.27,20622.1233,,1.5307
2014-05-15,40.99,20482.2106,,1.5204
2014-05-16,41.45,20712.0671,,1.5374
2014-05-19,41.12,20547.1701,,1.5252
2014-05-20,40.82,20397.2637,,1.514
2014-05-21,40.6,20287.3323,,1.5059
2014-05-22,40.5,20237.3635,,1.5022
2014-05-23,41.02,20497.2013,,1.5215
2014-05-27,41.46,20717.064,,1.5378
2014-05-28,41.04,20507.195,,1.5222
2014-05-29,41.34,20657.1014,,1.5333
2014-05-30,41.51,20742.0484,,1.5396
2014-06-02,41.51,20742.0484,,1.5396
2014-06-03,41.05,20512.1919,,1.5226
2014-06-04,41.38,20677.089,,1.5348
2014-06-05,42.53,21251.7301,,1.5775
2014-06-06,42.19,21081.8362,,1.5649
2014-06-09,41.43,20702.0734,,1.5367
2014-06-10,41.14,20557.1638,,1.5259
2014-06-11,41.19,20582.1482,,1.5278
2014-06-12,40.96,20467.22,,1.5192
2014-06-13,40.91,20442.2356,,1.5174
2014-06-16,40.91,20447.2682,,1.5174
2014-06-17,41.03,20507.2455,,1.5218
2014-06-18,41.38,20682.1794,,1.5348
2014-06-19,41.68,20832.1227,,1.5459
2014-06-20,41.28,20632.1983,,1.5311
2014-06-23,41.21,20597.2115,,1.5285
2014-06-24,41.37,20677.1813,,1.5344
2014-06-25,41.56,20772.1454,,1.5415
2014-06-26,41.1,20542.2323,,1.5244
2014-06-27,41.18,20582.2172,,1.5274
2014-06-30,41.09,20537.2342,,1.522
2014-07-01,41.13,20557.2266,,1.5235
2014-07-02,41.17,20577.2191,,1.525
2014-07-03,40.9,20442.2701,,1.515
2014-07-07,41.13,20557.2266,,1.5235
2014-07-08,41.12,20552.2285,,1.5231
2014-07-09,41.05,20517.2417,,1.5205
2014-07-10,41.23,20607.2077,,1.5272
2014-07-11,41.29,20637.1964,,1.5294
2014-07-14,41.59,20787.1397,,1.5405
2014-07-15,41.46,20722.1643,,1.5357
2014-07-16,41.71,20847.117,,1.545
2014-07-17,41.45,20717.1661,,1.5354
2014-07-18,41.71,20847.117,,1.545
2014-07-21,41.55,20767.1472,,1.5391
2014-07-22,41.98,20982.066,,1.555
2014-07-23,42.02,21002.0584,,1.5565
2014-07-24,41.87,20927.0868,,1.5509
2014-07-25,41.63,20807.1321,,1.542
2014-07-28,42.16,21072.032,,1.5617
2014-07-29,41.76,20872.1076,,1.5468
2014-07-30,41.43,20707.1699,,1.5346
2014-07-31,40.81,20397.2871,,1.5117
2014-08-01,40.55,20267.3362,,1.502
2014-08-04,40.69,20337.3098,,1.5072
2014-08-05,40.16,20072.4099,,1.4876
2014-08-06,39.95,19974.6403,,1.4798
2014-08-07,39.87,19934.6411,,1.4768
2014-08-08,40.21,20104.638,,1.4894
2014-08-11,40.34,20169.6368,,1.4942
2014-08-12,40.28,20139.6374,,1.492
2014-08-13,40.88,20439.632,,1.5142
2014-08-14,40.83,20414.6324,,1.5124
2014-08-15,40.8,20399.6327,,1.5113
2014-08-18,41.28,20639.6284,,1.5291
2014-08-19,41.27,20634.6285,,1.5287
2014-08-20,41.37,20684.6276,,1.5324
2014-08-21,41.14,20569.6296,,1.5239
2014-08-22,40.91,20454.6317,,1.5154
2014-08-25,40.83,20414.6324,,1.5124
2014-08-26,40.8,20399.6327,,1.5113
2014-08-27,40.75,20374.6331,,1.5094
2014-08-28,40.74,20369.6332,,1.5091
2014-08-29,40.94,20469.6314,,1.5165
2014-09-02,40.91,20454.6317,,1.5154
2014-09-03,40.72,20359.6334,,1.5083
2014-09-04,40.59,20294.6346,,1.5035
2014-09-05,41.26,20629.6285,,1.5283
2014-09-08,41.45,20724.6268,,1.5354
2014-09-09,41.35,20674.6277,,1.5317
2014-09-10,40.65,20324.634,,1.5057
2014-09-11,40.41,20204.6362,,1.4968
2014-09-12,39.05,19524.6484,,1.4465
2014-09-15,38.83,19414.6504,,1.4383
2014-09-16,38.99,19494.649,,1.4442
2014-09-17,38.78,19389.6509,,1.4365
2014-09-18,38.31,19154.6551,,1.419
2014-09-19,38.65,19324.652,,1.4316
2014-09-22,38.18,19089.6563,,1.4142
2014-09-23,37.96,18979.6583,,1.4061
2014-09-24,38.03,19014.6576,,1.4087
2014-09-25,37.45,18724.6628,,1.3872
2014-09-26,38.04,19019.6575,,1.409
2014-09-29,38.18,19089.6563,,1.4142
2014-09-30,37.7,18849.6606,,1.4106
2014-10-01,37.56,18779.6619,,1.4054
2014-10-02,37.55,18774.6619,,1.405
2014-10-03,37.63,18814.6612,,1.408
2014-10-06,37.73,18864.6603,,1.4117
2014-10-07,37.3,18649.6642,,1.3956
2014-10-08,38.11,19054.6569,,1.4259
2014-10-09,37.63,18814.6612,,1.408
2014-10-10,37.28,18639.6644,,1.3949
2014-10-13,37.17,18584.6654,,1.3908
2014-10-14,38.28,19139.6554,,1.4323
2014-10-15,38.2,19099.6561,,1.4293
2014-10-16,38.42,19209.6541,,1.4375
2014-10-17,39.09,19544.6481,,1.4626
2014-10-20,39.58,19789.6437,,1.4809
2014-10-21,40.21,20104.638,,1.5045
2014-10-22,40.01,20004.6398,,1.497
2014-10-23,40.45,20224.6358,,1.5135
2014-10-24,40.73,20364.6333,,1.524
2014-10-27,40.76,20379.6331,,1.5251
2014-10-28,41.06,20529.6303,,1.5363
2014-10-29,40.99,20494.631,,1.5337
2014-10-30,41.05,20524.6304,,1.5359
2014-10-31,41.65,20824.625,,1.5584
2014-11-03,41.83,20914.6234,,1.5651
2014-11-04,41.53,20764.6261,,1.5539
2014-11-05,41.65,20824.5424,,1.5584
2014-11-06,41.58,20789.5432,,1.5558
2014-11-07,41.41,20704.5451,,1.5494
2014-11-10,41.68,20839.5421,,1.5595
2014-11-11,41.65,20824.5424,,1.5584
2014-11-12,41.0,20499.5496,,1.5341
2014-11-13,41.1,20549.5485,,1.5378
2014-11-14,40.77,20384.5521,,1.5255
2014-11-17,41.01,20504.5495,,1.5344
2014-11-18,41.38,20689.5454,,1.5483
2014-11-19,40.84,20419.5513,,1.5281
2014-11-20,40.95,20474.5501,,1.5322
2014-11-21,41.24,20619.5469,,1.5431
2014-11-24,41.49,20744.5442,,1.5524
2014-11-25,41.6,20799.543,,1.5565
2014-11-26,42.0,20999.5386,,1.5715
2014-11-28,42.28,21139.5355,,1.582
2014-12-01,42.31,21154.5352,,1.5831
2014-12-02,42.65,21324.5314,,1.5958
2014-12-03,42.71,21354.5308,,1.5981
2014-12-04,42.54,21269.5326,,1.5917
2014-12-05,42.58,21289.5322,,1.5932
2014-12-08,42.8,21399.5298,,1.6014
2014-12-09,42.95,21474.5281,,1.607
2014-12-10,42.68,21339.5311,,1.5969
2014-12-11,42.89,21444.5288,,1.6048
2014-12-12,42.24,21119.5359,,1.5805
2014-12-15,41.29,20644.5464,,1.5449
2014-12-16,41.37,20684.5455,,1.5479
2014-12-17,42.38,21189.5344,,1.5857
2014-12-18,42.64,21319.5315,,1.5954
2014-12-19,42.5,21249.5331,,1.5902
2014-12-22,43.37,21684.5235,,1.6227
2014-12-23,43.48,21739.5223,,1.6269
2014-12-24,43.11,21554.5264,,1.613
2014-12-26,43.46,21729.5225,,1.6261
2014-12-29,43.51,21754.522,,1.628
2014-12-30,43.64,21819.5206,,1.6329
2014-12-31,43.03,21514.5273,570.9168,1.5776
2015-01-02,43.43,21714.5229,576.224,1.5922
2015-01-05,43.4,21699.5232,575.8259,1.5911
2015-01-06,43.55,21774.5215,577.8161,1.5966
2015-01-07,44.21,22104.5143,586.5729,1.6208
2015-01-08,44.22,22109.5142,586.7056,1.6212
2015-01-09,44.15,22074.515,585.7768,1.6186
2015-01-12,44.6,22299.51,591.7474,1.6351
2015-01-13,43.71,21854.5198,579.939,1.6025
2015-01-14,43.72,21859.5197,580.0716,1.6029
2015-01-15,43.77,21884.5191,580.735,1.6047
2015-01-16,44.15,22074.515,585.7768,1.6186
2015-01-20,43.84,21919.5184,581.6638,1.6072
2015-01-21,44.03,22014.5163,584.1847,1.6142
2015-01-22,45.12,22559.5043,598.6467,1.6542
2015-01-23,45.31,22654.5022,601.1676,1.6611
2015-01-26,45.85,22924.4963,608.3322,1.6809
2015-01-27,47.13,23564.4822,625.3151,1.7279
2015-01-28,46.42,23209.49,615.8949,1.7018
2015-01-29,46.24,23119.492,613.5067,1.6952
2015-01-30,45.14,22569.5041,598.912,1.6549
2015-02-02,45.15,22574.504,599.0447,1.6553
2015-02-03,45.22,22609.5032,599.9735,1.6578
2015-02-04,45.17,22584.5037,599.3101,1.656
2015-02-05,45.79,23330.005,607.5362,1.6787
2015-02-06,44.64,22744.08,592.2781,1.6366
2015-02-09,44.68,22764.46,592.8088,1.638
2015-02-10,44.88,22866.36,595.4624,1.6454
2015-02-11,44.41,22626.895,589.2265,1.6281
2015-02-12,44.77,22810.315,594.0029,1.6413
2015-02-13,43.81,22321.195,581.2658,1.6062
2015-02-17,43.71,22270.245,579.939,1.6025
2015-02-18,43.96,22397.62,583.2559,1.6116
2015-02-19,42.85,21832.075,568.5286,1.571
2015-02-20,43.02,21918.69,570.7841,1.5772
2015-02-23,43.46,22142.87,576.622,1.5933
2015-02-24,42.69,21750.555,566.4057,1.5651
2015-02-25,42.9,21970.7202,569.192,1.5728
2015-02-26,42.43,21730.0154,562.9561,1.5556
2015-02-27,42.71,21873.414,566.6711,1.5658
2015-03-02,42.7,21868.2926,566.5384,1.5655
2015-03-03,42.65,21842.6857,565.875,1.5636
2015-03-04,42.38,21704.4085,562.2927,1.5537
2015-03-05,42.66,21847.8071,566.0077,1.564
2015-03-06,41.4,21202.5132,549.2902,1.5178
2015-03-09,41.46,21233.2415,550.0862,1.52
2015-03-10,41.15,21074.4787,545.9732,1.5086
2015-03-11,41.72,21743.4485,553.5359,1.5295
2015-03-12,42.56,22181.2361,564.6809,1.5603
2015-03-13,42.45,22123.9067,563.2214,1.5563
2015-03-16,42.8,22306.3182,567.8652,1.5691
2015-03-17,42.78,22295.8947,567.5998,1.5684
2015-03-18,43.5,22671.1412,577.1527,1.5948
2015-03-19,43.68,22764.9528,579.5409,1.6014
2015-03-20,44.39,23134.9875,588.9611,1.6274
2015-03-23,44.73,23312.1872,593.4722,1.6399
2015-03-24,44.38,23129.7758,588.8284,1.627
2015-03-25,43.62,22733.6823,578.7449,1.5992
2015-03-26,43.07,22447.0356,571.4475,1.579
2015-03-27,43.04,22431.4004,571.0495,1.5779
2015-03-30,43.96,22910.882,583.2559,1.6116
2015-03-31,43.56,22702.4117,169.7637,1.5703
2015-04-01,43.39,22613.8119,169.1011,1.5642
2015-04-02,43.59,22718.047,169.8806,1.5714
2015-04-06,44.37,23124.564,172.9204,1.5995
2015-04-07,43.35,22592.9648,168.9453,1.5627
2015-04-08,43.5,22671.1412,169.5298,1.5681
2015-04-09,42.37,22082.2127,165.126,1.5274
2015-04-10,42.49,22144.7538,165.5936,1.5317
2015-04-13,42.43,22113.4832,165.3598,1.5296
2015-04-14,42.84,22327.1652,166.9577,1.5443
2015-04-15,42.75,22280.2594,166.6069,1.5411
2015-04-16,42.97,22394.9181,167.4643,1.549
2015-04-17,42.88,22348.0123,167.1135,1.5458
2015-04-20,43.05,22436.6121,167.7761,1.5519
2015-04-21,42.76,22285.4712,166.6459,1.5415
2015-04-22,42.36,22077.0009,165.087,1.527
2015-04-23,42.56,22181.2361,165.8664,1.5343
2015-04-24,42.56,22181.2361,165.8664,1.5343
2015-04-27,42.45,22123.9067,165.4377,1.5303
2015-04-28,42.23,22009.2481,164.5803,1.5224
2015-04-29,41.08,21409.8961,160.0985,1.4809
2015-04-30,40.2,20951.2615,156.669,1.4492
2015-05-01,40.42,21065.9201,157.5263,1.4571
2015-05-04,40.37,21155.7773,157.3315,1.4553
2015-05-05,39.51,20705.0969,153.9799,1.4243
2015-05-06,39.61,20757.5016,154.3696,1.4279
2015-05-07,40.23,21082.4107,156.7859,1.4503
2015-05-08,40.75,21354.9151,158.8124,1.469
2015-05-11,40.44,21192.4606,157.6043,1.4578
2015-05-12,40.35,21145.2963,157.2535,1.4546
2015-05-13,39.91,20914.7157,155.5388,1.4387
2015-05-14,40.27,21103.3726,156.9418,1.4517
2015-05-15,40.73,21344.4342,158.7345,1.4683
2015-05-18,40.58,21265.8271,158.1499,1.4629
2015-05-19,40.55,21250.1057,158.033,1.4618
2015-05-20,40.75,21354.9151,158.8124,1.469
2015-05-21,40.33,21134.8154,157.1756,1.4539
2015-05-22,40.28,21108.613,156.9807,1.4521
2015-05-26,39.95,20935.6775,155.6946,1.4402
2015-05-27,40.37,21155.7773,157.3315,1.4553
2015-05-28,40.26,21098.1321,156.9028,1.4513
2015-05-29,39.59,20747.0206,154.2916,1.4272
2015-06-01,40.12,21024.7655,156.3572,1.4463
2015-06-02,40.17,21050.9679,156.552,1.4481
2015-06-03,39.95,20935.6775,155.6946,1.4402
2015-06-04,40.06,20993.3227,156.1233,1.4441
2015-06-05,39.98,20951.3989,155.8116,1.4412
2015-06-08,39.8,20857.0705,155.1101,1.4348
2015-06-09,39.07,20474.5162,152.2651,1.4084
2015-06-10,39.39,20642.2112,153.5122,1.42
2015-06-11,39.65,20778.4634,154.5255,1.4293
2015-06-12,39.29,20589.8065,153.1225,1.4164
2015-06-15,39.03,20453.5543,152.1092,1.407
2015-06-16,39.2,20542.6423,152.7717,1.4131
2015-06-17,39.4,20647.4517,153.5512,1.4203
2015-06-18,39.75,20830.8681,154.9152,1.433
2015-06-19,39.3,20595.047,153.1614,1.4167
2015-06-22,39.22,20553.1232,152.8497,1.4138
2015-06-23,38.8,20333.0235,151.2128,1.3987
2015-06-24,38.62,20238.695,150.5113,1.3922
2015-06-25,38.11,19971.4311,148.5237,1.3738
2015-06-26,38.24,20039.5572,149.0304,1.3785
2015-06-29,37.16,19473.5864,144.8214,1.3396
2015-06-30,37.1,19442.1436,101.5698,1.2918
2015-07-01,37.8,19808.9765,103.4862,1.3162
2015-07-02,37.93,19877.1026,103.8421,1.3207
2015-07-06,37.89,19856.1407,103.7326,1.3193
2015-07-07,38.7,20280.6188,105.9502,1.3475
2015-07-08,38.21,20023.8358,104.6087,1.3305
2015-07-09,38.25,20044.7976,104.7182,1.3318
2015-07-10,38.57,20212.4927,105.5943,1.343
2015-07-13,38.85,20359.2258,106.3608,1.3527
2015-07-14,38.89,20380.1877,106.4704,1.3541
2015-07-15,39.0,20437.8329,106.7715,1.358
2015-07-16,39.5,20699.8564,108.1404,1.3754
2015-07-17,39.5,20699.8564,108.1404,1.3754
2015-07-20,39.65,20778.4634,108.551,1.3806
2015-07-21,40.31,21124.3345,110.3579,1.4036
2015-07-22,40.14,21035.2465,109.8925,1.3977
2015-07-23,39.92,20919.9561,109.2902,1.39
2015-07-24,39.86,20888.5133,109.126,1.3879
2015-07-27,39.95,20935.6775,109.3723,1.391
2015-07-28,40.36,21150.5368,110.4948,1.4053
2015-07-29,40.64,21297.27,111.2614,1.4151
2015-07-30,40.2,21066.6893,110.0568,1.3997
2015-07-31,40.61,21281.5486,111.1793,1.414
2015-08-03,40.64,21297.27,111.2614,1.4151
2015-08-04,40.45,21197.701,110.7412,1.4085
2015-08-05,40.48,21213.4224,110.8233,1.4095
2015-08-06,40.69,21323.4723,111.3983,1.4168
2015-08-07,40.76,21360.1556,111.5899,1.4192
2015-08-10,40.73,21344.4342,111.5078,1.4182
2015-08-11,41.14,21559.2935,112.6302,1.4325
2015-08-12,41.18,21580.2553,112.7398,1.4339
2015-08-13,41.25,21616.9386,112.9314,1.4363
2015-08-14,41.35,21669.3433,113.2052,1.4398
2015-08-17,41.94,21978.5311,114.8204,1.4603
2015-08-18,42.25,22140.9856,115.6691,1.4711
2015-08-19,42.11,22067.619,115.2858,1.4663
2015-08-20,41.61,21805.5955,113.917,1.4488
2015-08-21,40.66,21307.7509,111.3161,1.4158
2015-08-24,38.08,19955.7096,104.2528,1.3259
2015-08-25,36.45,19101.513,99.7903,1.2692
2015-08-26,37.53,19667.4838,102.747,1.3068
2015-08-27,38.72,20291.0997,106.0049,1.3482
2015-08-28,38.89,20380.1877,106.4704,1.3541
2015-08-31,38.0,19913.7859,104.0338,1.3231
2015-09-01,36.94,19358.2961,101.1318,1.2862
2015-09-02,37.44,19620.3196,102.5006,1.3036
2015-09-03,37.81,19814.217,103.5136,1.3165
2015-09-04,36.68,19222.0439,100.42,1.2772
2015-09-08,37.27,19531.2316,102.0352,1.2977
2015-09-09,36.5,19127.7154,99.9272,1.2709
2015-09-10,36.75,19258.7271,100.6116,1.2796
2015-09-11,37.23,19510.2697,101.9257,1.2963
2015-09-14,37.2,19494.5483,101.8436,1.2953
2015-09-15,37.74,19777.5337,103.322,1.3141
2015-09-16,37.71,19761.8123,103.2398,1.313
2015-09-17,38.19,20013.3548,104.5539,1.3298
2015-09-18,38.15,19992.3929,104.4444,1.3284
2015-09-21,38.66,20259.6569,105.8407,1.3461
2015-09-22,38.14,19987.1525,104.4171,1.328
2015-09-23,38.44,20144.3666,105.2384,1.3385
2015-09-24,38.01,19919.0264,104.0611,1.3235
2015-09-25,38.66,20259.6569,105.8407,1.3461
2015-09-28,38.02,19924.2668,104.0885,1.3238
2015-09-29,38.74,20301.5807,106.0597,1.3489
2015-09-30,38.9,20385.4282,92.1511,1.4011
2015-10-01,39.28,20584.566,93.0512,1.4148
2015-10-02,39.87,20893.7538,94.4489,1.4361
2015-10-05,40.54,21244.8653,96.0361,1.4602
2015-10-06,40.54,21244.8653,96.0361,1.4602
2015-10-07,40.75,21354.9151,96.5336,1.4677
2015-10-08,41.23,21606.4577,97.6706,1.485
2015-10-09,41.41,21700.7861,98.097,1.4915
2015-10-12,41.91,21962.8096,99.2815,1.5095
2015-10-13,41.3,21643.141,97.8365,1.4876
2015-10-14,40.95,21459.7245,97.0073,1.4749
2015-10-15,41.5,21747.9504,98.3102,1.4948
2015-10-16,41.68,21842.2788,98.7367,1.5012
2015-10-19,42.3,22167.188,100.2054,1.5236
2015-10-20,42.76,22408.2496,101.2951,1.5401
2015-10-21,42.79,22423.971,101.3662,1.5412
2015-10-22,43.21,22644.0707,102.3611,1.5564
2015-10-23,43.03,22549.7423,101.9347,1.5499
2015-10-26,43.23,22654.5517,102.4085,1.5571
2015-10-27,43.12,22596.9065,102.1479,1.5531
2015-10-28,43.35,22717.4373,102.6928,1.5614
2015-10-29,43.16,22617.8684,102.2427,1.5546
2015-10-30,42.73,22392.5282,101.224,1.5391
2015-11-02,43.68,22890.3728,103.4745,1.5733
2015-11-03,43.25,22665.0326,102.4559,1.5578
2015-11-04,43.17,22623.1089,102.2663,1.5549
2015-11-05,43.15,22612.6279,102.219,1.5542
2015-11-06,41.87,21941.8478,99.1867,1.5081
2015-11-09,40.86,21412.5603,96.7941,1.4717
2015-11-10,41.14,21559.2935,97.4574,1.4818
2015-11-11,41.34,21664.1029,97.9312,1.489
2015-11-12,41.06,21517.3697,97.2679,1.4789
2015-11-13,40.97,21470.2055,97.0547,1.4757
2015-11-16,41.8,21905.1645,99.0209,1.5056
2015-11-17,41.6,21800.3551,98.5471,1.4984
2015-11-18,42.27,22151.4666,100.1343,1.5225
2015-11-19,42.29,22161.9475,100.1817,1.5232
2015-11-20,43.1,22586.4256,102.1005,1.5524
2015-11-23,43.22,22649.3112,102.3848,1.5567
2015-11-24,43.34,22712.1969,102.6691,1.561
2015-11-25,43.24,22659.7922,102.4322,1.5574
2015-11-27,43.6,22848.4491,103.285,1.5704
2015-11-30,42.75,22403.0091,101.2714,1.5398
2015-12-01,43.67,22885.1324,103.4508,1.5729
2015-12-02,42.35,22193.3903,100.3238,1.5254
2015-12-03,41.48,21737.4694,98.2629,1.494
2015-12-04,42.7,22376.8068,101.153,1.538
2015-12-07,42.66,22355.8449,101.0582,1.5365
2015-12-08,42.44,22240.5546,100.537,1.5286
2015-12-09,42.13,22078.1,99.8027,1.5175
2015-12-10,41.99,22004.7334,99.471,1.5124
2015-12-11,41.41,21700.7861,98.097,1.4915
2015-12-14,41.29,21637.9005,97.8128,1.4872
2015-12-15,41.56,21779.3932,98.4524,1.4969
2015-12-16,42.32,22177.6689,100.2528,1.5243
2015-12-17,42.0,22009.9739,99.4947,1.5128
2015-12-18,41.69,21847.5193,98.7603,1.5016
2015-12-21,41.9,21957.5692,99.2578,1.5092
2015-12-22,42.07,22046.6572,99.6605,1.5153
2015-12-23,42.39,22214.3522,100.4186,1.5268
2015-12-24,42.46,22251.0355,100.5844,1.5293
2015-12-28,42.91,22486.8566,101.6504,1.5455
2015-12-29,43.57,22832.7277,103.2139,1.5693
2015-12-30,43.24,22659.7922,102.4322,1.5574
2015-12-31,42.92,22492.0971,79.6668,1.543
2016-01-04,41.9,21957.5692,77.7735,1.5063
2016-01-05,42.78,22418.7305,79.4069,1.538
2016-01-06,42.55,22298.1997,78.98,1.5297
2016-01-07,41.44,21716.5076,76.9197,1.4898
2016-01-08,41.07,21522.6102,76.2329,1.4765
2016-01-11,41.02,21496.4078,76.1401,1.4747
2016-01-12,40.69,21323.4723,75.5275,1.4628
2016-01-13,40.5,21223.9034,75.1749,1.456
2016-01-14,39.65,20778.4634,73.5971,1.4255
2016-01-15,38.81,20338.264,72.0379,1.3953
2016-01-19,39.04,20458.7948,72.4648,1.4035
2016-01-20,37.41,19604.5982,69.4393,1.3449
2016-01-21,37.73,19772.2932,70.0333,1.3564
2016-01-22,38.59,20222.9736,71.6296,1.3873
2016-01-25,38.22,20029.0762,70.9428,1.374
2016-01-26,39.85,20883.2728,73.9683,1.4326
2016-01-27,39.47,20684.135,73.263,1.419
2016-01-28,38.88,20374.9472,72.1679,1.3978
2016-01-29,39.47,20684.135,73.263,1.419
2016-02-01,39.47,20684.135,73.263,1.419
2016-02-02,39.27,20579.3256,72.8918,1.4118
2016-02-03,39.52,20710.3373,73.3558,1.4208
2016-02-04,39.58,20741.7801,73.4672,1.4229
2016-02-05,39.24,20563.6042,72.8361,1.4107
2016-02-08,37.65,19730.3694,69.8848,1.3535
2016-02-09,37.4,19599.3577,69.4207,1.3446
2016-02-10,37.3,19546.953,69.2351,1.341
2016-02-11,35.57,18640.3517,66.0239,1.2788
2016-02-12,36.07,18902.3752,66.952,1.2967
