Date,Price,Market Cap,PE Ratio,PB Ratio
2020-09-29,7.25,11106.9837,,
2020-09-30,9.5,15657.9,,13.1044
2020-10-01,9.46,15591.972,,13.0493
2020-10-02,9.2,15163.44,,12.6906
2020-10-05,9.03,14883.246,,12.4561
2020-10-06,9.9,16317.18,,13.6562
2020-10-07,10.0,16482.0,,13.7941
2020-10-08,10.0,16482.0,,13.7941
2020-10-09,9.95,16399.59,,13.7252
2020-10-12,9.89,16300.698,,13.6424
2020-10-13,9.47,15608.454,,13.0631
2020-10-14,9.34,15394.188,,12.8837
2020-10-15,9.91,16333.662,,13.67
2020-10-16,9.71,16004.022,,13.3941
2020-10-19,9.57,15773.274,,13.201
2020-10-20,9.27,15278.814,,12.7872
2020-10-21,9.2,15163.44,,12.6906
2020-10-22,9.68,15954.576,,13.3527
2020-10-23,9.49,15641.418,,13.0906
2020-10-26,9.95,16399.59,,13.7252
2020-10-27,10.95,18047.79,,15.1046
2020-10-28,10.85,17882.97,,14.9666
2020-10-29,10.75,17718.15,,14.8287
2020-10-30,10.13,16696.266,,13.9735
2020-11-02,10.54,17372.028,,14.539
2020-11-03,10.5,17306.1,,14.4838
2020-11-04,10.72,17668.704,,14.7873
2020-11-05,11.88,19580.616,,16.3874
2020-11-06,13.83,22794.606,,19.0773
2020-11-09,14.67,24179.094,,20.236
2020-11-10,14.0,23074.8,,19.3118
2020-11-11,15.96,26305.272,,22.0154
2020-11-12,14.58,24030.756,,20.1119
2020-11-13,15.8,27524.3211,,21.7947
2020-11-16,15.93,27750.787,,21.9741
2020-11-17,17.85,31095.5146,,24.6225
2020-11-18,17.9,31182.6169,,24.6915
2020-11-19,18.98,33064.0262,,26.1813
2020-11-20,18.15,31618.1283,,25.0364
2020-11-23,21.04,36652.6402,,29.0229
2020-11-24,23.82,41495.5271,,32.8576
2020-11-25,29.05,50606.4258,,40.072
2020-11-27,27.66,48184.9823,,38.1546
2020-11-30,27.11,47226.8572,,37.3959
2020-12-01,25.67,44718.3115,,35.4096
2020-12-02,22.51,39213.4473,,31.0506
2020-12-03,24.03,41861.3567,,33.1473
2020-12-04,23.85,41547.7884,,32.899
2020-12-07,28.94,50414.8007,,39.9202
2020-12-08,28.59,49805.0848,,39.4374
2020-12-09,26.63,46390.6753,,36.7338
2020-12-10,27.04,47104.914,,37.2994
2020-12-11,27.2,47383.6413,,37.5201
2020-12-14,27.24,47453.3232,,37.5752
2020-12-15,26.43,46042.2662,,36.4579
2020-12-16,25.92,45153.8229,,35.7544
2020-12-17,27.23,47435.9027,,37.5614
2020-12-18,25.97,45240.9252,,35.8234
2020-12-21,28.51,49665.7211,,39.3271
2020-12-22,28.04,48846.9597,,38.6788
2020-12-23,28.69,49979.2893,,39.5754
2020-12-24,27.75,48341.7664,,38.2787
2020-12-28,25.63,44648.6297,,35.3544
2020-12-29,24.66,42958.8454,,34.0164
2020-12-30,25.1,43725.3455,,34.6233
2020-12-31,23.55,41025.1748,,27.7199
2021-01-04,23.37,40711.6065,,27.508
2021-01-05,24.6,42854.3227,,28.9558
2021-01-06,23.54,41007.7543,,27.7081
2021-01-07,25.0,43551.1409,,29.4266
2021-01-08,25.2,43899.5501,,29.662
2021-01-11,25.93,45171.2434,,30.5213
2021-01-12,26.18,45606.7548,,30.8155
2021-01-13,25.5,44422.1637,,30.0151
2021-01-14,24.92,43411.7773,,29.3324
2021-01-15,25.64,44666.0501,,30.1799
2021-01-19,26.62,46373.2549,,31.3335
2021-01-20,26.34,45885.4821,,31.0039
2021-01-21,25.98,45258.3456,,30.5801
2021-01-22,32.58,56755.8469,,38.3488
2021-01-25,36.23,63114.3134,,42.645
2021-01-26,35.37,61616.1542,,41.6328
2021-01-27,39.0,67939.7798,,45.9055
2021-01-28,35.66,62121.3474,,41.9741
2021-01-29,35.18,61285.1655,,41.4091
2021-02-01,33.96,59159.8698,,39.9731
2021-02-02,31.02,54038.2557,,36.5125
2021-02-03,31.76,55327.3694,,37.3836
