Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,52.05,5727.8398,14.2213,1.3673
2014-01-03,52.07,5730.0407,14.2268,1.3678
2014-01-06,52.03,5725.6389,14.2158,1.3667
2014-01-07,52.43,5769.6569,14.3251,1.3772
2014-01-08,52.1,5733.342,14.235,1.3686
2014-01-09,52.52,5779.5609,14.3497,1.3796
2014-01-10,53.28,5863.1951,14.5574,1.3996
2014-01-13,52.97,5829.0811,14.4727,1.3914
2014-01-14,52.76,5805.9717,14.4153,1.3859
2014-01-15,52.56,5783.9627,14.3607,1.3807
2014-01-16,52.8,5810.3735,14.4262,1.387
2014-01-17,52.39,5765.2551,14.3142,1.3762
2014-01-21,52.96,5827.9807,14.4699,1.3912
2014-01-22,53.17,5851.0901,14.5273,1.3967
2014-01-23,52.65,5793.8667,14.3852,1.383
2014-01-24,52.01,5723.438,14.2104,1.3662
2014-01-27,51.9,5711.333,14.1803,1.3633
2014-01-28,51.99,5721.2371,14.2049,1.3657
2014-01-29,51.72,5691.5249,14.1311,1.3586
2014-01-30,52.2,5744.3465,14.2623,1.3712
2014-01-31,52.63,5791.6658,14.3798,1.3825
2014-02-03,51.28,5643.1052,14.0109,1.347
2014-02-04,51.63,5681.6209,14.1066,1.3562
2014-02-05,51.41,5657.411,14.0464,1.3505
2014-02-06,52.11,5734.4425,14.2377,1.3688
2014-02-07,52.76,5805.9717,14.4153,1.3859
2014-02-10,53.07,5840.0856,14.5,1.3941
2014-02-11,53.78,5918.2175,14.694,1.4127
2014-02-12,53.78,5918.2175,14.694,1.4127
2014-02-13,54.02,5944.6283,14.7596,1.419
2014-02-14,54.39,5985.345,14.8607,1.4287
2014-02-18,54.84,6034.8652,14.9836,1.4406
2014-02-19,54.36,5982.0436,14.8525,1.4279
2014-02-20,55.1,6063.4769,15.0546,1.4474
2014-02-21,54.73,6022.7602,14.9536,1.4377
2014-02-24,54.44,5998.9813,14.8743,1.43
2014-02-25,55.14,6076.1174,15.0656,1.4484
2014-02-26,55.24,6087.1368,15.0929,1.4511
2014-02-27,55.27,6090.4426,15.1011,1.4519
2014-02-28,55.65,6132.3165,15.2049,1.4618
