Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,35.83,1954.1446,,15.7789
2014-01-03,36.87,2010.8655,,16.2369
2014-01-06,36.88,2011.4109,,16.2413
2014-01-07,37.01,2018.501,,16.2986
2014-01-08,36.87,2010.8655,,16.2369
2014-01-09,36.27,1978.1419,,15.9727
2014-01-10,36.25,1977.0511,,15.9639
2014-01-13,35.89,1957.4169,,15.8054
2014-01-14,36.81,2007.5931,,16.2105
2014-01-15,36.53,1992.3221,,16.0872
2014-01-16,40.31,2198.4808,,17.7518
2014-01-17,40.21,2193.0269,,17.7078
2014-01-21,41.18,2245.9301,,18.135
2014-01-22,41.84,2281.926,,18.4256
2014-01-23,42.95,2342.4647,,18.9145
2014-01-24,43.28,2360.4627,,19.0598
2014-01-27,43.09,2350.1002,,18.9761
2014-01-28,43.56,2375.7337,,19.1831
2014-01-29,42.57,2321.7397,,18.7471
2014-01-30,43.37,2365.3712,,19.0994
2014-01-31,43.0,2345.1917,,18.9365
2014-02-03,42.16,2299.3786,,18.5666
2014-02-04,42.38,2311.3773,,18.6634
2014-02-05,42.98,2344.1009,,18.9277
2014-02-06,43.01,2345.7371,,18.9409
2014-02-07,42.31,2307.5595,,18.6326
2014-02-10,43.19,2355.5541,,19.0201
2014-02-11,43.75,2386.0962,,19.2668
2014-02-12,44.51,2427.5461,,19.6015
2014-02-13,44.97,2452.6342,,19.804
2014-02-14,44.48,2425.9099,,19.5882
2014-02-18,44.63,2434.0908,,19.6543
2014-02-19,44.67,2436.2724,,19.6719
2014-02-20,45.5,2481.54,,20.0374
2014-02-21,44.97,2452.6342,,19.804
2014-02-24,45.46,2479.3584,,20.0198
2014-02-25,45.74,2494.6295,,20.1431
2014-02-26,45.79,2497.3564,,20.1651
2014-02-27,45.24,2467.3598,,19.9229
2014-02-28,47.41,2610.4773,,20.8786
2014-03-03,47.32,2605.5218,,20.8389
2014-03-04,49.77,2740.423,,21.9179
2014-03-05,50.02,2754.1885,,22.028
2014-03-06,48.81,2687.5638,,21.4951
2014-03-07,48.5,2670.4946,,21.3586
2014-03-10,48.45,2667.7415,,21.3366
2014-03-11,48.16,2651.7736,,21.2089
2014-03-12,48.52,2671.5959,,21.3674
2014-03-13,48.13,2650.1218,,21.1956
2014-03-14,48.35,2662.2354,,21.2925
2014-03-17,48.57,2674.3489,,21.3894
2014-03-18,50.11,2759.144,,22.0676
2014-03-19,49.33,2716.1959,,21.7241
2014-03-20,50.18,2762.9983,,22.0984
2014-03-21,49.84,2744.2774,,21.9487
2014-03-24,48.99,2697.4749,,21.5744
2014-03-25,49.57,2729.4107,,21.8298
2014-03-26,49.14,2705.7341,,21.6404
2014-03-27,48.55,2673.2477,,21.3806
2014-03-28,47.17,2597.2625,,20.7729
2014-03-31,47.42,2611.0279,,21.3933
2014-04-01,48.31,2660.0329,,21.7948
2014-04-02,49.03,2699.6773,,22.1196
2014-04-03,49.07,2701.8798,,22.1377
2014-04-04,44.31,2448.1459,,19.9902
2014-04-07,41.8,2309.4674,,18.8579
2014-04-08,41.35,2284.6047,,18.6548
2014-04-09,42.71,2359.7453,,19.2684
2014-04-10,42.26,2334.8826,,19.0654
2014-04-11,41.76,2307.2574,,18.8398
2014-04-14,42.45,2345.3802,,19.1511
2014-04-15,42.04,2322.7275,,18.9661
2014-04-16,42.6,2353.6677,,19.2188
2014-04-17,43.52,2404.4981,,19.6338
2014-04-21,43.06,2379.0829,,19.4263
2014-04-22,42.84,2366.9278,,19.327
2014-04-23,41.91,2315.5449,,18.9075
2014-04-24,41.38,2286.2622,,18.6684
2014-04-25,40.17,2219.4092,,18.1225
2014-04-28,38.25,2113.3284,,17.2563
2014-04-29,38.36,2119.406,,17.3059
2014-04-30,37.63,2079.0731,,16.9766
2014-05-01,37.87,2092.3332,,17.0849
2014-05-02,36.92,2039.8454,,16.6563
2014-05-05,37.39,2065.813,,16.8683
2014-05-06,36.86,2036.5303,,16.6292
2014-05-07,35.39,1961.1211,,15.966
2014-05-08,31.69,1756.0872,,14.2968
2014-05-09,32.99,1828.1262,,14.8833
2014-05-12,34.56,1915.127,,15.5916
2014-05-13,34.48,1910.6938,,15.5555
2014-05-14,33.78,1871.9037,,15.2397
2014-05-15,33.24,1841.9798,,14.9961
2014-05-16,33.76,1870.7954,,15.2306
2014-05-19,33.94,1880.77,,15.3119
2014-05-20,33.48,1855.2793,,15.1043
2014-05-21,34.09,1889.0822,,15.3795
2014-05-22,34.89,1933.4138,,15.7404
2014-05-23,35.1,1945.0509,,15.8352
2014-05-27,36.84,2041.4722,,16.6202
2014-05-28,36.45,2019.8605,,16.4442
2014-05-29,37.06,2053.6634,,16.7194
2014-05-30,36.63,2029.8351,,16.5254
2014-06-02,35.11,1945.605,,15.8397
2014-06-03,35.1,1945.0509,,15.8352
2014-06-04,35.25,1953.363,,15.9029
2014-06-05,36.3,2011.5483,,16.3766
2014-06-06,36.84,2041.4722,,16.6202
2014-06-09,39.0,2161.1676,,17.5946
2014-06-10,37.61,2084.1414,,16.9676
2014-06-11,37.32,2068.0712,,16.8367
2014-06-12,37.04,2052.5551,,16.7104
2014-06-13,36.92,2045.9054,,16.6563
2014-06-16,37.84,2096.8867,,17.0713
2014-06-17,37.195,2061.1444,,16.7803
2014-06-18,37.7,2089.1287,,17.0082
2014-06-19,38.72,2145.6516,,17.4683
2014-06-20,39.17,2170.5881,,17.6713
2014-06-23,37.97,2104.0906,,17.13
2014-06-24,37.73,2090.7911,,17.0217
2014-06-25,38.16,2114.6194,,17.2157
2014-06-26,38.8,2150.0847,,17.5044
2014-06-27,39.53,2190.5373,,17.8338
2014-06-30,39.67,2198.2954,,26.5737
2014-07-01,40.79,2260.3597,,27.324
2014-07-02,40.73,2257.0348,,27.2838
2014-07-03,41.11,2278.0923,,27.5383
2014-07-07,41.03,2273.6592,,27.4848
2014-07-08,38.89,2155.072,,26.0512
2014-07-09,38.28,2121.2691,,25.6426
2014-07-10,38.12,2112.4028,,25.5354
2014-07-11,38.4,2127.9189,,25.723
2014-07-14,38.94,2157.8428,,26.0847
2014-07-15,37.82,2095.7785,,25.3345
2014-07-16,37.48,2076.9375,,25.1067
2014-07-17,36.39,2016.5356,,24.3766
2014-07-18,37.12,2056.9883,,24.8656
2014-07-21,36.93,2046.4595,,24.7383
2014-07-22,37.68,2088.0204,,25.2407
2014-07-23,37.88,2099.1033,,25.3747
2014-07-24,37.2,2061.4214,,24.9192
2014-07-25,36.29,2010.9942,,24.3096
2014-07-28,36.05,1997.6947,,24.1488
2014-07-29,35.9,1989.3825,,24.0483
2014-07-30,36.79,2038.7015,,24.6445
2014-07-31,35.34,1958.3504,,23.6732
2014-08-01,34.36,1904.0441,,23.0167
2014-08-04,35.2,1950.5923,,23.5794
2014-08-05,35.49,1966.6625,,23.7737
2014-08-06,35.39,1961.1211,,23.7067
2014-08-07,35.84,2002.7982,,24.0081
2014-08-08,34.625,1934.902,,23.1942
2014-08-11,35.31,1973.1809,,23.6531
2014-08-12,33.96,1897.7407,,22.7488
2014-08-13,34.64,1935.7402,,23.2043
2014-08-14,34.66,1936.8578,,23.2177
2014-08-15,34.58,1932.3873,,23.1641
2014-08-18,36.21,2023.4744,,24.256
2014-08-19,36.02,2012.8569,,24.1287
2014-08-20,34.85,1947.4753,,23.345
2014-08-21,34.7,1939.0931,,23.2445
2014-08-22,35.06,1959.2105,,23.4856
2014-08-25,35.18,1965.9163,,23.566
2014-08-26,36.43,2035.7683,,24.4034
2014-08-27,36.46,2037.4448,,24.4234
2014-08-28,36.0,2011.7392,,24.1153
2014-08-29,36.11,2017.8862,,24.189
2014-09-02,36.38,2032.9743,,24.3699
2014-09-03,36.23,2024.592,,24.2694
2014-09-04,36.18,2021.7979,,24.2359
2014-09-05,35.87,2004.4746,,24.0282
2014-09-08,35.93,2007.8275,,24.0684
2014-09-09,35.3,1972.6221,,23.6464
2014-09-10,35.57,1987.7101,,23.8273
2014-09-11,35.7,1994.9747,,23.9143
2014-09-12,34.87,1948.593,,23.3584
2014-09-15,32.94,1840.7414,,22.0655
2014-09-16,33.09,1849.1236,,22.166
2014-09-17,35.94,2008.3863,,24.0751
2014-09-18,37.87,2116.2379,,25.368
2014-09-19,37.09,2072.6502,,24.8455
2014-09-22,36.62,2046.3858,,24.5306
2014-09-23,37.04,2069.8561,,24.812
2014-09-24,38.53,2153.1198,,25.8101
2014-09-25,37.19,2078.2384,,24.9125
2014-09-26,37.47,2093.8852,,25.1
2014-09-29,37.6,2101.1499,,25.1871
2014-09-30,36.85,2059.2386,,25.7043
2014-10-01,36.81,2057.0034,,25.6764
2014-10-02,38.04,2125.7378,,26.5344
2014-10-03,38.99,2178.8253,,27.1971
2014-10-06,38.5,2151.4433,,26.8553
2014-10-07,37.52,2096.6793,,26.1717
2014-10-08,39.3,2196.1487,,27.4133
2014-10-09,38.24,2136.9141,,26.6739
2014-10-10,37.82,2113.4438,,26.381
2014-10-13,37.27,2082.7089,,25.9973
2014-10-14,36.75,2053.6505,,25.6346
2014-10-15,37.08,2072.0914,,25.8648
2014-10-16,37.17,2077.1208,,25.9276
2014-10-17,37.19,2078.2384,,25.9415
2014-10-20,37.43,2091.65,,26.1089
2014-10-21,38.58,2155.9139,,26.9111
2014-10-22,37.75,2109.5321,,26.3321
2014-10-23,38.83,2169.8843,,27.0855
2014-10-24,39.41,2202.2956,,27.4901
2014-10-27,39.4,2201.7368,,27.4831
2014-10-28,40.9,2285.5593,,28.5294
2014-10-29,41.09,2296.1768,,28.6619
2014-10-30,42.54,2377.2052,,29.6734
2014-10-31,43.17,2412.4106,,30.1128
2014-11-03,41.75,2333.0587,,29.1223
2014-11-04,40.68,2273.2653,,28.3759
2014-11-05,40.27,2258.4005,,28.0899
2014-11-06,42.74,2396.9217,,29.8129
2014-11-07,43.05,2414.307,,30.0291
2014-11-10,44.75,2509.6455,,31.2149
2014-11-11,45.83,2570.2134,,31.9683
2014-11-12,46.4,2602.1799,,32.3659
2014-11-13,45.81,2569.0918,,31.9543
2014-11-14,45.17,2533.1997,,31.5079
2014-11-17,44.75,2509.6455,,31.2149
2014-11-18,44.93,2519.7401,,31.3405
2014-11-19,44.23,2480.4831,,30.8522
2014-11-20,45.46,2549.4633,,31.7102
2014-11-21,45.26,2538.247,,31.5707
2014-11-24,45.89,2573.5783,,32.0101
2014-11-25,45.48,2550.5849,,31.7241
2014-11-26,46.33,2598.2542,,32.317
2014-11-28,46.59,2612.8354,,32.4984
2014-12-01,44.0,2467.5844,,30.6918
2014-12-02,44.85,2515.2536,,31.2847
2014-12-03,46.36,2599.9366,,32.338
2014-12-04,45.89,2573.5783,,32.0101
2014-12-05,46.25,2593.7677,,32.2612
2014-12-08,46.24,2593.2068,,32.2542
2014-12-09,47.51,2664.4303,,33.1401
2014-12-10,45.9,2574.1391,,32.0171
2014-12-11,45.22,2536.0038,,31.5428
2014-12-12,43.66,2448.5167,,30.4546
2014-12-15,42.18,2365.5161,,29.4222
2014-12-16,42.48,2382.3405,,29.6315
2014-12-17,44.83,2514.132,,31.2707
2014-12-18,46.59,2612.8354,,32.4984
2014-12-19,46.56,2611.1529,,32.4775
2014-12-22,46.75,2621.8084,,32.61
2014-12-23,45.34,2542.7335,,31.6265
2014-12-24,46.24,2593.2068,,32.2542
2014-12-26,46.37,2600.4974,,32.3449
2014-12-29,46.56,2611.1529,,32.4775
2014-12-30,46.28,2595.4501,,32.2821
2014-12-31,46.06,2583.1122,,30.9336
2015-01-02,45.18,2533.7605,,30.3426
2015-01-05,45.09,2528.7132,,30.2822
2015-01-06,43.49,2438.9828,,29.2076
2015-01-07,44.53,2497.3075,,29.9061
2015-01-08,40.52,2272.4209,,27.213
2015-01-09,41.29,2315.6036,,27.7301
2015-01-12,40.65,2279.7115,,27.3003
