Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,57.36,2634.9621,28.2562,9.2807
2014-01-03,57.34,2634.0433,28.2463,9.2775
2014-01-06,56.57,2598.6716,27.867,9.1529
2014-01-07,56.86,2611.9935,28.0099,9.1998
2014-01-08,56.7,2604.6435,27.931,9.174
2014-01-09,56.35,2588.5654,27.7586,9.1173
2014-01-10,56.57,2598.6716,27.867,9.1529
2014-01-13,55.8,2563.2999,27.4877,9.0283
2014-01-14,55.95,2570.1905,27.5616,9.0526
2014-01-15,55.86,2566.0562,27.5172,9.038
2014-01-16,56.53,2596.8342,27.8473,9.1465
2014-01-17,56.63,2601.4279,27.8966,9.1626
2014-01-21,56.83,2610.6153,27.9951,9.195
2014-01-22,57.04,2620.2622,28.0985,9.229
2014-01-23,56.8,2609.2372,27.9803,9.1901
2014-01-24,55.32,2541.25,27.2512,8.9507
2014-01-27,54.69,2512.3096,26.9409,8.8487
2014-01-28,55.31,2540.7907,27.2463,8.9491
2014-01-29,54.39,2498.5284,26.7931,8.8002
2014-01-30,54.37,2497.6096,26.7833,8.797
2014-01-31,54.18,2488.8816,26.6897,8.7662
2014-02-03,52.68,2419.9756,25.9507,8.5235
2014-02-04,53.26,2446.6193,26.2365,8.6174
2014-02-05,53.22,2444.7818,26.2167,8.6109
2014-02-06,53.8,2471.4254,26.5025,8.7047
2014-02-07,54.28,2493.4753,26.7389,8.7824
2014-02-10,54.21,2490.2597,26.7044,8.7711
2014-02-11,54.58,2507.2565,26.8867,8.8309
2014-02-12,54.37,2497.6096,26.7833,8.797
2014-02-13,54.93,2523.3345,27.0591,8.8876
2014-02-14,58.21,2674.0088,28.6749,9.4183
2014-02-18,58.0,2664.3619,28.5714,9.3843
2014-02-19,57.82,2656.0932,28.4828,9.3552
2014-02-20,58.12,2669.8744,28.6305,9.4037
2014-02-21,58.88,2704.7867,29.0049,9.5267
2014-02-24,59.15,2717.1898,29.1379,9.5704
2014-02-25,58.68,2695.5993,28.9064,9.4943
2014-02-26,58.32,2679.0619,28.7291,9.4361
2014-02-27,58.26,2622.3261,28.6995,9.4264
2014-02-28,58.46,2631.3282,28.798,9.4587
2014-03-03,58.22,2620.5256,28.6798,9.4199
2014-03-04,60.15,2707.3964,29.6305,9.7322
2014-03-05,59.78,2690.7424,29.4483,9.6723
2014-03-06,59.4,2673.6383,29.2611,9.6108
2014-03-07,59.91,2696.5938,29.5123,9.6933
2014-03-10,60.03,2701.9951,29.5714,9.7127
2014-03-11,59.37,2672.288,29.2463,9.606
2014-03-12,59.36,2671.8379,29.2414,9.6043
2014-03-13,58.98,2654.7338,29.0542,9.5429
2014-03-14,58.84,2648.4323,28.9852,9.5202
2014-03-17,59.17,2663.2858,29.1478,9.5736
2014-03-18,60.03,2701.9951,29.5714,9.7127
2014-03-19,61.67,2775.8127,30.3793,9.9781
2014-03-20,61.74,2778.9635,30.4138,9.9894
2014-03-21,61.54,2769.9613,30.3153,9.9571
2014-03-24,61.2,2754.6577,30.1478,9.902
2014-03-25,60.94,2742.9549,30.0197,9.86
2014-03-26,60.63,2729.0015,29.867,9.8098
2014-03-27,60.28,2718.6514,29.6946,9.7532
2014-03-28,60.24,2716.8473,29.6749,9.7467
2014-03-31,61.32,2765.5558,29.9122,10.5739
2014-04-01,62.42,2815.1662,30.4488,10.7636
2014-04-02,62.14,2802.5381,30.3122,10.7153
2014-04-03,62.12,2801.6361,30.3024,10.7118
2014-04-04,61.54,2775.4779,30.0195,10.6118
2014-04-07,61.12,2756.5357,29.8146,10.5394
2014-04-08,61.22,2761.0457,29.8634,10.5566
2014-04-09,60.91,2747.0646,29.7122,10.5032
2014-04-10,57.69,2601.8414,28.1415,9.9479
2014-04-11,56.94,2568.0161,27.7756,9.8186
2014-04-14,57.4,2588.7622,28.0,9.8979
2014-04-15,57.8,2606.8024,28.1951,9.9669
2014-04-16,58.29,2628.9016,28.4341,10.0514
2014-04-17,57.66,2600.4883,28.1268,9.9428
2014-04-21,57.65,2600.0373,28.122,9.941
2014-04-22,58.34,2631.1566,28.4585,10.06
2014-04-23,57.99,2615.3715,28.2878,9.9997
2014-04-24,58.25,2627.0976,28.4146,10.0445
