Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,27.5133,18686.9016,11.2092,1.3912
2014-01-03,27.4855,18667.9942,11.1979,1.3898
2014-01-06,27.6061,18749.9266,11.247,1.3959
2014-01-07,27.7639,18857.069,11.3113,1.4038
2014-01-08,27.5133,18686.9016,11.2092,1.3912
2014-01-09,27.5597,18718.4141,11.2281,1.3935
2014-01-10,28.1072,19090.2614,11.4512,1.4212
2014-01-13,27.968,18995.724,11.3945,1.4142
2014-01-14,27.8752,18932.699,11.3567,1.4095
2014-01-15,27.5504,18712.1116,11.2243,1.393
2014-01-16,27.7082,18819.2541,11.2886,1.401
2014-01-17,27.4577,18649.0867,11.1865,1.3883
2014-01-21,27.7175,18825.5566,11.2924,1.4015
2014-01-22,27.9773,19002.0265,11.3982,1.4146
2014-01-23,27.9866,19008.329,11.402,1.4151
2014-01-24,27.7175,18825.5566,11.2924,1.4015
2014-01-27,27.6061,18749.9266,11.247,1.3959
2014-01-28,27.8938,18945.304,11.3642,1.4104
2014-01-29,27.9031,18951.6065,11.368,1.4109
2014-01-30,28.2,19153.2864,11.489,1.4259
2014-01-31,28.367,19266.7313,11.557,1.4343
2014-02-03,28.2928,19216.3113,11.5268,1.4306
2014-02-04,28.1165,19096.5639,11.4549,1.4217
2014-02-05,27.9402,18976.8165,11.3831,1.4127
2014-02-06,28.1072,19090.2614,11.4512,1.4212
2014-02-07,28.1536,19121.7739,11.4701,1.4235
2014-02-10,28.5248,19373.8737,11.6213,1.4423
2014-02-11,28.8403,19588.1586,11.7498,1.4583
2014-02-12,28.8496,19594.4611,11.7536,1.4587
2014-02-13,29.1094,19770.931,11.8595,1.4719
2014-02-14,29.2486,19865.4685,11.9162,1.4789
2014-02-18,29.4898,20029.3334,12.0145,1.4911
2014-02-19,29.3321,19922.1909,11.9502,1.4831
2014-02-20,29.4991,20035.6359,12.0182,1.4916
2014-02-21,29.5084,20041.9384,12.022,1.492
2014-02-24,29.5177,20063.1013,12.0258,1.4925
2014-02-25,29.6105,20126.173,12.0636,1.4972
2014-02-26,29.8239,20271.2379,12.1506,1.508
2014-02-27,29.6569,20157.7088,12.0825,1.4995
2014-02-28,29.9631,20365.8454,12.2073,1.515
2014-03-03,29.7033,20189.2447,12.1014,1.5019
2014-03-04,29.9816,20378.4597,12.2148,1.516
2014-03-05,29.694,20182.9375,12.0976,1.5014
2014-03-06,29.1094,19785.5859,11.8595,1.4719
2014-03-07,29.5455,20082.0228,12.0371,1.4939
2014-03-10,29.4434,20012.644,11.9956,1.4888
2014-03-11,29.3785,19968.4938,11.9691,1.4855
2014-03-12,29.8703,20302.7737,12.1695,1.5103
2014-03-13,30.0373,20416.3027,12.2375,1.5188
2014-03-14,30.4085,20668.5894,12.3887,1.5376
2014-03-17,30.3992,20662.2823,12.3849,1.5371
2014-03-18,30.4363,20687.5109,12.4001,1.539
2014-03-19,29.8889,20315.388,12.177,1.5113
2014-03-20,29.8889,20315.388,12.177,1.5113
2014-03-21,30.1023,20460.4529,12.264,1.5221
2014-03-24,30.0373,20416.3027,12.2375,1.5188
2014-03-25,30.0373,20416.3027,12.2375,1.5188
2014-03-26,30.0744,20441.5314,12.2526,1.5207
2014-03-27,30.4456,20693.8181,12.4039,1.5394
2014-03-28,30.6034,20801.04,12.4681,1.5474
2014-03-31,30.7518,20901.9546,13.2011,1.5269
2014-04-01,30.4085,20668.5894,13.0538,1.5098
2014-04-02,30.0837,20447.8386,12.9143,1.4937
2014-04-03,30.1301,20479.3744,12.9342,1.496
2014-04-04,30.3528,20630.7464,13.0299,1.5071
2014-04-07,30.4363,20687.5109,13.0657,1.5112
2014-04-08,30.891,21003.0316,13.2609,1.5338
2014-04-09,30.6498,20838.9947,13.1573,1.5218
2014-04-10,30.6405,20832.6856,13.1533,1.5213
2014-04-11,30.2507,20567.7029,12.986,1.502
2014-04-14,30.3899,20662.3396,13.0458,1.5089
2014-04-15,30.8168,20952.5587,13.229,1.5301
2014-04-16,31.0117,21085.0501,13.3127,1.5398
2014-04-17,30.7518,20908.3949,13.2011,1.5269
2014-04-21,30.5662,20782.2127,13.1215,1.5177
2014-04-22,30.5662,20782.2127,13.1215,1.5177
2014-04-23,30.724,20889.4676,13.1892,1.5255
2014-04-24,30.9838,21066.1227,13.3007,1.5384
2014-04-25,31.1323,21167.0685,13.3645,1.5458
2014-04-28,31.2065,21217.5414,13.3963,1.5494
2014-04-29,31.0395,21103.9774,13.3246,1.5412
2014-04-30,30.9374,21034.5772,13.2808,1.5361
2014-05-01,31.7447,21583.4699,13.6274,1.5762
2014-05-02,31.3643,21352.9643,13.464,1.5573
2014-05-05,31.8839,21706.7413,13.6871,1.5831
2014-05-06,31.7354,21605.6621,13.6234,1.5757
2014-05-07,32.0138,21795.1855,13.7429,1.5895
2014-05-08,31.6148,21523.5353,13.5716,1.5697
2014-05-09,31.2065,21245.5678,13.3963,1.5494
2014-05-12,30.724,20917.0606,13.1892,1.5255
2014-05-13,30.9838,21093.9491,13.3007,1.5384
2014-05-14,31.1323,21195.0282,13.3645,1.5458
2014-05-15,31.3364,21334.012,13.4521,1.5559
2014-05-16,31.6798,21567.7575,13.5995,1.5729
2014-05-19,31.1601,21213.9805,13.3764,1.5471
2014-05-20,30.8725,21018.1397,13.2529,1.5329
2014-05-21,30.9189,21049.727,13.2728,1.5352
2014-05-22,31.1508,21207.6631,13.3724,1.5467
2014-05-23,30.9745,21087.6316,13.2967,1.5379
2014-05-27,31.8654,21694.1064,13.6792,1.5822
2014-05-28,32.1437,21883.6297,13.7987,1.596
2014-05-29,32.2736,21972.0739,13.8544,1.6024
2014-05-30,32.5613,22167.9147,13.9779,1.6167
2014-06-02,32.2736,21972.0739,13.8544,1.6024
2014-06-03,32.4685,22104.7403,13.9381,1.6121
2014-06-04,32.3479,22022.6135,13.8863,1.6061
2014-06-05,32.3943,22054.2007,13.9062,1.6084
2014-06-06,32.1623,21896.2646,13.8066,1.5969
2014-06-09,31.754,21618.297,13.6314,1.5766
2014-06-10,32.1901,21915.2169,13.8186,1.5983
