Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,76.45,45834.5607,13.1904,2.0555
2014-01-03,76.29,45738.6349,13.1628,2.0512
2014-01-06,77.01,46170.3011,13.2871,2.0706
2014-01-07,77.02,46176.2965,13.2888,2.0709
2014-01-08,76.87,46086.366,13.2629,2.0668
2014-01-09,78.13,46841.7819,13.4803,2.1007
2014-01-10,78.0,46763.8422,13.4579,2.0972
2014-01-13,75.81,45450.8574,13.08,2.0383
2014-01-14,76.49,45858.5421,13.1973,2.0566
2014-01-15,75.54,45288.9825,13.0334,2.0311
2014-01-16,75.39,45199.0521,13.0076,2.027
2014-01-17,76.02,45576.76,13.1163,2.044
2014-01-21,76.9,46104.3521,13.2681,2.0676
2014-01-22,77.1,46224.2594,13.3026,2.073
2014-01-23,77.2,46284.213,13.3198,2.0757
2014-01-24,74.44,44629.4924,12.8436,2.0015
2014-01-27,74.9,44905.2792,12.923,2.0139
2014-01-28,75.08,45013.1958,12.9541,2.0187
2014-01-29,74.18,44473.613,12.7988,1.9945
2014-01-30,73.56,44101.9004,12.6918,1.9778
2014-01-31,73.09,43820.1183,12.6107,1.9652
2014-02-03,71.36,42782.9202,12.3122,1.9187
2014-02-04,71.14,42651.0222,12.2743,1.9128
2014-02-05,70.67,42369.2401,12.1932,1.9001
2014-02-06,73.3,43946.0209,12.647,1.9709
2014-02-07,74.28,44533.5666,12.816,1.9972
2014-02-10,72.27,43328.4984,12.4692,1.9432
2014-02-11,74.09,44419.6547,12.7833,1.9921
2014-02-12,73.64,44149.8633,12.7056,1.98
2014-02-13,74.65,44755.3951,12.8799,2.0071
2014-02-14,75.93,45522.8017,13.1007,2.0416
2014-02-18,75.38,45193.0567,13.0058,2.0268
2014-02-19,75.27,45127.1077,12.9868,2.0238
2014-02-20,75.29,45139.0984,12.9903,2.0244
2014-02-21,74.95,44042.4434,12.9316,2.0152
2014-02-24,76.25,44806.3551,13.1559,2.0502
2014-02-25,77.53,45558.5142,13.3768,2.0846
2014-02-26,76.76,45106.0435,13.2439,2.0639
2014-02-27,74.74,43919.0423,12.8954,2.0096
2014-02-28,74.86,43989.5572,12.9161,2.0128
2014-03-03,74.86,43989.5572,12.9161,2.0128
2014-03-04,76.08,44706.4589,13.1266,2.0456
2014-03-05,76.81,45135.4247,13.2526,2.0652
2014-03-06,78.14,45916.965,13.482,2.101
2014-03-07,78.08,45881.7076,13.4717,2.0994
2014-03-10,78.66,46222.5297,13.5717,2.115
2014-03-11,79.08,46469.3319,13.6442,2.1263
2014-03-12,80.0,47009.9463,13.8029,2.151
2014-03-13,78.14,45916.965,13.482,2.101
2014-03-14,78.69,46240.1584,13.5769,2.1158
2014-03-17,79.35,46627.9905,13.6908,2.1335
2014-03-18,80.35,47215.6148,13.8633,2.1604
2014-03-19,78.43,46087.3761,13.5321,2.1088
2014-03-20,78.5,46128.5098,13.5441,2.1107
2014-03-21,77.95,45805.3164,13.4492,2.0959
2014-03-24,77.42,45493.8755,13.3578,2.0816
2014-03-25,78.2,45952.2225,13.4924,2.1026
2014-03-26,77.21,43793.381,13.3216,2.076
2014-03-27,76.86,43594.8616,13.2612,2.0666
2014-03-28,76.65,43475.7499,13.225,2.0609
2014-03-31,77.06,43708.3012,15.3076,2.039
2014-04-01,79.58,45137.641,15.8082,2.1057
2014-04-02,79.24,44944.7935,15.7406,2.0967
2014-04-03,80.6,45716.1832,16.0108,2.1327
2014-04-04,79.57,45131.969,15.8062,2.1054
2014-04-07,77.95,44213.1077,15.4844,2.0626
2014-04-08,77.56,43991.9004,15.4069,2.0522
2014-04-09,78.33,44428.6431,15.5599,2.0726
2014-04-10,76.69,43498.4379,15.2341,2.0292
2014-04-11,76.75,43532.4698,15.246,2.0308
2014-04-14,78.01,44247.1396,15.4963,2.0641
2014-04-15,78.68,44627.1625,15.6294,2.0819
2014-04-16,81.11,46005.4544,16.1121,2.1462
2014-04-17,80.28,45534.6798,15.9472,2.1242
2014-04-21,81.82,46408.1652,16.2531,2.165
2014-04-22,81.98,46498.9169,16.2849,2.1692
2014-04-23,82.3,46680.4204,16.3485,2.1777
2014-04-24,82.57,46833.5639,16.4021,2.1848
2014-04-25,82.59,46844.9079,16.4061,2.1853
2014-04-28,84.05,47673.0174,16.6961,2.224
2014-04-29,83.75,47502.8579,16.6365,2.216
2014-04-30,83.22,47202.2428,16.5312,2.202
2014-05-01,84.05,47559.3416,16.6961,2.224
2014-05-02,83.53,47265.1018,16.5928,2.2102
2014-05-05,83.93,47491.4401,16.6723,2.2208
2014-05-06,84.26,47678.1692,16.7378,2.2295
2014-05-07,85.03,48113.8705,16.8908,2.2499
2014-05-08,82.92,46919.9358,16.4716,2.1941
2014-05-09,81.91,46348.4315,16.271,2.1673
2014-05-12,83.54,47270.7602,16.5948,2.2105
2014-05-13,84.26,47678.1692,16.7378,2.2295
2014-05-14,83.56,47282.0772,16.5988,2.211
2014-05-15,82.01,46405.0161,16.2909,2.17
2014-05-16,81.86,46320.1393,16.2611,2.166
2014-05-19,82.73,46812.4251,16.4339,2.189
2014-05-20,81.97,46382.3823,16.2829,2.1689
2014-05-21,81.59,46167.3609,16.2074,2.1589
2014-05-22,82.38,46614.3791,16.3644,2.1798
2014-05-23,82.03,46416.333,16.2948,2.1705
2014-05-27,82.18,46501.2099,16.3246,2.1745
2014-05-28,82.99,46959.545,16.4855,2.1959
2014-05-29,84.32,47712.12,16.7497,2.2311
2014-05-30,84.79,47978.0675,16.8431,2.2435
2014-06-02,85.24,48232.6981,16.9325,2.2554
2014-06-03,84.54,47836.6061,16.7934,2.2369
2014-06-04,83.7,47361.2956,16.6266,2.2147
2014-06-05,83.52,47259.4433,16.5908,2.2099
2014-06-06,84.36,47734.7538,16.7577,2.2322
2014-06-09,83.73,47378.2709,16.6325,2.2155
2014-06-10,82.83,46869.0097,16.4538,2.1917
2014-06-11,82.89,46902.9605,16.4657,2.1933
2014-06-12,82.8,46852.0343,16.4478,2.1909
2014-06-13,83.49,47242.4679,16.5849,2.2091
2014-06-16,83.44,47214.1757,16.5749,2.2078
2014-06-17,84.07,47570.6585,16.7001,2.2245
2014-06-18,84.5,47813.9722,16.7855,2.2359
2014-06-19,85.26,48244.0151,16.9365,2.256
2014-06-20,85.94,48628.7902,17.0715,2.274
2014-06-23,86.33,48849.4701,17.149,2.2843
2014-06-24,84.94,48062.9444,16.8729,2.2475
2014-06-25,81.36,46037.2163,16.1617,2.1528
2014-06-26,82.1,46455.9422,16.3087,2.1724
2014-06-27,81.49,46110.7763,16.1876,2.1562
2014-06-30,80.43,45510.9797,14.9492,2.0897
2014-07-01,80.6,45607.1735,14.9807,2.0941
2014-07-02,81.0,45833.5118,15.0551,2.1045
2014-07-03,81.5,46116.4348,15.148,2.1175
2014-07-07,80.5,45550.5889,14.9622,2.0915
2014-07-08,79.28,44860.257,14.7354,2.0598
2014-07-09,79.81,45160.1553,14.8339,2.0736
2014-07-10,79.73,45114.8876,14.819,2.0715
2014-07-11,80.29,45431.7613,14.9231,2.0861
2014-07-14,79.95,45239.3737,14.8599,2.0772
2014-07-15,81.12,45901.4133,15.0774,2.1076
2014-07-16,80.84,45742.9765,15.0254,2.1003
2014-07-17,79.54,45007.3769,14.7837,2.0666
2014-07-18,80.86,45754.2934,15.0291,2.1009
2014-07-21,80.16,45358.2013,14.899,2.0827
2014-07-22,80.5,45550.5889,14.9622,2.0915
2014-07-23,81.27,45986.2902,15.1053,2.1115
2014-07-24,82.1,46455.9422,15.2595,2.1331
2014-07-25,82.65,46767.1575,15.3618,2.1474
2014-07-28,82.61,46744.5236,15.3543,2.1463
2014-07-29,82.47,46665.3052,15.3283,2.1427
2014-07-30,81.72,46240.9208,15.1889,2.1232
2014-07-31,81.11,45331.4453,15.0755,2.1074
2014-08-01,80.54,45012.8789,14.9696,2.0926
2014-08-04,81.88,45761.7895,15.2187,2.1274
2014-08-05,81.01,45275.5565,15.057,2.1048
2014-08-06,82.28,45985.3449,15.293,2.1378
2014-08-07,81.52,45560.5896,15.1517,2.118
2014-08-08,83.05,46415.689,15.4361,2.1578
2014-08-11,82.39,46046.8226,15.3134,2.1406
2014-08-12,82.56,46141.8336,15.345,2.145
2014-08-13,82.78,46264.7891,15.3859,2.1508
2014-08-14,83.69,46773.3776,15.5551,2.1744
2014-08-15,83.79,46829.2665,15.5737,2.177
2014-08-18,85.61,47846.4435,15.9119,2.2243
2014-08-19,86.09,48114.71,16.0012,2.2367
2014-08-20,86.6,48399.7431,16.0959,2.25
2014-08-21,86.24,48198.5433,16.029,2.2406
2014-08-22,86.09,48114.71,16.0012,2.2367
2014-08-25,86.9,48567.4097,16.1517,2.2578
2014-08-26,86.67,48438.8653,16.109,2.2518
2014-08-27,86.44,48310.321,16.0662,2.2458
2014-08-28,86.61,48405.332,16.0978,2.2503
2014-08-29,87.02,48634.4763,16.174,2.2609
2014-09-02,86.95,48595.3541,16.161,2.2591
2014-09-03,87.24,48757.4318,16.2149,2.2666
2014-09-04,86.88,48556.2319,16.148,2.2573
2014-09-05,87.51,48908.3317,16.2651,2.2736
2014-09-08,87.06,48656.8318,16.1814,2.262
2014-09-09,86.47,48327.0876,16.0718,2.2466
2014-09-10,85.14,47583.7659,15.8246,2.2121
2014-09-11,84.01,46952.2219,15.6146,2.1827
2014-09-12,83.02,46398.9223,15.4305,2.157
2014-09-15,83.9,46890.7442,15.5941,2.1798
2014-09-16,85.78,47941.4546,15.9435,2.2287
2014-09-17,85.69,47891.1546,15.9268,2.2264
2014-09-18,85.89,48002.9323,15.964,2.2316
2014-09-19,85.75,47924.6879,15.938,2.2279
2014-09-22,83.84,46857.2109,15.583,2.1783
2014-09-23,83.26,46533.0556,15.4752,2.1632
2014-09-24,82.69,46214.4891,15.3692,2.1484
2014-09-25,81.74,45683.5451,15.1926,2.1237
2014-09-26,82.23,45957.4004,15.2837,2.1365
2014-09-29,81.77,45700.3117,15.1982,2.1245
2014-09-30,81.31,45443.223,13.3325,2.0696
2014-10-01,79.63,44504.2904,13.057,2.0269
2014-10-02,77.76,43459.1689,12.7504,1.9793
2014-10-03,77.64,43392.1023,12.7307,1.9762
2014-10-06,77.35,43230.0246,12.6832,1.9688
2014-10-07,77.35,43230.0246,12.6832,1.9688
2014-10-08,79.16,44241.6128,12.98,2.0149
2014-10-09,76.61,42816.4471,12.5618,1.95
2014-10-10,76.32,42654.3695,12.5143,1.9426
2014-10-13,73.05,40826.8041,11.9781,1.8594
2014-10-14,70.59,39451.9384,11.5747,1.7968
2014-10-15,67.89,37942.9395,11.132,1.728
2014-10-16,69.71,38960.1166,11.4304,1.7744
2014-10-17,72.21,40357.3378,11.8404,1.838
2014-10-20,72.35,40435.5822,11.8633,1.8416
2014-10-21,76.81,42928.2248,12.5946,1.9551
2014-10-22,75.39,42134.6032,12.3618,1.9189
2014-10-23,76.12,42542.5918,12.4815,1.9375
2014-10-24,76.49,42749.3805,12.5422,1.9469
2014-10-27,75.48,42184.9031,12.3765,1.9212
2014-10-28,77.53,43330.6245,12.7127,1.9734
2014-10-29,76.39,42693.4917,12.5258,1.9444
2014-10-30,77.4,42841.9393,12.6914,1.9701
2014-10-31,78.5,43450.8041,12.8717,1.9981
2014-11-03,76.68,42443.4096,12.5733,1.9518
2014-11-04,74.49,41231.2152,12.2142,1.896
2014-11-05,74.74,41369.5936,12.2552,1.9024
2014-11-06,75.42,41745.9827,12.3667,1.9197
2014-11-07,74.7,41347.4531,12.2486,1.9014
2014-11-10,74.5,41236.7504,12.2158,1.8963
2014-11-11,73.64,40760.7288,12.0748,1.8744
2014-11-12,73.04,40428.6208,11.9765,1.8591
2014-11-13,70.83,39205.3561,11.6141,1.8029
2014-11-14,71.78,39731.1938,11.7698,1.8271
2014-11-17,72.78,40284.7073,11.9338,1.8525
2014-11-18,73.96,40937.8531,12.1273,1.8825
2014-11-19,75.77,41939.7124,12.4241,1.9286
2014-11-20,77.83,43079.9501,12.7619,1.9811
2014-11-21,79.42,43960.0364,13.0226,2.0215
2014-11-24,79.42,43960.0364,13.0226,2.0215
2014-11-25,79.54,44026.458,13.0423,2.0246
2014-11-26,79.28,43882.5446,12.9996,2.018
2014-11-28,73.02,40417.5505,11.9732,1.8586
2014-12-01,71.86,39775.4749,11.783,1.8291
2014-12-02,73.76,40827.1504,12.0945,1.8775
2014-12-03,74.83,41419.4098,12.27,1.9047
2014-12-04,74.97,41496.9017,12.2929,1.9083
2014-12-05,73.02,40417.5505,11.9732,1.8586
2014-12-08,68.93,38153.6806,11.3025,1.7545
2014-12-09,68.81,38087.259,11.2829,1.7515
2014-12-10,67.11,37146.2861,11.0041,1.7082
2014-12-11,66.82,36985.7672,10.9566,1.7008
2014-12-12,65.68,36354.7619,10.7696,1.6718
2014-12-15,65.09,36028.189,10.6729,1.6568
2014-12-16,67.04,37107.5402,10.9926,1.7064
2014-12-17,68.36,37838.1779,11.2091,1.74
2014-12-18,69.03,38209.0319,11.3189,1.7571
2014-12-19,71.81,39747.7992,11.7748,1.8278
2014-12-22,71.23,39426.7615,11.6797,1.8131
2014-12-23,72.56,40162.9343,11.8977,1.8469
2014-12-24,72.1,39908.3181,11.8223,1.8352
2014-12-26,72.65,40212.7505,11.9125,1.8492
2014-12-29,72.82,40306.8478,11.9404,1.8535
2014-12-30,72.92,40362.1992,11.9568,1.8561
2014-12-31,71.7,39686.9128,12.9284,1.8145
2015-01-02,72.29,40013.4857,13.0348,1.8295
2015-01-05,67.92,37594.632,12.2468,1.7189
2015-01-06,66.02,36542.9565,11.9042,1.6708
2015-01-07,66.31,36703.4754,11.9565,1.6781
2015-01-08,68.89,38131.54,12.4217,1.7434
2015-01-09,67.31,37256.9888,12.1368,1.7034
2015-01-12,64.24,35557.7026,11.5833,1.6257
2015-01-13,61.5,34041.0758,11.0892,1.5564
2015-01-14,59.42,32889.7679,10.7142,1.5038
2015-01-15,59.09,32707.1084,10.6547,1.4954
2015-01-16,60.83,33670.2218,10.9684,1.5394
2015-01-20,63.62,35214.5243,11.4715,1.61
2015-01-21,66.25,36670.2646,11.9457,1.6766
2015-01-22,67.31,37256.9888,12.1368,1.7034
2015-01-23,68.52,37926.7401,12.355,1.734
2015-01-26,68.4,37860.3185,12.3334,1.731
2015-01-27,69.6,38524.5346,12.5497,1.7614
2015-01-28,68.37,37843.7131,12.328,1.7303
2015-01-29,70.48,39011.6264,12.7084,1.7836
2015-01-30,70.32,38923.0642,12.6796,1.7796
2015-02-02,72.8,40295.7775,13.1267,1.8424
2015-02-03,74.88,41447.0855,13.5018,1.895
2015-02-04,74.42,41192.4693,13.4188,1.8834
2015-02-05,75.21,41629.7449,13.5613,1.9034
2015-02-06,76.1,42122.3719,13.7218,1.9259
2015-02-09,75.93,42028.2746,13.6911,1.9216
2015-02-10,75.67,41884.3611,13.6442,1.915
2015-02-11,74.19,41065.1612,13.3774,1.8775
2015-02-12,75.11,41574.3936,13.5433,1.9008
2015-02-13,76.62,42410.1988,13.8155,1.939
2015-02-17,76.9,42565.1826,13.866,1.9461
2015-02-18,75.95,42039.3448,13.6947,1.9221
2015-02-19,77.43,42858.5447,13.9616,1.9595
2015-02-20,77.34,42034.1201,13.9454,1.9573
2015-02-23,79.33,43115.6807,14.3042,2.0076
2015-02-24,80.0,43479.8242,14.425,2.0246
2015-02-25,79.09,42985.2412,14.2609,2.0015
2015-02-26,80.06,43512.4341,14.4358,2.0261
2015-02-27,78.46,42642.8376,14.1473,1.9856
2015-03-02,77.0,41849.3308,13.8841,1.9487
2015-03-03,78.09,42441.7434,14.0806,1.9762
2015-03-04,77.96,42371.0887,14.0572,1.9729
2015-03-05,76.88,41784.1111,13.8624,1.9456
2015-03-06,75.36,40957.9944,13.5883,1.9071
2015-03-09,76.29,41463.4474,13.756,1.9307
2015-03-10,74.03,40235.1423,13.3485,1.8735
2015-03-11,74.55,40517.7612,13.4423,1.8866
2015-03-12,74.16,40305.7971,13.372,1.8768
2015-03-13,74.64,40566.676,13.4585,1.8889
2015-03-16,76.29,41463.4474,13.756,1.9307
2015-03-17,75.95,41278.6581,13.6947,1.9221
2015-03-18,78.12,42458.0483,14.086,1.977
2015-03-19,77.51,42126.5147,13.976,1.9616
2015-03-20,78.86,42860.2367,14.2194,1.9957
2015-03-23,78.53,42680.8824,14.1599,1.9874
2015-03-24,77.63,42191.7344,13.9976,1.9646
2015-03-25,79.0,42843.8399,14.2447,1.9993
2015-03-26,78.44,42540.1367,14.1437,1.9851
2015-03-27,77.61,42090.0053,13.994,1.9641
2015-03-30,79.56,43147.5431,14.3457,2.0134
2015-03-31,78.6,42626.9091,13.9402,1.9564
2015-04-01,79.94,43353.6274,14.1779,1.9898
2015-04-02,78.17,42393.7084,13.8639,1.9457
2015-04-06,78.55,42599.7927,13.9313,1.9552
2015-04-07,77.77,42176.7776,13.793,1.9358
2015-04-08,77.41,41981.5398,13.7292,1.9268
2015-04-09,77.81,42198.4707,13.8001,1.9368
2015-04-10,78.34,42485.904,13.8941,1.95
2015-04-13,76.93,41721.2228,13.644,1.9149
2015-04-14,77.83,42209.3172,13.8036,1.9373
2015-04-15,78.94,42811.3003,14.0005,1.9649
2015-04-16,79.24,42973.9984,14.0537,1.9724
2015-04-17,78.01,42306.9361,13.8356,1.9418
2015-04-20,79.3,43006.538,14.0644,1.9739
2015-04-21,79.5,43115.0034,14.0998,1.9788
2015-04-22,80.92,43885.1079,14.3517,2.0142
2015-04-23,81.23,44053.2293,14.4067,2.0219
2015-04-24,81.59,44248.4671,14.4705,2.0309
2015-04-27,81.07,43966.457,14.3783,2.0179
2015-04-28,81.61,44259.3136,14.4741,2.0314
2015-04-29,81.0,43928.4941,14.3659,2.0162
2015-04-30,79.31,43011.9613,14.0661,1.9741
2015-05-01,81.61,44202.5941,14.4741,2.0314
2015-05-04,80.84,43785.5374,14.3375,2.0122
2015-05-05,80.44,43568.8845,14.2665,2.0022
2015-05-06,79.82,43233.0726,14.1566,1.9868
2015-05-07,79.94,43298.0685,14.1779,1.9898
2015-05-08,81.63,44213.4267,14.4776,2.0319
2015-05-11,80.54,43623.0477,14.2843,2.0047
2015-05-12,80.5,43601.3824,14.2772,2.0037
2015-05-13,80.77,43747.6231,14.3251,2.0105
2015-05-14,81.63,44213.4267,14.4776,2.0319
2015-05-15,81.05,43899.2801,14.3747,2.0174
2015-05-18,81.33,44050.9371,14.4244,2.0244
2015-05-19,80.7,43709.7089,14.3127,2.0087
2015-05-20,80.52,43612.2151,14.2807,2.0042
2015-05-21,81.0,43872.1985,14.3659,2.0162
2015-05-22,80.97,43855.9495,14.3605,2.0154
2015-05-26,79.36,42983.9219,14.075,1.9754
2015-05-27,79.19,42891.8444,14.0448,1.9711
2015-05-28,79.56,43092.2483,14.1105,1.9803
2015-05-29,79.12,42853.9302,14.0324,1.9694
2015-06-01,79.35,42978.5056,14.0732,1.9751
2015-06-02,79.1,42843.0975,14.0289,1.9689
2015-06-03,78.3,42409.7919,13.887,1.949
2015-06-04,77.38,41911.4904,13.7238,1.9261
2015-06-05,78.05,42274.3839,13.8427,1.9428
2015-06-08,77.18,41803.1639,13.6884,1.9211
2015-06-09,76.79,41591.9274,13.6192,1.9114
2015-06-10,77.8,42138.9758,13.7983,1.9365
2015-06-11,78.67,42610.1957,13.9526,1.9582
2015-06-12,77.65,42057.731,13.7717,1.9328
2015-06-15,78.08,42290.6328,13.848,1.9435
2015-06-16,78.39,42458.5388,13.903,1.9512
2015-06-17,78.84,42702.2732,13.9828,1.9624
2015-06-18,80.03,43346.8154,14.1938,1.992
2015-06-19,79.67,43151.8278,14.13,1.9831
2015-06-22,79.6,43113.9136,14.1176,1.9813
2015-06-23,80.31,43498.4724,14.2435,1.999
2015-06-24,79.19,42891.8444,14.0448,1.9711
2015-06-25,78.89,42729.3548,13.9916,1.9637
2015-06-26,79.62,43124.7462,14.1211,1.9818
2015-06-29,78.49,42512.702,13.9207,1.9537
2015-06-30,80.56,43633.8804,13.6675,1.9346
2015-07-01,81.3,44034.6881,13.793,1.9524
2015-07-02,81.45,44115.9329,13.8185,1.956
2015-07-06,81.54,44164.6798,13.8338,1.9581
2015-07-07,82.35,44603.4018,13.9712,1.9776
2015-07-08,78.5,42518.1183,13.318,1.8851
2015-07-09,79.45,43032.6688,13.4792,1.9079
2015-07-10,81.49,44137.5982,13.8253,1.9569
2015-07-13,83.42,45182.9481,14.1527,2.0033
2015-07-14,83.52,45237.1113,14.1697,2.0057
2015-07-15,81.77,44289.2552,13.8728,1.9637
2015-07-16,83.21,45069.2054,14.1171,1.9982
