Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,34.7,4146.4618,24.1965,4.2813
2014-01-03,34.76,4153.6314,24.2383,4.2887
2014-01-06,34.58,4132.1224,24.1128,4.2665
2014-01-07,34.97,4178.7253,24.3847,4.3146
2014-01-08,35.07,4190.6748,24.4545,4.327
2014-01-09,34.9,4170.3607,24.3359,4.306
2014-01-10,35.31,4219.3535,24.6218,4.3566
2014-01-13,34.57,4130.9275,24.1058,4.2653
2014-01-14,35.16,4201.4293,24.5172,4.3381
2014-01-15,35.54,4246.8372,24.7822,4.385
2014-01-16,35.57,4250.4221,24.8031,4.3887
2014-01-17,35.39,4228.913,24.6776,4.3665
2014-01-21,35.74,4270.7361,24.9217,4.4096
2014-01-22,35.75,4271.9311,24.9286,4.4109
2014-01-23,36.0,4302.5186,25.103,4.4417
2014-01-24,35.73,4270.2497,24.9147,4.4084
2014-01-27,35.3,4218.8585,24.6148,4.3554
2014-01-28,35.21,4208.1022,24.5521,4.3443
2014-01-29,35.1,4194.9556,24.4754,4.3307
2014-01-30,36.32,4340.7632,25.3261,4.4812
2014-01-31,35.68,4264.2739,24.8798,4.4022
2014-02-03,34.09,4074.246,23.7711,4.2061
2014-02-04,34.69,4137.9386,24.1895,4.2801
2014-02-05,35.2,4198.773,24.5451,4.343
2014-02-06,35.22,4201.1587,24.5591,4.3455
2014-02-07,35.67,4254.8362,24.8728,4.401
2014-02-10,35.78,4267.9574,24.9496,4.4146
2014-02-11,36.49,4352.6485,25.4446,4.5022
2014-02-12,37.34,4454.0394,26.0373,4.6071
2014-02-13,37.94,4525.6094,26.4557,4.6811
2014-02-14,37.79,4507.7169,26.3511,4.6626
2014-02-18,38.43,4584.0582,26.7974,4.7415
2014-02-19,38.06,4539.9234,26.5394,4.6959
2014-02-20,38.75,4622.2289,27.0205,4.781
2014-02-21,38.73,4619.8432,27.0066,4.7786
2014-02-24,38.68,4613.879,26.9717,4.7724
2014-02-25,39.27,4684.2562,27.3831,4.8452
2014-02-26,39.22,4678.292,27.3483,4.839
2014-02-27,39.87,4755.8262,27.8015,4.9192
2014-02-28,39.31,4689.0275,27.411,4.8501
2014-03-03,38.82,4630.5787,27.0694,4.7897
2014-03-04,40.03,4774.9115,27.9131,4.939
2014-03-05,39.81,4748.6692,27.7597,4.9118
2014-03-06,39.69,4734.3552,27.676,4.897
2014-03-07,39.28,4685.449,27.3901,4.8464
2014-03-10,38.92,4642.507,27.1391,4.802
2014-03-11,38.72,4618.6504,26.9996,4.7773
2014-03-12,38.52,4594.7937,26.8602,4.7526
2014-03-13,38.22,4559.0087,26.651,4.7156
2014-03-14,37.8,4508.9097,26.3581,4.6638
2014-03-17,37.72,4499.367,26.3023,4.6539
2014-03-18,38.03,4536.3449,26.5185,4.6922
2014-03-19,37.51,4474.3175,26.1559,4.628
2014-03-20,37.47,4469.5462,26.128,4.6231
2014-03-21,36.74,4382.4694,25.619,4.533
2014-03-24,36.21,4319.2492,25.2494,4.4676
2014-03-25,36.03,4297.7782,25.1239,4.4454
2014-03-26,35.14,4191.616,24.5033,4.3356
2014-03-27,35.08,4184.459,24.4614,4.3282
2014-03-28,34.84,4155.831,21.8516,4.2066
2014-03-31,35.42,4225.0154,22.2154,4.2766
2014-04-01,35.91,4283.4642,22.5227,4.3358
2014-04-02,35.78,4267.9574,22.4412,4.3201
2014-04-03,34.99,4173.7235,21.9457,4.2247
2014-04-04,34.75,4145.0956,21.7952,4.1957
2014-04-07,34.405,4103.9428,21.5788,4.1541
2014-04-08,34.22,4081.8754,21.4628,4.1317
2014-04-09,34.94,4167.7594,21.9144,4.2187
2014-04-10,33.83,4035.3549,21.2182,4.0847
2014-04-11,33.14,3953.0494,20.7854,4.0013
2014-04-14,33.34,3976.9061,20.9108,4.0255
2014-04-15,33.77,4028.1979,21.1805,4.0774
2014-04-16,34.5,4115.2747,21.6384,4.1655
2014-04-17,35.0,4174.9164,21.952,4.2259
2014-04-21,34.71,4140.3242,21.7701,4.1909
2014-04-22,35.15,4192.8089,22.0461,4.244
2014-04-23,34.95,4168.9522,21.9206,4.2199
2014-04-24,36.2,4318.0564,22.7046,4.3708
2014-04-25,35.16,4194.0017,22.0523,4.2452
2014-04-28,34.48,4112.8891,21.6258,4.1631
2014-04-29,34.9,4162.988,21.8893,4.2138
2014-04-30,35.37,4219.0512,22.184,4.2706
2014-05-01,35.47,4230.9795,22.2468,4.2827
2014-05-02,35.23,4202.3515,22.0962,4.2537
2014-05-05,35.41,4223.8225,22.2091,4.2754
2014-05-06,34.83,4131.4863,21.8454,4.2054
2014-05-07,34.93,4143.3482,21.9081,4.2175
2014-05-08,34.76,4123.183,21.8015,4.1969
2014-05-09,35.02,4154.0239,21.9645,4.2283
2014-05-12,36.32,4308.2281,22.7799,4.3853
2014-05-13,35.5,4210.9608,22.2656,4.2863
2014-05-14,35.1,4163.5134,22.0147,4.238
2014-05-15,34.89,4138.6034,21.883,4.2126
2014-05-16,35.88,4256.0359,22.5039,4.3322
2014-05-19,36.37,4314.159,22.8112,4.3913
2014-05-20,35.75,4240.6155,22.4224,4.3165
2014-05-21,35.96,4265.5254,22.5541,4.3418
2014-05-22,36.37,4314.159,22.8112,4.3913
2014-05-23,36.83,4368.7236,23.0998,4.4469
2014-05-27,37.3,4424.4743,23.3945,4.5036
2014-05-28,36.81,4366.3512,23.0872,4.4445
2014-05-29,37.25,4418.5434,23.3632,4.4976
2014-05-30,36.8,4365.165,23.0809,4.4433
2014-06-02,36.6,4341.4413,22.9555,4.4191
2014-06-03,36.2,4293.9938,22.7046,4.3708
2014-06-04,36.28,4303.4833,22.7548,4.3805
2014-06-05,36.88,4374.6545,23.1311,4.4529
2014-06-06,37.9,4495.6455,23.7709,4.5761
2014-06-09,38.08,4516.9968,23.8838,4.5978
2014-06-10,37.71,4473.1079,23.6517,4.5531
2014-06-11,37.69,4470.7356,23.6391,4.5507
2014-06-12,36.97,4385.3302,23.1876,4.4638
2014-06-13,36.99,4387.7025,23.2001,4.4662
2014-06-16,37.05,4394.8197,23.2377,4.4734
2014-06-17,37.595,4459.4668,23.5796,4.5392
2014-06-18,37.75,4477.8527,23.6768,4.558
2014-06-19,37.71,4473.1079,23.6517,4.5531
2014-06-20,37.73,4475.4803,23.6642,4.5555
2014-06-23,37.94,4500.3902,23.7959,4.5809
2014-06-24,37.24,4417.3572,23.3569,4.4964
2014-06-25,37.75,4477.8527,23.6768,4.558
2014-06-26,38.21,4532.4172,23.9653,4.6135
2014-06-27,38.42,4557.3272,22.5038,4.6344
2014-06-30,38.8,4602.4022,22.7264,4.6802
2014-07-01,38.97,4622.5674,22.826,4.7008
2014-07-02,38.805,4602.9953,22.7293,4.6809
2014-07-03,38.99,4624.9398,22.8377,4.7032
2014-07-07,38.85,4608.3332,22.7557,4.6863
2014-07-08,38.06,4514.6245,22.2929,4.591
2014-07-09,38.43,4558.5133,22.5097,4.6356
2014-07-10,38.49,4565.6305,22.5448,4.6429
2014-07-11,38.5,4566.8166,22.5507,4.6441
2014-07-14,38.87,4610.7055,22.7674,4.6887
2014-07-15,38.64,4583.4233,22.6327,4.6609
2014-07-16,38.15,4525.3001,22.3457,4.6018
2014-07-17,37.44,4441.0809,21.9298,4.5162
2014-07-18,37.89,4494.4593,22.1934,4.5705
2014-07-21,37.84,4488.5284,22.1641,4.5644
2014-07-22,38.3,4543.0929,22.4335,4.6199
2014-07-23,38.02,4509.8797,22.2695,4.5862
2014-07-24,37.64,4464.8046,22.0469,4.5403
2014-07-25,37.82,4486.156,22.1524,4.562
2014-07-28,37.4,4436.3362,21.9064,4.5114
2014-07-29,37.33,4428.0329,21.8654,4.5029
2014-07-30,37.39,4435.15,21.9005,4.5102
2014-07-31,35.96,4265.5254,21.0629,4.3377
2014-08-01,36.21,4295.18,21.2093,4.3678
2014-08-04,36.62,4343.8137,21.4495,4.4173
2014-08-05,37.9,4446.0061,22.1992,4.5717
2014-08-06,37.91,4447.1792,22.2051,4.5729
2014-08-07,37.64,4415.5058,22.0469,4.5403
2014-08-08,37.71,4423.7174,22.0879,4.5488
2014-08-11,38.14,4474.1602,22.3398,4.6006
2014-08-12,37.93,4449.5254,22.2168,4.5753
2014-08-13,38.33,4496.4489,22.4511,4.6236
2014-08-14,38.04,4462.4294,22.2812,4.5886
2014-08-15,37.76,4429.5829,22.1172,4.5548
2014-08-18,38.79,4550.411,22.7205,4.679
2014-08-19,38.95,4569.1804,22.8142,4.6983
2014-08-20,38.99,4573.8728,22.8377,4.7032
2014-08-21,39.07,4583.2575,22.8845,4.7128
2014-08-22,39.28,4607.8924,23.0075,4.7381
2014-08-25,39.25,4604.3731,22.99,4.7345
2014-08-26,39.31,4611.4116,23.0251,4.7418
2014-08-27,38.94,4568.0073,22.8084,4.6971
2014-08-28,38.735,4543.959,22.6883,4.6724
2014-08-29,38.69,4538.6801,22.662,4.667
2014-09-02,39.12,4589.1229,22.9138,4.7188
2014-09-03,39.6,4645.4312,23.195,4.7767
2014-09-04,39.535,4637.8061,23.1569,4.7689
2014-09-05,39.77,4665.3737,23.2945,4.7973
2014-09-08,39.56,4640.7388,23.1715,4.7719
2014-09-09,39.25,4604.3731,22.99,4.7345
2014-09-10,39.76,4664.2006,23.2887,4.796
2014-09-11,39.785,4667.1333,23.3033,4.7991
2014-09-12,39.605,4646.0177,23.1979,4.7774
2014-09-15,38.935,4567.4208,22.8055,4.6965
2014-09-16,38.5,4516.3914,22.5507,4.6441
2014-09-17,38.05,4463.6024,22.2871,4.5898
2014-09-18,38.0,4457.737,22.2578,4.5837
2014-09-19,37.99,4456.5639,22.2519,4.5825
2014-09-22,37.33,4379.1401,21.8654,4.5029
2014-09-23,36.76,4312.274,21.5315,4.4342
2014-09-24,37.175,4360.9572,21.7746,4.4842
2014-09-25,36.52,4284.1199,21.3909,4.4052
2014-09-26,36.57,4289.9853,21.4202,4.4113
2014-09-29,36.56,4288.8122,21.4143,4.41
2014-09-30,36.9,4328.6972,22.9496,4.9707
2014-10-01,36.36,4265.3505,22.6137,4.898
2014-10-02,36.46,4277.0813,22.6759,4.9114
2014-10-03,36.84,4321.6587,22.9123,4.9626
2014-10-06,36.76,4312.274,22.8625,4.9518
2014-10-07,36.34,4263.0043,22.6013,4.8953
2014-10-08,36.6,4293.5046,22.763,4.9303
2014-10-09,35.92,4213.7346,22.3401,4.8387
2014-10-10,34.84,4087.041,21.6684,4.6932
2014-10-13,34.54,4051.8483,21.4818,4.6528
2014-10-14,34.31,4024.8673,21.3388,4.6218
2014-10-15,34.68,4068.2716,21.5689,4.6716
2014-10-16,34.32,4026.0404,21.345,4.6232
2014-10-17,35.025,4108.7431,21.7835,4.7181
2014-10-20,35.31,4142.1761,21.9607,4.7565
2014-10-21,36.11,4236.0232,22.4583,4.8643
2014-10-22,35.82,4202.0037,22.2779,4.8252
2014-10-23,36.25,4252.4465,22.5453,4.8831
2014-10-24,36.49,4280.6006,22.6946,4.9155
2014-10-27,36.6,4293.5046,22.763,4.9303
2014-10-28,37.62,4413.1596,23.3974,5.0677
2014-10-29,37.71,4423.7174,23.4534,5.0798
2014-10-30,37.88,4443.6599,23.5591,5.1027
2014-10-31,38.15,4475.3333,23.727,5.1391
2014-11-03,38.15,4475.3333,23.727,5.1391
2014-11-04,38.015,4459.4966,23.6431,5.1209
2014-11-05,38.17,4477.6795,23.7395,5.1418
2014-11-06,36.84,4321.6587,22.9123,4.9626
2014-11-07,37.07,4348.6398,23.0553,4.9936
2014-11-10,37.07,4348.6398,23.0553,4.9936
2014-11-11,37.14,4356.8514,23.0989,5.003
2014-11-12,37.255,4370.3419,23.1704,5.0185
2014-11-13,37.67,4419.0251,23.4285,5.0744
2014-11-14,37.9,4446.0061,23.5715,5.1054
2014-11-17,37.565,4406.7076,23.3632,5.0603
2014-11-18,38.245,4486.4777,23.7861,5.1519
2014-11-19,37.83,4437.7945,23.528,5.096
2014-11-20,37.735,4426.6501,23.4689,5.0832
2014-11-21,38.35,4498.7951,23.8514,5.166
2014-11-24,38.46,4511.6991,23.9198,5.1808
2014-11-25,38.75,4545.7187,24.1002,5.2199
2014-11-26,38.87,4508.7332,24.1748,5.2361
2014-11-28,39.07,4531.9322,24.2992,5.263
2014-12-01,38.43,4457.6953,23.9012,5.1768
2014-12-02,38.61,4478.5744,24.0131,5.201
2014-12-03,38.72,4491.3339,24.0815,5.2159
2014-12-04,38.97,4520.3327,24.237,5.2495
2014-12-05,38.92,4514.5329,24.2059,5.2428
2014-12-08,38.0,4407.8174,23.6337,5.1189
2014-12-09,37.93,4399.6977,23.5902,5.1094
2014-12-10,36.9,4280.2226,22.9496,4.9707
2014-12-11,36.6,4245.4241,22.763,4.9303
2014-12-12,36.18,4196.7061,22.5018,4.8737
2014-12-15,35.8,4152.6279,22.2655,4.8225
2014-12-16,35.35,4100.4301,21.9856,4.7619
2014-12-17,35.24,4087.6706,21.9172,4.7471
2014-12-18,36.47,4230.3447,22.6822,4.9128
2014-12-19,36.39,4221.0651,22.6324,4.902
2014-12-22,36.56,4240.7843,22.7381,4.9249
2014-12-23,37.18,4312.7013,23.1237,5.0084
2014-12-24,37.44,4342.86,23.2854,5.0434
2014-12-26,37.74,4377.6586,23.472,5.0838
2014-12-29,37.32,4328.9406,23.2108,5.0273
2014-12-30,36.81,4269.7831,22.8936,4.9586
2014-12-31,36.65,4251.2238,22.7941,4.937
2015-01-02,36.35,4216.4253,23.5118,4.8835
2015-01-05,35.36,4101.59,22.8714,4.7505
2015-01-06,35.075,4068.5314,22.6871,4.7122
2015-01-07,35.22,4085.3507,22.7809,4.7317
2015-01-08,35.75,4146.8282,23.1237,4.8029
2015-01-09,35.62,4131.7488,23.0396,4.7854
2015-01-12,34.71,4026.1932,22.451,4.6632
2015-01-13,34.26,3973.9953,22.1599,4.6027
2015-01-14,33.79,3919.4776,21.8559,4.5396
2015-01-15,33.54,3890.4788,21.6942,4.506
