Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,47.17,10374.4994,19.583,1.1807
2014-01-03,47.17,10374.4994,19.583,1.1807
2014-01-06,46.16,10152.3615,19.1637,1.1554
2014-01-07,46.06,10130.3676,19.1222,1.1529
2014-01-08,46.56,10240.3369,19.3298,1.1654
2014-01-09,47.64,10477.8705,19.7781,1.1924
2014-01-10,49.09,10796.7813,20.3801,1.2287
2014-01-13,48.76,10724.2016,20.2431,1.2205
2014-01-14,49.15,10809.9776,20.405,1.2302
2014-01-15,49.75,10941.9407,20.6541,1.2453
2014-01-16,49.89,10972.7321,20.7123,1.2488
2014-01-17,49.56,10900.1524,20.5753,1.2405
2014-01-21,48.87,10748.3948,20.2888,1.2232
2014-01-22,49.53,10893.5543,20.5628,1.2398
2014-01-23,48.86,10746.1955,20.2846,1.223
2014-01-24,47.13,10365.7018,19.5664,1.1797
2014-01-27,48.04,10565.8459,19.9442,1.2025
2014-01-28,49.66,10922.1463,20.6168,1.243
2014-01-29,48.99,10800.8254,20.3386,1.2262
2014-01-30,50.83,11206.4902,21.1025,1.2723
2014-01-31,49.6,10935.3121,20.5919,1.2415
2014-02-03,48.0,10582.5601,19.9276,1.2015
2014-02-04,48.55,10703.8186,20.1559,1.2152
2014-02-05,48.69,10734.6844,20.2141,1.2187
2014-02-06,50.62,11160.1915,21.0153,1.267
2014-02-07,50.61,11157.9868,21.0112,1.2668
2014-02-10,50.84,11208.6949,21.1067,1.2725
2014-02-11,52.31,11532.7858,21.7169,1.3093
2014-02-12,51.72,11402.7085,21.472,1.2946
2014-02-13,52.22,11512.9435,21.6796,1.3071
2014-02-14,52.26,11521.7623,21.6962,1.3081
2014-02-18,51.62,11380.6615,21.4305,1.2921
2014-02-19,51.13,11272.6312,21.2271,1.2798
2014-02-20,51.37,11363.8183,21.3267,1.2858
2014-02-21,51.87,11474.4258,21.5343,1.2983
2014-02-24,52.53,11620.4278,21.8083,1.3148
2014-02-25,53.06,11737.6718,22.0283,1.3281
2014-02-26,53.01,11726.611,22.0075,1.3269
2014-02-27,53.32,11795.1877,22.1362,1.3346
2014-02-28,52.93,11708.9138,21.9743,1.3249
2014-03-03,51.22,11330.636,21.2644,1.2821
