Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,45.97,4251.9147,61.3529,2.7842
2014-01-03,46.79,4327.7591,62.4473,2.8339
2014-01-06,46.84,4332.3838,62.514,2.8369
2014-01-07,47.05,4351.8074,62.7943,2.8496
2014-01-08,46.85,4333.3087,62.5274,2.8375
2014-01-09,47.05,4351.8074,62.7943,2.8496
2014-01-10,47.61,4403.6036,63.5417,2.8835
2014-01-13,46.95,4342.5581,62.6608,2.8436
2014-01-14,47.88,4428.5768,63.902,2.8999
2014-01-15,47.78,4419.3275,63.7686,2.8938
2014-01-16,48.36,4472.9736,64.5426,2.929
2014-01-17,48.27,4464.6492,64.4225,2.9235
2014-01-21,48.48,4484.0727,64.7028,2.9362
2014-01-22,48.75,4509.0459,65.0632,2.9526
2014-01-23,48.53,4488.6974,64.7695,2.9393
2014-01-24,47.82,4423.0272,63.8219,2.8963
2014-01-27,47.44,4387.8798,63.3148,2.8732
2014-01-28,48.07,4446.1505,64.1556,2.9114
2014-01-29,47.43,4386.9548,63.3014,2.8726
2014-01-30,48.05,4444.3006,64.1289,2.9102
2014-01-31,48.14,4452.625,64.249,2.9156
2014-02-03,46.77,4325.9093,62.4206,2.8327
2014-02-04,47.34,4378.6304,63.1813,2.8672
2014-02-05,47.47,4390.6546,63.3548,2.8751
2014-02-06,48.08,4447.0754,64.169,2.912
2014-02-07,48.51,4486.8475,64.7428,2.938
2014-02-10,49.52,4580.2657,66.0908,2.9992
2014-02-11,49.82,4608.0137,66.4912,3.0174
2014-02-12,49.64,4591.3649,66.251,3.0065
2014-02-13,50.22,4645.011,67.0251,3.0416
2014-02-14,50.78,4696.8072,67.7725,3.0755
2014-02-18,50.83,4701.4319,67.8392,3.0786
2014-02-19,50.75,4694.0324,67.7324,3.0737
2014-02-20,49.95,4620.0378,66.6647,3.0253
2014-02-21,50.07,4631.137,66.8249,3.0325
2014-02-24,50.2,4643.1611,66.9984,3.0404
2014-02-25,50.44,4665.3595,67.3187,3.0549
2014-02-26,50.45,4666.2844,67.332,3.0555
2014-02-27,50.35,4657.3413,67.1986,3.0495
2014-02-28,50.77,4696.191,67.7591,3.0749
2014-03-03,50.6,4680.4661,67.5322,3.0646
2014-03-04,51.27,4742.4407,68.4264,3.1052
2014-03-05,51.15,4731.3407,68.2663,3.0979
2014-03-06,50.57,4677.6911,67.4922,3.0628
2014-03-07,49.62,4589.8168,66.2243,3.0053
2014-03-10,49.48,4576.8669,66.0374,2.9968
2014-03-11,49.89,4614.7916,66.5846,3.0216
2014-03-12,50.18,4641.6164,66.9717,3.0392
2014-03-13,50.02,4626.8165,66.7581,3.0295
2014-03-14,50.37,4659.1913,67.2253,3.0507
2014-03-17,50.4,4661.9662,67.2653,3.0525
2014-03-18,50.58,4678.6524,67.5055,3.0634
2014-03-19,49.02,4534.3523,65.4235,2.9689
2014-03-20,49.21,4551.9273,65.6771,2.9804
2014-03-21,49.92,4617.6024,66.6247,3.0234
2014-03-24,50.04,4628.7024,66.7848,3.0307
2014-03-25,50.7,4689.7524,67.6657,3.0707
2014-03-26,50.15,4638.8774,66.9316,3.0374
2014-03-27,50.73,4692.5274,67.7057,3.0725
2014-03-28,50.77,4696.2274,67.7591,3.0749
2014-03-31,51.06,4723.0524,62.3236,3.1645
2014-04-01,51.31,4746.1774,62.6288,3.18
2014-04-02,51.32,4747.1024,62.641,3.1807
2014-04-03,51.07,4723.9774,62.3358,3.1652
2014-04-04,51.26,4741.5524,62.5677,3.1769
2014-04-07,51.41,4755.4274,62.7508,3.1862
2014-04-08,51.68,4780.4024,63.0804,3.203
2014-04-09,51.62,4774.8524,63.0072,3.1993
2014-04-10,51.19,4735.0774,62.4823,3.1726
2014-04-11,50.96,4713.8024,62.2016,3.1583
2014-04-14,51.41,4755.4274,62.7508,3.1862
2014-04-15,51.7,4782.2525,63.1048,3.2042
2014-04-16,52.19,4827.5775,63.7029,3.2346
2014-04-17,52.34,4841.4525,63.886,3.2439
2014-04-21,52.4,4847.0025,63.9592,3.2476
2014-04-22,52.26,4834.0525,63.7883,3.2389
