Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,9.89,13623.9941,12.9104,0.8924
2014-01-03,9.87,13596.4431,12.8842,0.8906
2014-01-06,10.07,13871.9536,13.1453,0.9087
2014-01-07,10.1,13913.2802,13.1845,0.9114
2014-01-08,10.25,14119.913,13.3803,0.9249
2014-01-09,10.45,14395.4235,13.6414,0.943
2014-01-10,10.48,14436.7501,13.6805,0.9457
2014-01-13,10.31,14202.5662,13.4586,0.9303
2014-01-14,10.37,14285.2193,13.5369,0.9357
2014-01-15,10.63,14643.383,13.8763,0.9592
2014-01-16,10.48,14436.7501,13.6805,0.9457
2014-01-17,10.57,14560.7298,13.798,0.9538
2014-01-21,10.86,14960.22,14.1766,0.98
2014-01-22,11.02,15180.6284,14.3854,0.9944
2014-01-23,10.92,15042.8732,14.2549,0.9854
2014-01-24,10.55,14533.1788,13.7719,0.952
2014-01-27,10.41,14340.3214,13.5892,0.9394
2014-01-28,10.53,14505.6277,13.7458,0.9502
2014-01-29,10.31,14202.5662,13.4586,0.9303
2014-01-30,10.43,14367.8725,13.6153,0.9412
2014-01-31,10.17,14009.7088,13.2759,0.9177
2014-02-03,9.82,13527.5655,12.819,0.8861
2014-02-04,9.97,13734.1983,13.0148,0.8997
2014-02-05,9.9,13637.7697,12.9234,0.8933
2014-02-06,10.27,14147.4641,13.4064,0.9267
2014-02-07,10.23,14092.362,13.3542,0.9231
2014-02-10,10.2,14051.0354,13.315,0.9204
2014-02-11,10.3,14188.7906,13.4456,0.9294
2014-02-12,10.25,14119.913,13.3803,0.9249
2014-02-13,10.3,14188.7906,13.4456,0.9294
2014-02-14,10.35,14257.6683,13.5108,0.9339
2014-02-18,10.37,14285.2193,13.5369,0.9357
2014-02-19,10.1,13913.2802,13.1845,0.9114
2014-02-20,10.22,14078.5865,13.3411,0.9222
2014-02-21,10.24,14536.1325,13.3672,0.924
2014-02-24,10.44,14820.0413,13.6283,0.9421
2014-02-25,10.45,14834.2368,13.6414,0.943
2014-02-26,10.52,14933.6049,13.7327,0.9493
2014-02-27,10.57,15004.5821,13.798,0.9538
2014-02-28,10.64,15103.9502,13.8894,0.9601
2014-03-03,10.53,14947.8003,13.7458,0.9502
2014-03-04,10.78,15302.6864,14.0722,0.9727
2014-03-05,10.73,15231.7092,14.0069,0.9682
2014-03-06,10.83,15373.6636,14.1374,0.9773
2014-03-07,11.05,15685.9633,14.4246,0.9971
2014-03-10,10.9,15473.0317,14.2288,0.9836
2014-03-11,10.8,14888.1955,14.0983,0.9745
2014-03-12,10.75,14819.2687,14.033,0.97
2014-03-13,10.67,14708.9857,13.9286,0.9628
2014-03-14,10.63,14653.8443,13.8763,0.9592
2014-03-17,10.8,14888.1955,14.0983,0.9745
2014-03-18,10.81,14901.9809,14.1113,0.9754
2014-03-19,11.09,15287.9711,14.4768,1.0007
2014-03-20,11.3,15577.4638,14.751,1.0197
2014-03-21,11.09,15287.9711,14.4768,1.0007
2014-03-24,11.07,15260.4004,14.4507,0.9989
2014-03-25,11.11,15315.5419,14.5029,1.0025
2014-03-26,11.0,15163.9028,14.3593,0.9926
2014-03-27,10.79,14874.4101,14.0852,0.9736
2014-03-28,10.95,15094.976,14.2941,0.9881
2014-03-31,11.11,15315.5419,14.8452,0.9795
2014-04-01,11.25,15508.537,15.0323,0.9919
2014-04-02,11.09,15287.9711,14.8185,0.9777
2014-04-03,11.08,15274.1858,14.8051,0.9769
2014-04-04,10.97,15122.5467,14.6581,0.9672
2014-04-07,10.74,14805.4833,14.3508,0.9469
2014-04-08,10.66,14695.2004,14.2439,0.9398
2014-04-09,10.69,14736.5565,14.284,0.9425
2014-04-10,10.29,14185.1418,13.7495,0.9072
2014-04-11,10.17,14019.7174,13.5892,0.8966
2014-04-14,10.18,14033.5028,13.6025,0.8975
2014-04-15,10.27,14157.5711,13.7228,0.9054
2014-04-16,10.34,14254.0687,13.8163,0.9116
2014-04-17,10.22,14088.6443,13.656,0.901
2014-04-21,10.28,14171.3565,13.7362,0.9063
2014-04-22,10.39,14322.9955,13.8831,0.916
2014-04-23,10.41,14350.5662,13.9099,0.9178
2014-04-24,10.31,14634.5428,13.7762,0.909
2014-04-25,10.15,14407.4306,13.5624,0.8949
2014-04-28,10.07,14293.8745,13.4556,0.8878
2014-04-29,10.09,14322.2636,13.4823,0.8896
2014-04-30,10.14,14393.2361,13.5491,0.894
2014-05-01,10.21,14492.5977,13.6426,0.9002
2014-05-02,10.24,14535.1813,13.6827,0.9028
2014-05-05,10.25,14549.3758,13.6961,0.9037
2014-05-06,10.11,14350.6526,13.509,0.8913
2014-05-07,10.25,14134.8238,13.6961,0.9037
2014-05-08,10.17,14024.5032,13.5892,0.8966
2014-05-09,10.26,14148.6139,13.7094,0.9046
2014-05-12,10.51,14493.3657,14.0435,0.9266
2014-05-13,10.43,14383.0451,13.9366,0.9196
2014-05-14,10.19,14052.0834,13.6159,0.8984
2014-05-15,10.04,13845.2323,13.4155,0.8852
2014-05-16,9.88,13624.5912,13.2017,0.8711
2014-05-19,10.03,13831.4422,13.4021,0.8843
2014-05-20,9.98,13762.4919,13.3353,0.8799
2014-05-21,10.1,13927.9727,13.4956,0.8905
2014-05-22,10.09,13914.1827,13.4823,0.8896
2014-05-23,10.07,13886.6025,13.4556,0.8878
2014-05-27,10.12,13955.5529,13.5224,0.8922
2014-05-28,10.1,13927.9727,13.4956,0.8905
2014-05-29,10.1,13927.9727,13.4956,0.8905
2014-05-30,10.19,14052.0834,13.6159,0.8984
2014-06-02,10.34,14258.9345,13.8163,0.9116
2014-06-03,10.44,14396.8352,13.9499,0.9204
2014-06-04,10.49,14465.7856,14.0168,0.9248
2014-06-05,10.6,14617.4763,14.1637,0.9345
2014-06-06,10.63,14658.8466,14.2038,0.9372
2014-06-09,10.85,14962.2281,14.4978,0.9566
2014-06-10,10.86,14976.0182,14.5112,0.9575
2014-06-11,10.73,14796.7473,14.3374,0.946
2014-06-12,10.61,14631.2664,14.1771,0.9354
2014-06-13,10.71,14769.1671,14.3107,0.9442
2014-06-16,10.59,14603.6863,14.1504,0.9337
2014-06-17,10.74,14810.5374,14.3508,0.9469
2014-06-18,10.73,14796.7473,14.3374,0.946
2014-06-19,10.69,14741.587,14.284,0.9425
2014-06-20,10.77,14851.9076,14.3909,0.9495
2014-06-23,10.71,14769.1671,14.3107,0.9442
2014-06-24,10.58,14589.8962,14.137,0.9328
2014-06-25,10.68,14727.7969,14.2706,0.9416
2014-06-26,10.68,14727.7969,14.2706,0.9416
2014-06-27,10.67,14714.0068,14.2573,0.9407
2014-06-30,10.62,14645.0565,13.2911,0.9132
2014-07-01,10.76,14838.1175,13.4663,0.9252
2014-07-02,10.7,14755.3771,13.3912,0.9201
2014-07-03,10.87,14989.8083,13.604,0.9347
2014-07-07,10.77,14851.9076,13.4788,0.9261
2014-07-08,10.57,14576.1061,13.2285,0.9089
2014-07-09,10.63,14658.8466,13.3036,0.914
2014-07-10,10.55,14548.526,13.2035,0.9072
2014-07-11,10.61,14631.2664,13.2786,0.9123
2014-07-14,10.62,14645.0565,13.2911,0.9132
2014-07-15,10.73,14796.7473,13.4288,0.9226
2014-07-16,10.63,14658.8466,13.3036,0.914
2014-07-17,10.21,14079.6635,12.778,0.8779
2014-07-18,10.25,14134.8238,12.828,0.8814
2014-07-21,10.19,14052.0834,12.7529,0.8762
2014-07-22,10.1,13927.9727,12.6403,0.8685
2014-07-23,10.1,13927.9727,12.6403,0.8685
2014-07-24,10.29,14179.62,12.8781,0.8848
2014-07-25,10.36,14276.08,12.9657,0.8908
2014-07-28,10.24,14110.72,12.8155,0.8805
2014-07-29,10.18,14028.04,12.7404,0.8753
2014-07-30,10.3,14193.4,12.8906,0.8857
2014-07-31,10.14,13972.92,12.6904,0.8719
2014-08-01,9.99,13766.22,12.5026,0.859
2014-08-04,9.94,13697.32,12.4401,0.8547
2014-08-05,9.85,13573.3,12.3274,0.847
2014-08-06,9.84,13564.5073,12.3149,0.8461
2014-08-07,9.71,13385.3014,12.1522,0.8349
2014-08-08,9.76,13454.2267,12.2148,0.8392
2014-08-11,9.72,13399.0864,12.1647,0.8358
2014-08-12,9.74,13426.6566,12.1898,0.8375
2014-08-13,9.91,13661.0027,12.4025,0.8521
2014-08-14,9.9,13647.2177,12.39,0.8513
2014-08-15,9.78,13481.7969,12.2398,0.8409
2014-08-18,9.95,13716.143,12.4526,0.8556
2014-08-19,9.88,13619.6475,12.365,0.8495
2014-08-20,9.96,13729.9281,12.4651,0.8564
2014-08-21,10.12,13950.4892,12.6653,0.8702
2014-08-22,10.1,13922.919,12.6403,0.8685
2014-08-25,10.22,14088.3399,12.7905,0.8788
2014-08-26,10.26,14143.4801,12.8406,0.8822
2014-08-27,10.16,14005.6295,12.7154,0.8736
2014-08-28,10.11,13936.7041,12.6528,0.8693
2014-08-29,10.15,13991.8444,12.7029,0.8728
2014-09-02,10.18,14033.1996,12.7404,0.8753
2014-09-03,10.12,13950.4892,12.6653,0.8702
2014-09-04,10.14,13978.0593,12.6904,0.8719
2014-09-05,10.14,13978.0593,12.6904,0.8719
2014-09-08,10.15,13991.8444,12.7029,0.8728
2014-09-09,10.0,13785.0684,12.5152,0.8599
2014-09-10,10.2,14060.7697,12.7655,0.8771
2014-09-11,10.28,14171.0503,12.8656,0.8839
2014-09-12,10.35,14267.5458,12.9532,0.89
2014-09-15,10.28,14171.0503,12.8656,0.8839
2014-09-16,10.21,14074.5548,12.778,0.8779
2014-09-17,10.38,14308.901,12.9907,0.8925
2014-09-18,10.54,14529.4621,13.191,0.9063
2014-09-19,10.44,14391.6114,13.0658,0.8977
2014-09-22,10.34,14253.7607,12.9407,0.8891
2014-09-23,10.18,14033.1996,12.7404,0.8753
2014-09-24,10.18,14033.1996,12.7404,0.8753
2014-09-25,10.06,13867.7788,12.5902,0.865
2014-09-26,10.12,13950.4892,12.6653,0.8702
2014-09-29,10.06,13867.7788,12.5902,0.865
2014-09-30,10.04,13840.2086,12.2703,0.8565
2014-10-01,9.89,13633.4326,12.087,0.8437
2014-10-02,9.91,13661.0027,12.1114,0.8454
2014-10-03,10.1,13922.919,12.3436,0.8616
2014-10-06,9.98,13757.4982,12.197,0.8514
2014-10-07,9.86,13592.0774,12.0503,0.8412
2014-10-08,10.0,13785.0684,12.2214,0.8531
2014-10-09,9.72,13399.0864,11.8792,0.8292
2014-10-10,9.59,13219.8806,11.7203,0.8181
2014-10-13,9.43,12999.3195,11.5248,0.8045
2014-10-14,9.52,13123.3851,11.6348,0.8122
2014-10-15,9.1,12544.4122,11.1215,0.7763
2014-10-16,9.06,12489.2719,11.0726,0.7729
2014-10-17,9.1,12544.4122,11.1215,0.7763
2014-10-20,9.16,12627.1226,11.1948,0.7814
2014-10-21,9.26,12764.9733,11.317,0.79
2014-10-22,9.26,12764.9733,11.317,0.79
2014-10-23,9.41,12971.7493,11.5004,0.8028
2014-10-24,9.44,13013.1045,11.537,0.8053
2014-10-27,9.4,12957.9643,11.4881,0.8019
2014-10-28,9.63,13275.0208,11.7692,0.8215
2014-10-29,9.76,13454.2267,11.9281,0.8326
2014-10-30,9.76,13454.2267,11.9281,0.8326
2014-10-31,9.93,13688.5729,12.1359,0.8471
2014-11-03,10.03,13826.4236,12.2581,0.8557
2014-11-04,10.01,13798.8534,12.2336,0.854
2014-11-05,10.11,13916.1632,12.3559,0.8625
2014-11-06,10.23,14081.3402,12.5025,0.8727
2014-11-07,10.16,13984.987,12.417,0.8668
