Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,34.3667,7220.0913,16.7444,1.9109
2014-01-03,34.7667,7304.1273,16.9393,1.9332
2014-01-06,34.7467,7299.9255,16.9295,1.9321
2014-01-07,34.9333,7339.1423,17.0205,1.9424
2014-01-08,35.36,7428.7807,17.2284,1.9662
2014-01-09,35.6,7479.2022,17.3453,1.9795
2014-01-10,35.5733,7473.5998,17.3323,1.978
2014-01-13,35.0533,7364.3531,17.0789,1.9491
2014-01-14,35.52,7462.395,17.3063,1.9751
2014-01-15,36.2533,7616.461,17.6636,2.0158
2014-01-16,36.08,7580.0454,17.5792,2.0062
2014-01-17,36.0333,7570.2412,17.5564,2.0036
2014-01-21,36.22,7632.124,17.6474,2.014
2014-01-22,35.92,7568.9093,17.5012,1.9973
2014-01-23,35.4933,7479.0039,17.2933,1.9736
2014-01-24,35.04,7383.4794,17.0724,1.9484
2014-01-27,34.42,7252.8356,16.7704,1.9139
2014-01-28,34.88,7349.7649,16.9945,1.9395
2014-01-29,34.2267,7212.0973,16.6762,1.9031
2014-01-30,34.4933,7268.2881,16.8061,1.918
2014-01-31,33.94,7151.6921,16.5365,1.8872
2014-02-03,32.2333,6792.0706,15.705,1.7923
2014-02-04,32.68,6886.1903,15.9226,1.8171
2014-02-05,32.1933,6783.6419,15.6855,1.7901
2014-02-06,32.5333,6855.2853,15.8511,1.809
2014-02-07,32.9067,6933.9525,16.033,1.8298
2014-02-10,33.0,6953.6193,16.0785,1.8349
2014-02-11,33.3067,7018.2388,16.2279,1.852
2014-02-12,33.62,7097.9155,16.3806,1.8694
2014-02-13,34.2267,7225.9961,16.6762,1.9031
2014-02-14,34.12,7203.4764,16.6242,1.8972
2014-02-18,34.8267,7352.6692,16.9685,1.9365
2014-02-19,34.4533,7273.8504,16.7866,1.9158
2014-02-20,34.74,7334.372,16.9263,1.9317
2014-02-21,34.8533,7358.2991,16.9815,1.938
2014-02-24,35.4067,7475.1199,17.2511,1.9688
2014-02-25,34.9,7368.1515,17.0042,1.9406
2014-02-26,34.7933,7345.6318,16.9523,1.9347
2014-02-27,35.04,7397.7085,17.0724,1.9484
2014-02-28,35.1867,7428.6731,17.1439,1.9565
2014-03-03,34.7067,7327.3346,16.91,1.9298
2014-03-04,35.7667,7551.1237,17.4265,1.9888
2014-03-05,35.6333,7522.9741,17.3615,1.9814
2014-03-06,35.6467,7525.7891,17.368,1.9821
2014-03-07,35.9467,7589.1256,17.5142,1.9988
2014-03-10,35.7667,7551.1237,17.4265,1.9888
2014-03-11,35.32,7456.8226,17.2089,1.9639
2014-03-12,35.3667,7466.675,17.2316,1.9665
2014-03-13,34.8867,7365.3365,16.9977,1.9398
2014-03-14,34.5533,7294.9626,16.8353,1.9213
2014-03-17,35.2267,7437.1179,17.1634,1.9588
2014-03-18,35.1067,7411.7833,17.1049,1.9521
2014-03-19,35.0667,7403.3384,17.0854,1.9499
2014-03-20,36.2267,7648.2397,17.6506,2.0144
2014-03-21,36.0067,7601.7929,17.5434,2.0021
2014-03-24,36.0333,7607.4229,17.5564,2.0036
2014-03-25,36.1267,7627.1276,17.6019,2.0088
2014-03-26,35.6667,7530.0115,17.3778,1.9832
2014-03-27,35.5933,7514.5293,17.342,1.9791
2014-03-28,36.3333,7670.7594,17.7026,2.0203
2014-03-31,37.2867,7872.0289,18.0292,2.0223
2014-04-01,37.0533,7822.7671,17.9164,2.0096
2014-04-02,37.36,7887.5111,18.0647,2.0262
2014-04-03,37.1,7832.6195,17.939,2.0121
2014-04-04,35.6867,7534.234,17.2556,1.9355
2014-04-07,34.6933,7324.5196,16.7753,1.8816
2014-04-08,34.5733,7299.185,16.7173,1.8751
2014-04-09,34.8133,7349.8542,16.8333,1.8881
2014-04-10,33.6,7093.6931,16.2466,1.8223
2014-04-11,32.9,6945.9078,15.9082,1.7844
2014-04-14,32.8933,6944.5004,15.9049,1.784
2014-04-15,33.0533,6978.2798,15.9823,1.7927
2014-04-16,33.56,7085.2482,16.2273,1.8202
2014-04-17,33.4733,7066.951,16.1854,1.8155
2014-04-21,33.4933,7071.1734,16.195,1.8165
2014-04-22,34.1,7199.254,16.4884,1.8494
2014-04-23,33.68,7110.5828,16.2853,1.8267
2014-04-24,33.4133,7054.2837,16.1564,1.8122
2014-04-25,33.1667,7002.207,16.0371,1.7988
2014-04-28,32.72,6907.9059,15.8211,1.7746
2014-04-29,32.8867,6943.0929,15.9017,1.7836
2014-04-30,33.1333,6995.1696,16.021,1.797
2014-05-01,33.0133,6969.835,15.963,1.7905
2014-05-02,33.16,7000.7995,16.0339,1.7985
2014-05-05,33.1733,7003.6145,16.0403,1.7992
2014-05-06,32.5467,6871.3115,15.7373,1.7652
2014-05-07,33.1,6988.1322,16.0049,1.7952
2014-05-08,32.8133,6927.6106,15.8662,1.7797
2014-05-09,32.8667,6955.0019,15.892,1.7825
2014-05-12,34.02,7199.0618,16.4497,1.8451
2014-05-13,33.52,7093.2554,16.2079,1.818
2014-05-14,33.0733,6998.7351,15.992,1.7938
2014-05-15,32.1933,6812.516,15.5665,1.746
2014-05-16,32.3467,6844.9633,15.6406,1.7543
2014-05-19,32.7067,6921.1438,15.8147,1.7739
2014-05-20,32.0933,6791.3548,15.5181,1.7406
2014-05-21,32.2667,6828.0343,15.6019,1.75
2014-05-22,32.3667,6849.1955,15.6503,1.7554
2014-05-23,32.42,6860.4816,15.6761,1.7583
2014-05-27,32.7333,6926.7868,15.8276,1.7753
2014-05-28,32.3933,6854.8386,15.6632,1.7569
2014-05-29,32.1667,6806.873,15.5536,1.7446
2014-05-30,32.2667,6828.0343,15.6019,1.75
2014-06-02,32.6,6898.5718,15.7631,1.7681
2014-06-03,32.54,6885.8751,15.7341,1.7648
2014-06-04,32.78,6936.6621,15.8501,1.7778
2014-06-05,33.0067,6984.6276,15.9597,1.7901
2014-06-06,33.24,7034.0039,16.0726,1.8028
2014-06-09,33.66,7122.8812,16.2756,1.8256
2014-06-10,33.3933,7066.4512,16.1467,1.8111
2014-06-11,32.7733,6935.2514,15.8469,1.7775
2014-06-12,32.5933,6897.1611,15.7599,1.7677
2014-06-13,32.6467,6908.4471,15.7857,1.7706
2014-06-16,32.44,6864.7138,15.6857,1.7594
2014-06-17,33.6067,7111.5952,16.2498,1.8227
2014-06-18,33.8067,7153.9177,16.3466,1.8335
2014-06-19,33.34,7055.1652,16.1209,1.8082
2014-06-20,33.6667,7124.292,16.2789,1.8259
2014-06-23,33.8867,7170.8467,16.3852,1.8379
2014-06-24,33.4533,7079.1479,16.1757,1.8144
2014-06-25,33.74,7139.8102,16.3143,1.8299
2014-06-26,33.6667,7124.292,16.2789,1.8259
2014-06-27,33.6533,7121.4705,16.2724,1.8252
2014-06-30,33.82,7156.7392,15.3687,1.7793
2014-07-01,34.02,7199.0618,15.4596,1.7898
2014-07-02,33.8333,7159.5607,15.3748,1.78
2014-07-03,34.4933,7299.2251,15.6747,1.8147
2014-07-07,34.14,7224.4553,15.5141,1.7962
2014-07-08,33.5733,7104.5415,15.2566,1.7663
2014-07-09,33.3333,7053.7544,15.1475,1.7537
2014-07-10,32.8733,6956.4126,14.9385,1.7295
2014-07-11,33.0067,6984.6276,14.9991,1.7365
2014-07-14,33.1333,7011.4319,15.0567,1.7432
2014-07-15,33.1133,7007.1996,15.0476,1.7421
2014-07-16,33.0133,6986.0384,15.0021,1.7369
2014-07-17,33.0,6983.2169,14.9961,1.7362
2014-07-18,33.3733,7062.2189,15.1657,1.7558
2014-07-21,33.2,7025.5394,15.087,1.7467
