Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,175.37,15842.9967,21.7336,3.8952
2014-01-03,177.19,16007.4163,21.9592,3.9356
2014-01-06,174.68,15780.6619,21.6481,3.8799
2014-01-07,175.4,15845.707,21.7373,3.8958
2014-01-08,172.32,15567.4585,21.3556,3.8274
2014-01-09,172.88,15618.0491,21.425,3.8399
2014-01-10,173.95,15714.7134,21.5577,3.8636
2014-01-13,167.5,15132.0178,20.7583,3.7204
2014-01-14,167.47,15129.3075,20.7546,3.7197
2014-01-15,168.08,15184.4152,20.8302,3.7333
2014-01-16,163.31,14753.4915,20.239,3.6273
2014-01-17,162.49,14679.4123,20.1374,3.6091
2014-01-21,160.9,14535.7711,19.9404,3.5738
2014-01-22,159.86,14441.8171,19.8115,3.5507
2014-01-23,158.65,14332.5052,19.6615,3.5238
2014-01-24,157.62,14239.4546,19.5339,3.5009
2014-01-27,156.95,14178.9265,19.4508,3.486
2014-01-28,156.74,14159.955,19.4248,3.4814
2014-01-29,155.51,14048.8363,19.2724,3.4541
2014-01-30,158.23,14294.5622,19.6095,3.5145
2014-01-31,156.89,14173.5061,19.4434,3.4847
2014-02-03,153.66,13881.7066,19.0431,3.413
2014-02-04,154.18,13928.6836,19.1076,3.4245
2014-02-05,148.71,13322.3979,18.4297,3.303
2014-02-06,152.23,13637.7422,18.8659,3.3812
2014-02-07,155.89,13965.6285,19.3195,3.4625
2014-02-10,155.25,13908.2932,19.2402,3.4483
2014-02-11,156.8,14047.1522,19.4322,3.4827
2014-02-12,154.5,13841.1034,19.1472,3.4316
2014-02-13,156.15,13988.921,19.3517,3.4683
2014-02-14,158.39,14189.5946,19.6293,3.518
2014-02-18,157.15,14078.5074,19.4756,3.4905
2014-02-19,156.97,14062.3819,19.4533,3.4865
2014-02-20,157.66,14124.1965,19.5388,3.5018
2014-02-21,158.4,14190.4904,19.6305,3.5183
2014-02-24,159.27,14268.4306,19.7384,3.5376
2014-02-25,159.99,14332.9329,19.8276,3.5536
