Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,116.38,16154.1162,20.4363,6.01
2014-01-03,117.83,16355.3833,20.6909,6.0848
2014-01-06,116.52,16173.5489,20.4609,6.0172
2014-01-07,117.04,16245.7274,20.5522,6.044
2014-01-08,116.47,16166.6086,20.4521,6.0146
2014-01-09,116.43,16161.0564,20.4451,6.0125
2014-01-10,116.96,16234.623,20.5382,6.0399
2014-01-13,115.07,15972.2817,20.2063,5.9423
2014-01-14,118.24,16412.2933,20.7629,6.106
2014-01-15,118.86,16498.3524,20.8718,6.138
2014-01-16,119.66,16609.3963,21.0123,6.1793
2014-01-17,119.23,16549.7102,20.9368,6.1571
2014-01-21,119.83,16632.9931,21.0421,6.1881
2014-01-22,119.06,16526.1133,20.9069,6.1483
2014-01-23,117.01,16241.5633,20.5469,6.0425
2014-01-24,112.99,15683.5675,19.841,5.8349
2014-01-27,112.96,15679.4034,19.8358,5.8333
2014-01-28,115.01,15963.9534,20.1957,5.9392
2014-01-29,115.09,15975.0578,20.2098,5.9433
2014-01-30,115.1,15976.4459,20.2115,5.9438
2014-01-31,114.84,15940.3566,20.1659,5.9304
2014-02-03,111.97,15541.9865,19.6619,5.7822
2014-02-04,111.18,15432.3306,19.5232,5.7414
2014-02-05,109.91,15256.0484,19.3002,5.6758
2014-02-06,110.64,15354.7626,19.4284,5.7135
2014-02-07,112.35,15592.0786,19.7286,5.8018
2014-02-10,112.04,15549.0564,19.6742,5.7858
2014-02-11,113.48,15748.9014,19.9271,5.8602
2014-02-12,115.56,16037.5665,20.2923,5.9676
2014-02-13,116.45,16161.0819,20.4486,6.0136
2014-02-14,117.0,16237.4116,20.5452,6.042
2014-02-18,118.5,16445.5835,20.8086,6.1194
2014-02-19,118.0,16376.1929,20.7208,6.0936
2014-02-20,118.99,16513.5864,20.8946,6.1447
2014-02-21,119.32,16559.3842,20.9526,6.1618
2014-02-24,120.56,16731.473,21.1703,6.2258
2014-02-25,120.85,16771.7196,21.2212,6.2408
2014-02-26,121.73,16893.8471,21.3758,6.2862
2014-02-27,122.18,16956.2987,21.4548,6.3095
2014-02-28,122.84,17047.8944,21.5707,6.3435
2014-03-03,121.59,16874.4178,21.3512,6.279
2014-03-04,124.0,17208.8807,21.7744,6.4035
2014-03-05,123.49,17138.1022,21.6848,6.3771
2014-03-06,123.46,17133.9388,21.6796,6.3756
2014-03-07,124.72,17308.8032,21.9008,6.4406
2014-03-10,123.74,17172.7975,21.7287,6.39
2014-03-11,122.07,16941.0328,21.4355,6.3038
2014-03-12,121.8,16903.5618,21.3881,6.2898
2014-03-13,120.25,16688.4508,21.1159,6.2098
2014-03-14,120.0,16653.7555,21.072,6.1969
2014-03-17,122.25,16966.0134,21.4671,6.3131
2014-03-18,123.28,17108.9581,21.648,6.3663
2014-03-19,122.23,16963.2378,21.4636,6.312
2014-03-20,122.8,17042.3431,21.5637,6.3415
2014-03-21,123.04,17075.6506,21.6058,6.3539
2014-03-24,122.13,16949.3597,21.446,6.3069
2014-03-25,123.67,17163.0828,21.7164,6.3864
2014-03-26,122.17,16954.9109,21.453,6.309
2014-03-27,121.78,16900.7862,21.3846,6.2888
2014-03-28,124.25,17243.576,21.8183,6.4164
2014-03-31,124.55,17285.2104,21.7201,6.2723
2014-04-01,124.84,17325.457,21.7707,6.2869
2014-04-02,126.1,17500.3214,21.9905,6.3504
2014-04-03,126.88,17608.5708,22.1265,6.3897
2014-04-04,124.51,17279.6591,21.7132,6.2703
2014-04-07,121.99,16929.9303,21.2737,6.1434
2014-04-08,122.97,17065.9359,21.4446,6.1928
2014-04-09,123.94,17200.5538,21.6138,6.2416
2014-04-10,121.57,16871.6421,21.2005,6.1223
2014-04-11,120.8,16764.7805,21.0662,6.0835
2014-04-14,121.45,16854.9884,21.1795,6.1162
2014-04-15,122.43,16990.994,21.3504,6.1656
2014-04-16,125.7,17444.8089,21.9207,6.3302
2014-04-17,127.02,17628.0002,22.1509,6.3967
2014-04-21,127.75,17729.3105,22.2782,6.4335
2014-04-22,127.67,17718.208,22.2642,6.4295
2014-04-23,127.16,17647.4296,22.1753,6.4038
2014-04-24,127.64,17714.0446,22.259,6.4279
2014-04-25,125.1,17361.5401,21.8161,6.3
2014-04-28,124.53,17282.4348,21.7167,6.2713
2014-04-29,115.63,16047.2812,20.1646,5.8231
2014-04-30,119.18,16539.9548,20.7837,6.0019
2014-05-01,120.22,16684.2874,20.965,6.0543
2014-05-02,119.57,16594.0795,20.8517,6.0215
2014-05-05,119.84,16591.3667,20.8988,6.0351
2014-05-06,118.82,16450.1518,20.7209,5.9838
2014-05-07,119.58,16555.3708,20.8534,6.022
2014-05-08,118.35,16385.0822,20.6389,5.9601
2014-05-09,117.89,16321.397,20.5587,5.9369
2014-05-12,121.42,16810.1114,21.1743,6.1147
2014-05-13,120.69,16709.0458,21.047,6.0779
2014-05-14,119.63,16562.2931,20.8622,6.0246
2014-05-15,119.77,16581.6755,20.8866,6.0316
2014-05-16,120.19,16639.8228,20.9598,6.0528
2014-05-19,121.42,16810.1114,21.1743,6.1147
2014-05-20,118.91,16462.6119,20.7366,5.9883
2014-05-21,119.6,16558.1397,20.8569,6.0231
2014-05-22,119.88,16596.9045,20.9058,6.0372
2014-05-23,121.26,16787.96,21.1464,6.1067
2014-05-27,122.29,16930.5594,21.326,6.1585
2014-05-28,121.14,16771.3465,21.1255,6.1006
2014-05-29,120.37,16664.7431,20.9912,6.0618
2014-05-30,121.08,16763.0397,21.115,6.0976
2014-06-02,122.66,16981.7844,21.3906,6.1772
2014-06-03,122.48,16956.8641,21.3592,6.1681
2014-06-04,122.35,16938.8661,21.3365,6.1615
2014-06-05,125.3,17347.2818,21.8509,6.3101
2014-06-06,126.34,17491.2656,22.0323,6.3625
2014-06-09,127.83,17697.5501,22.2921,6.4375
2014-06-10,126.64,17532.7994,22.0846,6.3776
2014-06-11,126.17,17467.7298,22.0027,6.3539
2014-06-12,125.3,17347.2818,21.8509,6.3101
2014-06-13,125.62,17391.5845,21.9067,6.3262
2014-06-16,125.66,17397.1223,21.9137,6.3282
2014-06-17,126.93,17572.9487,22.1352,6.3922
2014-06-18,125.69,17401.2757,21.919,6.3297
2014-06-19,125.34,17352.8196,21.8579,6.3121
2014-06-20,127.24,17615.867,22.1893,6.4078
2014-06-23,126.48,17510.648,22.0567,6.3695
2014-06-24,124.28,17206.0669,21.6731,6.2587
