Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,37.135,15961.7615,18.9464,8.2229
2014-01-03,37.165,15974.6564,18.9617,8.2296
2014-01-06,37.09,15942.4191,18.9235,8.213
2014-01-07,36.885,15854.3038,18.8189,8.1676
2014-01-08,36.85,15839.2597,18.801,8.1598
2014-01-09,37.325,16043.4293,19.0434,8.265
2014-01-10,37.325,16043.4293,19.0434,8.265
2014-01-13,36.645,15751.1445,18.6964,8.1144
2014-01-14,36.6,15731.8021,18.6735,8.1045
2014-01-15,36.385,15639.3885,18.5638,8.0569
2014-01-16,36.04,15491.0969,18.3878,7.9805
2014-01-17,35.695,15342.8053,18.2117,7.9041
2014-01-21,35.21,15134.3375,17.9643,7.7967
2014-01-22,34.63,14885.0357,17.6684,7.6682
2014-01-23,34.245,14719.5509,17.4719,7.583
2014-01-24,33.915,14577.7068,17.3036,7.5099
2014-01-27,34.14,14674.4187,17.4184,7.5597
2014-01-28,33.885,14564.8118,17.2883,7.5033
2014-01-29,33.83,14541.1712,17.2602,7.4911
2014-01-30,33.98,14605.6458,17.3367,7.5243
2014-01-31,33.955,14594.9,17.5478,7.2203
2014-02-03,32.965,14169.3676,17.0362,7.0098
2014-02-04,32.89,14137.1303,16.9974,6.9938
2014-02-05,33.145,14246.7372,17.1292,7.0481
2014-02-06,34.655,14895.7815,17.9096,7.3692
2014-02-07,34.68,14906.5272,17.9225,7.3745
2014-02-10,34.565,14857.0967,17.863,7.35
2014-02-11,34.765,14943.0628,17.9664,7.3926
2014-02-12,34.58,14863.5442,17.8708,7.3532
2014-02-13,34.79,14953.8086,17.9793,7.3979
2014-02-14,34.71,14919.4221,17.938,7.3809
2014-02-18,34.16,14683.0153,17.6537,7.2639
2014-02-19,33.9,14571.2593,17.5194,7.2086
2014-02-20,33.825,14539.022,17.4806,7.1927
2014-02-21,33.725,14496.0389,17.4289,7.1714
2014-02-24,34.635,14887.1848,17.8992,7.3649
2014-02-25,35.02,15052.6696,18.0982,7.4468
2014-02-26,35.845,15407.2799,18.5245,7.6222
2014-02-27,36.155,15540.5274,18.6848,7.6881
2014-02-28,36.4,15645.8359,18.8114,7.7402
2014-03-03,36.145,15536.2291,18.6796,7.686
2014-03-04,36.225,15570.6156,18.7209,7.703
2014-03-05,35.975,15463.1579,18.5917,7.6499
2014-03-06,35.875,15420.1749,18.5401,7.6286
2014-03-07,36.025,15484.6495,18.6176,7.6605
2014-03-10,36.18,15551.2732,18.6977,7.6934
2014-03-11,36.125,15527.6325,18.6693,7.6818
2014-03-12,36.19,15555.5715,18.7028,7.6956
2014-03-13,36.15,15538.3783,18.6822,7.6871
2014-03-14,36.335,15617.897,18.7778,7.7264
2014-03-17,37.045,15923.0767,19.1447,7.8774
2014-03-18,36.625,15742.5478,18.9276,7.7881
2014-03-19,36.33,15615.7478,18.7752,7.7253
2014-03-20,36.385,15639.3885,18.8036,7.737
2014-03-21,36.485,15682.3716,18.8553,7.7583
2014-03-24,36.645,15751.1445,18.938,7.7923
2014-03-25,35.835,15402.9816,18.5194,7.6201
2014-03-26,35.605,15304.1206,18.4005,7.5712
2014-03-27,35.705,15347.1036,18.4522,7.5924
2014-03-28,36.05,15495.3952,18.6305,7.6658
2014-03-31,35.785,15381.4901,18.4935,7.6095
2014-04-01,36.45,15525.4619,18.8372,7.7509
2014-04-02,36.75,15653.2435,18.9922,7.8147
2014-04-03,36.71,15636.206,18.9716,7.8061
2014-04-04,36.19,15414.7179,18.7028,7.6956
2014-04-07,35.3849,15071.8107,18.2868,7.5244
2014-04-08,35.825,15219.4938,18.5142,7.618
2014-04-09,35.72,15174.8868,18.4599,7.5956
