Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,32.96,11868.7131,19.5389,1.503
2014-01-03,32.98,11875.915,19.5507,1.5039
2014-01-06,32.82,11818.2999,19.4559,1.4966
2014-01-07,32.69,11771.4876,19.3788,1.4907
2014-01-08,32.47,11692.2669,19.2484,1.4806
2014-01-09,32.36,11652.6565,19.1832,1.4756
2014-01-10,32.42,11674.2621,19.2188,1.4784
2014-01-13,32.04,11537.4262,18.9935,1.461
2014-01-14,32.23,11605.8442,19.1061,1.4697
2014-01-15,32.23,11605.8442,19.1061,1.4697
2014-01-16,32.11,11562.6329,19.035,1.4642
2014-01-17,32.25,11613.0461,19.118,1.4706
2014-01-21,32.27,11620.248,19.1298,1.4715
2014-01-22,32.35,11649.0555,19.1773,1.4752
2014-01-23,32.23,11605.8442,19.1061,1.4697
2014-01-24,31.74,11429.3979,18.8156,1.4473
2014-01-27,32.09,11555.431,19.0231,1.4633
2014-01-28,32.15,11577.0366,19.0587,1.466
2014-01-29,31.98,11515.8206,18.9579,1.4583
2014-01-30,32.21,11598.6423,19.0943,1.4688
2014-01-31,32.03,11533.8253,18.9876,1.4606
2014-02-03,31.55,11360.98,18.703,1.4387
2014-02-04,31.53,11353.7781,18.6912,1.4378
2014-02-05,31.55,11360.98,18.703,1.4387
2014-02-06,31.87,11476.2102,18.8927,1.4533
2014-02-07,33.4,12027.1547,19.7997,1.523
2014-02-10,33.13,11929.9292,19.6396,1.5107
2014-02-11,33.52,12070.366,19.8708,1.5285
2014-02-12,33.57,12088.3708,19.9005,1.5308
2014-02-13,34.06,12282.5133,20.191,1.5531
2014-02-14,34.4,12405.1221,20.3925,1.5686
2014-02-18,33.83,12199.5721,20.0546,1.5426
2014-02-19,33.73,12163.5107,19.9953,1.5381
2014-02-20,33.74,12167.1168,20.0013,1.5385
2014-02-21,33.76,12174.3291,20.0131,1.5395
2014-02-24,33.76,12174.3291,20.0131,1.5395
2014-02-25,33.67,12141.8738,19.9598,1.5354
2014-02-26,33.57,12105.8124,19.9005,1.5308
2014-02-27,33.43,12055.3265,19.8175,1.5244
2014-02-28,34.11,12300.544,20.2206,1.5554
2014-03-03,34.04,12275.301,20.1791,1.5522
2014-03-04,34.31,12372.6668,20.3392,1.5645
2014-03-05,34.14,12311.3624,20.2384,1.5568
2014-03-06,34.16,12318.5747,20.2502,1.5577
2014-03-07,34.24,12347.4238,20.2977,1.5613
2014-03-10,34.22,12340.2115,20.2858,1.5604
2014-03-11,34.01,12264.4826,20.1613,1.5509
2014-03-12,33.86,12210.3905,20.0724,1.544
2014-03-13,33.64,12131.0554,19.942,1.534
2014-03-14,33.33,12019.2651,19.7582,1.5198
2014-03-17,33.73,12163.5107,19.9953,1.5381
2014-03-18,34.11,12300.544,20.2206,1.5554
2014-03-19,34.21,12336.6054,20.2799,1.56
2014-03-20,34.16,12318.5747,20.2502,1.5577
2014-03-21,34.03,12271.6949,20.1732,1.5518
2014-03-24,33.86,12210.3905,20.0724,1.544
2014-03-25,33.86,12210.3905,20.0724,1.544
2014-03-26,33.69,12081.337,19.9716,1.5363
2014-03-27,33.88,12149.4716,20.0842,1.5449
2014-03-28,33.66,12070.5789,19.9538,1.5349
2014-03-31,34.16,12249.8805,19.3598,1.56
2014-04-01,34.24,12278.5687,19.4051,1.5636
2014-04-02,34.45,12353.8753,19.5241,1.5732
2014-04-03,34.49,12368.2195,19.5468,1.575
2014-04-04,34.52,12378.9776,19.5638,1.5764
2014-04-07,34.34,12314.429,19.4618,1.5682
2014-04-08,34.59,12404.0798,19.6035,1.5796
2014-04-09,34.83,12490.1445,19.7395,1.5905
2014-04-10,34.48,12364.6334,19.5411,1.5746
2014-04-11,34.07,12217.6062,19.3088,1.5558
2014-04-14,34.34,12314.429,19.4618,1.5682
2014-04-15,34.38,12328.7731,19.4845,1.57
2014-04-16,34.86,12500.9026,19.7565,1.5919
2014-04-17,34.47,12361.0474,19.5355,1.5741
2014-04-21,34.55,12389.7356,19.5808,1.5778
2014-04-22,34.69,12439.9401,19.6602,1.5842
2014-04-23,34.86,12500.9026,19.7565,1.5919
2014-04-24,34.75,12461.4563,19.6942,1.5869
2014-04-25,34.4,12258.6176,19.4958,1.5709
2014-04-28,34.76,12386.9055,19.6998,1.5874
2014-04-29,34.96,12458.1765,19.8132,1.5965
2014-04-30,35.09,12504.5027,19.8869,1.6024
2014-05-01,35.03,12483.1214,19.8529,1.5997
2014-05-02,34.92,12443.9223,19.7905,1.5947
2014-05-05,34.96,12458.1765,19.8132,1.5965
2014-05-06,34.93,12447.4859,19.7962,1.5951
2014-05-07,35.15,12525.884,19.9209,1.6052
2014-05-08,35.06,12493.812,19.8699,1.6011
2014-05-09,35.04,12486.6849,19.8585,1.6001
2014-05-12,35.2,12543.7018,19.9492,1.6074
2014-05-13,35.22,12550.8289,19.9605,1.6084
2014-05-14,34.99,12468.8672,19.8302,1.5979
2014-05-15,34.59,12326.3251,19.6035,1.5796
2014-05-16,34.8,12401.1597,19.7225,1.5892
2014-05-19,34.87,12426.1046,19.7622,1.5924
2014-05-20,34.59,12326.3251,19.6035,1.5796
