Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,40.94,4601.3531,24.4532,2.3118
2014-01-03,41.21,4631.6991,24.6144,2.3271
2014-01-06,41.69,4685.6475,24.9011,2.3542
2014-01-07,42.11,4732.8524,25.152,2.3779
2014-01-08,42.7,4799.1641,25.5044,2.4112
2014-01-09,43.43,4881.2107,25.9404,2.4524
2014-01-10,43.18,4853.1125,25.7911,2.4383
2014-01-13,42.35,4759.8267,25.2953,2.3914
2014-01-14,42.75,4804.7837,25.5343,2.414
2014-01-15,42.98,4830.634,25.6716,2.427
2014-01-16,43.23,4858.7321,25.821,2.4411
2014-01-17,43.01,4834.0058,25.6896,2.4287
2014-01-21,43.12,4846.369,25.7553,2.4349
2014-01-22,43.04,4837.3775,25.7075,2.4304
2014-01-23,42.49,4775.5616,25.379,2.3994
2014-01-24,41.18,4628.3273,24.5965,2.3254
2014-01-27,41.06,4614.8402,24.5248,2.3186
2014-01-28,42.71,4800.288,25.5104,2.4118
2014-01-29,42.6,4787.9248,25.4447,2.4056
2014-01-30,44.04,4949.7701,26.3048,2.4869
2014-01-31,43.6,4900.3174,26.042,2.462
2014-02-03,43.03,4836.2536,25.7015,2.4298
2014-02-04,42.84,4814.899,25.588,2.4191
2014-02-05,42.67,4795.7923,25.4865,2.4095
2014-02-06,42.86,4817.1469,25.6,2.4202
2014-02-07,43.78,4920.5481,26.1495,2.4722
2014-02-10,43.54,4893.5738,26.0061,2.4586
2014-02-11,43.99,4944.1505,26.2749,2.4841
2014-02-12,44.17,4964.3812,26.3824,2.4942
2014-02-13,44.27,4975.6204,26.4421,2.4999
2014-02-14,43.98,4943.0266,26.2689,2.4835
2014-02-18,43.67,4908.1849,26.0838,2.466
2014-02-19,42.99,4831.7579,25.6776,2.4276
2014-02-20,44.05,4950.8941,26.3107,2.4874
2014-02-21,43.72,4913.8045,26.1136,2.4688
2014-02-24,44.15,4962.1333,26.3705,2.4931
2014-02-25,44.27,4995.9282,26.4421,2.4999
2014-02-26,44.63,5036.5547,26.6572,2.5202
2014-02-27,45.3,5112.1651,27.0574,2.558
2014-02-28,45.32,5114.4221,27.0693,2.5592
2014-03-03,44.78,5053.4824,26.7468,2.5287
2014-03-04,45.4,5123.4502,27.1171,2.5637
2014-03-05,45.82,5170.8478,27.368,2.5874
2014-03-06,46.09,5201.3176,27.5292,2.6026
2014-03-07,45.84,5173.1048,27.3799,2.5885
2014-03-10,45.5,5134.7353,27.1768,2.5693
2014-03-11,44.99,5077.1812,26.8722,2.5405
2014-03-12,45.37,5120.1644,27.0992,2.562
2014-03-13,44.61,5034.3957,26.6452,2.5191
2014-03-14,44.75,5050.1952,26.7288,2.527
2014-03-17,45.4,5123.55,27.1171,2.5637
2014-03-18,45.91,5181.1053,27.4217,2.5925
2014-03-19,45.9,5179.9767,27.4157,2.5919
