Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,88.42,11352.0576,,31.8124
2014-01-03,87.81,11273.7409,,31.593
2014-01-06,87.82,11275.0248,,31.5966
2014-01-07,88.56,11370.0319,,31.8628
2014-01-08,89.04,11431.6581,,32.0355
2014-01-09,87.84,11277.5926,,31.6038
2014-01-10,88.32,11339.2188,,31.7765
2014-01-13,89.12,11441.9291,,32.0643
2014-01-14,90.57,11628.0915,,32.586
2014-01-15,90.67,11640.9303,,32.622
2014-01-16,90.72,11647.3497,,32.6399
2014-01-17,90.01,11556.1943,,32.3845
2014-01-21,90.65,11638.3626,,32.6148
2014-01-22,91.47,11743.6406,,32.9098
2014-01-23,92.78,11911.8288,,33.3811
2014-01-24,89.95,11548.491,,32.3629
2014-01-27,89.6,11503.5553,,32.237
2014-01-28,89.93,11545.9233,,32.3557
2014-01-29,90.57,11628.0915,,32.586
2014-01-30,92.29,11848.9187,,33.2048
2014-01-31,92.75,11907.9771,,33.3703
2014-02-03,91.99,11810.4023,,33.0969
2014-02-04,91.62,11762.8988,,32.9638
2014-02-05,91.72,11775.7376,,32.9997
2014-02-06,92.0,11811.6862,,33.1005
2014-02-07,92.91,11928.5192,,33.4279
2014-02-10,93.17,11961.9001,,33.5214
2014-02-11,94.73,12162.1852,,34.0827
2014-02-12,94.17,12090.2879,,33.8812
2014-02-13,95.14,12214.8242,,34.2302
2014-02-14,96.36,12371.4574,,34.6691
2014-02-18,96.6,12402.2705,,34.7555
2014-02-19,97.69,12542.2133,,35.1477
2014-02-20,99.21,12737.3629,,35.6945
2014-02-21,97.235,12483.7968,,34.984
2014-02-24,95.9,12312.399,,34.5036
2014-02-25,95.34,12240.5018,,34.3022
2014-02-26,92.79,11913.1127,,33.3847
2014-02-27,94.89,12182.7272,,34.1403
2014-02-28,95.17,12218.6758,,34.241
2014-03-03,95.18,12219.9597,,34.2446
2014-03-04,95.81,12300.8441,,34.4713
2014-03-05,95.24,12227.663,,34.2662
2014-03-06,95.53,12276.2362,,34.3705
2014-03-07,95.08,12218.4082,,34.2086
2014-03-10,94.56,12151.5848,,34.0215
2014-03-11,94.99,12206.8426,,34.1762
2014-03-12,95.2,12233.829,,34.2518
2014-03-13,94.87,12191.4218,,34.1331
2014-03-14,94.96,12202.9874,,34.1654
2014-03-17,94.51,12145.1594,,34.0035
2014-03-18,94.72,12172.1458,,34.0791
2014-03-19,93.74,12046.2093,,33.7265
2014-03-20,93.51,12016.6528,,33.6438
2014-03-21,91.89,11808.4721,,33.0609
2014-03-24,91.39,11744.2188,,32.881
2014-03-25,90.54,11634.9882,,32.5752
2014-03-26,90.37,11613.1421,,32.514
2014-03-27,93.26,11984.5262,,33.5538
2014-03-28,92.25,11877.9758,,33.1904
2014-03-31,90.96,11711.8772,,29.5682
2014-04-01,91.14,11735.0538,,29.6267
2014-04-02,89.98,11585.6939,,29.2496
2014-04-03,90.15,11607.5828,,29.3049
2014-04-04,88.14,11348.7781,,28.6515
2014-04-07,87.4,11253.4968,,28.4109
2014-04-08,87.86,11312.7258,,28.5605
2014-04-09,90.23,11617.8835,,29.3309
2014-04-10,89.08,11469.8112,,28.957
2014-04-11,88.22,11359.0788,,28.6775
2014-04-14,88.01,11332.0395,,28.6092
2014-04-15,88.0,11330.752,,28.606
2014-04-16,89.9,11575.3932,,29.2236
2014-04-17,91.17,11738.9165,,29.6364
2014-04-21,91.92,11835.4854,,29.8802
2014-04-22,92.22,11874.113,,29.9778
2014-04-23,91.01,11718.3152,,29.5844
2014-04-24,90.64,11670.6745,,29.4642
2014-04-25,89.93,11579.2559,,29.2334
2014-04-28,89.1,11472.3864,,28.9635
2014-04-29,89.69,11548.3539,,29.1553
2014-04-30,89.76,11557.367,,29.1781
2014-05-01,90.56,11660.3738,,29.4381
2014-05-02,94.89,12217.8983,,30.8457
2014-05-05,96.52,12427.7748,,31.3756
2014-05-06,96.53,12429.0623,,31.3788
2014-05-07,96.36,12407.1734,,31.3235
2014-05-08,96.8,12463.8271,,31.4666
2014-05-09,97.2,12519.9921,,31.5966
2014-05-12,98.11,12637.206,,31.8924
2014-05-13,99.16,12772.4529,,32.2337
2014-05-14,100.84,12988.8478,,32.7798
2014-05-15,99.62,12831.7039,,32.3833
2014-05-16,100.19,12905.1236,,32.5686
2014-05-19,100.1,12893.531,,32.5393
2014-05-20,100.22,12908.9878,,32.5783
2014-05-21,100.84,12988.8478,,32.7798
2014-05-22,101.49,13072.572,,32.9911
2014-05-23,100.6,12957.9342,,32.7018
2014-05-27,100.39,12930.8849,,32.6336
2014-05-28,100.45,12938.6133,,32.6531
2014-05-29,100.71,12972.1029,,32.7376
2014-05-30,101.5,13073.8601,,32.9944
2014-06-02,100.4,12932.1729,,32.6368
2014-06-03,99.78,12852.3129,,32.4353
2014-06-04,100.51,12946.3416,,32.6726
2014-06-05,100.08,12890.9548,,32.5328
2014-06-06,100.43,12936.0371,,32.6466
2014-06-09,100.25,12912.852,,32.5881
2014-06-10,100.25,12912.852,,32.5881
2014-06-11,100.21,12907.6997,,32.5751
2014-06-12,99.84,12860.0413,,32.4548
2014-06-13,98.16,12643.6464,,31.9087
2014-06-16,97.77,12593.4118,,31.7819
2014-06-17,97.64,12576.667,,31.7396
2014-06-18,97.74,12589.5476,,31.7721
2014-06-19,98.53,12691.3048,,32.0289
2014-06-20,98.69,12711.9138,,32.081
2014-06-23,98.23,12652.6628,,31.9314
2014-06-24,98.65,12706.7616,,32.0679
2014-06-25,100.21,12907.6997,,32.5751
2014-06-26,99.8,12854.889,,32.4418
2014-06-27,101.64,13091.893,,33.0399
2014-06-30,102.3,13176.9053,6388.5593,82.9148
2014-07-01,101.94,13130.5349,6366.0776,82.6231
2014-07-02,101.61,13088.0288,6345.4693,82.3556
2014-07-03,101.73,13103.4856,6352.9632,82.4529
2014-07-07,101.37,13057.1152,6330.4815,82.1611
2014-07-08,100.62,12960.5104,6283.6445,81.5532
2014-07-09,103.44,13323.7447,6459.7515,83.8388
2014-07-10,104.14,13413.9093,6503.4659,84.4062
2014-07-11,103.64,13349.506,6472.2413,84.0009
2014-07-14,104.05,13402.3167,6497.8455,84.3332
2014-07-15,103.77,13366.2508,6480.3597,84.1063
2014-07-16,104.43,13451.2631,6521.5762,84.6412
2014-07-17,103.17,13288.9669,6442.8902,83.62
2014-07-18,103.99,13394.5883,6494.0985,84.2846
2014-07-21,104.54,13465.4319,6528.4456,84.7304
2014-07-22,104.34,13439.6706,6515.9558,84.5683
