Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,38.585,57985.5399,33.6995,11.8927
2014-01-03,38.475,57820.2319,33.6034,11.8588
2014-01-06,38.085,57234.1399,33.2628,11.7386
2014-01-07,38.605,58015.5959,33.717,11.8989
2014-01-08,39.015,58631.7439,34.075,12.0252
2014-01-09,38.8,58308.6419,33.8873,11.959
2014-01-10,38.835,58361.2399,33.9178,11.9698
2014-01-13,37.56,56445.1698,32.8043,11.5768
2014-01-14,37.73,56700.6458,32.9527,11.6292
2014-01-15,38.095,57249.1679,33.2715,11.7417
2014-01-16,37.645,56572.9078,32.8785,11.603
2014-01-17,37.45,56279.8618,32.7082,11.5429
2014-01-21,36.825,55340.6118,32.1623,11.3502
2014-01-22,36.8,55303.0418,32.1405,11.3425
2014-01-23,36.695,55145.2478,32.0488,11.3102
2014-01-24,37.49,56339.9738,32.7431,11.5552
2014-01-27,37.105,56116.4253,32.4069,11.4365
2014-01-28,36.945,55853.4528,32.2671,11.3872
2014-01-29,35.78,54092.2057,31.2496,11.0282
2014-01-30,35.955,54356.7708,31.4025,11.0821
2014-01-31,35.56,53759.6097,31.0575,10.9603
2014-02-03,34.485,52134.4247,30.1186,10.629
2014-02-04,35.325,53404.3367,30.8523,10.8879
2014-02-05,35.245,53283.3927,30.7824,10.8633
2014-02-06,36.18,54696.9258,31.599,11.1514
2014-02-07,37.0175,55963.0583,32.3305,11.4096
2014-02-10,37.4,56541.3218,32.6645,11.5275
2014-02-11,37.25,56314.5518,32.5335,11.4812
2014-02-12,36.955,55868.5708,32.2759,11.3903
2014-02-13,37.345,56458.1728,32.6165,11.5105
2014-02-14,37.515,56715.1788,32.765,11.5629
2014-02-18,36.985,55913.9248,32.3021,11.3996
2014-02-19,36.66,55422.5898,32.0182,11.2994
2014-02-20,36.775,55596.4468,32.1187,11.3348
2014-02-21,36.28,54848.1058,31.6863,11.1823
2014-02-24,36.28,54848.1058,31.6863,11.1823
2014-02-25,35.275,53328.7467,30.8086,10.8725
2014-02-26,35.89,54258.5038,31.3457,11.0621
2014-02-27,36.095,54568.4228,31.5248,11.1252
2014-02-28,35.48,53638.6657,30.9876,10.9357
2014-03-03,35.235,53268.2747,30.7737,10.8602
2014-03-04,35.83,54167.7957,31.2933,11.0436
2014-03-05,35.65,53895.6717,31.1361,10.9881
2014-03-06,36.345,54946.3728,31.7431,11.2023
2014-03-07,36.535,55233.6148,31.909,11.2609
2014-03-10,36.78,55604.0058,32.123,11.3364
2014-03-11,37.515,56715.1788,32.765,11.5629
