Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,60.803,18484.1581,24.3043,10.5324
2014-01-03,60.933,18523.678,24.3563,10.555
2014-01-06,60.897,18512.5314,24.3416,10.5486
2014-01-07,62.537,19011.0899,24.9971,10.8327
2014-01-08,63.227,19220.8493,25.2729,10.9522
2014-01-09,62.957,19138.7695,25.165,10.9054
2014-01-10,64.28,19541.0616,25.694,11.1347
2014-01-13,63.73,19373.8621,25.4741,11.0394
2014-01-14,64.493,19605.9148,25.7793,11.1716
2014-01-15,64.38,19571.4615,25.734,11.152
2014-01-16,64.503,19608.9548,25.7833,11.1734
2014-01-17,64.707,19670.7679,25.8645,11.2086
2014-01-21,66.01,20066.9801,26.3855,11.4343
2014-01-22,65.78,19997.0603,26.2936,11.3945
2014-01-23,65.04,19772.101,25.9978,11.2663
2014-01-24,63.6,19334.3423,25.4222,11.0169
2014-01-27,63.523,19311.0357,25.3915,11.0036
2014-01-28,63.893,19423.5153,25.5394,11.0677
2014-01-29,63.04,19164.1028,25.1983,10.9199
2014-01-30,61.247,18618.9311,24.4815,10.6092
2014-01-31,61.087,18570.2912,24.4175,10.5815
2014-02-03,58.96,17923.7865,23.5675,10.2131
2014-02-04,59.317,18032.2128,23.71,10.2749
2014-02-05,58.533,17794.0802,23.3969,10.1392
2014-02-06,59.73,18157.8658,23.8753,10.3465
2014-02-07,60.853,18499.3581,24.3243,10.5411
2014-02-10,60.783,18478.0781,24.2963,10.529
2014-02-11,61.14,18586.5045,24.4389,10.5908
2014-02-12,62.277,18932.0501,24.8932,10.7876
2014-02-13,63.473,19295.8357,25.3715,10.9949
2014-02-14,63.723,19371.8355,25.4715,11.0382
2014-02-18,63.82,19401.2221,25.5101,11.055
2014-02-19,64.36,19565.3816,25.726,11.1485
2014-02-20,64.467,19597.8081,25.7686,11.167
2014-02-21,64.53,19617.0614,25.7939,11.178
2014-02-24,64.843,19712.3145,25.9192,11.2322
2014-02-25,65.79,20000.1003,26.2976,11.3962
2014-02-26,66.187,20120.6866,26.4561,11.4649
2014-02-27,66.273,19940.9974,26.4908,11.48
2014-02-28,66.827,20107.49,26.7119,11.5758
2014-03-03,66.5,20009.1992,26.5814,11.5192
2014-03-04,67.723,20377.2882,27.0703,11.7311
2014-03-05,67.76,20388.3208,27.085,11.7375
2014-03-06,67.667,20323.2609,27.0477,11.7213
2014-03-07,68.903,20694.686,27.542,11.9355
2014-03-10,68.7,20633.6161,27.4607,11.9003
2014-03-11,68.327,20521.4878,27.3115,11.8356
2014-03-12,68.08,20447.403,27.2129,11.7929
2014-03-13,67.397,20242.1681,26.9398,11.6745
2014-03-14,67.36,20231.1555,26.9251,11.6682
2014-03-17,68.073,20445.4007,27.2102,11.7918
2014-03-18,68.267,20503.4672,27.2875,11.8252
2014-03-19,67.41,20246.1727,26.9451,11.6769
2014-03-20,67.373,20235.1601,26.9304,11.6705
2014-03-21,66.803,20063.9642,26.7026,11.5718
2014-03-24,66.19,19879.7533,26.4574,11.4655
2014-03-25,65.99,19819.6846,26.3775,11.4309
2014-03-26,65.257,19599.4325,26.0844,11.3038
2014-03-27,64.737,19443.2537,25.8765,11.2138
2014-03-28,64.897,19491.3087,25.9405,11.2415
2014-03-31,65.71,19735.5883,26.24,12.041
2014-04-01,66.363,19931.8129,26.5009,12.1608
2014-04-02,66.69,20029.9252,26.6313,12.2206
2014-04-03,66.833,20072.9745,26.6886,12.2469
2014-04-04,64.63,19411.2171,25.8087,11.8431
2014-04-07,63.44,19053.808,25.3335,11.6251
2014-04-08,63.967,19211.989,25.5438,11.7216
2014-04-09,64.88,19486.303,25.9086,11.889
2014-04-10,63.343,19024.7748,25.2949,11.6074
2014-04-11,62.843,18874.6029,25.0953,11.5157
2014-04-14,63.37,19032.7839,25.3056,11.6123
2014-04-15,63.853,19177.9501,25.4986,11.7008
2014-04-16,64.083,19247.0291,25.5904,11.743
2014-04-17,65.863,19781.641,26.3012,12.0691
2014-04-21,65.92,19798.6605,26.3239,12.0795
2014-04-22,67.577,20296.23,26.9854,12.3831
2014-04-23,67.317,20124.6968,26.8816,12.3355
2014-04-24,67.013,20034.0136,26.7605,12.2799
2014-04-25,66.91,20003.1215,26.7192,12.2609
2014-04-28,66.273,19812.7865,26.465,12.1443
2014-04-29,66.597,19909.4488,26.5941,12.2035
2014-04-30,66.613,19914.4314,26.6007,12.2066
2014-05-01,66.63,19919.414,26.6074,12.2096
2014-05-02,66.953,20016.0763,26.7365,12.2689
2014-05-05,66.553,19896.494,26.5768,12.1956
2014-05-06,66.143,19773.9222,26.413,12.1205
2014-05-07,66.417,19855.6368,26.5222,12.1705
2014-05-08,65.82,19677.2599,26.2839,12.0612
2014-05-09,66.6,19910.4453,26.5954,12.2041
2014-05-12,67.28,20113.7351,26.867,12.3287
2014-05-13,66.753,19956.2852,26.6566,12.2322
2014-05-14,66.307,19822.7516,26.4783,12.1504
2014-05-15,66.117,19765.9501,26.4024,12.1156
2014-05-16,66.613,19914.4314,26.6007,12.2066
2014-05-19,66.477,19873.5741,26.5462,12.1815
2014-05-20,66.773,19962.2643,26.6646,12.2359
2014-05-21,66.813,19974.2225,26.6806,12.2432
2014-05-22,66.813,19974.2225,26.6806,12.2432
2014-05-23,67.47,20170.5367,26.9428,12.3636
2014-05-27,67.34,20131.6725,26.8909,12.3397
2014-05-28,67.237,20100.7804,26.8496,12.3208
2014-05-29,67.79,20266.2025,27.0706,12.4222
2014-05-30,68.203,20389.7708,27.2357,12.4979
2014-06-02,67.857,20286.1329,27.0972,12.4344
2014-06-03,67.923,20306.0633,27.1239,12.4466
2014-06-04,67.957,20316.0284,27.1372,12.4527
2014-06-05,67.983,20324.0006,27.1478,12.4576
