Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,88.82,116971.9392,18.6819,2.9412
2014-01-03,88.35,116352.9704,18.583,2.9257
2014-01-06,88.02,115918.3752,18.5136,2.9147
2014-01-07,87.51,115246.7282,18.4064,2.8979
2014-01-08,86.98,114548.7421,18.2949,2.8803
2014-01-09,86.48,113890.2646,18.1897,2.8638
2014-01-10,88.17,116115.9185,18.5452,2.9197
2014-01-13,87.46,115180.8805,18.3958,2.8962
2014-01-14,88.87,117037.7869,18.6924,2.9429
2014-01-15,88.89,117064.126,18.6966,2.9436
2014-01-16,88.61,116695.3787,18.6377,2.9343
2014-01-17,90.21,118802.5066,18.9743,2.9873
2014-01-21,91.09,119961.4269,19.1593,3.0164
2014-01-22,91.21,120119.4615,19.1846,3.0204
2014-01-23,90.26,118868.3543,18.9848,2.9889
2014-01-24,88.15,116089.5794,18.541,2.9191
2014-01-27,87.91,115773.5102,18.4905,2.9111
2014-01-28,87.76,115575.9669,18.4589,2.9061
2014-01-29,87.3,114970.1677,18.3622,2.8909
2014-01-30,88.81,116958.7696,18.6798,2.9409
2014-01-31,87.57,114482.9163,18.419,2.8998
2014-02-03,86.23,112731.0937,18.1371,2.8555
2014-02-04,87.19,113986.1308,18.339,2.8873
2014-02-05,86.16,112639.5806,18.1224,2.8532
2014-02-06,88.51,115711.8068,18.6167,2.931
2014-02-07,89.5,117006.0638,18.8249,2.9638
2014-02-10,89.04,116404.6919,18.7282,2.9485
2014-02-11,90.37,118143.4412,19.0079,2.9926
2014-02-12,90.03,117698.9489,18.9364,2.9813
2014-02-13,90.26,117999.6349,18.9848,2.9889
2014-02-14,90.45,118248.0276,19.0247,2.9952
2014-02-18,90.63,118483.3471,19.0626,3.0012
2014-02-19,90.48,118287.2476,19.031,2.9962
2014-02-20,91.03,119006.2792,19.1467,3.0144
2014-02-21,90.07,117751.2421,18.9448,2.9826
2014-02-24,92.72,121215.6675,19.5022,3.0704
2014-02-25,92.56,121006.4946,19.4685,3.0651
2014-02-26,92.35,120731.9553,19.4244,3.0581
2014-02-27,92.57,120937.1793,19.4706,3.0654
2014-02-28,93.0,121498.9486,19.5611,3.0797
2014-03-03,91.26,119225.7425,19.1951,3.022
2014-03-04,92.49,120832.6641,19.4538,3.0628
2014-03-05,92.01,120205.5727,19.3529,3.0469
2014-03-06,92.75,121172.3385,19.5085,3.0714
2014-03-07,92.98,121472.8198,19.5569,3.079
2014-03-10,92.87,121329.1114,19.5337,3.0754
2014-03-11,91.95,120127.1863,19.3402,3.0449
2014-03-12,91.17,119108.1628,19.1762,3.0191
2014-03-13,90.27,117932.3666,18.9869,2.9893
2014-03-14,89.09,116390.767,18.7387,2.9502
2014-03-17,89.78,117292.2108,18.8838,2.973
2014-03-18,90.5,118232.8478,19.0353,2.9969
2014-03-19,90.36,118049.9462,19.0058,2.9922
2014-03-20,91.11,119029.7764,19.1636,3.0171
2014-03-21,92.67,121067.8233,19.4917,3.0687
2014-03-24,93.23,121799.4299,19.6095,3.0873
2014-03-25,95.56,124843.4358,20.0995,3.1644
2014-03-26,95.43,124673.5986,20.0722,3.1601
2014-03-27,96.49,126058.4253,20.2952,3.1952
2014-03-28,97.57,127469.3808,20.5223,3.231
2014-03-31,97.5,127377.93,19.5169,3.1733
2014-04-01,97.96,127978.8925,19.6089,3.1883
2014-04-02,97.69,127626.1537,19.5549,3.1795
2014-04-03,98.07,128122.601,19.631,3.1919
2014-04-04,98.03,128070.3434,19.623,3.1906
2014-04-07,97.6,127508.574,19.5369,3.1766
2014-04-08,98.44,128605.9839,19.705,3.2039
2014-04-09,99.02,129363.7193,19.8211,3.2228
2014-04-10,97.32,127142.7707,19.4808,3.1674
2014-04-11,97.1,126855.3539,19.4368,3.1603
2014-04-14,98.48,128658.2415,19.713,3.2052
2014-04-15,100.11,130787.7392,20.0393,3.2583
2014-04-16,100.94,131872.0847,20.2055,3.2853
2014-04-17,99.91,130526.4511,19.9993,3.2517
2014-04-21,101.8,132995.6233,20.3776,3.3133
2014-04-22,102.03,133296.1046,20.4236,3.3207
2014-04-23,102.21,133097.046,20.4597,3.3266
2014-04-24,101.8,132563.1473,20.3776,3.3133
2014-04-25,101.75,132498.0377,20.3676,3.3116
2014-04-28,101.29,131899.0294,20.2755,3.2967
2014-04-29,101.39,132029.2486,20.2955,3.2999
2014-04-30,101.55,132237.5993,20.3276,3.3051
2014-05-01,100.8,131260.9553,20.1774,3.2807
2014-05-02,101.03,131560.4594,20.2235,3.2882
2014-05-05,101.1,131651.6129,20.2375,3.2905
2014-05-06,101.0,131521.3937,20.2175,3.2872
2014-05-07,101.88,132667.3227,20.3936,3.3159
2014-05-08,100.28,130418.6815,20.0733,3.2638
2014-05-09,100.22,130340.6488,20.0613,3.2618
2014-05-12,100.29,130431.6869,20.0753,3.2641
2014-05-13,100.25,130379.6651,20.0673,3.2628
2014-05-14,100.74,131016.9323,20.1654,3.2788
2014-05-15,99.5,129404.2562,19.9172,3.2384
2014-05-16,99.59,129521.3052,19.9352,3.2413
2014-05-19,100.29,130431.6869,20.0753,3.2641
2014-05-20,100.39,130561.7415,20.0954,3.2674
2014-05-21,101.58,132109.3904,20.3336,3.3061
2014-05-22,101.6,132135.4013,20.3376,3.3067
2014-05-23,101.39,131862.2868,20.2955,3.2999
2014-05-27,102.16,132863.7066,20.4497,3.325
2014-05-28,101.87,132486.5485,20.3916,3.3155
2014-05-29,103.86,135074.6336,20.79,3.3803
2014-05-30,104.04,135308.7318,20.826,3.3862
2014-06-02,103.91,135139.6609,20.8,3.3819
2014-06-03,103.85,135061.6282,20.788,3.38
2014-06-04,103.72,134892.5573,20.7619,3.3757
2014-06-05,103.91,135139.6609,20.8,3.3819
2014-06-06,105.99,137844.7951,21.2163,3.4496
2014-06-09,106.72,138794.1931,21.3625,3.4734
2014-06-10,106.53,138547.0895,21.3244,3.4672
2014-06-11,106.54,138560.095,21.3264,3.4675
2014-06-12,106.33,138286.9805,21.2844,3.4607
2014-06-13,108.25,140784.0274,21.6687,3.5232
2014-06-16,107.05,139223.3731,21.4285,3.4841
2014-06-17,106.1,137987.8551,21.2383,3.4532
2014-06-18,107.08,139262.3894,21.4345,3.4851
2014-06-19,107.6,139938.673,21.5386,3.502
2014-06-20,108.83,141538.3437,21.7848,3.5421
2014-06-23,108.9,141629.3819,21.7988,3.5443
2014-06-24,106.98,139132.3349,21.4145,3.4819
2014-06-25,113.85,148067.081,22.7897,3.7054
2014-06-26,116.12,151019.3189,23.2441,3.7793
2014-06-27,117.8,153204.2349,23.5804,3.834
2014-06-30,117.95,153399.3167,22.6092,3.771
2014-07-01,117.85,153269.2622,22.59,3.7679
2014-07-02,117.73,153113.1968,22.567,3.764
2014-07-03,117.5,152814.0714,22.5229,3.7567
