Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,40.42,6238.5398,25.3623,2.2349
2014-01-03,40.62,6269.4084,25.4878,2.246
2014-01-06,40.25,6212.3015,25.2556,2.2255
2014-01-07,40.34,6226.1924,25.3121,2.2305
2014-01-08,40.78,6294.1033,25.5882,2.2548
2014-01-09,40.94,6318.7981,25.6886,2.2636
2014-01-10,41.13,6348.1233,25.8078,2.2742
2014-01-13,40.64,6272.4953,25.5004,2.2471
2014-01-14,41.04,6334.2324,25.7513,2.2692
2014-01-15,41.18,6355.8404,25.8392,2.2769
2014-01-16,40.95,6320.3416,25.6949,2.2642
2014-01-17,41.09,6341.9496,25.7827,2.2719
2014-01-21,41.57,6416.0342,26.0839,2.2985
2014-01-22,41.3,6374.3616,25.9145,2.2836
2014-01-23,40.96,6321.885,25.7012,2.2648
2014-01-24,40.11,6190.6935,25.1678,2.2178
2014-01-27,39.5,6096.5444,24.785,2.184
2014-01-28,39.87,6153.6512,25.0172,2.2045
2014-01-29,39.99,6172.1724,25.0925,2.2111
2014-01-30,40.52,6253.9741,25.4251,2.2404
2014-01-31,39.86,6152.1078,26.0989,2.175
2014-02-03,38.4,5926.7672,25.143,2.0954
2014-02-04,39.11,6036.3506,25.6079,2.1341
2014-02-05,38.98,6016.2861,25.5227,2.127
2014-02-06,39.1,6034.8072,25.6013,2.1336
2014-02-07,39.77,6138.217,26.04,2.1701
2014-02-10,39.95,6165.9987,26.1579,2.1799
2014-02-11,40.59,6264.7781,26.5769,2.2149
2014-02-12,40.61,6267.865,26.59,2.2159
2014-02-13,41.1,6343.493,26.9109,2.2427
2014-02-14,40.98,6324.9719,26.8323,2.2361
2014-02-18,40.84,6291.523,26.7406,2.2285
2014-02-19,40.76,6279.1988,26.6882,2.2241
2014-02-20,39.85,6139.0106,26.0924,2.1745
2014-02-21,40.4,6223.7397,26.4525,2.2045
2014-02-24,40.27,6203.7128,26.3674,2.1974
2014-02-25,39.97,6157.4969,26.171,2.181
2014-02-26,39.95,6155.6405,26.1579,2.1799
2014-02-27,40.0,6163.3447,26.1906,2.1827
2014-02-28,40.4,6224.9782,26.4525,2.2045
2014-03-03,39.84,6138.6913,26.0858,2.1739
2014-03-04,40.58,6252.7132,26.5704,2.2143
2014-03-05,40.47,6235.764,26.4983,2.2083
2014-03-06,40.48,6237.3049,26.5049,2.2089
2014-03-07,40.4,6224.9782,26.4525,2.2045
2014-03-10,40.46,6234.2232,26.4918,2.2078
2014-03-11,39.99,6161.8039,26.1841,2.1821
2014-03-12,39.9,6147.9364,26.1251,2.1772
2014-03-13,39.6,6101.7113,25.9287,2.1608
2014-03-14,39.49,6084.7621,25.8567,2.1548
2014-03-17,39.75,6124.8238,26.0269,2.169
2014-03-18,40.37,6220.3557,26.4329,2.2029
2014-03-19,40.42,6228.0598,26.4656,2.2056
2014-03-20,40.57,6251.1724,26.5638,2.2138
2014-03-21,40.11,6180.2939,26.2626,2.1887
2014-03-24,39.38,6067.8129,25.7847,2.1488
2014-03-25,38.99,6007.7203,25.5293,2.1275
2014-03-26,37.95,5847.4733,24.8483,2.0708
2014-03-27,38.35,5909.1068,25.1102,2.0926
2014-03-28,38.18,5882.9125,24.9989,2.0833
2014-03-31,38.41,5918.3518,25.1495,2.0959
2014-04-01,38.6,5947.6277,25.2739,2.1063
2014-04-02,38.7,5963.036,25.3394,2.1117
2014-04-03,38.64,5953.791,25.3001,2.1085
2014-04-04,37.95,5847.4733,24.8483,2.0708
2014-04-07,37.54,5784.299,24.5799,2.0484
2014-04-08,37.56,5787.3807,24.593,2.0495
2014-04-09,37.94,5845.9325,24.8418,2.0703
2014-04-10,36.99,5699.553,24.2198,2.0184
2014-04-11,36.38,5605.562,23.8204,1.9851
2014-04-14,36.57,5634.8379,23.9448,1.9955
2014-04-15,36.63,5644.0829,23.984,1.9988
2014-04-16,37.08,5713.4206,24.2787,2.0233
2014-04-17,37.52,5781.2174,24.5668,2.0473
2014-04-21,37.58,5790.4624,24.6061,2.0506
2014-04-22,38.04,5861.3408,24.9073,2.0757
2014-04-23,37.88,5836.6875,24.8025,2.067
2014-04-24,37.87,5835.1466,24.796,2.0664
2014-04-25,37.31,5748.8598,24.4293,2.0359
2014-04-28,36.76,5664.1138,24.0692,2.0059
2014-04-29,36.99,5699.553,24.2198,2.0184
2014-04-30,37.62,5796.6257,25.4575,1.9938
2014-05-01,37.59,5792.0032,25.4372,1.9922
2014-05-02,37.58,5790.4624,25.4304,1.9917
2014-05-05,37.45,5770.4315,25.3425,1.9848
2014-05-06,36.84,5676.4405,24.9297,1.9524
2014-05-07,37.31,5748.8598,25.2477,1.9773
2014-05-08,37.25,5739.6148,25.2071,1.9742
2014-05-09,37.6,5793.544,25.444,1.9927
2014-05-12,38.28,5898.3209,25.9041,2.0288
2014-05-13,38.14,5876.7492,25.8094,2.0213
2014-05-14,38.04,5861.3408,25.7417,2.016
2014-05-15,37.88,5836.6875,25.6335,2.0076
