Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,143.0,47198.5896,36.8558,7.6472
2014-01-03,144.749,47775.8095,37.3065,7.7408
2014-01-06,145.727,48098.5561,37.5585,7.793
2014-01-07,145.624,48064.4195,37.5319,7.7875
2014-01-08,145.125,47899.9428,37.4034,7.7609
2014-01-09,144.984,47853.3928,37.3671,7.7533
2014-01-10,146.395,48318.8928,37.7306,7.8287
2014-01-13,145.896,48154.4161,37.6021,7.8021
2014-01-14,146.902,48486.4727,37.8614,7.8559
2014-01-15,147.786,48778.186,38.0892,7.9032
2014-01-16,147.993,48846.4594,38.1425,7.9142
2014-01-17,147.344,48632.3294,37.9753,7.8795
2014-01-21,148.473,49004.7293,38.2661,7.9399
2014-01-22,148.049,48865.0793,38.1571,7.9172
2014-01-23,146.799,48452.3361,37.8348,7.8504
2014-01-24,144.035,47539.9562,37.1223,7.7025
2014-01-27,142.85,47148.9363,36.817,7.6392
2014-01-28,142.963,47186.1763,36.8461,7.6452
2014-01-29,141.618,46742.3997,36.4995,7.5733
2014-01-30,143.809,47465.4762,37.0642,7.6905
2014-01-31,145.586,48052.0061,37.5222,7.7855
2014-02-03,142.145,46916.1863,36.6352,7.6015
2014-02-04,144.241,47608.2295,37.1756,7.7136
2014-02-05,144.73,47769.6028,37.3016,7.7398
2014-02-06,146.037,48200.9661,37.6385,7.8096
2014-02-07,147.589,48713.016,38.0383,7.8926
2014-02-10,148.877,49138.1726,38.3703,7.9615
2014-02-11,149.685,49405.0593,38.5787,8.0047
2014-02-12,148.501,49014.0393,38.2734,7.9414
2014-02-13,149.244,49259.2026,38.4648,7.9811
2014-02-14,150.616,49712.2892,38.8186,8.0545
2014-02-18,150.691,49737.1159,38.838,8.0585
2014-02-19,150.607,49709.1859,38.8162,8.054
2014-02-20,150.362,50256.3395,38.7532,8.0409
2014-02-21,150.024,50143.2061,38.666,8.0228
2014-02-24,150.353,50253.1969,38.7508,8.0404
2014-02-25,149.836,50080.3543,38.6175,8.0128
2014-02-26,151.434,50614.595,39.0294,8.0983
2014-02-27,150.795,50400.8987,38.8647,8.0641
2014-02-28,151.651,50686.8746,39.0852,8.1098
2014-03-03,152.262,50891.1431,39.2427,8.1425
2014-03-04,154.537,51651.6505,39.8291,8.2642
2014-03-05,154.302,51573.0857,39.7685,8.2516
2014-03-06,153.794,51403.3857,39.6377,8.2245
2014-03-07,152.045,50818.8635,39.187,8.1309
2014-03-10,151.284,50564.3135,38.9907,8.0902
2014-03-11,152.393,50935.1394,39.2766,8.1495
2014-03-12,152.572,50994.8487,39.3227,8.1591
2014-03-13,152.074,50828.2913,39.1942,8.1324
2014-03-14,151.444,50617.7376,39.0319,8.0988
2014-03-17,152.995,51136.2654,39.4317,8.1817
2014-03-18,153.7,51371.9598,39.6135,8.2194
2014-03-19,150.099,50168.3469,38.6853,8.0269
2014-03-20,150.748,50385.1857,38.8525,8.0615
2014-03-21,151.641,50683.732,39.0828,8.1093
2014-03-24,150.748,50385.1857,38.8525,8.0615
2014-03-25,152.233,50881.7154,39.2354,8.141
2014-03-26,149.977,50127.4932,38.6538,8.0203
2014-03-27,151.735,50715.158,39.107,8.1143
2014-03-28,154.067,51494.5209,39.708,8.239
2014-03-31,154.199,51538.5172,38.939,8.2104
2014-04-01,155.064,51827.6357,39.1575,8.2565
2014-04-02,154.64,51686.219,39.0506,8.2339
2014-04-03,154.565,51661.0783,39.0316,8.2299
2014-04-04,155.505,51975.3376,39.2691,8.28
2014-04-07,157.094,52506.4357,39.6703,8.3646
2014-04-08,157.311,52578.7153,39.7249,8.3761
2014-04-09,157.424,52616.4264,39.7534,8.3821
2014-04-10,157.076,52500.1505,39.6656,8.3636
2014-04-11,156.436,52286.4542,39.5041,8.3295
2014-04-14,158.035,52820.6949,39.9078,8.4147
2014-04-15,159.793,53408.3597,40.3518,8.5083
2014-04-16,161.335,53923.7449,40.7411,8.5904
2014-04-17,159.708,53380.0764,40.3304,8.5038
2014-04-21,160.442,53625.1986,40.5156,8.5428
2014-04-22,160.442,53625.1986,40.5156,8.5428
2014-04-23,160.555,53662.9097,40.5441,8.5488
2014-04-24,160.902,53779.1857,40.6319,8.5673
2014-04-25,160.366,52987.2849,40.4966,8.5388
2014-04-28,161.1,53229.6048,40.6818,8.5779
2014-04-29,161.927,53502.9913,40.8907,8.6219
2014-04-30,162.849,53807.4445,41.1234,8.671
2014-05-01,163.272,53947.2445,41.2303,8.6935
2014-05-02,162.726,53767.0579,41.0925,8.6645
2014-05-05,163.648,54071.5111,41.3252,8.7135
2014-05-06,163.037,53869.5778,41.1709,8.681
2014-05-07,165.227,54592.0258,41.7241,8.7976
2014-05-08,165.528,54691.4365,41.8001,8.8137
2014-05-09,165.152,54567.1731,41.7051,8.7936
2014-05-12,165.528,54691.4365,41.8001,8.8137
2014-05-13,164.156,54237.8751,41.4534,8.7406
2014-05-14,163.855,54138.4643,41.3775,8.7245
2014-05-15,164.428,54327.966,41.5223,8.7551
2014-05-16,165.604,54716.2892,41.8191,8.8177
2014-05-19,165.021,54523.6809,41.6719,8.7866
2014-05-20,164.851,54467.7624,41.6291,8.7776
2014-05-21,163.977,54178.8499,41.4083,8.7311
2014-05-22,163.62,54060.7997,41.3181,8.712
2014-05-23,164.786,54446.0163,41.6125,8.7741
2014-05-27,165.998,54846.7658,41.9188,8.8387
2014-05-28,165.425,54657.2641,41.774,8.8081
2014-05-29,165.29,51348.7506,41.7399,8.801
2014-05-30,166.46,51712.2211,42.0354,8.8633
2014-06-02,166.8,51817.845,42.1212,8.8814
2014-06-03,165.87,51528.9326,41.8864,8.8318
2014-06-04,166.77,51808.5253,42.1136,8.8798
2014-06-05,169.84,52762.247,42.8889,9.0432
2014-06-06,169.68,52712.5416,42.8485,9.0347
2014-06-09,167.0,51879.9767,42.1717,8.892
2014-06-10,165.68,51469.9074,41.8384,8.8217
2014-06-11,164.69,51162.3555,41.5884,8.769
2014-06-12,163.89,50913.8286,41.3864,8.7264
2014-06-13,164.14,50991.4933,41.4495,8.7397
2014-06-16,163.51,50795.7784,41.2904,8.7062
2014-06-17,164.79,51193.4213,41.6136,8.7743
2014-06-18,166.5,51724.6474,42.0455,8.8654
2014-06-19,167.27,51963.8545,42.2399,8.9064
2014-06-20,167.43,52013.5599,42.2803,8.9149
2014-06-23,166.66,51774.3528,42.0859,8.8739
2014-06-24,166.37,51684.2618,42.0126,8.8585
2014-06-25,166.04,51581.7445,41.9293,8.8409
2014-06-26,165.79,51504.0799,41.8662,8.8276
