Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,47.19,2778.2004,22.3375,2.7584
2014-01-03,47.31,2785.2651,22.3943,2.7654
2014-01-06,47.45,2793.5072,22.4605,2.7736
2014-01-07,48.31,2844.1377,22.8676,2.8239
2014-01-08,48.72,2868.2755,23.0617,2.8479
2014-01-09,49.34,2904.7766,23.3552,2.8841
2014-01-10,48.92,2880.05,23.1564,2.8596
2014-01-13,48.92,2880.05,23.1564,2.8596
2014-01-14,49.47,2912.43,23.4167,2.8917
2014-01-15,49.53,2915.9624,23.4451,2.8952
2014-01-16,49.66,2923.6158,23.5066,2.9028
2014-01-17,49.4,2908.3089,23.3836,2.8876
2014-01-21,49.6,2920.0834,23.4782,2.8993
2014-01-22,49.76,2929.5031,23.554,2.9087
2014-01-23,49.26,2900.0667,23.3173,2.8794
2014-01-24,48.17,2835.8956,22.8013,2.8157
2014-01-27,46.87,2759.3611,22.186,2.7397
2014-01-28,46.95,2764.0709,22.2239,2.7444
2014-01-29,46.51,2738.167,22.0156,2.7187
2014-01-30,46.66,2746.9979,22.0866,2.7275
2014-01-31,45.89,2701.6659,21.7221,2.6824
2014-02-03,43.99,2589.8079,20.8227,2.5714
2014-02-04,43.67,2570.9686,20.6713,2.5527
2014-02-05,43.63,2568.6137,20.6523,2.5503
2014-02-06,43.9,2584.5093,20.7801,2.5661
2014-02-07,43.58,2568.1767,20.6287,2.5474
2014-02-10,44.07,2597.0525,20.8606,2.5761
2014-02-11,44.85,2643.018,21.2298,2.6217
2014-02-12,44.69,2633.5892,21.1541,2.6123
2014-02-13,45.31,2670.1259,21.4476,2.6485
2014-02-14,45.25,2666.5901,21.4192,2.645
2014-02-18,45.47,2679.5547,21.5233,2.6579
2014-02-19,44.56,2625.9283,21.0925,2.6047
2014-02-20,45.33,2671.3045,21.457,2.6497
2014-02-21,45.2,2663.6436,21.3955,2.6421
2014-02-24,45.19,2663.0543,21.3908,2.6415
2014-02-25,45.35,2672.4831,21.4665,2.6509
2014-02-26,46.21,2723.1631,21.8736,2.7011
2014-02-27,46.3,2728.4668,21.9162,2.7064
2014-02-28,46.15,2719.6273,21.8452,2.6976
2014-03-03,46.19,2721.9845,21.8641,2.7
2014-03-04,47.43,2795.0579,22.4511,2.7725
2014-03-05,46.99,2769.1286,22.2428,2.7467
2014-03-06,47.5,2799.183,22.4842,2.7766
2014-03-07,47.38,2792.1114,22.4274,2.7695
2014-03-10,47.4,2793.29,22.4369,2.7707
2014-03-11,46.67,2750.2709,22.0913,2.728
2014-03-12,46.58,2744.9672,22.0487,2.7228
2014-03-13,46.26,2726.1096,21.8972,2.7041
2014-03-14,46.0,2710.7877,21.7742,2.6889
2014-03-17,46.53,2742.0207,22.025,2.7199
2014-03-18,47.23,2783.2718,22.3564,2.7608
2014-03-19,47.03,2771.4858,22.2617,2.7491
2014-03-20,47.57,2803.3081,22.5173,2.7806
2014-03-21,47.76,2814.5048,22.6073,2.7918
2014-03-24,47.64,2807.4332,22.5505,2.7847
2014-03-25,47.77,2815.0941,22.612,2.7923
2014-03-26,47.49,2798.5937,22.4795,2.776
2014-03-27,47.57,2803.3081,22.5173,2.7806
2014-03-28,47.39,2792.7007,22.4321,2.7701
2014-03-31,47.75,2813.9155,20.2864,2.7108
2014-04-01,48.81,2876.3815,20.7368,2.771
2014-04-02,51.2,3017.2246,21.7522,2.9067
2014-04-03,51.31,3023.7069,21.7989,2.9129
2014-04-04,50.43,2971.8484,21.425,2.8629
2014-04-07,49.98,2945.3298,21.2338,2.8374
2014-04-08,49.94,2942.9726,21.2168,2.8351
2014-04-09,50.53,2977.7414,21.4675,2.8686
2014-04-10,49.37,2909.3824,20.9747,2.8028
2014-04-11,48.85,2878.7387,20.7538,2.7732
2014-04-14,49.57,2921.1684,21.0597,2.8141
2014-04-15,49.84,2937.0796,21.1744,2.8295
2014-04-16,49.55,2919.9898,21.0512,2.813
2014-04-17,49.48,2915.8647,21.0214,2.809
2014-04-21,49.8,2934.7224,21.1574,2.8272
2014-04-22,50.06,2950.0442,21.2678,2.8419
2014-04-23,49.83,2936.4903,21.1701,2.8289
2014-04-24,49.85,2937.6689,21.1786,2.83
2014-04-25,48.97,2885.8103,20.8047,2.7801
2014-04-28,48.93,2883.4531,20.7878,2.7778
2014-04-29,48.5,2858.1132,20.6051,2.7534
2014-04-30,48.05,2831.5946,20.4139,2.7278
2014-05-01,48.1,2834.5411,20.4351,2.7307
2014-05-02,48.27,2844.5592,20.5074,2.7403
2014-05-05,48.3,2846.3271,20.5201,2.742
2014-05-06,48.0,2828.6481,20.3926,2.725
2014-05-07,47.64,2807.4332,20.2397,2.7046
2014-05-08,51.73,3048.4576,21.9773,2.9367
2014-05-09,53.78,3169.2644,22.8483,3.0531
2014-05-12,55.01,3241.7486,23.3708,3.123
2014-05-13,53.87,3174.5682,22.8865,3.0582
2014-05-14,53.05,3126.2454,22.5381,3.0117
2014-05-15,52.58,3098.5482,22.3384,2.985
2014-05-16,53.04,3125.6561,22.5339,3.0111
2014-05-19,53.22,3136.2635,22.6103,3.0213
2014-05-20,52.66,3103.2627,22.3724,2.9895
2014-05-21,53.05,3126.2454,22.5381,3.0117
2014-05-22,53.24,3137.4422,22.6188,3.0225
2014-05-23,53.38,3145.6924,22.6783,3.0304
2014-05-27,53.9,3176.3361,22.8992,3.0599
2014-05-28,53.75,3167.4965,22.8355,3.0514
2014-05-29,53.65,3170.0504,22.793,3.0457
2014-05-30,53.52,3162.369,22.7378,3.0384
2014-06-02,52.64,3110.3719,22.3639,2.9884
2014-06-03,52.16,3082.0098,22.16,2.9612
2014-06-04,52.53,3103.8723,22.3172,2.9822
2014-06-05,52.88,3124.5529,22.4659,3.002
2014-06-06,52.91,3126.3256,22.4786,3.0037
2014-06-09,53.24,3145.8245,22.6188,3.0225
2014-06-10,52.97,3129.8708,22.5041,3.0071
