Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,19.2,4262.0968,23.1074,1.6798
2014-01-03,19.16,4253.2174,23.0592,1.6763
2014-01-06,18.87,4188.842,22.7102,1.651
2014-01-07,18.985,4214.3702,22.8486,1.661
2014-01-08,19.22,4266.5365,23.1315,1.6816
2014-01-09,19.11,4242.1182,22.9991,1.6719
2014-01-10,19.1,4239.8984,22.987,1.6711
2014-01-13,18.55,4117.807,22.3251,1.623
2014-01-14,18.55,4117.807,22.3251,1.623
2014-01-15,18.58,4124.4666,22.3612,1.6256
2014-01-16,18.65,4140.0055,22.4455,1.6317
2014-01-17,18.39,4082.2896,22.1325,1.609
2014-01-21,17.97,3989.0562,21.6271,1.5722
2014-01-22,17.9,3973.5173,21.5428,1.5661
2014-01-23,17.57,3900.2625,21.1457,1.5372
2014-01-24,16.96,3764.8522,20.4115,1.4838
2014-01-27,16.48,3658.2997,19.8338,1.4418
2014-01-28,16.85,3740.4339,20.2791,1.4742
2014-01-29,16.6,3684.9378,19.9783,1.4523
2014-01-30,16.71,3709.3561,20.1107,1.462
2014-01-31,16.5,3662.7394,19.8579,1.4436
2014-02-03,15.83,3514.01,19.0516,1.385
2014-02-04,15.96,3542.8679,19.208,1.3964
2014-02-05,16.11,3576.1656,19.3885,1.4095
2014-02-06,16.2,3596.1442,19.4969,1.4174
2014-02-07,16.33,3625.0021,19.6533,1.4287
2014-02-10,16.31,3620.5624,19.6292,1.427
2014-02-11,17.11,3798.1498,20.5921,1.497
2014-02-12,17.4,3862.5252,20.9411,1.5223
2014-02-13,17.67,3922.4609,21.266,1.546
2014-02-14,17.87,3966.8578,21.5067,1.5635
2014-02-18,18.01,3997.9356,21.6752,1.5757
2014-02-19,18.0,3995.7157,21.6632,1.5748
2014-02-20,18.0,3995.7157,21.6632,1.5748
2014-02-21,17.66,3920.2411,21.254,1.5451
2014-02-24,17.07,3789.2704,20.5439,1.4935
2014-02-25,16.93,3758.1926,20.3754,1.4812
2014-02-26,17.18,3813.6887,20.6763,1.5031
2014-02-27,17.41,3864.745,20.9531,1.5232
2014-02-28,17.44,3871.4046,20.9892,1.5258
2014-03-03,17.21,3837.9138,20.7124,1.5057
2014-03-04,17.24,3844.6039,20.7485,1.5083
2014-03-05,17.51,3904.8152,21.0735,1.532
2014-03-06,17.67,3940.496,21.266,1.546
2014-03-07,17.71,3949.4162,21.3142,1.5495
2014-03-10,17.14,3822.3034,20.6282,1.4996
2014-03-11,17.2,3835.6837,20.7004,1.5048
2014-03-12,16.91,3771.0123,20.3514,1.4795
2014-03-13,16.53,3686.2705,19.894,1.4462
2014-03-14,16.52,3684.0404,19.882,1.4453
2014-03-17,16.68,3719.7212,20.0745,1.4593
2014-03-18,16.93,3775.4724,20.3754,1.4812
2014-03-19,17.13,3820.0734,20.6161,1.4987
2014-03-20,17.08,3808.9231,20.5559,1.4943
2014-03-21,17.68,3942.7261,21.2781,1.5468
2014-03-24,17.9,3991.7871,21.5428,1.5661
2014-03-25,18.11,4038.6182,21.7956,1.5845
2014-03-26,17.8,3969.4866,21.4225,1.5573
2014-03-27,17.55,3915.8595,21.1216,1.5355
2014-03-28,17.44,3891.3157,20.9892,1.5258
2014-03-31,17.79,3969.4098,22.4933,1.5456
2014-04-01,17.835,3979.4504,22.5502,1.5495
2014-04-02,18.06,4029.6538,22.8347,1.569
2014-04-03,18.62,4154.6043,23.5427,1.6177
2014-04-04,18.32,4087.6665,23.1634,1.5916
2014-04-07,18.36,4096.5915,23.214,1.5951
2014-04-08,18.55,4138.9854,23.4542,1.6116
2014-04-09,18.795,4193.6513,23.764,1.6329
2014-04-10,18.43,4112.2103,23.3025,1.6012
2014-04-11,18.4,4105.5166,23.2645,1.5986
2014-04-14,18.83,4201.4607,23.8082,1.6359
2014-04-15,18.86,4208.1545,23.8462,1.6385
2014-04-16,18.9,4217.0795,23.8967,1.642
2014-04-17,18.0,4016.2662,22.7588,1.5638
2014-04-21,18.23,4067.5852,23.0496,1.5838
2014-04-22,18.19,4058.6601,22.999,1.5803
2014-04-23,18.55,4138.9854,23.4542,1.6116
2014-04-24,18.65,4161.298,23.5806,1.6203
2014-04-25,18.38,4101.054,23.2393,1.5968
2014-04-28,18.08,4034.1163,22.8599,1.5708
2014-04-29,18.17,4054.1976,22.9737,1.5786
2014-04-30,18.27,4076.5102,23.1002,1.5873
2014-05-01,18.48,4123.3666,23.3657,1.6055
2014-05-02,18.48,4123.3666,23.3657,1.6055
2014-05-05,17.9,3993.9536,22.6324,1.5551
2014-05-06,17.86,3985.0286,22.5818,1.5517
2014-05-07,17.99,4014.0349,22.7462,1.5629
2014-05-08,17.94,4007.3552,22.6829,1.5586
2014-05-09,17.61,3933.6413,22.2657,1.5299
2014-05-12,18.25,4076.6015,23.0749,1.5855
2014-05-13,18.07,4036.394,22.8473,1.5699
2014-05-14,18.14,4052.0303,22.9358,1.576
2014-05-15,18.08,4038.6277,22.8599,1.5708
2014-05-16,18.21,4067.6665,23.0243,1.5821
2014-05-19,18.12,4047.5627,22.9105,1.5742
2014-05-20,17.65,3942.5763,22.3163,1.5334
2014-05-21,17.66,3944.81,22.3289,1.5343
2014-05-22,17.48,3904.6025,22.1013,1.5186
2014-05-23,17.77,3969.3813,22.468,1.5438
2014-05-27,17.87,3991.7189,22.5944,1.5525
2014-05-28,17.47,3902.3687,22.0887,1.5178
2014-05-29,17.55,3920.2387,22.1898,1.5247
2014-05-30,17.27,3857.6936,21.8358,1.5004
2014-06-02,17.18,3837.5898,21.722,1.4926
2014-06-03,17.18,3837.5898,21.722,1.4926
2014-06-04,17.24,3850.9924,21.7979,1.4978
2014-06-05,17.5,3909.07,22.1266,1.5204
2014-06-06,17.68,3949.2776,22.3542,1.536
2014-06-09,17.39,3884.4987,21.9875,1.5108
2014-06-10,17.38,3882.2649,21.9749,1.5099
2014-06-11,17.57,3924.7063,22.2151,1.5265
2014-06-12,17.27,3857.6936,21.8358,1.5004
2014-06-13,17.52,3913.5375,22.1519,1.5221
2014-06-16,17.38,3882.2649,21.9749,1.5099
2014-06-17,17.9,3998.4201,22.6324,1.5551
2014-06-18,18.17,4058.7315,22.9737,1.5786
2014-06-19,18.08,4038.6277,22.8599,1.5708
2014-06-20,18.04,4029.6927,22.8094,1.5673
2014-06-23,17.8,3976.0826,22.5059,1.5464
2014-06-24,17.6,3931.4075,22.253,1.5291
2014-06-25,17.795,3974.9657,22.4996,1.546
2014-06-26,17.78,3971.6151,22.4806,1.5447
2014-06-27,17.77,3969.3813,22.468,1.5438
2014-06-30,17.95,4009.5889,18.5052,1.4842
2014-07-01,17.86,3989.4851,18.4124,1.4768
2014-07-02,18.125,4048.6796,18.6856,1.4987
2014-07-03,18.31,4090.0041,18.8763,1.514
2014-07-07,18.16,4056.4978,18.7216,1.5016
2014-07-08,18.19,4063.199,18.7526,1.5041
2014-07-09,18.26,4078.8353,18.8247,1.5099
2014-07-10,17.98,4016.2902,18.5361,1.4867
2014-07-11,18.2,4065.4328,18.7629,1.5049
2014-07-14,17.91,4000.6539,18.4639,1.4809
2014-07-15,18.18,4060.9653,18.7423,1.5033
2014-07-16,18.55,4143.6142,19.1237,1.5339
2014-07-17,18.35,4098.9391,18.9175,1.5173
2014-07-18,18.58,4150.3154,19.1546,1.5363
2014-07-21,20.75,4635.0401,21.3918,1.7158
2014-07-22,21.69,4845.013,22.3608,1.7935
2014-07-23,21.79,4867.3506,22.4639,1.8018
2014-07-24,21.74,4856.1818,22.4124,1.7976
2014-07-25,21.66,4838.3118,22.3299,1.791
2014-07-28,21.67,4840.5455,22.3402,1.7918
2014-07-29,21.44,4789.1692,22.1031,1.7728
2014-07-30,21.48,4798.1042,22.1443,1.7761
2014-07-31,21.21,4737.7928,21.866,1.7538
2014-08-01,20.92,4673.0139,21.567,1.7298
2014-08-04,21.65,4836.078,22.3196,1.7902
2014-08-05,21.44,4789.1692,22.1031,1.7728
2014-08-06,21.51,4804.8054,22.1753,1.7786
2014-08-07,21.36,4771.2991,22.0206,1.7662
2014-08-08,21.82,4874.0518,22.4948,1.8042
2014-08-11,21.6,5184.8648,22.268,1.7861
2014-08-12,21.705,5210.069,22.3763,1.7947
2014-08-13,22.135,5313.2863,22.8196,1.8303
2014-08-14,22.17,5321.6877,22.8557,1.8332
2014-08-15,22.11,5307.2853,22.7938,1.8282
2014-08-18,22.91,5499.3173,23.6186,1.8944
2014-08-19,23.21,5571.3293,23.9278,1.9192
2014-08-20,23.16,5559.3273,23.8763,1.9151
2014-08-21,23.13,5552.1261,23.8454,1.9126
2014-08-22,23.3,5592.9329,24.0206,1.9266
2014-08-25,23.28,5588.1321,24.0,1.925
2014-08-26,23.61,5667.3453,24.3402,1.9523
2014-08-27,23.49,5638.5405,24.2165,1.9423
2014-08-28,23.14,5554.5265,23.8557,1.9134
2014-08-29,23.24,5578.5305,23.9588,1.9217
2014-09-02,23.21,5571.3293,23.9278,1.9192
2014-09-03,23.9,5736.9569,24.6392,1.9762
2014-09-04,24.2,5808.9689,24.9485,2.001
2014-09-05,24.24,5818.5705,24.9897,2.0044
2014-09-08,23.72,5693.7497,24.4536,1.9614
2014-09-09,23.635,5673.3463,24.366,1.9543
2014-09-10,23.55,5652.9429,24.2784,1.9473
2014-09-11,23.985,5757.3603,24.7268,1.9833
2014-09-12,23.755,5702.1511,24.4897,1.9642
2014-09-15,23.67,5681.7477,24.4021,1.9572
2014-09-16,23.94,5746.5585,24.6804,1.9795
2014-09-17,24.85,5964.995,25.6186,2.0548
2014-09-18,24.95,5988.999,25.7216,2.0631
2014-09-19,24.365,5848.5756,25.1186,2.0147
2014-09-22,23.96,5751.3593,24.701,1.9812
2014-09-23,23.89,5734.5565,24.6289,1.9754
2014-09-24,23.34,5602.5345,24.0619,1.9299
2014-09-25,23.2,5568.9289,23.9175,1.9184
2014-09-26,23.03,5528.1221,23.7423,1.9043
2014-09-29,22.78,5468.1121,23.4845,1.8836
2014-09-30,22.61,5427.3053,19.0,1.8249
2014-10-01,22.085,5301.2843,18.5588,1.7825
2014-10-02,22.12,5309.6857,18.5882,1.7853
2014-10-03,21.63,5192.066,18.1765,1.7458
2014-10-06,21.6,5184.8648,18.1513,1.7434
2014-10-07,21.115,5068.4454,17.7437,1.7042
2014-10-08,21.57,5177.6636,18.1261,1.7409
2014-10-09,20.77,4985.6316,17.4538,1.6764
2014-10-10,19.95,4788.7988,16.7647,1.6102
2014-10-13,19.59,4702.3844,16.4622,1.5811
2014-10-14,20.01,4803.2012,16.8151,1.615
2014-10-15,20.29,4870.4124,17.0504,1.6376
2014-10-16,20.94,5026.4384,17.5966,1.6901
2014-10-17,21.06,5055.2432,17.6975,1.6998
2014-10-20,21.1,5064.8448,17.7311,1.703
2014-10-21,21.9,5256.8769,18.4034,1.7676
2014-10-22,22.26,5343.2913,18.7059,1.7966
2014-10-23,22.15,5316.8869,18.6134,1.7878
2014-10-24,22.31,5355.2933,18.7479,1.8007
2014-10-27,21.89,5254.4765,18.395,1.7668
2014-10-28,22.585,5421.3043,18.979,1.8229
2014-10-29,22.62,5429.7057,19.0084,1.8257
2014-10-30,22.56,5415.3033,18.958,1.8208
2014-10-31,23.01,5523.3213,19.3361,1.8572
2014-11-03,22.66,5439.3073,19.042,1.8289
2014-11-04,22.23,5336.0901,18.6807,1.7942
2014-11-05,22.155,5318.0871,18.6176,1.7882
2014-11-06,22.145,5315.6867,18.6092,1.7874
2014-11-07,22.48,5396.1001,18.8908,1.8144
2014-11-10,22.395,5384.1126,18.8193,1.8075
2014-11-11,22.17,5330.019,18.6303,1.7894
2014-11-12,22.41,5387.7188,18.8319,1.8087
2014-11-13,22.345,5372.0918,18.7773,1.8035
2014-11-14,22.735,5465.854,19.105,1.835
2014-11-17,22.64,5443.0144,19.0252,1.8273
2014-11-18,22.815,5485.0872,19.1723,1.8414
2014-11-19,22.13,5320.4024,18.5966,1.7861
2014-11-20,22.62,5438.2061,19.0084,1.8257
2014-11-21,22.97,5522.3517,19.3025,1.8539
2014-11-24,22.95,5517.5434,19.2857,1.8523
2014-11-25,23.47,5642.5596,19.7227,1.8943
2014-11-26,23.38,5620.9222,19.6471,1.887
2014-11-28,22.54,5418.9729,18.9412,1.8192
2014-12-01,22.01,5291.5525,18.4958,1.7765
2014-12-02,21.9,5265.1067,18.4034,1.7676
2014-12-03,22.86,5495.9059,19.2101,1.8451
2014-12-04,22.69,5455.0352,19.0672,1.8313
2014-12-05,22.68,5452.6311,19.0588,1.8305
2014-12-08,22.2,5337.2315,18.6555,1.7918
2014-12-09,22.51,5411.7604,18.916,1.8168
2014-12-10,21.685,5213.4173,18.2227,1.7502
2014-12-11,21.31,5123.2614,17.9076,1.72
2014-12-12,20.37,4897.2705,17.1176,1.6441
2014-12-15,19.76,4750.6169,16.605,1.5949
2014-12-16,19.48,4683.3004,16.3697,1.5723
2014-12-17,20.075,4826.3478,16.8697,1.6203
2014-12-18,19.54,4697.7254,16.4202,1.5771
2014-12-19,19.76,4750.6169,16.605,1.5949
2014-12-22,19.16,4606.3674,16.1008,1.5464
2014-12-23,19.34,4649.6422,16.2521,1.561
2014-12-24,19.395,4662.8651,16.2983,1.5654
2014-12-26,19.38,4659.2588,16.2857,1.5642
2014-12-29,19.6,4712.1503,16.4706,1.5819
2014-12-30,20.085,4828.752,16.8782,1.6211
2014-12-31,19.74,4745.8085,13.5214,1.6362
2015-01-02,19.9,4784.2751,13.631,1.6494
2015-01-05,18.7,4495.7761,12.809,1.55
2015-01-06,18.16,4365.9515,12.4391,1.5052
2015-01-07,18.42,4428.4596,12.6172,1.5268
2015-01-08,19.055,4581.1237,13.0522,1.5794
2015-01-09,18.9,4543.8592,12.946,1.5666
2015-01-12,18.17,4368.3557,12.446,1.506
2015-01-13,17.51,4209.6812,11.9939,1.4513
2015-01-14,17.25,4147.1731,11.8158,1.4298
2015-01-15,17.175,4129.1419,11.7644,1.4236
2015-01-16,17.35,4171.2147,11.8843,1.4381
2015-01-20,17.13,4118.3232,11.7336,1.4198
2015-01-21,17.3,4159.1939,11.85,1.4339
2015-01-22,17.83,4286.6143,12.2131,1.4779
2015-01-23,17.025,4093.0795,11.6617,1.4111
2015-01-26,17.47,4200.0646,11.9665,1.448
2015-01-27,17.67,4248.1478,12.1035,1.4646
2015-01-28,17.7,4255.3602,12.124,1.4671
2015-01-29,16.935,4071.4421,11.6,1.4037
2015-01-30,17.04,4096.6858,11.672,1.4124
2015-02-02,17.14,4120.7274,11.7404,1.4207
2015-02-03,18.085,4347.9203,12.3877,1.499
