Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,55.41,18071.54,11.6925,7.2844
2014-01-03,56.82,18531.4005,11.99,7.4697
2014-01-06,56.95,18573.799,12.0174,7.4868
2014-01-07,58.8,19177.1621,12.4078,7.73
2014-01-08,59.63,19447.8601,12.583,7.8391
2014-01-09,58.01,18919.5097,12.2411,7.6262
2014-01-10,58.39,19043.4438,12.3213,7.6761
2014-01-13,58.54,19092.3651,12.3529,7.6958
2014-01-14,60.33,19676.1596,12.7307,7.9312
2014-01-15,60.84,19842.4922,12.8383,7.9982
2014-01-16,60.66,19783.7866,12.8003,7.9745
2014-01-17,61.2,19959.9034,12.9143,8.0455
2014-01-21,61.24,19972.9491,12.9227,8.0508
2014-01-22,61.0,19894.6749,12.872,8.0192
2014-01-23,60.74,19809.878,12.8172,7.9851
2014-01-24,58.57,19102.1494,12.3593,7.6998
2014-01-27,58.05,18932.5554,12.2495,7.6314
2014-01-28,51.52,16937.4657,10.8716,6.773
2014-01-29,53.65,17637.7142,11.3211,7.053
2014-01-30,53.1,17456.8989,11.205,6.9807
2014-01-31,52.86,17377.9976,11.1544,6.9491
2014-02-03,51.09,16796.101,10.7809,6.7164
2014-02-04,49.99,16434.4703,10.5487,6.5718
2014-02-05,49.11,16145.1658,10.3631,6.4561
2014-02-06,49.19,16171.4662,10.3799,6.4667
2014-02-07,49.52,16279.9554,10.4496,6.51
2014-02-10,49.89,16401.5948,10.5276,6.5587
2014-02-11,49.37,16230.6421,10.4179,6.4903
2014-02-12,49.21,16178.0413,10.3842,6.4693
2014-02-13,49.6,16306.2558,10.4665,6.5206
2014-02-14,50.14,16483.7836,10.5804,6.5916
2014-02-18,49.71,16342.4189,10.4897,6.535
2014-02-19,49.03,16118.8654,10.3462,6.4456
2014-02-20,50.02,16444.333,10.5551,6.5758
2014-02-21,50.75,16684.3242,10.7091,6.6717
2014-02-24,51.16,16819.1139,10.7956,6.7256
2014-02-25,50.69,16664.5989,10.6965,6.6639
2014-02-26,51.73,17006.5043,10.9159,6.8006
2014-02-27,51.92,17068.9678,10.956,6.8256
2014-02-28,52.19,17157.7317,11.013,6.8611
2014-03-03,52.29,17190.6072,11.0341,6.8742
2014-03-04,53.18,17483.1993,11.2219,6.9912
2014-03-05,52.56,17279.3711,11.0911,6.9097
2014-03-06,50.1,16470.6334,10.572,6.5863
2014-03-07,49.29,16204.3417,10.401,6.4798
2014-03-10,50.14,16483.7836,10.5804,6.5916
2014-03-11,49.88,16398.3073,10.5255,6.5574
2014-03-12,50.75,16684.3242,10.7091,6.6717
2014-03-13,49.77,16362.1442,10.5023,6.5429
2014-03-14,50.15,16487.0711,10.5825,6.5929
2014-03-17,50.72,16674.4616,10.7028,6.6678
2014-03-18,51.93,17072.2553,10.9581,6.8269
2014-03-19,51.67,16986.779,10.9033,6.7927
2014-03-20,53.1,17456.8989,11.205,6.9807
2014-03-21,53.49,17585.1134,11.2873,7.032
2014-03-24,53.0,17424.0233,11.1839,6.9675
2014-03-25,55.13,18124.2718,11.6334,7.2476
2014-03-26,55.55,18262.349,11.722,7.3028
2014-03-27,54.81,18019.0702,11.5659,7.2055
2014-03-28,54.92,18055.2332,11.3603,6.7869
2014-03-31,56.16,18462.8896,11.6168,6.9402
2014-04-01,57.0,18739.044,11.7905,7.044
2014-04-02,57.16,18791.6448,11.8236,7.0637
2014-04-03,57.39,18867.2585,11.8712,7.0922
2014-04-04,56.06,18430.0141,11.5961,6.9278
2014-04-07,54.96,18068.3835,11.3685,6.7919
2014-04-08,55.54,18259.0614,11.4885,6.8635
2014-04-09,55.69,18308.3747,11.5195,6.8821
2014-04-10,53.95,17736.3407,11.1596,6.6671
2014-04-11,53.39,17552.2379,11.0438,6.5979
2014-04-14,54.82,18022.3577,11.3396,6.7746
2014-04-15,54.88,18042.083,11.352,6.782
2014-04-16,55.67,18301.7996,11.5154,6.8796
2014-04-17,55.57,18268.9241,11.4947,6.8673
2014-04-21,55.69,18308.3747,11.5195,6.8821
2014-04-22,55.67,18301.7996,11.5154,6.8796
2014-04-23,54.11,17788.9416,11.1927,6.6868
2014-04-24,53.94,17733.0532,11.1576,6.6658
2014-04-25,52.72,17331.9719,10.9052,6.5151
2014-04-28,52.6,17292.5213,10.8804,6.5002
2014-04-29,53.49,17585.1134,11.0645,6.6102
2014-04-30,52.58,17170.4813,10.8762,6.4978
2014-05-01,50.75,16572.8781,10.4977,6.2716
2014-05-02,51.04,16667.5802,10.5577,6.3074
2014-05-05,50.51,16494.5039,10.4481,6.2419
2014-05-06,50.26,16412.8641,10.3963,6.2111
2014-05-07,49.99,16324.6931,10.3405,6.1777
2014-05-08,49.28,16092.8361,10.1936,6.0899
2014-05-09,49.55,16181.0071,10.2495,6.1233
2014-05-12,49.78,16256.1157,10.2971,6.1517
2014-05-13,50.76,16576.1437,10.4998,6.2728
2014-05-14,51.25,16736.1576,10.6011,6.3334
2014-05-15,50.89,16618.5963,10.5267,6.2889
2014-05-16,51.19,16716.5641,10.5887,6.326
2014-05-19,51.72,16889.6405,10.6983,6.3915
