Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,69.24,13126.9653,12.9665,2.7468
2014-01-03,69.39,13151.8466,12.9946,2.7528
2014-01-06,68.61,12987.9771,12.8486,2.7218
2014-01-07,69.93,13206.9324,13.0958,2.7742
2014-01-08,76.61,14498.4399,14.3467,3.0392
2014-01-09,77.45,14658.6549,14.504,3.0725
2014-01-10,80.05,15213.2807,14.9909,3.1757
2014-01-13,80.06,15214.0093,14.9928,3.1761
2014-01-14,80.93,15358.97,15.1557,3.2106
2014-01-15,80.77,15332.3106,15.1258,3.2042
2014-01-16,80.47,15288.4186,15.0696,3.1923
2014-01-17,79.54,15133.4606,14.8954,3.1554
2014-01-21,79.36,15090.5766,14.8617,3.1483
2014-01-22,78.14,14887.2983,14.6332,3.0999
2014-01-23,77.24,14694.2087,14.4647,3.0642
2014-01-24,75.8,14454.2737,14.195,3.0071
2014-01-27,75.77,14409.8953,14.1894,3.0059
2014-01-28,78.23,14867.6025,14.6501,3.1035
2014-01-29,77.82,14799.2877,14.5733,3.0872
2014-01-30,77.59,14760.9648,14.5302,3.0781
2014-01-31,76.67,14574.3877,14.358,3.0416
2014-02-03,75.56,14366.935,14.1501,2.9975
2014-02-04,76.48,14532.1814,14.3224,3.034
2014-02-05,75.47,14348.423,14.1332,2.994
2014-02-06,77.59,14733.0707,14.5302,3.0781
2014-02-07,77.5,14718.0748,14.5134,3.0745
2014-02-10,77.07,14646.4275,14.4329,3.0574
2014-02-11,78.78,14975.4182,14.7531,3.1253
2014-02-12,79.0,15012.0749,14.7943,3.134
2014-02-13,79.44,15100.1558,14.8767,3.1515
2014-02-14,79.37,15088.4923,14.8636,3.1487
2014-02-18,80.17,15240.3074,15.0134,3.1804
2014-02-19,80.02,15208.9853,14.9853,3.1745
2014-02-20,80.6,15323.6748,15.0939,3.1975
2014-02-21,80.35,15270.0649,15.0471,3.1876
2014-02-24,81.08,15418.1862,15.1838,3.2165
2014-02-25,82.07,15604.0034,15.3692,3.2558
2014-02-26,81.88,15563.2036,15.3336,3.2483
2014-02-27,81.39,15469.37,15.2419,3.2288
2014-02-28,81.03,15414.0744,14.5199,3.1146
2014-03-03,81.15,15420.0047,14.5414,3.1192
2014-03-04,82.51,15685.2866,14.7851,3.1715
2014-03-05,82.73,15719.5993,14.8245,3.18
2014-03-06,83.85,15927.0773,15.0252,3.223
2014-03-07,83.91,15938.481,15.036,3.2253
2014-03-10,83.95,15945.1459,15.0432,3.2269
2014-03-11,82.54,15716.7728,14.7905,3.1727
2014-03-12,83.11,15811.7471,14.8926,3.1946
2014-03-13,82.27,15671.785,14.7421,3.1623
2014-03-14,82.5,15681.9796,14.7833,3.1711
2014-03-17,81.86,15561.0432,14.6687,3.1465
2014-03-18,82.77,15724.3889,14.8317,3.1815
2014-03-19,81.68,15528.2385,14.6364,3.1396
2014-03-20,82.47,15659.8694,14.778,3.17
2014-03-21,83.06,15788.6486,14.8837,3.1926
2014-03-24,81.21,15457.8961,14.5522,3.1215
2014-03-25,82.43,15662.3463,14.7708,3.1684
2014-03-26,82.28,15637.3531,14.7439,3.1627
2014-03-27,82.06,15605.6188,14.7045,3.1542
2014-03-28,83.21,15812.0039,14.9106,3.1984
2014-03-31,84.97,16127.2888,15.2259,3.2661
2014-04-01,85.35,16219.4366,15.294,3.2807
2014-04-02,84.9,16141.1753,15.2134,3.2634
2014-04-03,84.89,16133.4146,15.2116,3.263
2014-04-04,84.33,16034.2464,15.1113,3.2415
2014-04-07,80.8,15368.7193,14.4787,3.1058
2014-04-08,81.48,15484.8348,14.6006,3.1319
2014-04-09,80.64,15323.3076,14.45,3.0996
2014-04-10,80.11,15229.3725,14.3551,3.0793
2014-04-11,78.03,14837.3255,13.9823,2.9993
2014-04-14,78.0,14816.6218,13.977,2.9981
2014-04-15,77.97,14811.6231,13.9716,2.997
2014-04-16,79.75,15141.0259,14.2906,3.0654
2014-04-17,80.78,15337.2585,14.4751,3.105
2014-04-21,81.01,15377.4566,14.5163,3.1138
2014-04-22,80.89,15372.2295,14.4948,3.1092
2014-04-23,80.25,15259.7316,14.3802,3.0846
2014-04-24,79.46,15103.4883,14.2386,3.0543
2014-04-25,79.04,15019.443,14.1633,3.0381
2014-04-28,79.61,15122.8558,14.2655,3.06
2014-04-29,79.75,15313.781,14.2906,3.0654
2014-04-30,79.84,15328.9351,14.3067,3.0689
2014-05-01,81.26,15574.4496,14.5611,3.1235
2014-05-02,81.13,15558.7883,14.5378,3.1185
2014-05-05,81.82,15674.9703,14.6615,3.145
2014-05-06,80.66,15489.7177,14.4536,3.1004
2014-05-07,79.12,15182.1809,14.1777,3.0412
