Date,Price,Market Cap,PE Ratio,PB Ratio
2024-07-08,46.22,24003.1405,,2.0368
2024-07-09,44.83,23281.2806,,1.9755
2024-07-10,45.83,23800.6043,,2.0196
2024-07-11,46.87,24340.7009,,2.0654
2024-07-12,49.08,25488.4063,,2.1628
2024-07-15,48.84,25363.7686,,2.1522
2024-07-16,49.26,25581.8845,,2.1707
2024-07-17,47.85,24849.6381,,2.1086
2024-07-18,46.82,24314.7347,,2.0632
2024-07-19,46.53,24164.1309,,2.0504
2024-07-22,48.0,24927.5367,,2.1152
2024-07-23,49.11,25503.986,,2.1641
2024-07-24,48.86,25374.1551,,2.1531
2024-07-25,47.69,24766.5463,,2.1015
2024-07-26,48.81,25348.1889,,2.1509
2024-07-29,47.55,24693.841,,2.0954
2024-07-30,46.74,24273.1888,,2.0597
2024-07-31,44.84,23286.4739,,1.9759
2024-08-01,43.32,22497.1019,,1.909
2024-08-02,41.78,21697.3434,,1.8411
2024-08-05,40.04,20793.7202,,1.7644
2024-08-06,40.33,20944.3241,,1.7772
2024-08-07,39.06,20284.783,,1.7212
2024-08-08,39.31,20414.6139,,1.7323
2024-08-09,38.96,20234.2003,,1.7168
2024-08-12,38.85,20177.0708,,1.712
2024-08-13,40.35,20956.1083,,1.7781
2024-08-14,41.21,21402.7565,,1.816
2024-08-15,42.74,22197.3747,,1.8834
2024-08-16,42.91,22285.6656,,1.8909
2024-08-19,43.49,22586.8935,,1.9165
2024-08-20,43.01,22337.6015,,1.8953
2024-08-21,44.02,22862.1534,,1.9398
2024-08-22,43.79,22742.701,,1.9297
2024-08-23,45.33,23542.5128,,1.9975
2024-08-26,46.18,23983.9674,,2.035
2024-08-27,46.89,24352.7118,,2.0663
2024-08-28,47.07,24446.1963,,2.0742
2024-08-29,47.17,24498.1321,,2.0786
2024-08-30,47.42,24627.9717,,2.0896
2024-09-03,45.7,23734.6754,,2.0138
2024-09-04,45.57,23667.1588,,2.0081
2024-09-05,45.34,23574.9665,,1.998
2024-09-06,44.72,23252.5916,,1.9707
2024-09-09,44.47,23122.6017,,1.9596
2024-09-10,43.32,22524.6482,,1.909
2024-09-11,43.53,22633.8397,,1.9182
2024-09-12,44.59,23184.9968,,1.9649
2024-09-13,44.92,23356.5835,,1.9795
2024-09-16,46.73,24297.7103,,2.0592
2024-09-17,47.33,24609.686,,2.0857
2024-09-18,47.86,24885.2646,,2.109
2024-09-19,49.02,25488.4177,,2.1601
