Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,27.4,5162.5637,13.8931,2.3372
2014-01-03,27.72,5222.8564,14.0553,2.3645
2014-01-06,27.63,5205.8991,14.0097,2.3568
2014-01-07,27.79,5236.0455,14.0908,2.3705
2014-01-08,27.92,5260.5394,14.1568,2.3816
2014-01-09,27.72,5222.8564,14.0553,2.3645
2014-01-10,27.75,5228.5089,14.0706,2.3671
2014-01-13,28.44,5358.515,14.4204,2.4259
2014-01-14,28.92,5448.9541,14.6638,2.4669
2014-01-15,29.11,5484.7529,14.7601,2.4831
2014-01-16,28.62,5392.4297,14.5117,2.4413
2014-01-17,30.53,5752.3018,15.4802,2.6042
2014-01-21,31.22,5882.308,15.83,2.6631
2014-01-22,31.59,5952.0214,16.0176,2.6946
2014-01-23,31.43,5921.8751,15.9365,2.681
2014-01-24,30.77,5797.5214,15.6018,2.6247
2014-01-27,30.38,5724.0396,15.4041,2.5914
2014-01-28,30.05,5661.8628,15.2368,2.5633
2014-01-29,30.14,5694.3592,15.2824,2.5709
2014-01-30,30.56,5773.7099,15.4954,2.6068
2014-01-31,30.25,5715.1415,15.3382,2.5803
2014-02-03,29.57,5586.6689,14.9934,2.5223
2014-02-04,29.71,5613.1191,15.0644,2.5343
2014-02-05,29.86,5641.4587,15.1404,2.547
2014-02-06,30.26,5717.0308,15.3432,2.5812
2014-02-07,30.47,5756.7062,15.4497,2.5991
2014-02-10,30.7,5800.1601,15.5663,2.6187
2014-02-11,31.09,5873.843,15.7641,2.652
2014-02-12,32.12,6068.4412,16.2864,2.7398
2014-02-13,32.11,6066.5519,16.2813,2.739
2014-02-14,32.0,6045.7695,16.2255,2.7296
2014-02-18,31.8,6007.9835,16.1241,2.7125
2014-02-19,31.32,5917.2969,15.8807,2.6716
2014-02-20,33.32,6295.1575,16.8948,2.8422
2014-02-21,32.72,6181.7993,16.5906,2.791
2014-02-24,34.4,6499.2022,17.4424,2.9343
2014-02-25,33.76,6378.2869,17.1179,2.8797
2014-02-26,35.02,6616.339,17.7568,2.9872
2014-02-27,34.95,6603.1139,17.7213,2.9812
2014-02-28,35.46,6699.4684,17.9799,3.0247
2014-03-03,36.2,6839.2768,18.3551,3.0878
2014-03-04,36.75,6943.1884,18.634,3.1348
2014-03-05,36.8,6952.635,18.6593,3.139
2014-03-06,37.0,6990.421,18.7607,3.1561
2014-03-07,36.65,6924.2954,18.5833,3.1262
2014-03-10,36.5,6895.9559,18.5072,3.1134
2014-03-11,36.23,6844.9447,18.3703,3.0904
2014-03-12,37.32,7050.8787,18.923,3.1834
2014-03-13,36.83,6958.3029,18.6745,3.1416
2014-03-14,36.68,6929.9633,18.5985,3.1288
2014-03-17,36.88,6967.7494,18.6999,3.1459
2014-03-18,37.49,7082.9969,19.0092,3.1979
2014-03-19,37.69,7120.7829,19.1106,3.2149
2014-03-20,39.27,7419.2928,19.9117,3.3497
2014-03-21,37.55,7094.3327,19.0396,3.203
2014-03-24,37.38,7062.2145,18.9534,3.1885
2014-03-25,37.72,7126.4508,19.1258,3.2175
2014-03-26,36.74,6941.2991,18.6289,3.1339
2014-03-27,36.91,6987.597,18.7151,3.1484
2014-03-28,36.94,6993.2765,17.5268,3.0533
2014-03-31,37.52,7103.0789,17.802,3.1013
2014-04-01,37.61,7120.1172,17.8447,3.1087
2014-04-02,37.58,7114.4377,17.8305,3.1062
2014-04-03,37.67,7131.476,17.8732,3.1137
2014-04-04,35.9,6796.3894,17.0334,2.9674
2014-04-07,35.72,6762.3128,16.948,2.9525
2014-04-08,36.02,6819.1072,17.0903,2.9773
2014-04-09,36.89,6983.8107,17.5031,3.0492
2014-04-10,35.51,6722.5568,16.8483,2.9351
2014-04-11,34.9,6607.0749,16.5589,2.8847
2014-04-14,35.33,6688.4802,16.7629,2.9203
2014-04-15,35.76,6769.8854,16.9669,2.9558
2014-04-16,35.81,6779.3511,16.9907,2.9599
2014-04-17,36.08,6830.466,17.1188,2.9823
2014-04-21,37.02,7008.4216,17.5648,3.06
2014-04-22,37.96,7186.3772,18.0108,3.1377
2014-04-23,41.5,7856.5504,19.6904,3.4303
2014-04-24,42.16,7981.498,20.0035,3.4848
2014-04-25,41.46,7848.9779,19.6714,3.427
2014-04-28,41.38,7833.8327,19.6334,3.4203
2014-04-29,41.03,7767.5726,19.4674,3.3914
2014-04-30,41.05,7771.3589,19.4769,3.3931
2014-05-01,41.25,7809.2218,19.5718,3.4096
2014-05-02,41.43,7854.8109,19.6572,3.4245
2014-05-05,41.97,7957.1908,19.9134,3.4691
2014-05-06,41.37,7843.4354,19.6287,3.4195
2014-05-07,41.05,7782.7658,19.4769,3.3931
2014-05-08,41.44,7856.7068,19.6619,3.4253
2014-05-09,41.35,7839.6435,19.6192,3.4179
2014-05-12,42.72,8099.385,20.2692,3.5311
2014-05-13,42.52,8061.4666,20.1743,3.5146
2014-05-14,41.92,7947.7112,19.8896,3.465
2014-05-15,40.84,7742.9514,19.3772,3.3757
2014-05-16,40.75,7725.8881,19.3345,3.3683
2014-05-19,41.11,7794.1414,19.5053,3.398
2014-05-20,40.53,7684.1778,19.2301,3.3501
2014-05-21,41.26,7822.5802,19.5765,3.4104
2014-05-22,41.24,7818.7884,19.567,3.4088
2014-05-23,41.79,7923.0641,19.828,3.4542
2014-05-27,42.175,7996.0572,20.0106,3.4861
2014-05-28,42.24,8008.3807,20.0415,3.4914
2014-05-29,42.91,8135.4076,20.3594,3.5468
2014-05-30,43.31,8211.2445,20.5492,3.5799
2014-06-02,43.07,8165.7424,20.4353,3.56
2014-06-03,45.65,8654.8906,21.6594,3.7733
2014-06-04,46.76,8865.3381,22.1861,3.865
2014-06-05,46.48,8812.2523,22.0532,3.8419
2014-06-06,46.81,8874.8177,22.2098,3.8692
2014-06-09,46.69,8852.0666,22.1529,3.8593
2014-06-10,46.88,8888.0892,22.243,3.875
2014-06-11,47.81,9064.4101,22.6843,3.9518
2014-06-12,46.92,8895.6729,22.262,3.8783
2014-06-13,47.19,8946.8628,22.3901,3.9006
2014-06-16,47.37,8980.9894,22.4755,3.9155
2014-06-17,47.947,9090.3842,22.7493,3.9631
2014-06-18,47.53,9011.3242,22.5514,3.9287
2014-06-19,47.48,9001.8446,22.5277,3.9245
