Date,Price,Market Cap,PE Ratio,PB Ratio
2014-07-30,23.0,,7.6667,2.5373
2014-07-31,23.0,19096.2287,7.6667,2.5373
2014-08-01,23.0,19096.2287,7.6667,2.5373
2014-08-04,23.0,19096.2287,7.6667,2.5373
2014-08-05,23.0,19096.2287,7.6667,2.5373
2014-08-06,22.98,19079.6233,7.66,2.5351
2014-08-07,22.93,19038.1097,7.6433,2.5296
2014-08-08,22.95,19054.7152,7.65,2.5318
2014-08-11,22.93,19038.1097,7.6433,2.5296
2014-08-12,23.0,19096.2287,7.6667,2.5373
2014-08-13,23.18,19245.6774,7.7267,2.5572
2014-08-14,23.01,19104.5314,7.67,2.5384
2014-08-15,23.0,19096.2287,7.6667,2.5373
2014-08-18,23.17,19237.3747,7.7233,2.5561
2014-08-19,24.41,20266.9105,8.1367,2.6929
2014-08-20,25.19,20914.5218,8.3967,2.7789
2014-08-21,25.39,21080.5759,8.4633,2.801
2014-08-22,25.36,21055.6678,8.4533,2.7977
2014-08-25,25.12,20856.4028,8.3733,2.7712
2014-08-26,25.05,20798.2839,8.35,2.7635
2014-08-27,25.47,21146.9976,8.49,2.8098
2014-08-28,25.69,21329.6572,8.5633,2.8341
2014-08-29,25.79,21412.6843,8.5967,2.8451
2014-09-02,25.79,21412.6843,8.5967,2.8451
2014-09-03,25.79,21412.6843,8.5967,2.8451
2014-09-04,25.7,21337.9599,8.5667,2.8352
2014-09-05,25.77,21486.1134,8.59,2.8429
2014-09-08,24.84,20710.7124,8.28,2.7403
2014-09-09,25.04,20877.4653,8.3467,2.7624
2014-09-10,24.7,20593.9853,8.2333,2.7249
2014-09-11,24.65,20552.2971,8.2167,2.7194
2014-09-12,24.5,20427.2324,8.1667,2.7028
2014-09-15,24.15,20135.4148,8.05,2.6642
2014-09-16,24.31,20268.8171,8.1033,2.6819
2014-09-17,24.55,20468.9206,8.1833,2.7083
2014-09-18,24.67,20568.9724,8.2233,2.7216
2014-09-19,25.41,21185.9582,8.47,2.8032
2014-09-22,24.84,20710.7124,8.28,2.7403
2014-09-23,24.58,20493.9336,8.1933,2.7116
2014-09-24,24.92,20777.4135,8.3067,2.7492
2014-09-25,24.63,20535.6218,8.21,2.7172
2014-09-26,24.77,20652.3488,8.2567,2.7326
2014-09-29,24.7,20593.9853,8.2333,2.7249
2014-09-30,24.55,20468.9206,8.7993,2.059
2014-10-01,24.22,20193.7783,8.681,2.0314
2014-10-02,24.58,20493.9336,8.81,2.0616
2014-10-03,24.83,20702.3747,8.8996,2.0825
2014-10-06,25.0,20844.1147,8.9606,2.0968
2014-10-07,24.85,20719.05,8.9068,2.0842
2014-10-08,25.02,20860.79,8.9677,2.0985
2014-10-09,24.55,20468.9206,8.7993,2.059
2014-10-10,24.2,20177.103,8.6738,2.0297
2014-10-13,24.46,20393.8818,8.767,2.0515
2014-10-14,24.85,20719.05,8.9068,2.0842
2014-10-15,24.52,20443.9077,8.7885,2.0565
2014-10-16,24.6,20510.6089,8.8172,2.0632
2014-10-17,24.78,20660.6865,8.8817,2.0783
2014-10-20,24.71,20602.323,8.8566,2.0725
2014-10-21,25.17,20985.8547,9.0215,2.111
2014-10-22,25.38,21160.9452,9.0968,2.1287
2014-10-23,25.81,21519.464,9.2509,2.1647
2014-10-24,26.11,21769.5934,9.3584,2.1899
2014-10-27,26.53,22119.7745,9.509,2.2251
2014-10-28,26.85,22386.5792,9.6237,2.2519
2014-10-29,27.0,22511.6439,9.6774,2.2645
2014-10-30,26.79,22336.5533,9.6022,2.2469
2014-10-31,27.02,22528.3192,9.6846,2.2662
2014-11-03,27.34,22795.1238,9.7993,2.293
2014-11-04,27.01,22519.9815,9.681,2.2654
2014-11-05,27.47,22903.5132,9.8459,2.3039
2014-11-06,27.58,22995.2273,9.8853,2.3132
2014-11-07,28.15,23470.4731,10.0896,2.361
2014-11-10,28.77,23987.4072,10.3118,2.413
2014-11-11,29.11,24270.8871,10.4337,2.4415
2014-11-12,29.03,24204.186,10.405,2.4348
2014-11-13,28.99,24170.8354,10.3907,2.4314
2014-11-14,29.05,24220.8613,10.4122,2.4365
2014-11-17,29.13,24287.5624,10.4409,2.4432
2014-11-18,28.95,24137.4848,10.3763,2.4281
