Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,74.63,28241.4059,17.8177,3.1182
2014-01-03,74.84,28320.8739,17.8678,3.127
2014-01-06,75.35,28513.8675,17.9896,3.1483
2014-01-07,75.78,28676.5877,18.0922,3.1662
2014-01-08,77.02,29145.8272,18.3883,3.218
2014-01-09,76.99,29134.4746,18.3811,3.2168
2014-01-10,78.15,29573.4406,18.6581,3.2652
2014-01-13,77.43,29300.9789,18.4862,3.2352
2014-01-14,78.16,29577.2248,18.6604,3.2657
2014-01-15,78.25,29611.2825,18.6819,3.2694
2014-01-16,78.68,29774.0026,18.7846,3.2874
2014-01-17,78.2,29592.3615,18.67,3.2673
2014-01-21,78.59,29739.9449,18.7631,3.2836
2014-01-22,78.58,29736.1607,18.7607,3.2832
2014-01-23,77.78,29433.4256,18.5697,3.2498
2014-01-24,76.13,28809.0343,18.1758,3.1808
2014-01-27,76.32,28880.9339,18.2211,3.1888
2014-01-28,77.44,29304.7631,18.4885,3.2356
2014-01-29,76.9,29100.4169,18.3596,3.213
2014-01-30,78.14,29569.6564,18.6557,3.2648
2014-01-31,77.6,29365.3102,18.5267,3.2423
2014-02-03,76.47,28937.6967,18.257,3.1951
2014-02-04,76.75,29043.6541,18.3238,3.2068
2014-02-05,77.0,29138.2588,18.3835,3.2172
2014-02-06,78.21,29596.1457,18.6724,3.2678
2014-02-07,79.43,30057.8168,18.9636,3.3187
2014-02-10,80.42,30432.4516,19.2,3.3601
2014-02-11,81.14,30704.9132,19.3719,3.3902
2014-02-12,80.95,30633.0136,19.3265,3.3822
2014-02-13,82.75,31268.8204,19.7563,3.4574
2014-02-14,83.35,31495.5429,19.8995,3.4825
2014-02-18,82.62,31219.6972,19.7253,3.452
2014-02-19,81.64,30849.3836,19.4913,3.4111
2014-02-20,82.65,31231.0333,19.7324,3.4533
2014-02-21,82.1,31023.2043,19.6011,3.4303
2014-02-24,82.61,31215.9184,19.7229,3.4516
2014-02-25,81.59,30830.4901,19.4793,3.409
2014-02-26,81.13,30656.6695,19.3695,3.3898
2014-02-27,81.17,30671.7843,19.3791,3.3914
2014-02-28,80.24,30320.3643,19.157,3.3526
2014-03-03,79.9,30191.8882,19.0759,3.3384
2014-03-04,81.87,30936.294,19.5462,3.4207
2014-03-05,81.08,30637.7759,19.3576,3.3877
2014-03-06,80.95,30588.6527,19.3265,3.3822
2014-03-07,81.64,30849.3836,19.4913,3.4111
2014-03-10,81.8,30909.843,19.5295,3.4178
2014-03-11,81.63,30845.6049,19.4889,3.4106
2014-03-12,81.63,30872.462,19.4889,3.4106
2014-03-13,81.22,30717.4,19.391,3.3935
2014-03-14,80.27,30358.1101,19.1642,3.3538
2014-03-17,80.79,30554.7741,19.2883,3.3756
2014-03-18,81.53,30834.642,19.465,3.4065
2014-03-19,81.22,30717.4,19.391,3.3935
2014-03-20,81.3,30747.656,19.4101,3.3969
2014-03-21,80.86,30581.2481,19.3051,3.3785
2014-03-24,79.31,29995.0381,18.935,3.3137
2014-03-25,79.94,30233.3041,19.0854,3.34
2014-03-26,79.59,30100.9341,19.0018,3.3254
2014-03-27,79.87,30206.8301,19.0687,3.3371
2014-03-28,80.54,30460.2241,19.2287,3.3651
2014-03-31,81.47,30811.95,19.7001,3.398
2014-04-01,81.88,30967.012,19.7993,3.4151
2014-04-02,82.29,31122.074,19.8984,3.4322
2014-04-03,84.13,31817.9619,20.3434,3.5089
2014-04-04,82.6,31239.316,19.9734,3.4451
2014-04-07,81.23,30721.182,19.6421,3.3879
2014-04-08,81.26,30732.528,19.6494,3.3892
2014-04-09,82.1,31050.216,19.8525,3.4242
2014-04-10,79.64,30119.8441,19.2576,3.3216
2014-04-11,79.36,30013.9481,19.1899,3.31
2014-04-14,79.8,30180.3561,19.2963,3.3283
2014-04-15,79.57,30093.3701,19.2407,3.3187
2014-04-16,79.05,29896.7061,19.115,3.297
2014-04-17,78.78,29794.5922,19.0497,3.2858
2014-04-21,79.48,30059.3321,19.2189,3.315
2014-04-22,78.74,29779.4642,19.04,3.2841
2014-04-23,78.39,29647.0942,18.9554,3.2695
2014-04-24,77.88,29523.8355,18.8321,3.2482
2014-04-25,76.72,29084.0865,18.5516,3.1998
2014-04-28,76.83,29125.7869,18.5782,3.2044
2014-04-29,77.9,29531.4174,18.8369,3.2491
2014-04-30,77.75,29474.5533,18.8006,3.2428
2014-05-01,77.43,29353.2432,18.7232,3.2295
2014-05-02,77.82,29501.0899,18.8175,3.2457
2014-05-05,78.83,29883.9747,19.0618,3.2878
2014-05-06,79.04,29963.5845,19.1125,3.2966
2014-05-07,79.42,30107.6402,19.2044,3.3125
2014-05-08,80.04,30342.6784,19.3544,3.3383
2014-05-09,80.62,30562.5529,19.4946,3.3625
2014-05-12,81.1,30744.518,19.6107,3.3825
2014-05-13,80.35,30460.1975,19.4293,3.3512
2014-05-14,80.11,30369.215,19.3713,3.3412
2014-05-15,79.12,29993.912,19.1319,3.2999
2014-05-16,80.1,30365.424,19.3689,3.3408
2014-05-19,80.1,30365.424,19.3689,3.3408
2014-05-20,80.05,30346.4693,19.3568,3.3387
2014-05-21,80.37,30467.7794,19.4342,3.3521
2014-05-22,80.59,30551.1801,19.4874,3.3613
2014-05-23,80.27,30429.87,19.41,3.3479
2014-05-27,80.36,30463.9885,19.4317,3.3517
2014-05-28,82.64,31328.3226,19.9831,3.4468
2014-05-29,83.89,31802.19,20.2853,3.4989
2014-05-30,84.49,32029.6464,20.4304,3.5239
2014-06-02,84.83,32158.5383,20.5126,3.5381
2014-06-03,85.46,32397.3675,20.665,3.5644
2014-06-04,85.53,32423.9041,20.6819,3.5673
2014-06-05,85.78,32518.6776,20.7423,3.5777
2014-06-06,85.56,32435.2769,20.6891,3.5685
2014-06-09,85.5,32412.5313,20.6746,3.566
2014-06-10,85.1,32260.8937,20.5779,3.5494
2014-06-11,84.76,32132.0018,20.4957,3.5352
2014-06-12,83.78,31760.4897,20.2587,3.4943
2014-06-13,83.44,31631.5978,20.1765,3.4801
2014-06-16,84.61,32075.1377,20.4594,3.5289
2014-06-17,83.8,31768.0716,20.2636,3.4951
2014-06-18,84.43,32006.9008,20.4159,3.5214
