Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,26.3794,184536.0,10.1065,1.5038
2014-01-03,26.2662,183744.0,10.0631,1.4973
2014-01-06,26.387,184588.8,10.1094,1.5042
2014-01-07,26.3794,184536.0,10.1065,1.5038
2014-01-08,25.8435,180787.2,9.9012,1.4733
2014-01-09,25.3152,177091.2,9.6988,1.4431
2014-01-10,25.3756,177513.6,9.7219,1.4466
2014-01-13,25.134,175824.0,9.6294,1.4328
2014-01-14,25.2699,176774.4,9.6814,1.4406
2014-01-15,25.5039,178411.2,9.7711,1.4539
2014-01-16,25.6322,179308.8,9.8202,1.4612
2014-01-17,25.436,177936.0,9.745,1.45
2014-01-21,25.3378,177249.6,9.7074,1.4444
2014-01-22,25.1642,176035.2,9.6409,1.4345
2014-01-23,25.5114,178464.0,9.7739,1.4543
2014-01-24,25.2246,176457.6,9.6641,1.438
2014-01-27,25.2925,176932.8,9.6901,1.4418
2014-01-28,25.436,177936.0,9.745,1.45
2014-01-29,25.1416,175876.8,9.6323,1.4332
2014-01-30,25.1718,176088.0,9.6438,1.435
2014-01-31,25.1491,174130.32,9.6351,1.4337
2014-02-03,24.1151,166970.7,9.239,1.3747
2014-02-04,24.4925,169583.7,9.3836,1.3962
2014-02-05,24.2132,167650.08,9.2766,1.3803
2014-02-06,24.1528,167232.0,9.2534,1.3769
2014-02-07,24.3793,168799.8,9.3402,1.3898
2014-02-10,24.4849,169531.44,9.3807,1.3958
2014-02-11,24.8699,172196.7,9.5282,1.4177
2014-02-12,24.8623,172144.44,9.5253,1.4173
2014-02-13,25.2774,175018.74,9.6843,1.441
2014-02-14,25.0208,173241.9,9.586,1.4264
2014-02-18,24.7717,171517.32,9.4906,1.4122
2014-02-19,24.7944,171674.1,9.4992,1.4134
2014-02-20,25.0435,173398.68,9.5947,1.4276
2014-02-21,24.7567,171412.8,9.4848,1.4113
2014-02-24,24.5076,169066.4068,9.3894,1.3971
2014-02-25,24.2811,167504.3519,9.3026,1.3842
2014-02-26,24.1528,166619.1875,9.2534,1.3769
2014-02-27,24.3264,167816.7629,9.32,1.3868
2014-02-28,24.1,166254.708,9.2332,1.3739
2014-03-03,24.0472,165890.2286,9.213,1.3708
2014-03-04,24.266,167400.2149,9.2968,1.3833
2014-03-05,24.251,167296.0779,9.291,1.3825
2014-03-06,24.4095,168389.5164,9.3518,1.3915
2014-03-07,24.5604,169430.8863,9.4096,1.4001
2014-03-10,24.5378,169274.6808,9.4009,1.3988
2014-03-11,24.3264,167816.7629,9.32,1.3868
2014-03-12,24.4396,168597.7904,9.3633,1.3932
2014-03-13,24.417,168441.5849,9.3547,1.3919
2014-03-14,24.5227,169170.5438,9.3951,1.398
2014-03-17,24.8246,171253.2837,9.5108,1.4152
2014-03-18,24.8925,171721.9001,9.5368,1.419
2014-03-19,24.8774,171617.7631,9.531,1.4182
2014-03-20,25.7303,177501.5032,9.8578,1.4668
2014-03-21,25.8888,178594.9416,9.9185,1.4758
2014-03-24,26.0096,179428.0375,9.9648,1.4827
2014-03-25,26.2058,180781.8184,10.04,1.4939
2014-03-26,26.1228,180209.065,10.0082,1.4892
2014-03-27,26.387,182031.4623,10.1094,1.5042
2014-03-28,26.47,182604.2158,10.1412,1.509
2014-03-31,26.47,182604.2158,9.9289,1.5126
2014-04-01,26.4851,182708.3528,9.9346,1.5134
2014-04-02,26.6964,184166.2707,10.0139,1.5255
2014-04-03,26.8927,185520.0516,10.0875,1.5367
2014-04-04,26.8323,185103.5036,10.0648,1.5333
2014-04-07,26.787,184791.0926,10.0478,1.5307
2014-04-08,26.6209,183645.5857,9.9856,1.5212
2014-04-09,26.3568,181823.1884,9.8865,1.5061
2014-04-10,26.5077,182864.5583,9.9431,1.5147
2014-04-11,26.5681,183281.1063,9.9657,1.5182
2014-04-14,26.6889,184114.2022,10.011,1.5251
2014-04-15,26.9304,185780.3941,10.1016,1.5389
2014-04-16,27.2474,187967.2709,10.2205,1.557
2014-04-17,27.2021,187654.8599,10.2036,1.5544
2014-04-21,27.2172,187758.9969,10.2092,1.5553
2014-04-22,27.3908,188956.5723,10.2743,1.5652
2014-04-23,26.3568,181823.1884,9.8865,1.5061
2014-04-24,26.0398,179636.3115,9.7676,1.488
2014-04-25,26.0322,179584.243,9.7647,1.4875
2014-04-28,26.4775,182656.2843,9.9318,1.513
