Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,23.548,3472.3878,30.1731,4.6434
2014-01-03,23.673,3490.8207,30.3332,4.668
2014-01-06,23.653,3487.8714,30.3076,4.6641
2014-01-07,23.665,3489.7147,30.3236,4.6665
2014-01-08,23.873,3520.3133,30.5895,4.7074
2014-01-09,23.858,3518.1014,30.5703,4.7045
2014-01-10,23.89,3522.8939,30.6119,4.7109
2014-01-13,23.668,3490.0834,30.3268,4.667
2014-01-14,24.003,3539.4835,30.7561,4.7331
2014-01-15,24.023,3542.4328,30.7817,4.737
2014-01-16,24.0,3539.1149,30.7529,4.7326
2014-01-17,23.845,3516.2581,30.5543,4.702
2014-01-21,23.823,3512.9402,30.5255,4.6976
2014-01-22,23.533,3470.1759,30.1539,4.6404
2014-01-23,23.2,3421.1444,29.7278,4.5748
2014-01-24,22.613,3334.5098,28.975,4.459
2014-01-27,22.415,3305.3858,28.7219,4.42
2014-01-28,22.895,3376.1681,29.337,4.5147
2014-01-29,22.23,3278.1051,28.4849,4.3836
2014-01-30,23.06,3400.4995,29.5484,4.5472
2014-01-31,22.718,3349.9934,29.1095,4.4797
2014-02-03,21.895,3228.705,28.0556,4.3175
2014-02-04,21.27,3139.5183,27.2548,4.1943
2014-02-05,20.935,3090.0713,26.8255,4.1282
2014-02-06,21.2,3129.1861,27.1651,4.1805
2014-02-07,21.45,3166.0869,27.4854,4.2298
2014-02-10,22.14,3267.9331,28.3695,4.3658
2014-02-11,22.258,3285.2764,28.5201,4.389
2014-02-12,21.923,3235.8294,28.0909,4.3229
2014-02-13,22.255,3284.9074,28.5169,4.3885
2014-02-14,22.325,3295.2396,28.6066,4.4023
2014-02-18,22.84,3371.2552,29.2665,4.5038
2014-02-19,22.425,3309.9999,28.7347,4.422
2014-02-20,22.398,3305.9409,28.6995,4.4166
2014-02-21,22.223,3280.1103,28.4753,4.3821
2014-02-24,22.295,3290.8115,28.5682,4.3964
2014-02-25,22.348,3298.5607,28.6354,4.4067
2014-02-26,22.253,3284.5384,28.5137,4.388
2014-02-27,22.243,3283.0624,28.5009,4.386
2014-02-28,22.21,3278.2653,28.4592,4.3796
2014-03-03,22.118,3264.612,28.3407,4.3614
2014-03-04,22.375,3302.6198,28.6707,4.4122
2014-03-05,22.325,3295.2396,28.6066,4.4023
2014-03-06,22.168,3271.9921,28.4048,4.3712
2014-03-07,22.26,3285.6454,28.5233,4.3895
2014-03-10,22.575,3332.1404,28.9269,4.4516
2014-03-11,22.41,3307.7859,28.7155,4.4191
2014-03-12,22.493,3319.9632,28.8212,4.4353
2014-03-13,21.725,3206.6778,27.8378,4.284
2014-03-14,21.723,3206.3088,27.8346,4.2835
2014-03-17,22.205,3277.5273,28.4528,4.3786
2014-03-18,22.26,3285.6454,28.5233,4.3895
2014-03-19,22.06,3256.1248,28.267,4.35
2014-03-20,21.798,3217.379,27.9307,4.2983
2014-03-21,21.593,3187.1203,27.668,4.2579
2014-03-24,21.645,3194.8695,27.7353,4.2682
2014-03-25,21.8,3217.748,27.9339,4.2988
2014-03-26,21.625,3191.9174,27.7096,4.2643
2014-03-27,21.773,3213.6889,27.8986,4.2933
2014-03-28,21.155,3122.544,27.1074,4.1716
2014-03-31,21.343,3150.2196,27.5455,4.0569
2014-04-01,21.563,3182.6923,27.8295,4.0987
2014-04-02,21.783,3215.1649,28.1134,4.1405
2014-04-03,21.778,3214.4269,28.1069,4.1396
2014-04-04,21.333,3148.7435,27.5326,4.055
2014-04-07,21.26,3138.0423,27.439,4.0412
2014-04-08,21.428,3162.7658,27.6552,4.073
2014-04-09,21.848,3224.7591,28.1973,4.1529
2014-04-10,21.538,3179.0022,27.7972,4.0939
2014-04-11,21.045,3106.3076,27.1616,4.0003
2014-04-14,21.18,3126.2341,27.3358,4.026
2014-04-15,21.265,3138.7803,27.4455,4.0421
2014-04-16,21.483,3170.884,27.7262,4.0835
2014-04-17,21.458,3167.1939,27.6939,4.0787
2014-04-21,21.385,3156.4927,27.6004,4.0649
2014-04-22,21.553,3181.2162,27.8166,4.0968
2014-04-23,21.418,3161.2898,27.6423,4.0711
2014-04-24,21.33,3148.3745,27.5294,4.0545
2014-04-25,20.97,3095.2374,27.0648,3.9861
2014-04-28,22.71,3352.0668,29.3105,4.3168
2014-04-29,22.665,3345.4247,29.2524,4.3083
2014-04-30,22.328,3295.6086,28.8168,4.2441
2014-05-01,22.215,3279.0033,28.6716,4.2227
2014-05-02,22.168,3271.9921,28.6103,4.2137
2014-05-05,22.66,3344.6867,29.2459,4.3073
2014-05-06,22.555,3329.1883,29.1104,4.2873
2014-05-07,22.865,3374.9453,29.5105,4.3463
2014-05-08,22.553,3328.8193,29.1072,4.2869
2014-05-09,22.758,3359.078,29.3718,4.3258
2014-05-12,23.113,3420.1891,29.83,4.3933
2014-05-13,22.658,3352.8581,29.2427,4.3068
2014-05-14,22.59,3342.8695,29.1556,4.294
2014-05-15,21.958,3249.2721,28.3393,4.1738
2014-05-16,22.005,3256.3011,28.4006,4.1828
2014-05-19,22.16,3279.2381,28.6006,4.2123
2014-05-20,21.965,3250.3819,28.3489,4.1752
2014-05-21,21.99,3254.0814,28.3812,4.1799
2014-05-22,22.138,3275.9085,28.5716,4.208
2014-05-23,22.08,3267.3997,28.4974,4.1971
2014-05-27,22.608,3345.4591,29.1782,4.2973
