Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,54.45,22344.8722,15.9943,2.5955
2014-01-03,54.49,22361.2872,16.006,2.5974
2014-01-06,54.46,22348.976,15.9972,2.596
2014-01-07,54.9,22529.5406,16.1265,2.6169
2014-01-08,55.14,22628.0304,16.197,2.6284
2014-01-09,55.53,22788.0763,16.3115,2.647
2014-01-10,55.44,22751.1426,16.2851,2.6427
2014-01-13,55.55,22796.2838,16.3174,2.6479
2014-01-14,55.7,22857.8399,16.3615,2.6551
2014-01-15,55.43,22747.0389,16.2822,2.6422
2014-01-16,55.55,22796.2838,16.3174,2.6479
2014-01-17,55.94,22956.3297,16.432,2.6665
2014-01-21,56.3,23113.8526,16.5377,2.6837
2014-01-22,60.0,24632.8802,17.6246,2.86
2014-01-23,59.18,24277.4337,17.3837,2.821
2014-01-24,57.32,23514.4052,16.8373,2.7323
2014-01-27,57.16,23448.7684,16.7903,2.7247
2014-01-28,57.02,23391.3361,16.7492,2.718
2014-01-29,56.76,23284.6762,16.6728,2.7056
2014-01-30,57.73,23682.5997,16.9578,2.7518
2014-01-31,56.51,23182.1186,16.5994,2.6937
2014-02-03,55.28,22677.5353,16.2381,2.635
2014-02-04,55.1,22603.6938,16.1852,2.6265
2014-02-05,54.94,22538.0569,16.1382,2.6188
2014-02-06,55.61,22812.9113,16.335,2.6508
2014-02-07,56.61,23223.1417,16.6288,2.6984
2014-02-10,56.26,23079.561,16.526,2.6818
2014-02-11,56.77,23288.7785,16.6758,2.7061
2014-02-12,57.1,23411.8573,16.7727,2.7218
2014-02-13,57.27,23481.5599,16.8226,2.7299
2014-02-14,57.24,23469.2594,16.8138,2.7285
2014-02-18,57.48,23567.663,16.8843,2.7399
2014-02-19,57.43,23547.1623,16.8696,2.7375
2014-02-20,57.48,23567.663,16.8843,2.7399
2014-02-21,57.47,23563.5629,16.8814,2.7394
2014-02-24,57.97,23768.5704,17.0283,2.7633
2014-02-25,57.72,23666.0666,16.9548,2.7514
2014-02-26,57.68,23649.666,16.9431,2.7495
2014-02-27,58.23,23875.1743,17.1046,2.7757
2014-02-28,58.58,24018.6796,17.2074,2.7924
2014-03-03,58.22,23871.0742,17.1017,2.7752
2014-03-04,60.0,24600.9009,17.6246,2.86
2014-03-05,58.95,24170.3851,17.3161,2.81
2014-03-06,58.8,24108.8829,17.2721,2.8028
2014-03-07,59.11,24235.9875,17.3631,2.8176
2014-03-10,58.91,24153.9845,17.3044,2.8081
2014-03-11,57.89,23735.7692,17.0048,2.7595
2014-03-12,57.8,23698.8678,16.9783,2.7552
2014-03-13,57.32,23502.0606,16.8373,2.7323
2014-03-14,57.0,23370.8558,16.7433,2.717
2014-03-17,58.04,23797.2715,17.0488,2.7666
2014-03-18,58.66,24051.4808,17.2309,2.7962
2014-03-19,57.92,23748.0696,17.0136,2.7609
2014-03-20,59.24,24289.2895,17.4013,2.8238
2014-03-21,60.16,24666.5033,17.6716,2.8677
2014-03-24,59.67,24465.5959,17.5276,2.8443
2014-03-25,60.1,24641.9024,17.6539,2.8648
2014-03-26,59.08,24223.6871,17.3543,2.8162
2014-03-27,59.06,24215.4868,17.3484,2.8152
2014-03-28,59.51,24399.9935,16.9845,2.9017
2014-03-31,60.21,24687.004,17.1843,2.9359
2014-04-01,60.26,24707.5048,17.1986,2.9383
2014-04-02,61.69,25293.8263,17.6067,3.008
2014-04-03,61.45,25195.4227,17.5382,2.9963
2014-04-04,59.98,24592.7006,17.1187,2.9247
2014-04-07,59.03,24203.1863,16.8476,2.8783
2014-04-08,59.1,24231.8874,16.8675,2.8818
2014-04-09,60.23,24695.2043,17.19,2.9369
2014-04-10,58.73,24080.1818,16.7619,2.8637
2014-04-11,58.85,24129.3836,16.7962,2.8696
2014-04-14,59.29,24309.7902,16.9218,2.891
2014-04-15,59.75,24498.3971,17.053,2.9135
2014-04-16,60.81,24933.013,17.3556,2.9651
2014-04-17,61.07,25039.6169,17.4298,2.9778
2014-04-21,61.36,25158.5213,17.5126,2.992
2014-04-22,61.34,25150.321,17.5068,2.991
2014-04-23,60.36,24748.5063,17.2271,2.9432
2014-04-24,60.76,24834.1703,17.3413,2.9627
2014-04-25,59.24,24212.9073,16.9075,2.8886
2014-04-28,58.34,23845.0542,16.6506,2.8447
2014-04-29,58.55,23930.8866,16.7106,2.8549
2014-04-30,58.98,24106.6387,16.8333,2.8759
2014-05-01,59.25,24216.9946,16.9103,2.8891
2014-05-02,59.3,24237.4309,16.9246,2.8915
2014-05-05,59.29,24233.3436,16.9218,2.891
2014-05-06,58.18,23779.6581,16.605,2.8369
2014-05-07,58.45,23890.0141,16.682,2.8501
2014-05-08,58.2,23787.8327,16.6107,2.8379
2014-05-09,58.1,23746.9601,16.5821,2.833
2014-05-12,58.78,24024.8935,16.7762,2.8662
2014-05-13,58.1,23746.9601,16.5821,2.833
2014-05-14,57.86,23648.8659,16.5136,2.8213
2014-05-15,56.66,23158.3952,16.1711,2.7628
2014-05-16,57.15,23358.6707,16.311,2.7867
2014-05-19,57.59,23538.51,16.4366,2.8081
2014-05-20,56.89,23252.4021,16.2368,2.774
2014-05-21,57.22,23387.2815,16.331,2.7901
2014-05-22,57.31,23424.0668,16.3567,2.7945
2014-05-23,58.13,23759.2219,16.5907,2.8345
2014-05-27,58.29,23824.618,16.6364,2.8423
2014-05-28,58.45,23890.0141,16.682,2.8501
2014-05-29,59.33,24249.6926,16.9332,2.893
2014-05-30,59.46,24302.827,16.9703,2.8993
2014-06-02,59.69,24396.8339,17.0359,2.9105
2014-06-03,60.69,24805.5595,17.3213,2.9593
2014-06-04,60.8,24850.5193,17.3527,2.9646
2014-06-05,61.24,25030.3586,17.4783,2.9861
2014-06-06,61.7,25218.3724,17.6096,3.0085
2014-06-09,62.14,25398.2117,17.7352,3.03
2014-06-10,62.12,25390.0372,17.7295,3.029
2014-06-11,62.02,25349.1646,17.7009,3.0241
2014-06-12,61.75,25238.8087,17.6239,3.011
2014-06-13,61.46,25120.2783,17.5411,2.9968
2014-06-16,61.52,25144.8018,17.5582,2.9998
2014-06-17,61.78,25251.0705,17.6324,3.0124
2014-06-18,61.94,25316.4666,17.6781,3.0202
2014-06-19,62.23,25434.997,17.7609,3.0344
2014-06-20,62.24,25439.0843,17.7637,3.0349
2014-06-23,61.89,25296.0303,17.6638,3.0178
2014-06-24,60.94,24907.7409,17.3927,2.9715
2014-06-25,61.04,24948.6135,17.4212,2.9764
2014-06-26,61.18,25005.8351,17.4612,2.9832
2014-06-27,61.94,25316.4666,17.8605,2.8698
2014-06-30,61.84,25275.594,17.8316,2.8652
2014-07-01,63.36,25896.857,18.2699,2.9356
2014-07-02,63.21,25835.5481,18.2267,2.9287
2014-07-03,63.66,26019.4747,18.3564,2.9495
2014-07-07,63.72,26043.9982,18.3737,2.9523
2014-07-08,63.6,25994.9511,18.3391,2.9468
2014-07-09,64.01,26162.5287,18.4574,2.9658
2014-07-10,63.33,25884.5952,18.2613,2.9342
2014-07-11,63.21,25835.5481,18.2267,2.9287
2014-07-14,63.2,25831.4609,18.2238,2.9282
2014-07-15,63.08,25782.4138,18.1892,2.9227
2014-07-16,62.96,25733.3667,18.1546,2.9171
2014-07-17,63.06,25774.2393,18.1834,2.9217
2014-07-18,64.26,26264.7101,18.5295,2.9773
2014-07-21,64.3,26281.0591,18.541,2.9792
2014-07-22,64.97,26554.9053,18.7342,3.0102
2014-07-23,62.32,25471.7823,17.9701,2.8875
2014-07-24,63.31,25910.5236,18.2555,2.9333
2014-07-25,63.05,25804.1149,18.1805,2.9213
2014-07-28,63.14,25840.9487,18.2065,2.9254
2014-07-29,62.73,25673.1503,18.0883,2.9064
2014-07-30,63.37,25935.0795,18.2728,2.9361
2014-07-31,61.89,25329.3683,17.8461,2.8675
2014-08-01,61.48,25161.5699,17.7278,2.8485
2014-08-04,61.65,25231.1449,17.7769,2.8564
2014-08-05,61.32,25096.0877,17.6817,2.8411
2014-08-06,61.37,25116.5509,17.6961,2.8434
2014-08-07,60.9,24924.1966,17.5606,2.8217
2014-08-08,61.29,25083.8097,17.6731,2.8397
2014-08-11,61.51,25173.8479,17.7365,2.8499
2014-08-12,61.15,25026.5127,17.6327,2.8332
2014-08-13,62.11,25419.4065,17.9095,2.8777
2014-08-14,62.14,25431.6844,17.9181,2.8791
2014-08-15,62.15,25435.777,17.921,2.8796
2014-08-18,62.88,25734.54,18.1315,2.9134
2014-08-19,62.8,25701.7988,18.1085,2.9097
2014-08-20,62.34,25513.5373,17.9758,2.8884
2014-08-21,62.46,25562.649,18.0104,2.8939
2014-08-22,62.12,25423.4991,17.9124,2.8782
2014-08-25,62.9,25742.7253,18.1373,2.9143
2014-08-26,62.97,25771.3738,18.1575,2.9176
2014-08-27,62.07,25403.0359,17.898,2.8759
2014-08-28,62.01,25378.48,17.8807,2.8731
2014-08-29,62.68,25652.6871,18.0739,2.9041
2014-09-02,62.75,25681.3356,18.094,2.9074
2014-09-03,63.1,25824.5781,18.195,2.9236
2014-09-04,63.07,25812.3002,18.1863,2.9222
2014-09-05,62.62,25628.1313,18.0566,2.9014
2014-09-08,62.73,25673.1503,18.0883,2.9064
2014-09-09,62.01,25378.48,17.8807,2.8731
2014-09-10,62.45,25558.5563,18.0075,2.8935
2014-09-11,63.58,26021.025,18.3334,2.9458
2014-09-12,63.0,25783.6517,18.1661,2.919
2014-09-15,62.61,25624.0386,18.0537,2.9009
2014-09-16,62.28,25488.9814,17.9585,2.8856
2014-09-17,61.86,25317.0904,17.8374,2.8661
2014-09-18,61.9,25333.461,17.8489,2.868
2014-09-19,60.92,24932.3819,17.5664,2.8226
2014-09-22,60.44,24735.9351,17.428,2.8003
2014-09-23,59.32,24277.559,17.105,2.7485
2014-09-24,59.65,24412.6163,17.2002,2.7637
2014-09-25,58.47,23929.6844,16.8599,2.7091
2014-09-26,58.8,24064.7416,17.2054,2.6615
2014-09-29,57.87,23684.1258,16.9333,2.6194
2014-09-30,55.29,22628.2239,16.1784,2.5026
2014-10-01,54.54,22321.2756,15.9589,2.4687
2014-10-02,54.5,22304.905,15.9472,2.4669
