Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,36.77,25920.0918,12.4875,1.2937
2014-01-03,36.93,26032.8798,12.5418,1.2993
2014-01-06,37.43,26385.3423,12.7116,1.3169
2014-01-07,38.03,26808.2973,12.9154,1.338
2014-01-08,38.14,26885.839,12.9527,1.3419
2014-01-09,38.4,27069.1195,13.041,1.351
2014-01-10,38.66,27252.4,13.1293,1.3602
2014-01-13,38.54,27167.809,13.0886,1.356
2014-01-14,38.44,27097.3165,13.0546,1.3524
2014-01-15,38.78,27336.991,13.1701,1.3644
2014-01-16,38.73,27301.7448,13.1531,1.3626
2014-01-17,38.78,27402.7234,13.1701,1.3644
2014-01-21,39.31,27777.232,13.3501,1.3831
2014-01-22,39.26,27741.901,13.3331,1.3813
2014-01-23,38.76,27388.591,13.1633,1.3637
2014-01-24,38.26,27035.281,12.9935,1.3461
2014-01-27,37.79,26703.1696,12.8339,1.3296
2014-01-28,37.88,26766.7654,12.8644,1.3327
2014-01-29,37.38,26413.4554,12.6946,1.3151
2014-01-30,37.87,26759.6992,12.861,1.3324
2014-01-31,37.41,26434.654,12.7048,1.3162
2014-02-03,36.41,25728.034,12.3652,1.281
2014-02-04,36.77,25982.4172,12.4875,1.2937
2014-02-05,36.65,25897.6228,12.4467,1.2895
2014-02-06,37.09,26208.5356,12.5961,1.3049
2014-02-07,37.29,26349.8596,12.6641,1.312
2014-02-10,37.55,26533.5808,12.7524,1.3211
2014-02-11,37.62,26583.0442,12.7761,1.3236
2014-02-12,37.24,26314.5286,12.6471,1.3102
2014-02-13,37.43,26448.7864,12.7116,1.3169
2014-02-14,37.6,26568.9118,12.7693,1.3229
2014-02-18,37.56,26540.647,12.7558,1.3215
2014-02-19,36.81,26010.682,12.501,1.2951
2014-02-20,37.18,26272.1314,12.6267,1.3081
2014-02-21,37.22,26300.3962,12.6403,1.3095
2014-02-24,37.7,26639.5738,12.8033,1.3264
2014-02-25,37.55,26533.5808,12.7524,1.3211
2014-02-26,37.81,26878.7999,12.8407,1.3303
2014-02-27,37.51,26665.5325,12.7388,1.3197
2014-02-28,37.8,26871.691,12.8373,1.3299
2014-03-03,37.39,26580.2256,12.698,1.3155
2014-03-04,37.94,26971.2158,12.8848,1.3349
2014-03-05,38.39,27291.1169,13.0376,1.3507
2014-03-06,38.77,27561.2556,13.1667,1.3641
2014-03-07,39.18,27852.721,13.3059,1.3785
2014-03-10,39.23,27888.2656,13.3229,1.3802
2014-03-11,38.99,27717.6516,13.2414,1.3718
2014-03-12,39.02,27738.9784,13.2516,1.3728
2014-03-13,38.59,27433.2951,13.1056,1.3577
2014-03-14,38.47,27347.9882,13.0648,1.3535
2014-03-17,38.86,27637.9915,13.1972,1.3672
2014-03-18,39.06,27780.2354,13.2652,1.3743
