Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,63.18,39935.3014,16.7807,2.4706
2014-01-03,63.49,40131.2486,16.863,2.4827
2014-01-06,63.06,39859.4508,16.7488,2.4659
2014-01-07,62.91,39764.6377,16.709,2.46
2014-01-08,62.69,39625.5784,16.6505,2.4514
2014-01-09,63.34,40036.4354,16.8232,2.4768
2014-01-10,62.62,39581.3322,16.6319,2.4487
2014-01-13,61.5,38873.394,16.3345,2.4049
2014-01-14,61.71,39006.1324,16.3902,2.4131
2014-01-15,61.56,38911.3193,16.3504,2.4072
2014-01-16,60.81,38437.2535,16.1512,2.3779
2014-01-17,60.24,38076.9635,15.9998,2.3556
2014-01-21,59.2,37419.5923,15.7236,2.3149
2014-01-22,58.98,37280.533,15.6652,2.3063
2014-01-23,58.65,37071.944,15.5775,2.2934
2014-01-24,57.72,36484.1025,15.3305,2.2571
2014-01-27,57.71,36477.7816,15.3278,2.2567
2014-01-28,57.89,36591.5574,15.3757,2.2637
2014-01-29,56.89,35959.4697,15.11,2.2246
2014-01-30,56.67,35820.4104,15.0516,2.216
2014-01-31,56.64,35801.4478,15.7198,2.2087
2014-02-03,55.41,35023.9799,15.3784,2.1607
2014-02-04,55.12,34840.6744,15.2979,2.1494
2014-02-05,55.07,34809.0701,15.284,2.1475
2014-02-06,55.86,35308.4193,15.5033,2.1783
2014-02-07,56.33,35605.5006,15.6337,2.1966
2014-02-10,56.51,35719.2764,15.6837,2.2036
2014-02-11,57.14,36117.4916,15.8585,2.2282
2014-02-12,56.95,35997.3949,15.8058,2.2208
2014-02-13,56.86,35940.507,15.7808,2.2173
2014-02-14,56.06,35434.8369,15.5588,2.1861
2014-02-18,56.39,35643.4258,15.6504,2.1989
2014-02-19,57.31,36224.9465,15.9057,2.2348
2014-02-20,56.62,35788.806,15.7142,2.2079
2014-02-21,56.24,35548.6127,15.6087,2.1931
2014-02-24,56.14,35485.4039,15.581,2.1892
2014-02-25,56.51,35719.2764,15.6837,2.2036
2014-02-26,60.49,38234.9854,16.7883,2.3588
2014-02-27,60.66,38342.4403,16.8355,2.3654
2014-02-28,62.54,39530.7652,17.3572,2.4388
2014-03-03,61.96,39164.1544,17.1963,2.4161
2014-03-04,61.33,38765.9391,17.0214,2.3916
2014-03-05,60.6,38304.5151,16.8188,2.3631
2014-03-06,60.74,38393.0074,16.8577,2.3686
2014-03-07,60.75,38399.3282,16.8604,2.369
2014-03-10,61.16,38658.4842,16.9742,2.3849
2014-03-11,60.94,38519.4249,16.9132,2.3764
2014-03-12,61.1,38620.5589,16.9576,2.3826
2014-03-13,59.73,37754.5988,16.5774,2.3292
2014-03-14,59.36,37585.2492,16.4747,2.3148
2014-03-17,59.67,37781.5333,16.5607,2.3268
2014-03-18,59.72,37813.192,16.5746,2.3288
2014-03-19,59.48,37661.2301,16.508,2.3194
2014-03-20,59.7,37800.5286,16.569,2.328
2014-03-21,59.45,37642.2349,16.4996,2.3183
2014-03-24,59.46,37648.5666,16.5024,2.3187
2014-03-25,59.06,37395.2968,16.3914,2.3031
2014-03-26,59.2,37483.9412,16.4303,2.3085
2014-03-27,59.74,37825.8555,16.5801,2.3296
2014-03-28,59.98,37977.8175,16.6467,2.3389
2014-03-31,60.51,38313.4,16.7938,2.3596
2014-04-01,60.57,38351.3905,16.8105,2.3619
2014-04-02,60.89,38554.0064,16.8993,2.3744
2014-04-03,61.72,39079.5414,17.1297,2.4068
2014-04-04,61.14,38712.3001,16.9687,2.3842
2014-04-07,60.5,38307.0683,16.7911,2.3592
2014-04-08,61.5,38940.243,17.0686,2.3982
2014-04-09,61.21,38756.6223,16.9881,2.3869
2014-04-10,59.67,37781.5333,16.5607,2.3268
2014-04-11,58.9,37293.9888,16.347,2.2968
2014-04-14,59.42,37623.2396,16.4913,2.3171
2014-04-15,59.48,37661.2301,16.508,2.3194
2014-04-16,59.91,37933.4952,16.6273,2.3362
2014-04-17,60.0,37990.481,16.6523,2.3397
2014-04-21,59.76,37838.519,16.5857,2.3304
2014-04-22,60.32,38193.0969,16.7411,2.3522
2014-04-23,60.74,38459.0302,16.8577,2.3686
2014-04-24,61.45,38908.5842,17.0547,2.3963
2014-04-25,61.26,38788.2811,17.002,2.3888
2014-04-28,62.18,39370.8018,17.2573,2.4247
2014-04-29,61.97,39237.8351,17.199,2.4165
2014-04-30,61.75,39098.5367,17.138,2.408
2014-05-01,61.74,39092.2049,17.1352,2.4076
2014-05-02,62.01,39263.1621,16.7834,2.3833
2014-05-05,59.87,37908.1682,16.2042,2.301
2014-05-06,57.64,36496.1887,15.6006,2.2153
2014-05-07,58.13,36806.4443,15.7332,2.2341
2014-05-08,58.32,36926.7475,15.7846,2.2414
2014-05-09,59.13,37439.619,16.0039,2.2726
2014-05-12,59.64,37762.5381,16.1419,2.2922
2014-05-13,59.56,37711.8841,16.1203,2.2891
2014-05-14,59.27,37528.2634,16.0418,2.2779
2014-05-15,58.18,36838.103,15.7467,2.2361
2014-05-16,58.64,37129.3634,15.8713,2.2537
2014-05-19,58.29,36926.4446,15.7765,2.2403
2014-05-20,56.61,35862.1724,15.3218,2.1757
2014-05-21,57.2,36235.9347,15.4815,2.1984
2014-05-22,55.99,35469.4053,15.154,2.1519
2014-05-23,55.69,35279.3567,15.0728,2.1404
2014-05-27,55.77,35330.0363,15.0945,2.1434
2014-05-28,55.34,35057.6333,14.9781,2.1269
2014-05-29,55.88,35411.4022,15.1242,2.1477
2014-05-30,56.76,35969.0621,15.3624,2.1815
2014-06-02,56.49,35797.9619,15.2893,2.1711
2014-06-03,56.79,35988.0733,15.3705,2.1826
2014-06-04,57.18,36235.218,15.4761,2.1976
2014-06-05,57.49,36431.6663,15.56,2.2095
2014-06-06,57.68,36552.0702,15.6114,2.2168
2014-06-09,57.6,36501.3738,15.5898,2.2138
2014-06-10,56.86,36032.4326,15.3895,2.1853
2014-06-11,57.08,36171.8475,15.449,2.1938
2014-06-12,57.24,36273.2402,15.4923,2.1999
2014-06-13,57.23,36266.9032,15.4896,2.1995
2014-06-16,57.74,36590.0924,15.6277,2.2191
