Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,16.01,501.1577,156.9362,4.5438
2014-01-03,15.9,497.7144,155.8579,4.5125
2014-01-06,15.48,484.5672,151.7409,4.3933
2014-01-07,15.82,495.2101,155.0737,4.4898
2014-01-08,16.22,507.7312,158.9947,4.6034
2014-01-09,16.67,521.8175,163.4057,4.7311
2014-01-10,17.03,533.0865,166.9346,4.8332
2014-01-13,16.87,528.0781,165.3662,4.7878
2014-01-14,17.5,547.7988,171.5417,4.9666
2014-01-15,18.35,574.4062,179.8737,5.2079
2014-01-16,19.0,594.753,186.2453,5.3923
2014-01-17,19.55,611.9695,191.6366,5.5484
2014-01-21,19.61,613.8477,192.2247,5.5655
2014-01-22,20.38,637.9509,199.7726,5.784
2014-01-23,20.75,649.5329,203.3995,5.889
2014-01-24,20.84,652.3501,204.2817,5.9145
2014-01-27,21.41,670.1927,209.869,6.0763
2014-01-28,21.96,687.4093,215.2604,6.2324
2014-01-29,21.43,670.8188,210.0651,6.082
2014-01-30,23.22,726.8508,227.6114,6.59
2014-01-31,24.19,757.2145,237.1197,6.8653
2014-02-03,24.07,753.4581,235.9434,6.8312
2014-02-04,22.99,719.6511,225.3568,6.5247
2014-02-05,22.86,715.5818,224.0825,6.4878
2014-02-06,22.7,710.5733,222.5141,6.4424
2014-02-07,23.14,724.3466,226.8272,6.5673
2014-02-10,22.32,698.6783,218.7892,6.3346
2014-02-11,22.87,715.8948,224.1805,6.4907
2014-02-12,22.77,712.7645,223.2003,6.4623
2014-02-13,22.9,716.8339,224.4746,6.4992
2014-02-14,23.5,735.6156,230.356,6.6695
2014-02-18,23.24,727.4768,227.8074,6.5957
2014-02-19,23.0,719.9642,225.4548,6.5276
2014-02-20,24.74,774.431,242.511,7.0214
2014-02-21,24.67,772.2398,241.8248,7.0015
2014-02-24,23.99,752.0801,235.1592,6.8085
2014-02-25,23.71,743.3022,232.4145,6.7291
2014-02-26,22.96,719.7899,225.0627,6.5162
2014-02-27,22.74,712.8929,222.9062,6.4538
2014-02-28,22.92,718.5359,224.6706,6.5049
2014-03-03,23.2,727.3138,227.4153,6.5843
2014-03-04,26.24,822.617,257.2146,7.4471
2014-03-05,27.1,849.5778,265.6446,7.6912
2014-03-06,29.8,934.2221,292.111,8.4575
2014-03-07,29.64,929.2061,290.5427,8.412
2014-03-10,30.09,943.3135,294.9537,8.5398
2014-03-11,29.92,937.984,293.2873,8.4915
2014-03-12,29.67,930.1466,290.8367,8.4206
2014-03-13,29.75,932.6546,291.6209,8.4433
2014-03-14,30.94,969.9607,303.2858,8.781
2014-03-17,30.37,969.545,297.6984,8.6192
2014-03-18,30.9,986.4649,302.8937,8.7696
2014-03-19,31.14,994.1268,305.2462,8.8378
2014-03-20,31.39,1002.1079,307.6968,8.9087
2014-03-21,30.83,984.2302,302.2075,8.7498
2014-03-24,30.05,959.3291,294.5616,8.5284
2014-03-25,29.71,948.4748,291.2288,8.4319
2014-03-26,27.53,878.8796,269.8596,7.8132
2014-03-27,27.35,873.1332,268.0952,7.7621
2014-03-28,27.52,878.5603,269.7616,7.8104
2014-03-31,28.88,921.9776,,8.5986
2014-04-01,29.6,944.9632,,8.8129
2014-04-02,29.04,927.0855,,8.6462
2014-04-03,28.41,906.9731,,8.4586
2014-04-04,28.02,894.5226,,8.3425
2014-04-07,23.9,762.9939,,7.1159
2014-04-08,22.21,709.0416,,6.6127
2014-04-09,22.75,726.2808,,6.7735
2014-04-10,21.12,674.244,,6.2882
2014-04-11,20.29,647.7467,,6.041
2014-04-14,19.99,638.1694,,5.9517
2014-04-15,20.75,662.4319,,6.178
2014-04-16,21.97,701.3797,,6.5412
2014-04-17,21.57,688.61,,6.4221
2014-04-21,22.72,725.3231,,6.7645
2014-04-22,22.59,721.1729,,6.7258
2014-04-23,22.1,705.5299,,6.5799
2014-04-24,22.21,709.0416,,6.6127
