Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,109.63,39616.6948,29.1141,2.3542
2014-01-03,110.05,39768.4691,29.2256,2.3632
2014-01-06,110.06,39772.0827,29.2283,2.3634
2014-01-07,112.31,40585.1591,29.8258,2.4117
2014-01-08,114.04,41210.3245,30.2852,2.4489
2014-01-09,114.0,41195.8698,30.2746,2.448
2014-01-10,114.46,41362.0988,30.3968,2.4579
2014-01-13,112.99,40830.8889,30.0064,2.4263
2014-01-14,114.76,41470.5089,30.4764,2.4643
2014-01-15,115.52,41745.1481,30.6783,2.4806
2014-01-16,116.11,41958.3548,30.835,2.4933
2014-01-17,115.89,41878.854,30.7765,2.4886
2014-01-21,114.95,41539.1687,30.5269,2.4684
2014-01-22,114.7,41448.8269,30.4605,2.463
2014-01-23,112.81,40765.8427,29.9586,2.4224
2014-01-24,109.95,39732.3323,29.1991,2.361
2014-01-27,109.87,39703.4229,29.1778,2.3593
2014-01-28,112.32,40588.7728,29.8285,2.4119
2014-01-29,111.75,40382.7934,29.6771,2.3997
2014-01-30,114.99,41553.6234,30.5375,2.4693
2014-01-31,115.14,41607.8285,30.5774,2.4725
2014-02-03,113.13,40881.4803,30.0436,2.4293
2014-02-04,112.96,40820.0478,29.9984,2.4257
2014-02-05,113.2,40906.776,30.0622,2.4308
2014-02-06,114.43,41351.2577,30.3888,2.4572
2014-02-07,117.77,42558.2245,31.2758,2.5289
2014-02-10,118.61,42861.773,31.4989,2.547
2014-02-11,121.0,43725.4408,32.1336,2.5983
2014-02-12,121.52,43913.3518,32.2717,2.6095
2014-02-13,122.9,44412.0386,32.6382,2.6391
2014-02-14,123.74,44715.5871,32.8612,2.6571
2014-02-18,123.55,44646.9273,32.8108,2.6531
2014-02-19,121.81,48269.3202,32.3487,2.6157
2014-02-20,124.71,49418.4954,33.1188,2.678
2014-02-21,123.18,48812.2064,32.7125,2.6451
2014-02-24,123.37,48887.4972,32.763,2.6492
2014-02-25,123.81,49061.8548,32.8798,2.6586
2014-02-26,124.28,49248.1005,33.0046,2.6687
2014-02-27,124.91,49497.7489,33.1719,2.6823
2014-02-28,124.54,49351.13,33.0737,2.6743
2014-03-03,123.35,48879.5719,32.7577,2.6488
2014-03-04,125.35,49672.1065,33.2888,2.6917
2014-03-05,125.91,49894.0162,33.4375,2.7037
2014-03-06,126.4,50088.1872,33.5676,2.7143
2014-03-07,126.67,50195.1793,33.6393,2.7201
