Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,33.3083,26726.3475,62.2234,1.8785
2014-01-03,32.2203,25853.3562,60.191,1.8171
2014-01-06,33.4181,26814.4475,62.4286,1.8847
2014-01-07,33.1586,26606.2111,61.9438,1.87
2014-01-08,33.1885,26630.2383,61.9997,1.8717
2014-01-09,32.9689,26454.0383,61.5895,1.8593
2014-01-10,32.9589,26446.0292,61.5708,1.8588
2014-01-13,32.4299,26021.5472,60.5826,1.8289
2014-01-14,32.8791,26381.9564,61.4216,1.8543
2014-01-15,32.4699,26053.5836,60.6571,1.8312
2014-01-16,32.5397,26109.6472,60.7877,1.8351
2014-01-17,32.4499,26037.5654,60.6198,1.8301
2014-01-21,33.1087,26566.1656,61.8505,1.8672
2014-01-22,33.3782,26782.4111,62.354,1.8824
2014-01-23,32.6795,26221.7745,61.0487,1.843
2014-01-24,31.6214,25372.8105,59.0722,1.7833
2014-01-27,31.7612,25484.9379,59.3332,1.7912
2014-01-28,32.2503,25877.3835,60.2469,1.8188
2014-01-29,30.9926,24868.2376,57.8975,1.7479
2014-01-30,30.6732,24611.9466,57.3008,1.7299
2014-01-31,30.5135,24483.8011,57.0024,1.7208
2014-02-03,29.4754,23650.8553,55.0632,1.6623
2014-02-04,30.0743,24131.4009,56.182,1.6961
2014-02-05,31.6913,25428.8742,59.2027,1.7873
2014-02-06,29.4954,23666.8735,55.1005,1.6634
2014-02-07,30.3737,24371.6738,56.7414,1.713
2014-02-10,30.0144,24083.3464,56.0701,1.6927
2014-02-11,30.254,24275.5646,56.5176,1.7062
2014-02-12,30.6432,24587.9193,57.2448,1.7282
2014-02-13,30.8329,24740.0921,57.5991,1.7389
2014-02-14,31.2321,25060.4559,58.345,1.7614
2014-02-18,31.1423,24988.374,58.1772,1.7563
2014-02-19,31.1922,25028.4195,58.2704,1.7591
2014-02-20,31.5116,25284.7105,58.8671,1.7771
2014-02-21,31.9708,25653.1288,59.7248,1.803
2014-02-24,32.2503,25877.3835,60.2469,1.8188
2014-02-25,30.4137,24450.7876,56.816,1.7152
2014-02-26,30.2739,24338.444,56.5549,1.7073
2014-02-27,30.8429,24795.8431,57.6178,1.7394
2014-02-28,30.4436,24474.8613,56.8719,1.7169
2014-03-03,30.4436,24474.8613,56.8719,1.7169
2014-03-04,31.7312,25510.0275,59.2773,1.7895
2014-03-05,31.7612,25534.1012,59.3332,1.7912
2014-03-06,31.2521,25124.8494,58.3823,1.7625
2014-03-07,30.7331,24707.5731,57.4126,1.7332
2014-03-10,30.9127,24852.0149,57.7483,1.7434
2014-03-11,31.3719,25221.1439,58.606,1.7693
2014-03-12,31.5615,25373.6103,58.9603,1.78
2014-03-13,31.3619,25213.1194,58.5874,1.7687
2014-03-14,31.2621,25132.8739,58.4009,1.7631
2014-03-17,30.6532,24643.3767,57.2635,1.7287
2014-03-18,31.1423,25036.5794,58.1772,1.7563
2014-03-19,31.0525,24964.3585,58.0093,1.7512
2014-03-20,32.1105,25814.9602,59.9859,1.8109
2014-03-21,32.6495,26248.2856,60.9928,1.8413
2014-03-24,32.6395,26240.2611,60.9741,1.8407
2014-03-25,32.6395,26240.2611,60.9741,1.8407
2014-03-26,31.9508,25686.5675,59.6875,1.8019
2014-03-27,32.2403,25919.2793,60.2283,1.8182
2014-03-28,32.5397,26160.0156,60.7877,1.8351
2014-03-31,32.9689,26505.0711,,1.8732
2014-04-01,33.4181,26866.1756,,1.8987
2014-04-02,33.4281,26874.2001,,1.8993
2014-04-03,33.1885,26681.6111,,1.8857
2014-04-04,32.4,26047.672,,1.8408
2014-04-07,30.7031,24683.4994,,1.7444
2014-04-08,31.1223,25020.5303,,1.7683
2014-04-09,31.6514,25445.8312,,1.7983
2014-04-10,30.793,24755.7203,,1.7495
2014-04-11,29.9545,24081.6586,,1.7019
2014-04-14,29.685,23864.9959,,1.6866
2014-04-15,29.136,23423.6459,,1.6554
2014-04-16,29.695,23873.0204,,1.6872
