Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,86.98,3681.9926,54.33,24.6456
2014-01-03,86.63,3667.1766,54.1114,24.5464
2014-01-06,86.44,3659.1336,53.9927,24.4926
2014-01-07,85.34,3612.569,53.3056,24.1809
2014-01-08,89.42,3785.2815,55.8541,25.337
2014-01-09,87.47,3702.7351,54.6361,24.7844
2014-01-10,87.84,3718.3977,54.8672,24.8893
2014-01-13,86.81,3674.7963,54.2238,24.5974
2014-01-14,88.13,3730.6738,55.0483,24.9715
2014-01-15,88.97,3766.2323,55.573,25.2095
2014-01-16,88.9,3763.2691,55.5293,25.1896
2014-01-17,88.25,3735.7536,55.1233,25.0055
2014-01-21,90.35,3824.6497,56.435,25.6005
2014-01-22,88.9,3763.2691,55.5293,25.1896
2014-01-23,89.54,3790.3612,55.929,25.371
2014-01-24,88.13,3730.6738,55.0483,24.9715
2014-01-27,87.78,3715.8578,54.8297,24.8723
2014-01-28,89.35,3782.3183,55.8104,25.3171
2014-01-29,89.25,3778.0851,55.7479,25.2888
2014-01-30,90.03,3811.1037,56.2351,25.5098
2014-01-31,90.29,3822.1098,56.3975,25.5835
2014-02-03,89.2,3775.9685,55.7167,25.2746
2014-02-04,89.19,3775.5452,55.7104,25.2718
2014-02-05,89.02,3768.3489,55.6042,25.2236
2014-02-06,91.29,3864.4413,57.0221,25.8668
2014-02-07,92.94,3934.2883,58.0528,26.3344
2014-02-10,92.03,3895.7666,57.4844,26.0765
2014-02-11,94.0,3979.1597,58.7149,26.6347
2014-02-12,94.42,3996.9389,58.9772,26.7537
2014-02-13,96.31,4076.9454,60.1578,27.2892
2014-02-14,96.52,4069.992,60.2889,27.3487
2014-02-18,97.16,4096.9791,60.6887,27.5301
2014-02-19,96.11,4052.7033,60.0328,27.2326
2014-02-20,96.48,4068.3053,60.264,27.3374
2014-02-21,95.99,4047.6433,59.9579,27.1986
2014-02-24,96.21,4056.9201,60.0953,27.2609
2014-02-25,96.17,4055.2334,60.0703,27.2496
2014-02-26,97.09,4094.0273,60.645,27.5103
2014-02-27,97.46,4109.6293,60.8761,27.6151
2014-02-28,96.76,4080.1121,60.4389,27.4167
2014-03-03,96.69,4077.1604,60.3951,27.3969
2014-03-04,98.5,4153.4833,61.5257,27.9098
2014-03-05,98.77,4164.8685,61.6943,27.9863
2014-03-06,98.66,4160.2301,61.6256,27.9551
2014-03-07,98.37,4148.0015,61.4445,27.8729
2014-03-10,97.94,4129.8696,61.1759,27.7511
2014-03-11,97.12,4095.2924,60.6637,27.5188
2014-03-12,97.3,4102.8825,60.7761,27.5698
2014-03-13,96.7,4077.5821,60.4014,27.3997
2014-03-14,97.87,4126.9179,61.1322,27.7313
2014-03-17,97.89,4127.7612,61.1447,27.7369
2014-03-18,97.49,4110.8943,60.8948,27.6236
2014-03-19,97.73,4121.0144,61.0447,27.6916
2014-03-20,98.69,4161.4951,61.6444,27.9636
2014-03-21,98.54,4155.17,61.5507,27.9211
2014-03-24,97.62,4116.376,60.976,27.6604
2014-03-25,97.08,4093.6057,60.6387,27.5074
2014-03-26,97.23,4099.9308,60.7324,27.5499
2014-03-27,97.6,4115.5327,60.9635,27.6548
2014-03-28,97.46,4109.6293,60.8761,27.6151
2014-03-31,99.26,4185.5305,57.3046,28.9798
2014-04-01,103.91,4381.6086,59.9891,30.3374
2014-04-02,104.44,4403.9573,60.2951,30.4922
2014-04-03,103.96,4383.717,60.018,30.352
2014-04-04,103.84,4378.6569,59.9487,30.317
2014-04-07,101.56,4282.5154,58.6324,29.6513
2014-04-08,102.89,4337.7136,59.4002,30.0396
2014-04-09,102.31,4313.2616,59.0654,29.8703
2014-04-10,103.03,4343.6159,59.4811,30.0805
2014-04-11,104.51,4406.0108,60.3355,30.5126
2014-04-14,104.66,4412.3346,60.4221,30.5564
2014-04-15,104.98,4425.8254,60.6068,30.6498
2014-04-16,106.43,4486.9556,61.4439,31.0732
2014-04-17,106.77,4501.2896,61.6402,31.1724
2014-04-21,108.82,4587.715,62.8237,31.771
2014-04-22,108.94,4592.7741,62.893,31.806
2014-04-23,109.33,4609.216,63.1182,31.9199
2014-04-24,106.99,4510.5645,61.7672,31.2367
2014-04-25,105.58,4451.1207,60.9532,30.825
2014-04-28,107.26,4521.9474,61.9231,31.3155
2014-04-29,108.23,4562.8414,62.4831,31.5987
2014-04-30,107.99,4552.7233,62.3446,31.5286
2014-05-01,106.77,4501.2896,61.6402,31.1724
2014-05-02,106.4,4485.7014,61.4266,31.0644
2014-05-05,110.21,4646.3266,63.6262,32.1768
2014-05-06,109.45,4614.2859,63.1874,31.9549
2014-05-07,110.88,4674.573,64.013,32.3724
2014-05-08,109.32,4608.8052,63.1124,31.9169
2014-05-09,109.52,4617.237,63.2279,31.9753
2014-05-12,110.95,4677.5242,64.0534,32.3928
2014-05-13,111.63,4706.1922,64.446,32.5914
2014-05-14,110.77,4669.9356,63.9495,32.3403
2014-05-15,110.56,4661.0822,63.8283,32.279
2014-05-16,112.35,4736.5466,64.8617,32.8016
2014-05-19,113.31,4777.019,65.4159,33.0818
2014-05-20,113.5,4785.0292,65.5256,33.1373
2014-05-21,114.69,4835.1983,66.2126,33.4848
2014-05-22,115.42,4865.9742,66.634,33.6979
2014-05-23,115.51,4869.7685,66.686,33.7242
2014-05-27,115.48,4868.5037,66.6687,33.7154
2014-05-28,114.91,4844.4732,66.3396,33.549
2014-05-29,114.97,4847.0027,66.3742,33.5665
2014-05-30,114.96,4846.5811,66.3685,33.5636
2014-06-02,115.93,4887.4752,66.9285,33.8468
2014-06-03,117.21,4941.4386,67.6674,34.2205
2014-06-04,117.95,4972.6361,68.0946,34.4365
2014-06-05,119.13,5022.3835,68.7759,34.781
2014-06-06,120.53,5081.4059,69.5841,35.1898
2014-06-09,120.45,5078.0332,69.5379,35.1664
2014-06-10,120.62,5085.2002,69.6361,35.2161
2014-06-11,119.68,5045.5709,69.0934,34.9416
2014-06-12,119.08,5020.2756,68.747,34.7665
2014-06-13,119.43,5035.0312,68.9491,34.8686
2014-06-16,122.0,5143.3794,70.4328,35.619
2014-06-17,123.68,5214.2063,71.4027,36.1095
2014-06-18,125.05,5271.9639,72.1936,36.5094
2014-06-19,150.62,6349.9657,86.9556,43.9748
2014-06-20,138.09,5821.7153,79.7218,40.3166
2014-06-23,140.83,5937.2305,81.3037,41.1166
2014-06-24,134.49,5669.9434,77.6435,39.2655
2014-06-25,133.34,5621.4608,76.9796,38.9298
2014-06-26,138.13,5823.4016,79.7449,40.3283
2014-06-27,137.08,5779.1349,79.1387,40.0217
2014-06-30,139.57,5884.1104,72.7354,38.7619
2014-07-01,141.53,5966.7417,73.7569,39.3062
2014-07-02,140.96,5942.7112,73.4598,39.1479
2014-07-03,142.25,5997.0961,74.1321,39.5062
2014-07-07,140.79,5935.5442,73.3712,39.1007
2014-07-08,137.03,5777.0269,71.4117,38.0565
2014-07-09,137.72,5806.1165,71.7713,38.2481
2014-07-10,138.77,5850.3833,72.3185,38.5397
2014-07-11,139.94,5899.7092,72.9283,38.8646
2014-07-14,139.87,5896.758,72.8918,38.8452
2014-07-15,138.0,5817.921,71.9173,38.3259
2014-07-16,139.48,5880.3161,72.6885,38.7369
2014-07-17,138.5,5839.0004,72.1778,38.4647
2014-07-18,138.35,5832.6766,72.0997,38.4231
2014-07-21,136.07,5736.5544,70.9115,37.7899
2014-07-22,137.53,5798.1063,71.6723,38.1953
2014-07-23,136.05,5735.7112,70.901,37.7843
2014-07-24,135.47,5711.2591,70.5988,37.6232
2014-07-25,133.2,5615.5585,69.4158,36.9928
2014-07-28,132.71,5594.9007,69.1604,36.8567
2014-07-29,131.91,5561.1736,68.7435,36.6345
2014-07-30,131.22,5532.084,68.3839,36.4429
2014-07-31,127.5,5375.2531,66.4453,35.4098
2014-08-01,129.46,5457.8326,67.4667,35.9541
2014-08-04,133.24,5617.1915,69.4366,37.0039
2014-08-05,131.24,5532.8746,68.3943,36.4485
2014-08-06,130.97,5521.4918,68.2536,36.3735
2014-08-07,129.94,5478.0686,67.7169,36.0874
2014-08-08,131.57,5546.7869,68.5663,36.5401
2014-08-11,135.51,5712.8912,70.6196,37.6343
2014-08-12,134.93,5688.4393,70.3174,37.4733
2014-08-13,134.49,5669.8896,70.0881,37.3511
2014-08-14,132.9,5602.8576,69.2594,36.9095
2014-08-15,137.69,5804.7966,71.7557,38.2398
2014-08-18,137.36,5790.8843,71.5837,38.1481
2014-08-19,138.62,5844.004,72.2404,38.4981
2014-08-20,138.13,5823.3463,71.985,38.362
2014-08-21,137.35,5790.4627,71.5785,38.1453
2014-08-22,137.64,5802.6887,71.7296,38.2259
2014-08-25,139.92,5898.8099,72.9178,38.8591
2014-08-26,139.06,5862.5537,72.4697,38.6202
2014-08-27,139.99,5901.761,72.9543,38.8785
2014-08-28,139.25,5870.5638,72.5687,38.673
2014-08-29,139.55,5883.2113,72.725,38.7563
2014-09-02,139.15,5866.3479,72.5166,38.6452
2014-09-03,140.58,5926.6345,73.2618,39.0424
2014-09-04,139.94,5899.6531,72.9283,38.8646
2014-09-05,141.57,5968.3714,73.7777,39.3173
2014-09-08,141.19,5952.3512,73.5797,39.2118
2014-09-09,141.18,5951.9296,73.5745,39.209
2014-09-10,141.9,5982.2837,73.9497,39.409
2014-09-11,141.66,5972.1656,73.8246,39.3423
2014-09-12,139.45,5878.9955,72.6729,38.7286
2014-09-15,138.59,5842.7392,72.2247,38.4897
2014-09-16,140.62,5928.3209,73.2826,39.0535
2014-09-17,140.14,5908.0848,73.0325,38.9202
2014-09-18,139.58,5884.4761,72.7407,38.7647
2014-09-19,139.65,5887.4272,72.7771,38.7841
2014-09-22,138.69,5846.9551,72.2768,38.5175
2014-09-23,136.79,5766.854,71.2867,37.9898
2014-09-24,137.47,5795.5217,71.641,38.1787
2014-09-25,135.43,5709.5185,70.5779,37.6121
2014-09-26,136.87,5770.2267,71.3284,38.012
2014-09-29,137.47,5795.5217,71.641,38.1787
