Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,34.44,8880.0767,44.1545,4.169
2014-01-03,34.57,8913.5962,38.5544,4.027
2014-01-06,33.97,8758.891,37.8853,3.9571
2014-01-07,33.95,8753.7342,37.863,3.9548
2014-01-08,33.51,8640.2837,37.3723,3.9035
2014-01-09,33.58,8658.3327,37.4503,3.9117
2014-01-10,33.63,8671.2248,37.5061,3.9175
2014-01-13,33.67,8681.5384,37.5507,3.9222
2014-01-14,34.36,8859.4494,38.3202,4.0026
2014-01-15,34.7,8947.1156,38.6994,4.0422
2014-01-16,34.7,8947.1156,38.6994,4.0422
2014-01-17,34.08,8787.2536,38.008,3.9699
2014-01-21,34.32,8849.1357,38.2756,3.9979
2014-01-22,34.46,8885.2336,38.4318,4.0142
2014-01-23,33.85,8727.95,37.7515,3.9432
2014-01-24,32.52,8385.0202,36.2682,3.7882
2014-01-27,32.34,8338.6086,36.0674,3.7673
2014-01-28,32.67,8423.6965,36.4355,3.8057
2014-01-29,32.42,8359.236,36.1566,3.7766
2014-01-30,33.05,8521.6764,36.8593,3.85
2014-01-31,32.33,8336.0302,36.0563,3.7661
2014-02-03,30.78,7936.3752,34.3276,3.5855
2014-02-04,31.19,8042.0904,34.7849,3.6333
2014-02-05,31.09,8016.3062,34.6734,3.6216
2014-02-06,31.29,8067.8746,34.8964,3.6449
2014-02-07,31.98,8245.7855,35.6659,3.7253
2014-02-10,32.02,8256.0992,35.7105,3.73
2014-02-11,32.62,8410.8044,36.3797,3.7999
2014-02-12,37.19,9589.1421,41.4764,4.3322
2014-02-13,36.92,9519.5248,41.1753,4.3008
2014-02-14,37.17,9583.9853,41.4541,4.3299
2014-02-18,37.33,9625.24,41.6326,4.3485
2014-02-19,38.16,9839.2488,42.5582,4.4452
2014-02-20,38.64,9963.0129,43.0935,4.5011
2014-02-21,38.41,9903.7093,42.837,4.4743
2014-02-24,38.44,9911.4445,42.8705,4.4778
2014-02-25,37.97,9866.2823,42.3463,4.4231
2014-02-26,38.2,9926.0464,42.6028,4.4499
2014-02-27,38.17,9918.2511,42.5694,4.4464
2014-02-28,38.15,9913.0542,42.5471,4.4441
2014-03-03,38.25,9939.0386,42.6586,4.4557
2014-03-04,38.99,10131.3233,43.4839,4.5419
2014-03-05,39.81,10344.3955,44.3984,4.6374
2014-03-06,39.96,10383.3721,44.5657,4.6549
2014-03-07,39.51,10266.4422,44.0638,4.6025
2014-03-10,39.26,10201.4812,43.785,4.5734
2014-03-11,39.02,10139.1186,43.5173,4.5454
2014-03-12,39.07,10152.1108,43.5731,4.5512
2014-03-13,37.74,9806.5181,42.0898,4.3963
2014-03-14,38.0,9874.0776,42.3798,4.4266
2014-03-17,38.48,9998.8028,42.9151,4.4825
2014-03-18,38.87,10100.142,43.3501,4.5279
2014-03-19,38.6,10029.9841,43.0489,4.4965
2014-03-20,38.54,10014.3934,42.982,4.4895
2014-03-21,38.19,9923.448,42.5917,4.4487
2014-03-24,38.35,9965.023,42.7701,4.4674
2014-03-25,38.48,10033.5226,42.9151,4.4825
2014-03-26,38.16,9950.0837,42.5582,4.4452
2014-03-27,38.13,9942.2614,42.5248,4.4417
2014-03-28,38.15,9947.4763,42.5471,4.4441
2014-03-31,38.87,10135.2137,41.8611,4.329
2014-04-01,39.3,10247.3347,42.3241,4.3769
2014-04-02,39.81,10380.3154,42.8734,4.4337
2014-04-03,39.71,10354.2407,42.7657,4.4225
2014-04-04,38.38,10007.448,41.3334,4.2744
2014-04-07,37.23,9707.5896,40.0949,4.1463
2014-04-08,37.65,9817.1031,40.5472,4.1931
2014-04-09,38.78,10111.7465,41.7641,4.319
2014-04-10,37.25,9712.8045,40.1164,4.1486
2014-04-11,36.63,9551.1417,39.4487,4.0795
2014-04-14,37.14,9684.1224,39.9979,4.1363
2014-04-15,37.76,9845.7852,40.6656,4.2054
2014-04-16,38.75,10103.9241,41.7318,4.3156
2014-04-17,39.5,10299.484,42.5395,4.3991
2014-04-21,39.56,10315.1287,42.6042,4.4058
2014-04-22,39.66,10341.2034,42.7118,4.417
2014-04-23,38.96,10158.6809,41.958,4.339
2014-04-24,38.97,10161.2884,41.9688,4.3401
2014-04-25,38.47,10030.9151,41.4303,4.2844
2014-04-28,38.39,10010.0554,41.3441,4.2755
2014-04-29,38.25,9973.5509,41.1933,4.2599
2014-04-30,38.43,10020.4853,41.3872,4.28
2014-05-01,38.86,10132.6062,41.8503,4.3279
2014-05-02,39.07,10187.363,42.0764,4.3513
2014-05-05,38.51,10041.345,41.4734,4.2889
2014-05-06,38.17,9952.6912,41.1072,4.251
2014-05-07,35.08,9146.9847,37.7794,3.9069
2014-05-08,35.02,9131.34,37.7148,3.9002
2014-05-09,35.02,9131.34,37.7148,3.9002
2014-05-12,35.58,9282.1073,38.3179,3.9626
2014-05-13,35.32,9214.2785,38.0379,3.9336
2014-05-14,35.26,9198.6257,37.9733,3.9269
2014-05-15,34.67,9044.7066,37.3379,3.8612
2014-05-16,35.04,9141.2322,37.7363,3.9024
2014-05-19,35.11,9159.4938,37.8117,3.9102
2014-05-20,34.86,9094.2738,37.5425,3.8824
2014-05-21,35.15,9169.929,37.8548,3.9147
2014-05-22,35.18,9177.7554,37.8871,3.918
2014-05-23,35.61,9289.9337,38.3502,3.9659
2014-05-27,35.63,9295.1513,38.3717,3.9681
2014-05-28,35.93,9373.4153,38.6948,4.0016
2014-05-29,36.21,9446.4617,38.9964,4.0327
2014-05-30,36.07,9409.9385,38.8456,4.0171
2014-06-02,35.88,9360.3713,38.641,3.996
2014-06-03,36.27,9462.1145,39.061,4.0394
2014-06-04,36.69,9571.684,39.5133,4.0862
2014-06-05,37.57,9801.2583,40.461,4.1842
2014-06-06,38.11,9942.1335,41.0426,4.2443
2014-06-09,38.98,10169.099,41.9795,4.3412
2014-06-10,38.64,10080.3999,41.6134,4.3034
2014-06-11,38.81,10124.7494,41.7964,4.3223
2014-06-12,38.67,10088.2262,41.6457,4.3067
2014-06-13,38.26,9981.2655,41.2041,4.261
2014-06-16,38.06,9929.0895,40.9887,4.2388
2014-06-17,38.53,10051.7031,41.4949,4.2911
2014-06-18,38.33,9999.5271,41.2795,4.2688
2014-06-19,38.2,9965.6127,41.1395,4.2544
2014-06-20,37.94,9897.7839,40.8595,4.2254
2014-06-23,37.67,9827.3463,40.5687,4.1953
2014-06-24,37.07,9670.8184,39.9225,4.1285
2014-06-25,37.07,9670.8184,39.9225,4.1285
2014-06-26,37.05,9665.6008,39.901,4.1263
2014-06-27,37.1,9678.6448,39.9549,4.1319
2014-06-30,36.95,9639.5128,39.7933,4.1152
2014-07-01,37.36,9746.4736,40.2349,4.1608
2014-07-02,34.23,8929.9194,36.864,3.8122
2014-07-03,34.89,9102.1002,34.6652,3.7384
2014-07-07,34.15,8909.049,33.93,3.6591
2014-07-08,33.27,8679.4747,33.0556,3.5648
2014-07-09,33.4,8713.3891,33.1848,3.5787
2014-07-10,32.59,8502.0764,32.38,3.4919
2014-07-11,32.39,8449.9004,32.1813,3.4705
2014-07-14,32.11,8376.854,31.9031,3.4405
2014-07-15,32.16,8389.898,31.9528,3.4459
2014-07-16,32.0,8348.1572,31.7938,3.4287
2014-07-17,31.46,8207.2821,31.2573,3.3709
2014-07-18,31.85,8309.0252,31.6448,3.4127
2014-07-21,31.7,8269.8933,31.4958,3.3966
2014-07-22,31.87,8314.2428,31.6647,3.4148
2014-07-23,31.79,8293.3724,31.5852,3.4062
2014-07-24,31.8,8295.9812,31.5951,3.4073
2014-07-25,31.44,8202.0645,31.2374,3.3687
2014-07-28,31.18,8134.2357,30.9791,3.3409
2014-07-29,30.93,8069.0157,30.7307,3.3141
2014-07-30,31.37,8183.8029,31.1679,3.3612
2014-07-31,30.9,8061.1893,30.7009,3.3109
