Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,82.56,21537.5931,21.2237,4.4907
2014-01-03,83.3,21730.6384,21.4139,4.531
2014-01-06,83.17,21696.725,21.3805,4.5239
2014-01-07,83.87,21879.3354,21.5604,4.562
2014-01-08,83.92,21892.379,21.5733,4.5647
2014-01-09,83.29,21728.0297,21.4113,4.5304
2014-01-10,83.43,21764.5517,21.4473,4.538
2014-01-13,82.35,21482.81,21.1697,4.4793
2014-01-14,83.19,21701.9425,21.3856,4.525
2014-01-15,83.92,21892.379,21.5733,4.5647
2014-01-16,83.81,21863.6831,21.545,4.5587
2014-01-17,82.28,21464.5489,21.1517,4.4755
2014-01-21,81.78,21334.1129,21.0231,4.4483
2014-01-22,81.52,21266.2862,20.9563,4.4342
2014-01-23,79.92,20848.891,20.545,4.3471
2014-01-24,77.38,20186.2761,19.892,4.209
2014-01-27,76.51,19959.3174,19.6684,4.1616
2014-01-28,80.7,21052.3711,20.7455,4.3896
2014-01-29,78.96,20693.2839,20.2982,4.2949
2014-01-30,79.55,20847.907,20.4499,4.327
2014-01-31,78.44,20557.006,20.1645,4.2666
2014-02-03,75.67,19831.0638,19.4524,4.116
2014-02-04,77.68,20370.2667,19.9692,4.2253
2014-02-05,76.8,20139.5016,19.7429,4.1774
2014-02-06,77.42,20302.0861,19.9023,4.2111
2014-02-07,79.34,20805.5736,20.3959,4.3156
2014-02-10,79.45,20834.4193,20.4242,4.3216
2014-02-11,80.18,21025.8494,20.6118,4.3613
2014-02-12,80.71,21164.833,20.7481,4.3901
2014-02-13,80.62,21141.232,20.7249,4.3852
2014-02-14,80.83,21196.3009,20.7789,4.3966
2014-02-18,80.66,21151.7213,20.7352,4.3874
2014-02-19,79.89,20949.8018,20.5373,4.3455
2014-02-20,80.1,21004.8708,20.5913,4.3569
2014-02-21,80.0,20978.6475,20.5656,4.3515
2014-02-24,80.86,21204.1679,20.7866,4.3983
2014-02-25,80.1,21004.8708,20.5913,4.3569
2014-02-26,79.52,20852.7756,20.4422,4.3254
2014-02-27,80.42,21088.7854,20.6735,4.3743
2014-02-28,81.17,21285.4602,20.8663,4.4151
2014-03-03,79.83,20934.0678,20.5219,4.3422
2014-03-04,81.68,21419.1991,20.9974,4.4429
2014-03-05,81.54,21382.4864,20.9614,4.4352
2014-03-06,82.37,21600.1399,21.1748,4.4804
2014-03-07,83.0,21765.3467,21.3368,4.5147
2014-03-10,83.71,21951.5322,21.5193,4.5533
2014-03-11,82.7,21686.6768,21.2596,4.4983
2014-03-12,81.83,21458.534,21.036,4.451
2014-03-13,80.76,21177.9446,20.7609,4.3928
2014-03-14,80.28,21080.622,20.6375,4.3667
